,It 0,It 1,It 2,It 3,It 4,It 5,It 6,It 7,It 8,It 9
0,-118.39207,-20.32401,-117.1486,-110.27177,-110.46405,-114.47479,-15.307308,-124.645035,-106.99238,-22.864021
1,-118.87805,-106.60738,-117.47342,-106.673805,-107.903694,-11.284443,-105.90191,-18.244125,-126.90448,-17.621351
2,-104.462715,-104.66537,-28.27329,-112.100746,-107.206795,-112.01844,-111.98598,-16.704659,-111.97647,-122.91664
3,-107.341095,-113.746346,-106.31414,-108.29815,-115.42269,-109.07685,-118.596115,-19.38798,-22.859749,-22.887384
4,-25.380741,-109.817795,-112.410515,-106.23123,-116.12399,-114.53519,-119.31001,-21.071873,-112.40365,-113.923584
5,-110.73872,-114.74293,-115.43568,-112.326775,-118.74335,-117.09929,-122.47056,-117.83385,-24.62085,-114.76359
6,-113.604675,-110.9448,-106.86076,-113.15348,-114.79086,-114.000854,-114.316376,-115.09618,-26.599981,-116.59356
7,-112.599464,-111.29009,-106.55231,-105.69184,-108.0284,-112.59291,-121.26154,-116.69877,-25.697474,-114.53298
8,-112.48231,-22.564531,-114.42689,-109.811386,-119.61601,-110.97796,-119.99764,-110.19462,-103.94731,-124.72403
9,-110.13071,-20.316591,-107.05681,-106.793724,-117.03726,-113.12696,-115.7724,-119.10301,-114.647934,-107.93094
10,-109.08395,-22.417624,-113.01197,-116.9906,-114.26664,-109.67851,-21.928516,-107.32397,-121.97217,-10.645409
11,-14.342461,-20.228758,-108.39938,-113.89603,-16.025976,-23.392883,-16.72263,-108.86717,-106.95565,-113.90867
12,-19.119558,-106.39317,-105.14615,-23.499828,-113.9352,-110.21338,-16.420742,-15.1882515,-96.12922,-107.09412
13,-22.289782,-110.02833,-108.22694,-112.81047,-107.96428,-117.45573,-22.057795,-113.41645,-17.009811,-111.37526
14,-115.47754,-110.52677,-105.68744,-14.841771,-112.30388,-110.386086,-12.969668,-113.20758,-21.652946,-110.64825
15,-109.49223,-17.53979,-110.27134,-18.251326,-20.35513,-115.183876,-18.241343,-104.439476,-116.87924,-19.238142
16,-108.346375,-30.694555,-105.30521,-24.82098,-105.51425,-118.15154,-107.61014,-106.295135,-106.523605,-111.75069
17,-110.71301,-13.384113,-104.5538,-107.83925,-105.35227,-114.538574,-109.789474,-108.264114,-110.07775,-103.713844
18,-17.667477,-105.66944,-16.327608,-102.211365,-106.39973,-116.89361,-113.97246,-18.195032,-18.749249,-101.20603
19,-9.359111,-109.739426,-114.90913,-110.78643,-111.358986,-116.10804,-115.58841,-102.77169,-112.704414,-103.66319
20,-104.15559,-105.03172,-110.16383,-18.105764,-24.15515,-13.983493,-106.66204,-18.687235,-100.31225,-110.9012
21,-110.25383,-113.104744,-105.20218,-19.149212,-102.426414,-16.076986,-14.802902,-100.518196,-118.289986,-117.16822
22,-18.621086,-109.79864,-124.042175,-12.811021,-11.543094,-103.0175,-118.9538,-19.409945,-116.61391,-104.85615
23,-14.704273,-110.85089,-103.20291,-16.704144,-103.72183,-14.136506,-17.27251,-102.95906,-103.02721,-16.718014
24,-14.414317,-20.65681,-103.10106,-113.32463,-20.78757,-110.12297,-19.482403,-14.449369,-99.5166,-22.016071
25,-101.77688,-20.786972,-105.10019,-102.43785,-18.498674,-102.726685,-17.292248,-11.676795,-14.623272,-105.07037
26,-99.66647,-18.363012,-17.758495,-106.38902,-21.162374,-116.078865,-16.21958,-103.32934,-18.903097,-16.93674
27,-102.58911,-105.39392,-100.281044,-102.20602,-24.104076,-21.652052,-104.68477,-97.767715,-101.857315,-104.19243
28,-13.381943,-101.815636,-100.60938,-103.10209,-112.03891,-13.315009,-15.63246,-104.18902,-104.10101,-117.61384
29,-18.175919,-15.107475,-99.03824,-110.66078,-19.005177,-105.256996,-15.572856,-13.354034,-103.31945,-112.271675
30,-18.167826,-18.180098,-102.13433,-101.604515,-24.582802,-16.286058,-105.91521,-99.68144,-112.92172,-21.808327
31,-118.57788,-17.303814,-15.808946,-103.50366,-21.753208,-22.076042,-110.47309,-101.18434,-118.505684,-106.622314
32,-15.949711,-15.29937,-119.37271,-104.44305,-23.318928,-109.3419,-21.284315,-22.528133,-101.080376,-109.125404
33,-101.19824,-18.52743,-100.88613,-103.93153,-21.03483,-22.910456,-113.67719,-103.73937,-99.061844,-103.93927
34,-21.798763,-16.558323,-99.397804,-103.32053,-18.022629,-105.10344,-24.976276,-97.712585,-96.02953,-99.678856
35,-14.710757,-10.714598,-100.50853,-101.26792,-102.854454,-109.517784,-109.80985,-107.511475,-96.02934,-103.23366
36,-98.51867,-98.75997,-101.22339,-112.445175,-22.608614,-13.780639,-23.402018,-13.308064,-107.80205,-102.34398
37,-113.30289,-111.59602,-15.542021,-103.401855,-21.98135,-12.309114,-18.53436,-109.7522,-119.63771,-107.75927
38,-98.87172,-13.821573,-102.218216,-101.72067,-112.82477,-99.13567,-22.167625,-13.598488,-105.03183,-100.45014
39,-99.05443,-108.27826,-102.58384,-14.421103,-13.196809,-14.284459,-111.21434,-14.855738,-99.937836,-17.950964
40,-13.629546,-98.58207,-97.65808,-99.37185,-114.24382,-15.174019,-13.286849,-9.65904,-98.92188,-22.636366
41,-100.43634,-102.054,-102.71491,-102.22953,-99.34126,-110.39772,-11.310406,-11.399925,-11.598058,-17.649485
42,-14.402846,-110.463715,-11.720969,-12.209384,-104.38602,-11.836874,-102.69531,-113.337845,-118.30487,-15.795503
43,-13.5603075,-12.552299,-117.459465,-11.705663,-22.792067,-110.83434,-102.697685,-102.33548,-100.18701,-31.82584
44,-16.269306,-97.377495,-13.917689,-110.52127,-120.71235,-12.325452,-101.38884,-16.795408,-101.86801,-103.27991
45,-106.14361,-97.23414,-101.51422,-100.679276,-111.60073,-96.81119,-98.569534,-14.299997,-16.584318,-15.894385
46,-16.444622,-105.31973,-99.50632,-17.234577,-24.274212,-102.54731,-100.66115,-109.067566,-6.745469,-16.513815
47,-13.361101,-12.279013,-12.731326,-100.41012,-21.439398,-99.53397,-13.913681,-17.70064,-102.2792,-15.037226
48,-18.164982,-18.77378,-100.91373,-100.9661,-26.755657,-102.06838,-98.11983,-99.333336,-98.87299,-99.46123
49,-15.32364,-101.234024,-100.76775,-113.27254,-96.655205,-99.85229,-19.70928,-10.698306,-12.2650385,-18.80486
