,It 0,It 1,It 2,It 3,It 4,It 5,It 6,It 7,It 8,It 9,It 10,It 11,It 12,It 13,It 14,It 15,It 16,It 17,It 18,It 19,It 20,It 21,It 22,It 23,It 24,It 25,It 26,It 27,It 28,It 29,It 30,It 31,It 32,It 33,It 34,It 35,It 36,It 37,It 38,It 39
0,244.4744603,-0.498833387,296.2481959,33.90447493,-134.1379172,251.3397593,-89.91229749,280.6922536,-87.11587442,-62.26009986,264.0600176,128.5315358,265.0897091,280.4028176,-84.3708801,94.74149847,97.98610708,-36.44190979,296.8292809,-80.91861273,-80.61320143,-113.5877806,-79.3015488,-97.0077296,260.9922018,226.3664007,0.150612269,-9.320192691,279.1103215,243.0771138,281.6043902,260.8665806,102.8011303,-67.8202958,-82.96739074,306.450954,-22.33911611,-100.8191439,63.09350488,261.8108688
1,108.0907697,168.3363552,295.6438057,83.64647272,-134.8681356,257.6943027,126.5140815,279.7061733,-106.7099961,-87.97581204,277.4347964,292.2969154,35.91034571,282.7355533,-107.6188572,14.44688956,-86.65967478,-107.9002514,294.3673061,-84.3680865,287.3545485,-117.4639692,-100.301525,-96.31348,258.6687935,-74.58334117,-1.261071168,-43.27592834,55.53950468,-112.5301428,281.6924972,268.3214197,-64.4047005,-96.25824225,29.86859701,304.9574665,29.57687436,-101.7292568,290.6959296,260.1963318
2,-86.94503167,171.2783803,296.0933062,250.2222509,-134.6369201,251.523964,304.587094,280.5947198,-113.8233466,-68.82098953,276.2320413,288.6151676,-46.62935957,281.0627706,-110.5548573,-54.40905378,-104.7003556,-2.797584874,293.4349927,-29.84566946,288.6585594,-75.04952338,-76.3335358,-95.61432605,263.8329471,16.96432673,277.0039925,-33.13658666,-16.60387601,-18.29112106,280.9875905,273.5384716,-80.76083538,-39.69846932,2.875383978,305.1691891,71.73970798,-102.0317161,-76.33018788,260.1230676
3,253.7791318,192.4703021,46.11895624,251.3127218,-134.0797972,254.21088,-90.00903274,279.5058376,-115.1352971,-51.0283635,267.7231303,293.737574,268.3729349,120.9343442,-115.3367373,-73.10439619,-74.35432383,-120.5039089,293.1963282,25.79237124,-44.50496532,-70.77305839,-97.90633043,-54.98287921,51.0566781,217.6303244,154.8631735,-61.80401157,49.91618895,262.6029087,283.4518409,277.9871405,-0.365640324,-65.61450142,14.92675822,306.9664148,182.4117214,-102.8098255,291.0531316,261.0832915
4,245.896455,29.34551094,-32.66279954,249.7559939,-134.4447137,253.8658114,-92.89451449,-73.79393009,-114.3149972,-92.01581713,278.7096447,288.7205616,278.2061895,282.6691905,-114.398567,285.7026254,-47.78556239,-12.96233181,293.1352629,-84.43358404,282.603381,-70.47105771,-100.6702514,-105.0399453,262.4273861,-56.67756302,-32.21862008,-28.97295607,38.01096182,169.1868938,-41.73102613,280.2841679,-42.17477689,-28.77689659,149.9453636,305.3457857,-111.2910228,-92.07474814,104.1493869,257.7681461
5,233.7989879,149.0101113,294.8311363,246.9587157,-134.3479482,-106.8655518,302.639644,279.48788,-115.9822887,-95.26944865,273.8435093,291.5812569,32.46721518,281.3779663,-114.6684363,-68.42423549,66.3863425,189.8607271,296.1039251,-84.94903862,-97.30283263,-70.29083323,-82.64145084,-91.94718837,262.691793,4.489421004,271.5369386,-68.72850815,152.1453135,-120.1970302,282.4982602,259.0966351,23.35746487,-44.88756267,-3.936361332,306.4461673,228.8474709,-96.2233136,288.4439711,258.343606
6,245.7072791,158.8961614,293.3465487,100.7104459,-134.6369296,258.8001447,-73.25563993,280.2859674,-99.19316201,-93.39953585,277.8177179,292.2236809,281.7484196,280.9068283,-115.867909,44.70091722,-111.856765,-123.6622867,293.6026202,-80.94706574,-85.6345453,-70.29876185,-98.34454776,-106.7730068,258.2435477,228.3438807,-3.408315367,-71.57988519,-53.1634834,-63.8684107,281.4293433,-55.70754604,24.69571896,-76.24953576,31.25505071,305.0573673,221.7959475,-97.35019538,-71.76441932,258.1869764
7,241.4745856,146.2786359,51.04771366,250.3711335,-134.6118157,255.5453968,301.461412,280.0767149,-107.7524182,-72.33149173,270.2850648,17.0032974,280.6278227,4.480826945,-115.5230703,-5.540068857,-122.9023565,52.34790485,294.0099654,-52.34761316,-96.91019842,-73.40426961,-53.44531244,-100.6218038,262.6938161,-9.01941771,132.4880911,-20.46126151,-68.09640929,-89.65364442,283.3709019,254.0243703,-110.9525975,-50.56974782,-31.19999666,305.7792708,223.8465681,-74.73272738,288.2355331,259.2216351
8,237.5535133,156.649963,295.3074265,-67.49999078,-134.5416266,259.8308917,304.2083837,280.1895969,-98.82644255,15.33730794,271.8028598,293.0654059,279.1550011,280.5756634,-29.16055366,-76.82558365,66.02724955,196.1666921,294.2614416,-82.47291059,288.1581801,-65.37051658,-59.8320901,-100.8874679,263.4249671,-14.48102984,277.5880486,-44.97356383,-55.89678441,42.91070611,282.1152879,279.2299903,11.12466721,-51.55527763,-58.12836079,308.3988845,199.1670817,-94.3941221,-4.181017394,259.039154
9,243.555552,-20.91098139,137.9294754,50.29724748,-134.422076,254.5940403,-91.06306077,278.5612483,-106.5982888,-93.63489948,275.9460207,289.5189415,282.2188512,282.0131328,-94.95515785,283.9785207,-64.84072556,-123.2561275,294.5950462,-19.34945881,-85.69587156,-73.1904647,-54.59753692,-88.56613434,262.2546517,217.0954342,-22.6514852,-34.45616476,-41.75857473,257.5413431,276.4922806,276.8356898,-110.4556566,-58.34091742,-13.99426753,303.4497946,-32.15398835,-96.69190505,42.60190188,261.7041881
