,It 0,It 1,It 2,It 3,It 4,It 5,It 6,It 7,It 8,It 9,It 10,It 11,It 12,It 13,It 14,It 15,It 16,It 17,It 18,It 19,It 20,It 21,It 22,It 23,It 24,It 25,It 26,It 27,It 28,It 29
0,286.4707821,314.705261,307.0767273,305.6090101,315.5578572,50.55023246,312.3860884,311.6454573,-44.09181185,303.4108907,286.4707821,314.705261,307.0767273,305.6090101,315.5578572,50.55023246,312.3860884,311.6454573,-44.09181185,303.4108907,303.3046256,316.8010214,297.2325263,-51.0223761,313.4662313,127.6309566,304.0977955,19.97970109,315.117782,318.0312667
1,281.7987214,315.5718153,308.2025366,305.5966112,316.1968199,138.1365696,311.2987922,310.7309647,299.9687685,304.9440901,281.7987214,315.5718153,308.2025366,305.5966112,316.1968199,138.1365696,311.2987922,310.7309647,299.9687685,304.9440901,39.32461906,315.9022248,296.5755619,160.6856782,312.8335182,104.7850845,302.6032174,314.2142669,317.1060976,316.9988633
2,288.4097439,316.6062627,309.3896715,306.2664006,314.8831788,16.54020011,310.8787614,311.2633757,299.9308441,305.0384397,288.4097439,316.6062627,309.3896715,306.2664006,314.8831788,16.54020011,310.8787614,311.2633757,299.9308441,305.0384397,303.046436,316.9176015,298.7535108,292.2460202,313.9421889,93.36102138,303.2175462,312.6740112,316.4366956,316.3173679
3,288.0082204,315.3198679,309.2484399,309.0193683,315.9538527,149.2634719,310.6296359,312.0724963,300.2634817,304.4832707,288.0082204,315.3198679,309.2484399,309.0193683,315.9538527,149.2634719,310.6296359,312.0724963,300.2634817,304.4832707,305.5916446,316.1990443,297.2085188,58.41091537,313.5858557,124.9714149,304.5555412,188.7646027,316.2431504,317.6458483
4,287.2684478,314.2263105,307.1456969,307.3720527,315.8637528,24.02770028,311.7124189,310.62002,300.0986103,305.6380325,287.2684478,314.2263105,307.1456969,307.3720527,315.8637528,24.02770028,311.7124189,310.62002,300.0986103,305.6380325,304.5838525,316.9667869,297.5568954,292.8224055,313.903331,12.64266077,302.8476543,313.9209233,316.5631799,317.6680284
5,291.747748,314.5417535,308.1544506,309.3491356,315.195798,99.56876652,311.9855176,311.7908655,300.5016774,303.7813741,291.747748,314.5417535,308.1544506,309.3491356,315.195798,99.56876652,311.9855176,311.7908655,300.5016774,303.7813741,305.0309568,315.328807,296.1429779,65.30696379,313.8890464,-26.47306572,303.3078147,313.3032178,315.3075007,318.3691202
6,290.343853,315.0495306,308.1201679,309.6153256,314.7568172,-27.3448224,311.5923055,311.3336305,302.2274085,302.6415258,290.343853,315.0495306,308.1201679,309.6153256,314.7568172,-27.3448224,311.5923055,311.3336305,302.2274085,302.6415258,305.3526987,314.7273385,298.3306063,160.7957831,313.9050619,98.37203196,304.7124273,314.5202227,316.7980224,317.5297195
7,285.8660063,313.2916613,308.7404454,307.0959542,315.9951525,-6.274016922,312.1193768,310.3428322,300.0470987,304.191853,285.8660063,313.2916613,308.7404454,307.0959542,315.9951525,-6.274016922,312.1193768,310.3428322,300.0470987,304.191853,305.091674,316.5824576,297.4868606,287.0557535,313.6325079,126.3894548,304.8529314,314.5766444,316.4595691,317.405663
8,288.0608348,315.8271317,307.9399836,302.8274782,315.9696441,13.03139097,313.1305965,311.8643042,53.71156571,303.9833956,288.0608348,315.8271317,307.9399836,302.8274782,315.9696441,13.03139097,313.1305965,311.8643042,53.71156571,303.9833956,306.0900011,316.2903804,297.8960058,80.82598374,313.8428616,-26.48546083,304.5868159,-4.891800742,315.877967,317.8202375
9,287.5075456,313.3879486,307.6748027,306.481741,317.2323413,24.65363511,312.4013429,311.8380684,301.5577183,304.6042895,287.5075456,313.3879486,307.6748027,306.481741,317.2323413,24.65363511,312.4013429,311.8380684,301.5577183,304.6042895,303.2862548,315.2681729,296.2114883,292.5500763,313.5140884,123.4638914,303.743098,45.41031169,316.3958629,317.0428242
