,It 0,It 1,It 2,It 3,It 4,It 5,It 6,It 7,It 8,It 9,It 10,It 11,It 12,It 13,It 14,It 15,It 16,It 17,It 18,It 19,It 20,It 21,It 22,It 23,It 24
0,-116.31238,-109.474594,-19.642593,-27.881575,-119.955826,-101.64795,-115.3786,-36.101517,-115.62926,-102.534935,-20.129173,-108.0896,-102.90391,-36.31585,-103.25801,-102.06984,-108.509766,-21.38445,-106.43374,-100.242744,-39.486195,-32.377403,-104.75204,-107.31143,-105.55281
1,-110.68306,-107.210846,-108.80199,-110.096924,-107.82667,-121.8869,-24.54468,-115.00733,-28.94305,-108.003006,-101.37548,-21.428616,-101.03196,-32.704926,-100.18879,-107.24579,-17.074505,-106.71268,-24.849787,-30.138582,-106.70246,-103.501884,-110.219345,-99.106415,-106.16558
2,-38.377594,-118.683586,-27.0897,-105.1031,-115.41285,-137.88486,-116.393974,-22.790123,-38.163742,-117.99242,-101.342026,-113.19215,-114.37866,-101.58967,-16.066677,-21.769855,-124.04773,-113.62695,-26.293495,-107.335434,-107.3342,-26.90044,-27.969866,-22.638424,-30.22157
3,-31.672466,-109.81153,-99.5683,-111.229355,-110.426735,-25.033718,-117.62317,-107.66862,-31.634054,-102.73202,-104.3431,-109.74899,-22.681528,-25.309494,-111.405136,-108.5745,-116.90279,-113.60536,-38.968132,-31.507425,-110.09585,-110.56853,-22.637823,-24.690262,-108.87238
4,-23.22011,-114.07147,-21.21638,-113.19535,-112.51703,-31.146734,-117.43545,-115.18266,-112.91826,-21.442835,-105.18148,-114.42333,-108.5854,-33.794487,-114.63316,-104.12354,-119.013916,-115.404465,-16.540585,-117.69212,-116.82034,-121.1476,-121.27232,-121.363106,-112.01096
5,-118.93852,-119.24252,-116.37301,-116.21185,-116.56033,-115.98213,-119.19576,-107.85016,-111.681366,-34.772537,-103.36465,-119.33041,-111.23621,-121.17526,-116.326836,-115.329254,-116.109116,-111.39792,-116.23875,-113.72631,-111.69475,-112.733925,-26.594473,-113.06524,-113.82331
6,-111.27108,-120.630684,-21.576752,-116.099075,-115.88483,-24.885126,-116.882416,-114.99423,-109.10273,-21.902294,-124.11597,-117.603,-114.49665,-29.0139,-114.74482,-116.91701,-114.701385,-112.08993,-111.090965,-117.17993,-119.75108,-115.97339,-25.493427,-115.159904,-114.56953
7,-116.55518,-113.91562,-33.122837,-125.80778,-115.3516,-120.92421,-119.415115,-113.718765,-110.95719,-24.00916,-25.20362,-120.24096,-116.28175,-116.60256,-120.29,-115.686554,-113.40189,-116.90976,-111.825294,-109.49165,-116.618576,-118.59602,-15.660814,-109.547874,-119.74974
8,-113.50078,-114.68129,-116.30364,-118.20439,-110.4162,-123.66901,-116.043594,-118.44585,-119.922714,-113.93832,-29.509655,-111.73141,-115.66159,-111.71605,-108.45834,-116.447136,-117.366135,-119.531204,-112.52059,-120.49823,-122.49217,-120.63891,-117.39733,-120.248604,-115.79105
9,-113.52462,-112.2508,-131.30963,-112.62245,-108.37049,-111.9265,-112.47739,-121.78002,-108.810814,-121.43698,-120.21517,-110.81903,-113.63472,-121.153435,-113.42917,-117.26765,-112.451645,-120.91783,-115.9364,-130.16414,-109.99763,-123.476036,-116.57013,-108.78699,-116.433235
10,-117.370575,-118.37244,-112.49332,-117.15435,-108.60155,-117.85344,-113.27905,-106.65007,-114.36608,-114.78284,-124.11126,-119.92441,-119.98514,-113.84929,-114.16445,-113.30542,-116.428535,-116.12172,-121.804825,-118.559845,-117.240456,-118.18552,-114.80077,-19.88981,-119.728386
11,-110.545815,-117.0676,-111.54974,-108.43736,-111.71107,-116.60986,-123.18133,-118.39244,-113.955894,-117.588356,-111.43776,-113.58046,-124.25296,-111.616745,-117.12839,-114.28497,-115.89176,-117.452194,-116.90412,-120.97864,-119.33011,-129.92505,-115.20513,-125.14316,-117.91148
12,-115.62983,-120.95836,-119.800674,-115.90907,-111.63667,-117.89016,-100.73744,-117.02165,-109.78364,-113.21758,-117.30311,-22.984552,-113.16458,-106.67095,-117.51731,-115.250175,-117.246956,-32.034813,-115.776436,-113.937584,-107.93989,-119.25363,-23.184246,-110.32318,-114.754616
13,-117.95245,-23.279242,-114.558975,-108.477776,-107.4744,-118.87552,-120.178734,-109.5571,-112.2185,-114.20919,-121.83467,-22.198627,-118.78313,-113.9185,-122.552376,-119.23052,-116.977036,-28.806904,-121.590775,-115.12908,-118.77061,-119.42824,-23.043507,-20.254742,-118.10512
14,-118.57966,-108.48645,-27.892103,-108.68221,-113.123024,-113.72922,-125.41174,-110.42391,-111.03884,-113.136055,-127.34209,-19.745968,-118.239494,-116.95455,-27.813017,-111.05858,-115.82955,-27.24259,-121.907715,-126.78711,-116.78874,-115.64338,-19.681097,-107.24508,-23.710714
15,-111.3441,-105.75433,-122.75479,-19.211035,-114.03331,-118.15277,-24.259638,-111.62166,-106.61507,-115.06034,-117.94208,-113.47206,-124.47578,-115.96209,-24.461445,-112.46707,-116.986084,-112.02657,-112.6978,-106.76942,-22.427328,-120.05737,-21.558514,-22.624496,-25.678984
16,-114.283104,-110.83401,-24.444277,-117.065445,-107.30058,-113.721275,-18.68994,-108.50489,-103.80864,-108.286575,-119.35884,-19.20854,-118.16216,-25.359125,-26.204042,-30.523073,-118.842575,-30.846472,-118.782616,-26.778091,-37.352425,-114.16081,-12.6181755,-20.398462,-29.237068
17,-130.29276,-107.78478,-21.746758,-115.060814,-110.27008,-124.27232,-21.925089,-29.435719,-121.903984,-18.324772,-111.93147,-118.18681,-125.565994,-30.172338,-111.206215,-117.496826,-114.078026,-114.998314,-116.28334,-36.353592,-114.32308,-118.33948,-20.548492,-106.05799,-117.643326
18,-103.88931,-123.11058,-11.338234,-115.988785,-109.62912,-16.589634,-21.415367,-27.961605,-105.697174,-104.17236,-26.35352,-17.588337,-23.396303,-25.84907,-100.80773,-110.07621,-115.64523,-113.27969,-120.126785,-23.326689,-109.84664,-114.360306,-19.787876,-115.704346,-15.578409
19,-116.344574,-111.219894,-113.26023,-107.441086,-109.27208,-26.291903,-105.92818,-108.55175,-37.517315,-120.96763,-109.43534,-16.455194,-20.602892,-117.79837,-21.757221,-104.368225,-113.999695,-107.02309,-112.57712,-15.836396,-101.394516,-115.39019,-18.77007,-112.10171,-108.58062
