,It 0,It 1,It 2,It 3,It 4,It 5,It 6,It 7,It 8,It 9,It 10,It 11,It 12,It 13,It 14,It 15,It 16,It 17,It 18,It 19
0,-25.1585848,-72.83890771,302.2721602,276.6188366,289.7889224,-99.4376225,-114.8103823,276.5561615,-102.7943578,273.4837911,278.5843851,308.034132,283.0292507,292.6873928,-80.33828352,-0.089439756,-96.86089597,283.754236,282.8171903,-50.24755132
1,-45.60989403,-70.5124729,-102.5430358,272.1272782,289.3679338,-105.7225406,-78.74944741,274.8284556,-105.9581373,277.9702763,281.4707855,306.7360595,-127.207682,293.3539644,-180.7007403,-33.20640332,-87.69540696,289.1767144,149.0980042,143.845906
2,-23.24917532,-75.02523252,300.9884806,270.8030347,288.0686249,-85.61105702,-78.08097927,-13.52109297,-106.43267,268.5875182,280.0384902,120.1488861,-127.5993563,294.1466607,-195.2455898,-84.56278014,-93.99585654,289.9862402,288.5916133,282.805056
3,-13.66136046,-58.28397727,301.2637454,273.2312899,290.4078365,-116.9585579,-125.207997,-68.68837595,-108.038209,268.775278,279.696246,-51.9397135,-128.2851056,290.9686386,-83.39558638,-8.565585289,-94.30409192,283.7255882,288.4615826,281.7531554
4,-16.20970043,-71.31559313,300.5963781,272.1567844,289.2975798,-110.534899,-99.28869826,276.2518038,-1.120518977,274.015781,278.8603733,-63.20227863,-124.627598,291.310406,-87.12959412,-52.5830218,-86.52438263,286.3980163,288.6635532,284.5458512
5,-6.897092437,-76.78711026,301.7341139,273.6497463,290.1343248,-89.40014098,-23.25585557,78.3650819,88.71712227,271.206045,280.2814917,129.3183098,-124.3356945,290.0162234,-75.17138781,38.16870519,-95.19384254,288.1124282,62.77385745,-55.45977065
6,-6.350984547,-61.5305687,301.1031563,274.9719762,21.26701525,-111.4922936,-112.4277912,274.2171766,24.41948354,277.1500132,277.4482336,0.767836745,-128.3540981,291.2028161,-189.7520774,-62.61014765,-67.96494768,291.5137694,290.2161541,280.1363474
7,-1.056733337,-62.83029674,300.7383569,274.8577957,289.6703868,-81.80577419,-119.7077079,-18.39617202,-97.04351784,277.3473755,279.715076,308.1302591,-127.0654687,290.9639423,-87.10904532,78.5747653,-39.96806686,282.4131757,288.9725937,287.0489334
8,-23.7506777,-62.25995317,301.0333783,272.532127,290.4823847,-126.2230992,-74.99192217,10.84674215,-45.90731014,273.5374323,280.7177304,309.8260934,285.2960794,291.7438482,-84.87004119,-22.12525283,-85.24475878,285.5014979,86.4028582,285.1757025
9,-105.24888,-74.61902095,301.2875742,273.6549246,291.5942073,-121.8224536,-87.535996,275.7505736,122.7292991,275.3447184,276.428416,308.3749145,-125.220243,291.3267624,-175.8336489,13.80262071,-97.7291903,281.3279901,289.0588735,286.7911499
10,-28.87165609,-74.03140911,298.8529866,269.8968548,-88.16232061,-51.76145831,-72.67102468,263.5316737,40.67672971,275.1022701,279.0376348,305.1947137,-127.3061668,290.6141599,-86.53050315,0.526962436,-90.87061897,51.30233816,-71.37612148,285.986891
11,-2.924185254,-65.79590129,301.861891,275.5748413,289.6119986,-98.93408508,-113.5374256,273.2481737,133.0963637,272.1120802,278.6921212,310.2144545,-126.2840226,287.983965,-181.9358898,-1.359791947,-83.38629512,283.7207189,288.9663126,284.8086679
12,8.006175822,-66.34675566,299.9418682,272.3459397,290.4551427,-96.83964223,-89.91326261,271.4384843,297.9778843,276.9783621,280.5151862,308.9232792,-126.8607829,294.4767927,-192.5403722,93.78717945,123.5917269,289.127695,288.4674006,285.1699818
13,-64.34875676,-78.96201052,299.9560718,271.4001577,288.9774383,-62.61868899,-34.67951463,-94.30770694,-108.3397506,276.5657401,277.8516731,309.8580013,-127.8683886,290.494067,-84.7437377,-50.49640257,-88.4059475,-6.428252665,288.826751,281.5036413
14,0.281306682,-69.17360649,302.3982879,273.7692992,289.8525786,-120.7019417,-122.2699191,33.17937655,-104.4348525,274.3683337,281.0905957,91.37977604,102.1067268,292.1149746,-88.1573649,-4.988756888,-96.28516779,282.7597501,290.0382729,287.1599129
15,-29.11098138,-61.65955933,301.3066422,271.4133842,292.0740236,-102.2552705,-12.60918182,105.7825821,12.51205336,270.2715599,279.0007966,309.1004275,-126.4585357,294.5788031,-82.86972339,143.8651441,-85.35175703,284.9351572,-71.83591838,288.7904472
16,-28.20472833,-76.87756111,301.2906554,274.4386698,289.7516168,-108.457668,-104.2536739,120.1049688,-52.24210106,265.1708745,279.8995551,45.57371939,-126.7621812,289.3700171,-193.7109695,-54.55880815,-85.1675262,165.9049383,290.8894938,285.3751834
17,-5.730243142,-58.11608361,301.2642361,273.961153,290.1829889,-102.4632837,-23.1704982,269.8588782,-108.1268556,273.0891395,278.973013,309.2006159,-129.7654378,292.9943164,-187.8874472,288.9098825,-93.25930412,169.2197199,291.4837185,-71.72402039
18,-52.85901338,-63.49527072,302.0260056,273.3909706,290.1481259,-56.64451846,-62.08502366,271.3078473,-104.8331886,264.7254109,277.7570741,98.49209738,-125.5386936,293.8400617,-91.44816188,6.975882814,-81.45617895,286.9679274,176.1902808,284.8124103
19,-22.49886021,-75.63589959,301.9328282,275.3771558,291.3438191,-49.54281063,-110.6355914,30.39508835,119.4373193,276.812104,278.3904242,54.3992935,-130.3418838,292.5084533,-180.3047271,-44.00389707,-99.28933518,48.26210866,289.4000145,286.2277
20,-2.325146157,-61.81140813,302.331303,272.2472784,291.4112948,-80.86411295,-91.11533411,42.73187415,71.04714682,269.2643423,280.6065615,-17.23042921,-127.9188029,291.8916845,-77.391298,47.98991114,-97.88245782,284.5585471,290.0300152,288.3424155
