,It 0,It 1,It 2,It 3,It 4,It 5,It 6,It 7,It 8,It 9,It 10,It 11,It 12,It 13,It 14,It 15,It 16,It 17,It 18,It 19,It 20,It 21,It 22,It 23,It 24,It 25,It 26,It 27,It 28,It 29,It 30,It 31,It 32,It 33,It 34,It 35,It 36,It 37,It 38,It 39
0,-115.13205,-31.272713,-108.138115,-44.660305,-36.522568,-107.31768,-113.99777,-115.17621,-115.32264,-109.16795,-114.74356,-103.72415,-36.81824,-119.94478,-28.891619,-105.6572,-108.82744,-116.41507,-110.88231,-120.55919,-108.813896,-16.620914,-100.296906,-30.6675,-115.4911,-103.13544,-115.17107,-29.65934,-31.01971,-20.231049,-32.052162,-100.439316,-112.79313,-116.30857,-112.33801,-119.85271,-100.42138,-118.72592,-108.74096,-121.413765
1,-115.45138,-110.30202,-115.29104,-117.51624,-32.003025,-112.59254,-107.46502,-116.436554,-118.937096,-25.655384,-112.4044,-116.74757,-44.222507,-112.53091,-113.851814,-113.61011,-115.734184,-115.60363,-121.55847,-102.570465,-125.508644,-27.058739,-20.7474,-111.18738,-121.061264,-110.34728,-27.577803,-46.710518,-116.245636,-23.379332,-111.41528,-105.84805,-109.32929,-113.995514,-126.974075,-116.829475,-109.53728,-113.624435,-119.28139,-101.7952
2,-108.527405,-116.394226,-102.484695,-115.63043,-112.977905,-115.82604,-121.563065,-116.86878,-33.342777,-124.94153,-110.68367,-116.83637,-107.188545,-110.29105,-120.21091,-123.74766,-119.60747,-115.08456,-117.71201,-33.2757,-116.85872,-115.27967,-113.63204,-119.07695,-115.02156,-114.45433,-110.00533,-111.23164,-37.00646,-120.52472,-120.30506,-31.599026,-110.26973,-121.6994,-117.27604,-117.40422,-31.713608,-118.064896,-117.878716,-43.698067
3,-112.850845,-122.7648,-104.65857,-110.720055,-116.43382,-119.90256,-113.61611,-117.1889,-32.27198,-117.383194,-115.388275,-118.6202,-109.413956,-123.598755,-117.12217,-117.58097,-106.60344,-114.599785,-110.33869,-24.39629,-115.10069,-114.86449,-115.58033,-110.83373,-112.760925,-121.3296,-117.81229,-115.28866,-129.20581,-117.74113,-111.807,-124.00447,-113.494194,-118.29735,-114.69414,-26.036554,-37.666885,-113.500565,-117.689384,-37.62158
4,-113.3391,-119.409294,-28.918732,-118.83959,-120.42049,-113.49492,-118.88679,-107.13508,-24.947838,-120.665276,-114.75387,-117.270355,-111.436386,-116.89961,-116.36614,-124.88428,-114.44414,-113.39525,-115.76312,-30.558569,-112.67254,-117.27085,-115.08274,-118.11265,-122.16692,-117.83711,-120.89747,-120.10898,-34.583458,-27.100021,-110.960724,-117.91163,-121.70278,-114.866585,-111.75788,-22.515198,-127.68445,-111.074356,-117.26962,-116.477036
5,-115.03743,-123.84596,-36.784702,-116.65944,-116.22697,-115.268105,-117.48799,-21.055826,-112.13537,-125.48756,-114.60506,-112.69623,-117.78438,-113.68305,-113.409744,-117.636116,-112.552574,-110.12957,-118.539505,-119.490265,-116.25501,-113.96622,-118.69904,-115.39025,-38.783985,-115.84006,-116.96882,-114.9072,-115.644905,-98.831566,-117.176895,-114.87358,-119.44657,-115.42514,-114.46054,-23.537437,-119.22349,-111.88034,-115.04305,-111.27859
6,-116.766495,-113.139626,-29.134792,-112.712395,-28.893742,-116.15492,-118.96357,-33.633625,-112.697334,-128.54796,-115.423805,-118.024796,-120.171906,-108.89044,-116.68373,-114.47482,-104.88178,-114.81777,-115.26754,-111.152954,-114.96376,-119.01448,-117.25619,-115.87957,-31.510315,-113.00659,-31.342579,-111.61098,-116.30653,-129.89783,-119.24208,-119.91237,-113.69114,-126.35208,-120.49959,-33.719364,-116.00632,-51.062572,-113.45506,-106.477425
7,-35.608406,-109.60503,-24.540451,-108.839005,-24.617382,-118.12362,-119.048615,-22.516607,-105.95989,-108.8904,-26.619232,-118.50638,-120.68101,-107.131,-123.723404,-115.675644,-28.71251,-115.21244,-110.86584,-123.42438,-111.85862,-118.60608,-109.41489,-115.95894,-37.817043,-117.96305,-114.46217,-110.90747,-32.276207,-102.312126,-111.26121,-121.266174,-112.836945,-36.873165,-118.67026,-107.60829,-116.448875,-109.632675,-118.52982,-116.56477
8,-31.549269,-107.301796,-10.544989,-43.219837,-26.72395,-115.16854,-118.21347,-24.276743,-120.70692,-115.927475,-30.185295,-115.15723,-123.157845,-37.36947,-30.848972,-115.40206,-102.57788,-115.74159,-111.03248,-25.135912,-25.21673,-116.609276,-119.392296,-125.53085,-31.757313,-116.71182,-33.19744,-110.86365,-24.006649,-102.10846,-115.96748,-125.47504,-113.709015,-116.701035,-115.1701,-24.336628,-115.681175,-110.79653,-115.39798,-122.74361
9,-115.33123,-115.24076,-26.612019,-40.68521,-31.115677,-115.768005,-120.251305,-124.12442,-32.46208,-25.827726,-35.295822,-29.732277,-115.36779,-106.3504,-106.26814,-110.394455,-115.48956,-117.36415,-31.615156,-18.030151,-16.403778,-120.78685,-120.57704,-115.83707,-31.902428,-107.29019,-106.25424,-17.895433,-111.29308,-31.022842,-112.61955,-37.16862,-114.86625,-21.31739,-113.119995,-27.938221,-115.10056,-107.4771,-114.37244,-114.22202
