,It 0,It 1,It 2,It 3,It 4,It 5,It 6,It 7,It 8,It 9,It 10,It 11,It 12,It 13,It 14,It 15,It 16,It 17,It 18,It 19,It 20,It 21,It 22,It 23,It 24,It 25,It 26,It 27,It 28,It 29,It 30,It 31,It 32,It 33,It 34,It 35,It 36,It 37,It 38,It 39
0,295.9570228,269.6344535,278.2207577,124.2487942,229.9257322,242.255762,123.9199262,245.6528125,46.47241924,298.2490628,18.89014982,277.3744831,275.7696719,237.0067267,236.879559,260.0262714,16.82462377,283.8156121,291.7098471,294.4755649,282.5443872,277.7522932,278.4916802,262.6670076,285.0795486,282.7938984,299.4299066,300.9236118,-60.92934149,282.2114879,253.4682804,276.9969403,-75.60253073,293.4298942,146.1561966,264.1349181,261.3058339,122.3585065,-58.44367992,290.1974101
1,297.7556209,266.8109422,280.5766635,125.057123,232.8947162,248.1395801,135.9660958,123.1520695,-1.996862979,298.8845656,-8.941256417,275.2744978,272.8729924,19.72732222,232.832463,254.267769,-14.93687136,285.1366538,291.5543884,293.9416372,285.8272869,278.4309832,121.5357373,258.2164607,281.8555078,-65.62262233,300.9324589,134.6171829,-101.5402009,281.8655499,256.082707,280.5630842,46.72618158,294.0168864,276.3845604,263.1877772,-47.85956673,136.3975494,-14.23775617,294.8028345
2,-92.44758989,264.0170092,274.7044907,138.7784381,230.8316013,245.5168893,-45.62391211,-38.84716599,2.386241271,295.667899,41.97494419,277.0039645,272.8661845,74.54665997,50.27480222,-103.338293,-62.97690188,285.6312849,292.3384639,291.425349,282.8927199,278.5981303,280.7632177,263.2234197,284.766144,35.56883806,299.6004133,62.40407423,-98.7322788,120.2057184,261.4306633,274.2177595,216.8070849,294.8697927,275.5949691,270.0912958,260.8829486,113.6288866,4.241031736,293.8144762
3,296.7506142,266.9375773,279.6875615,125.0633394,230.0393878,245.8490034,138.6811627,244.881859,36.69973171,298.7194761,85.35681218,274.7595996,272.6837564,231.3671958,117.3585038,253.0494875,-41.38580531,282.534796,292.1042649,292.1292175,282.8840778,275.1342491,283.1856331,262.140183,118.8751025,51.20434521,299.2613028,-22.17793691,102.5671845,283.0247671,256.2244993,279.2937877,47.9146651,294.2158208,-18.50965859,267.3549157,260.8495657,109.7290053,-65.43777013,294.896925
4,296.0519885,267.8213154,279.9229713,110.3542619,230.5954691,14.78885799,-94.75638207,123.8230252,100.6300495,298.9693583,-23.89456003,282.2440485,273.7006328,234.9286451,238.7853831,-93.82341986,-28.63867726,284.3967036,286.6865195,292.9857126,284.7205085,273.817076,282.0099457,257.2955084,281.9326616,-71.98737672,298.3687981,111.136991,283.2450544,280.3389248,253.1518774,277.4149874,230.3363915,294.2039424,273.4435382,263.8995245,266.3592899,105.4335113,110.7229937,291.8684998
5,78.9136847,28.86872558,125.7452578,135.5750799,234.3654173,245.18405,-65.58864658,253.9261562,112.3734255,298.3266927,-12.75654038,274.2914663,272.6943244,25.21195591,233.250811,258.4463053,236.1765684,285.9110888,291.6136999,294.3517761,282.2693638,278.9456502,-51.06304303,257.9476292,282.5540094,73.17249627,299.3377101,301.5862314,288.5658292,280.8487873,243.8751598,139.1582718,212.4437775,293.6751906,-21.85821168,262.7946928,262.6464923,116.4924336,73.90713129,291.1832998
6,298.2784518,-55.39255625,-2.146567867,-41.65432356,231.8194295,241.8157351,-47.98562491,252.8453603,146.5991599,298.7092332,-9.863758061,274.4994301,269.4709633,238.5449416,135.5823558,255.1441938,-86.62025219,286.9704695,290.5220901,292.821345,282.0887595,277.2619416,279.0282995,263.8828177,283.0493447,114.9011089,299.5087316,302.241673,176.264019,282.5877705,255.7751447,278.297949,222.9732994,292.2454973,279.5532787,265.7097763,266.5867599,124.6828239,284.0388466,294.0306673
7,47.75511404,272.880311,27.80459924,-104.4986118,228.4081243,249.6390566,-73.13373097,81.03779929,276.3332771,298.6151018,-8.175736083,280.4027571,-19.12526563,17.99947657,58.20987841,-104.5136223,46.22371785,284.820987,289.2838146,293.8156254,281.6070949,277.1620747,-72.52914782,266.0444779,283.5660335,283.6633009,299.4316095,59.15043523,-110.6462818,276.8385802,13.82955594,275.6816768,212.038928,293.4549148,-50.72798887,91.95626548,262.1709867,115.9277524,277.1377705,294.3076401
8,296.1541499,145.1554455,-49.36864617,116.7190938,229.4504256,245.7538149,-80.28190926,248.455527,78.20868646,299.0990528,49.74132393,273.2005554,272.6733744,209.0597596,234.6508008,104.1346537,53.049746,282.8254415,292.2380359,290.2200697,285.918603,278.3432914,281.6640659,260.0825818,281.5864549,-45.04341134,300.3016039,185.8547537,-95.907085,282.9040831,254.9875348,279.6158958,220.6432469,293.5414684,88.05845532,264.2386651,-57.06200112,118.0621525,2.530540967,290.1351327
9,299.8136106,272.7816014,272.2812194,133.887357,71.84536342,-31.01889252,-40.23191612,70.86626503,74.68686387,298.2994196,44.04416498,274.2590705,272.2668903,242.409324,234.6818862,-102.5993544,120.4854353,285.4244573,292.0524508,293.2333423,283.2740175,278.9000241,278.7863542,264.5952383,280.4631021,85.52321582,300.5967231,302.7611826,-110.8421538,277.8627931,-34.32004831,276.9654934,234.399159,294.4823415,-39.69444439,266.2120835,-60.42093546,123.7644534,174.2236934,294.7290128
