,It 0,It 1,It 2,It 3,It 4
0,-99.7209,-113.561935,-112.57,-102.921036,-109.459465
1,-118.3427,-121.22608,-117.8546,-24.812693,-105.90507
2,-122.58864,-113.51386,-115.07724,-118.87629,-110.08731
3,-114.96623,-116.882805,-117.410995,-118.35799,-28.823042
4,-21.744184,-116.151794,-118.52092,-115.99324,-107.2238
5,-31.075136,-19.04216,-117.3755,-118.98234,-41.654636
6,-113.64535,-107.02604,-35.25274,-109.96407,-41.10002
7,-122.76987,-31.511013,-127.34346,-115.09776,-46.304665
8,-119.73901,-28.965029,-25.501808,-118.06777,-43.324905
9,-115.00412,-20.769135,-26.100407,-113.97014,-116.04094
10,-110.6342,-107.35782,-16.173428,-130.01447,-123.68253
11,-119.940796,-26.514463,-25.065987,-119.369225,-119.76743
12,-114.010124,-22.749996,-40.526783,-120.72201,-118.14582
13,-116.336006,-24.571262,-18.393976,-108.66586,-135.22186
14,-25.722301,-26.175095,-17.19928,-120.16368,-23.705988
15,-31.441416,-104.60992,-16.019182,-118.578354,-33.06602
16,-25.146587,-106.081696,-17.1204,-115.25587,-31.09394
17,-24.807697,-19.48813,-12.018311,-110.00893,-41.326214
18,-109.95802,-26.050371,-16.260906,-31.864292,-40.567455
19,-21.03941,-115.82027,-21.051826,-24.444254,-36.275013
20,-109.26849,-23.760666,-19.403961,-25.937893,-19.235926
21,-108.074005,-22.714886,-19.816557,-30.313446,-111.719696
22,-27.692347,-20.542723,-20.908022,-107.7207,-106.840385
23,-110.852875,-24.206186,-99.50405,-108.36001,-30.867203
24,-110.30244,-22.535269,-100.5119,-23.842712,-106.57936
25,-22.963503,-104.794815,-29.815193,-107.94415,-33.158955
26,-29.017542,-105.87476,-104.31089,-14.916676,-34.961704
27,-31.532425,-101.78619,-10.403922,-17.720814,-114.1726
28,-31.157621,-104.07629,-114.52732,-19.581884,-117.98351
29,-108.26156,-102.19135,-18.357437,-109.35904,-118.645355
30,-104.35827,-116.91118,-24.493895,-117.205215,-35.254498
31,-118.48961,-104.65881,-104.00411,-117.73256,-106.092026
32,-106.01457,-99.729095,-26.211899,-27.212236,-27.087273
33,-108.567955,-102.19799,-20.730984,-25.087843,-109.84851
34,-25.82053,-18.722063,-18.104767,-23.570183,-24.965641
35,-114.198,-105.17653,-17.246952,-113.6743,-110.53053
36,-31.32224,-104.9769,-18.123825,-111.42838,-107.87642
37,-103.58622,-28.199455,-105.789925,-106.701096,-20.019669
38,-105.88903,-106.573524,-19.485233,-109.74391,-107.536514
39,-24.501444,-17.65603,-114.53709,-102.8937,-37.58481
40,-28.659378,-105.79705,-16.593779,-116.126434,-105.81316
41,-32.010002,-106.54761,-16.268621,-21.700045,-108.18425
42,-29.093563,-19.603361,-20.328661,-19.042934,-102.49239
43,-28.206177,-103.1192,-17.756561,-22.033745,-112.050255
44,-23.595287,-24.5019,-120.025734,-17.404356,-106.53043
45,-22.465406,-15.912341,-16.420237,-24.846169,-21.323015
46,-24.165075,-105.571495,-19.43485,-108.261444,-108.28097
47,-32.455967,-20.128315,-26.319407,-107.842964,-98.79718
48,-108.69621,-19.60407,-21.111385,-103.0737,-17.717817
49,-29.639915,-105.23364,-22.28379,-109.06362,-105.63862
50,-29.252993,-16.252056,-19.401445,-105.74356,-27.682602
51,-103.133545,-106.118904,-102.68634,-103.920235,-105.150055
52,-26.78606,-16.2345,-116.11116,-32.905125,-103.05631
53,-108.877686,-18.753044,-112.7469,-106.397125,-30.42122
54,-33.836304,-103.89915,-107.79065,-21.324219,-104.0708
55,-39.73216,-103.13434,-26.438738,-101.853905,-22.993471
56,-107.713356,-108.60317,-19.12558,-19.966965,-106.98438
57,-29.326353,-13.227227,-17.077026,-22.799856,-20.952559
58,-108.56495,-19.719568,-101.47559,-26.533693,-102.575005
59,-30.322897,-20.76584,-17.231686,-102.527374,-115.203156
60,-24.49393,-110.008835,-110.35256,-24.32352,-102.041916
61,-23.770401,-14.2588825,-15.44053,-18.043398,-103.85835
62,-28.389444,-15.590473,-24.949165,-105.59573,-28.828093
63,-37.6776,-3.7704422,-19.852842,-104.36086,-30.147358
64,-29.58674,-102.10654,-20.983252,-103.80404,-23.766073
65,-24.853973,-16.46288,-104.72675,-13.341036,-27.676342
66,-27.124073,-18.170643,-19.508986,-25.497759,-26.274588
67,-109.51795,-17.134575,-20.593336,-104.331985,-34.42885
68,-26.500637,-7.6158814,-23.329918,-99.7679,-107.33822
69,-113.93436,-117.06381,-18.254112,-115.40389,-101.72733
70,-103.25959,-24.718987,-15.726407,-116.10131,-110.47835
71,-103.22829,-114.49871,-111.85674,-102.13459,-37.174145
72,-35.410164,-23.331036,-109.22603,-28.682096,-27.778275
73,-26.778296,-17.016018,-16.421026,-22.03277,-102.113
74,-26.317152,-106.17627,-13.748125,-104.98256,-20.248713
75,-26.269596,-11.553911,-16.15827,-102.03743,-102.24959
76,-109.1637,-14.894863,-21.722878,-107.58242,-105.10158
77,-105.26481,-18.377375,-27.27449,-102.65731,-112.866776
78,-27.0218,-19.603945,-112.9159,-26.01256,-25.391762
79,-28.913412,-14.744181,-111.678246,-107.24023,-107.35021
80,-18.18396,-16.220076,-23.4212,-17.955427,-21.004751
81,-33.087936,-20.764774,-14.93121,-119.8303,-26.886456
82,-31.163465,-111.85357,-23.689621,-16.633545,-23.085983
83,-26.177732,-22.524755,-16.68259,-106.22018,-30.573006
84,-27.11752,-15.027913,-107.38898,-122.110405,-109.30907
85,-20.82764,-113.92892,-101.46473,-21.99007,-25.919294
86,-106.3759,-119.99601,-16.255753,-104.13451,-130.437
87,-33.8983,-107.52861,-20.637602,-110.50299,-29.86591
88,-32.732624,-18.122963,-109.96037,-119.09577,-37.1823
89,-22.405659,-109.35961,-103.290344,-101.4271,-100.69352
90,-28.927488,-15.038975,-108.98801,-107.68456,-100.840164
91,-29.976254,-22.521004,-28.620583,-110.57027,-110.259125
92,-113.5004,-15.495715,-116.88814,-20.993681,-98.46438
93,-112.25907,-101.38026,-98.9604,-28.138197,-102.49416
94,-28.843567,-102.6893,-110.111145,-110.81282,-106.198845
95,-24.741924,-20.287703,-18.935139,-106.16414,-113.449875
96,-21.517937,-17.29756,-22.01506,-19.364353,-32.59786
97,-22.124462,-14.735178,-20.446083,-22.602745,-110.47741
98,-112.24299,-29.675932,-27.913864,-29.339779,-23.607975
99,-114.10203,-16.303205,-109.98624,-15.937161,-40.229992
100,-109.25822,-102.703865,-101.895836,-21.105597,-106.79409
101,-31.58814,-14.562504,-28.917702,-16.917845,-32.76699
102,-19.257011,-15.746738,-18.774673,-21.203508,-33.74105
103,-20.205166,-13.990529,-25.519812,-109.70734,-26.097528
104,-15.988741,-109.91382,-106.68108,-111.07803,-104.320175
105,-20.281654,-24.68075,-109.68129,-102.42832,-102.31644
106,-28.30635,-20.944918,-113.63084,-17.365242,-102.78498
107,-101.60876,-100.17544,-23.722973,-29.856247,-103.79688
108,-28.349575,-13.690775,-26.520933,-31.917374,-102.137505
109,-19.136814,-11.2309675,-16.727795,-17.875303,-28.089159
110,-19.324766,-14.958071,-112.33514,-25.674656,-36.2919
111,-27.613626,-109.50461,-24.156399,-110.40047,-113.77624
112,-29.38991,-14.517359,-21.916916,-105.65236,-109.15508
113,-28.797007,-24.505018,-16.867594,-115.96563,-36.183456
114,-21.125816,-16.298477,-106.86985,-106.23549,-35.51352
115,-21.725311,-21.616228,-107.466736,-19.951714,-103.735176
116,-107.650826,-116.950745,-14.169077,-103.36082,-108.662155
117,-107.209984,-19.065672,-100.49289,-111.42353,-19.988068
118,-21.168964,-102.22699,-18.564499,-111.107155,-30.8634
119,-21.791618,-17.138826,-20.240854,-12.812221,-37.176987
120,-26.478905,-14.292521,-105.0813,-17.402664,-103.572525
121,-102.33011,-16.33274,-22.754576,-33.262905,-102.05299
122,-18.869963,-17.074326,-15.605906,-108.183624,-28.90867
123,-18.217339,-15.578774,-114.18703,-112.60892,-33.093987
124,-118.29251,-16.11531,-98.06577,-12.527268,-34.584076
125,-19.3879,-15.205881,-13.8915,-23.959776,-107.337006
126,-18.102316,-98.82883,-24.86704,-28.36281,-30.099735
127,-98.43251,-99.63576,-17.711624,-20.972845,-35.06884
128,-107.877365,-13.098414,-22.90022,-21.8449,-104.67121
129,-106.07537,-23.862207,-18.72527,-15.418246,-103.74327
130,-23.45494,-97.06941,-16.138409,-106.94344,-29.8368
131,-20.235874,-99.30995,-20.81348,-26.85507,-25.955889
132,-20.182032,-17.551289,-101.26821,-24.329773,-105.761055
133,-107.6587,-104.78495,-99.078575,-100.52785,-105.774956
134,-30.0491,-23.537304,-17.840853,-100.05832,-100.620445
135,-19.846798,-15.608338,-98.49629,-28.113014,-113.10576
136,-22.008722,-104.58572,-23.660975,-23.009022,-29.812351
137,-21.43772,-17.550323,-21.329414,-21.62188,-35.30977
138,-21.420866,-24.80452,-20.652887,-18.344532,-31.700113
139,-22.364662,-99.98279,-17.192724,-23.244225,-100.566605
140,-19.551785,-101.346054,-16.656063,-101.87998,-24.937199
141,-21.513662,-100.65653,-22.342495,-27.06418,-28.81152
142,-29.362404,-22.220613,-17.709396,-109.35486,-28.147936
143,-18.891478,-101.359985,-16.331047,-106.66406,-27.487844
144,-24.876867,-15.82725,-17.967398,-110.96677,-104.36747
145,-21.149115,-14.682906,-18.171612,-26.56294,-28.837416
146,-20.853127,-20.550547,-18.147314,-101.79151,-29.872559
147,-21.969278,-19.829979,-100.09104,-20.73876,-30.324226
148,-29.026983,-15.161938,-17.050758,-101.27976,-27.712727
149,-22.118065,-18.128927,-18.296394,-21.179365,-31.875511
150,-25.188765,-100.52748,-109.30478,-101.85719,-111.209625
151,-25.919266,-25.347485,-12.9097805,-102.970276,-26.523731
152,-18.084272,-100.78115,-15.026036,-17.505932,-105.921486
153,-30.940193,-101.389885,-16.13416,-18.155888,-24.687107
154,-21.314484,-23.469507,-104.5668,-29.355993,-111.7836
155,-115.60971,-19.77394,-111.3501,-19.469948,-23.675413
156,-21.979624,-13.270785,-103.12356,-101.85771,-28.196398
157,-21.776577,-22.209217,-17.359781,-101.442276,-23.826078
158,-21.552172,-110.56309,-105.91992,-22.39099,-106.54862
159,-24.213778,-99.59614,-12.643752,-99.21858,-110.16252
160,-21.362158,-102.714874,-19.22638,-100.29984,-25.06027
161,-25.014269,-101.71361,-29.176674,-22.932606,-24.368208
162,-22.119427,-101.8022,-24.83866,-22.53801,-105.8348
163,-20.507381,-101.8419,-32.61711,-18.310402,-104.28007
164,-115.55683,-21.255705,-24.056416,-103.090355,-30.317774
165,-22.360226,-13.657806,-103.15612,-106.34495,-31.410364
166,-107.438866,-24.237638,-101.47352,-36.631123,-102.34192
167,-112.37011,-21.803764,-30.335974,-105.36153,-104.8043
168,-15.974358,-99.45356,-15.036915,-24.738829,-31.92216
169,-25.691053,-109.05737,-30.337523,-103.63586,-31.325644
170,-107.56125,-100.21093,-28.178967,-99.38162,-107.97197
171,-26.042456,-101.10345,-22.79324,-100.15835,-103.407524
172,-106.425575,-18.418552,-27.296255,-24.528063,-103.55293
173,-19.090536,-15.833257,-26.529097,-29.693432,-99.24011
174,-118.91408,-102.48633,-28.212193,-24.379492,-32.078194
175,-15.4832735,-105.65737,-25.386314,-112.49695,-33.165943
176,-17.87725,-102.0438,-24.59037,-100.2595,-107.059235
177,-19.793516,-19.018513,-21.565569,-97.6894,-102.31762
178,-21.32663,-20.715723,-22.195475,-105.14462,-113.86467
179,-19.412676,-27.520958,-34.824715,-34.085735,-102.8885
180,-27.576296,-14.530963,-15.157636,-28.729355,-101.75843
181,-117.41241,-101.04215,-22.148636,-25.110971,-30.827578
182,-22.255735,-13.091546,-31.179186,-24.99977,-27.086657
183,-23.481043,-19.711298,-24.551392,-22.670479,-23.414019
184,-17.671553,-100.49582,-24.124014,-23.287895,-107.45747
185,-17.86543,-107.67829,-26.333542,-97.741005,-103.65905
186,-14.316323,-100.243484,-31.063791,-34.847122,-106.28323
187,-16.648619,-104.40665,-22.399433,-101.17819,-28.861433
188,-15.664112,-112.68384,-24.045284,-100.50179,-28.187756
189,-19.299871,-113.168205,-105.875984,-107.78363,-27.237347
190,-25.04361,-34.586113,-21.645016,-14.483563,-33.706787
191,-28.703299,-31.559624,-25.438303,-100.29255,-101.74805
192,-22.954252,-106.81906,-27.052578,-19.584118,-101.86005
193,-24.307743,-108.91791,-23.532606,-101.52678,-29.125973
194,-20.709333,-22.596643,-22.245852,-101.04728,-30.693705
195,-108.17311,-17.793806,-17.664991,-98.21145,-26.571594
196,-20.653526,-107.31003,-29.539232,-21.994658,-103.6895
197,-15.528298,-108.226974,-21.14797,-15.812416,-100.580605
198,-14.679729,-112.36364,-25.682404,-101.0618,-21.813967
199,-21.792673,-104.7899,-27.959929,-14.223004,-105.6084
200,-20.029913,-102.18905,-20.948574,-32.26027,-103.19051
201,-17.040956,-106.276054,-23.565077,-123.16814,-17.259367
202,-14.517344,-105.14461,-25.320053,-105.10106,-104.82798
203,-13.21365,-27.6084,-26.5297,-116.77264,-23.73379
204,-15.063029,-102.95534,-17.219673,-98.36019,-106.74494
205,-15.469865,-33.0696,-25.706211,-103.03974,-10.627332
206,-20.522682,-113.76984,-25.41126,-100.9015,-101.97851
207,-16.268692,-101.65364,-107.69756,-19.286293,-32.520134
208,-13.986462,-103.674545,-22.062359,-30.325056,-106.224205
209,-12.639498,-102.0016,-26.372355,-23.993153,-20.997461
210,-19.664024,-16.60866,-17.43651,-93.09249,-21.557451
211,-16.840788,-106.07215,-19.400118,-22.163155,-103.95303
212,-17.677706,-103.052734,-22.63207,-111.30258,-127.13755
213,-14.583198,-105.461426,-14.737877,-114.41312,-104.660774
214,-9.725545,-15.624283,-23.932352,-24.429276,-103.144615
215,-21.615494,-102.996864,-16.370779,-99.34782,-27.0197
216,-16.91328,-104.64196,-17.889753,-99.360565,-20.230515
217,-19.28486,-105.4956,-27.056114,-29.595274,-104.261086
218,-16.63791,-103.23029,-20.980194,-99.9627,-100.02656
219,-14.920324,-102.23653,-21.605978,-103.78387,-101.90123
220,-13.982146,-9.946199,-114.58432,-20.897894,-104.97472
221,-16.088459,-107.428116,-106.067696,-18.191206,-17.783129
222,-16.612173,-105.91909,-18.868242,-112.65837,-28.216423
