,It 0,It 1,It 2,It 3,It 4
0,-26.019512,-107.50063,-123.86041,-117.72673,-125.490746
1,-117.28908,-121.32468,-124.88533,-117.264275,-118.36732
2,-117.20574,-115.79084,-34.761456,-114.07537,-111.504616
3,-125.83437,-108.1024,-120.99909,-113.55788,-113.535225
4,-34.032078,-119.68029,-35.784763,-118.333824,-108.435524
5,-31.338472,-119.32942,-26.16282,-115.75793,-118.616554
6,-34.07387,-117.9722,-26.240696,-115.17462,-122.068504
7,-30.26454,-121.32565,-29.886896,-114.926254,-114.62583
8,-29.807802,-117.87671,-29.683813,-113.16854,-28.242626
9,-112.5048,-131.99759,-27.246094,-106.92476,-20.797482
10,-108.71109,-125.78985,-33.491146,-120.30478,-22.704182
11,-111.85331,-116.93253,-121.9069,-114.80643,-28.417429
12,-33.514362,-120.45589,-26.386417,-112.110695,-120.98121
13,-119.31235,-121.03512,-23.904634,-111.85415,-26.56557
14,-106.47213,-109.25162,-30.537153,-33.963383,-30.187658
15,-108.756996,-121.61412,-20.877426,-30.372612,-29.209272
16,-101.82708,-112.99155,-30.948263,-32.00019,-119.024315
17,-28.230389,-116.0365,-30.997864,-105.825226,-109.68707
18,-98.96315,-107.91936,-113.34743,-117.40078,-25.52514
19,-104.27923,-38.841457,-33.51694,-20.339085,-25.045729
20,-16.662638,-32.506863,-108.5153,-18.359802,-109.20604
21,-102.004486,-50.8904,-29.24048,-115.17345,-116.86156
22,-106.331696,-113.922005,-23.262253,-16.867832,-26.767204
23,-113.16201,-19.073772,-122.80687,-121.87505,-101.665215
24,-108.72106,-103.432274,-24.953007,-112.371666,-27.374805
25,-103.621704,-106.749344,-114.12809,-20.278713,-22.220379
26,-101.261086,-27.310846,-104.921555,-116.297905,-104.68727
27,-103.69267,-23.544998,-4.704872,-25.75881,-33.89517
28,-103.66738,-31.171162,-109.03833,-15.634997,-20.913118
29,-109.85713,-117.63602,-105.0036,-31.41034,-20.0593
30,-108.63749,-116.987755,-98.10506,-112.15771,-21.374825
31,-126.03357,-117.11214,-119.13724,-17.797836,-104.53876
32,-116.34486,-103.013214,-113.19427,-18.507147,-14.84263
33,-99.11394,-102.91785,-112.58386,-111.77882,-114.1323
34,-101.34436,-121.09275,-112.257225,-106.09005,-23.274967
35,-107.58619,-114.18498,-20.111725,-39.387367,-27.748337
36,-102.43918,-30.712551,-115.10318,-111.74745,-16.928225
37,-109.0176,-103.954,-112.704346,-14.615705,-104.83697
38,-96.60687,-21.12797,-104.31332,-119.123924,-103.739586
39,-22.631948,-102.55522,-25.13964,-107.305664,-104.305115
40,-105.44076,-20.845879,-108.53987,-112.13962,-17.572899
41,-19.474669,-102.28606,-114.5907,-110.649055,-126.85918
42,-100.45799,-100.71656,-21.15629,-101.63448,-112.96345
43,-30.454777,-20.639393,-22.178114,-112.61447,-100.4719
44,-102.01642,-103.4741,-24.847488,-27.463808,-109.19275
45,-17.81617,-97.86395,-105.73521,-130.43286,-106.20143
46,-30.20309,-102.53505,-19.741154,-119.51776,-104.12918
47,-114.28317,-102.88674,-104.07778,-104.84322,-32.67566
48,-105.4417,-18.86843,-18.489382,-24.422235,-117.62375
49,-97.90396,-14.347914,-23.707613,-19.562687,-103.14723
50,-28.765022,-101.94417,-113.56365,-27.504091,-114.46869
51,-110.6429,-31.532177,-112.6999,-25.914017,-16.517656
52,-25.80392,-105.22367,-21.151455,-113.04919,-27.216585
53,-102.72774,-103.06444,-102.89193,-31.612429,-103.003334
54,-105.00409,-111.68672,-109.33315,-108.97031,-105.16197
55,-101.4354,-103.5895,-111.78372,-118.425545,-23.644917
56,-22.310524,-111.67506,-106.011925,-31.537218,-118.17856
57,-112.756256,-33.795063,-21.318245,-27.475164,-15.589196
58,-112.24866,-100.80541,-19.854616,-23.317636,-100.550156
59,-101.63989,-108.22801,-115.4379,-31.005621,-18.629972
60,-102.50455,-101.27004,-25.015825,-22.128181,-116.48617
61,-27.743845,-103.43967,-110.79624,-17.52817,-101.97737
62,-106.331314,-101.22932,-30.906906,-124.459595,-18.338512
63,-103.12939,-103.37245,-116.28477,-22.60503,-118.22606
64,-113.62992,-102.63003,-102.1269,-20.599237,-102.7284
65,-29.227758,-21.346548,-120.02281,-108.000916,-101.98886
66,-99.69362,-100.41771,-20.812374,-22.368567,-18.53528
67,-98.84007,-99.42074,-103.24707,-20.57895,-113.72034
68,-97.30478,-106.22186,-24.402855,-22.243752,-19.847414
69,-101.7996,-106.7415,-110.40187,-25.610516,-117.65842
70,-98.33699,-113.07429,-110.48866,-102.77819,-113.3565
71,-104.04479,-23.41195,-103.354225,-25.08718,-111.45459
72,-112.02951,-27.056923,-23.555214,-28.426666,-105.13384
73,-99.238075,-13.928078,-101.427246,-103.730576,-19.868166
74,-27.182539,-102.98304,-24.924639,-21.190315,-127.60457
75,-103.95277,-103.9242,-22.190197,-25.682001,-27.637697
76,-115.60914,-97.55287,-108.73932,-16.659771,-104.831535
77,-97.76644,-113.46694,-98.04776,-31.31416,-110.72798
78,-104.97355,-99.772255,-102.53758,-21.153147,-100.75468
79,-17.310898,-20.045877,-112.30698,-22.55791,-106.552315
80,-101.717964,-95.129166,-112.348694,-27.185242,-19.78528
81,-101.12436,-105.74823,-104.40628,-105.782104,-123.67461
82,-103.48695,-105.61522,-23.595573,-25.755919,-26.31345
83,-17.572054,-88.825714,-25.44317,-19.194765,-32.622692
84,-108.00069,-108.50812,-100.523445,-25.643908,-98.82373
85,-97.77342,-102.5785,-102.6209,-21.386572,-99.10464
86,-99.548065,-24.64888,-29.232204,-28.66187,-19.707973
87,-20.816748,-21.938246,-101.52617,-24.06322,-119.405685
88,-100.75054,-111.628105,-113.56366,-26.906263,-109.44087
89,-99.65266,-96.0043,-102.15487,-104.343925,-10.745364
90,-103.74867,-25.361183,-102.79832,-107.07461,-99.08334
91,-101.00101,-113.12004,-35.27684,-104.55332,-102.06098
92,-103.50799,-31.590456,-114.85576,-26.65138,-15.991603
93,-8.047019,-112.8168,-114.53032,-27.32413,-22.971605
94,-16.792025,-26.11305,-13.384958,-100.09864,-13.218581
95,-20.736929,-116.38566,-29.707653,-26.836882,-13.416876
96,-99.60669,-103.61152,-111.359634,-103.63477,-31.681763
97,-34.342422,-109.44753,-24.131498,-27.179516,-97.65763
98,-113.12694,-113.250206,-102.99549,-19.513514,-35.487232
99,-12.903423,-121.41735,-101.5395,-26.109755,-25.670341
100,-103.2953,-112.71415,-25.566446,-27.527988,-98.517815
101,-111.92067,-106.327156,-101.190125,-106.51638,-102.81253
102,-104.27892,-25.230253,-102.20528,-19.090288,-18.183641
103,-16.928896,-27.408108,-26.737806,-20.725376,-102.70105
104,-11.556661,-93.576126,-104.4495,-17.740664,-14.995268
105,-100.38955,-102.13092,-111.620926,-96.554756,-22.719849
106,-123.58625,-20.014069,-30.73346,-105.48881,-21.046501
107,-104.689575,-102.11148,-101.76295,-101.41428,-27.5102
108,-102.65325,-105.09766,-108.80982,-31.287762,-111.6626
109,-105.04162,-101.44351,-31.700066,-18.793709,-101.52978
110,-98.63891,-28.832203,-104.01791,-21.400303,-24.61458
111,-107.3015,-112.62615,-112.51815,-22.91279,-100.699646
112,-14.951141,-98.33299,-102.01502,-27.950804,-109.77396
113,-99.264275,-28.551397,-29.435654,-19.04428,-18.538828
114,-101.246086,-105.33963,-33.75661,-18.765896,-110.27245
115,-100.363655,-99.53659,-100.49339,-16.930857,-26.834394
116,-103.396774,-28.70021,-36.614166,-18.230972,-97.29485
117,-97.46434,-102.63855,-32.477455,-40.49588,-22.00518
118,-100.69671,-25.87514,-100.846886,-21.444925,-25.458855
119,-105.69721,-104.03959,-100.17266,-99.731224,-115.61358
120,-13.922951,-29.225777,-31.641518,-29.168262,-19.369184
121,-119.9284,-102.25926,-34.42439,-100.08423,-28.03337
122,-100.50943,-111.76927,-32.03892,-25.730505,-104.54675
123,-103.59362,-29.026878,-103.65497,-100.33129,-100.33901
124,-34.086853,-99.33372,-105.15506,-101.6964,-28.087547
125,-101.204346,-100.03065,-99.90845,-21.633408,-18.040264
126,-104.951935,-102.47653,-28.174158,-17.432558,-22.494892
127,-99.87376,-101.40978,-124.836395,-105.82723,-111.12759
128,-14.916661,-101.2378,-110.80922,-25.790722,-11.969398
129,-101.848625,-100.93323,-114.400406,-18.077486,-31.121826
130,-99.654655,-22.427986,-27.54037,-99.288864,-27.869081
131,-117.519585,-99.22667,-33.584045,-107.4332,-105.8885
132,-108.58383,-104.558014,-101.37398,-17.332016,-101.948616
133,-96.36016,-101.505486,-100.47401,-22.717487,-106.49063
134,-103.16031,-102.34516,-104.42958,-104.39872,-105.72848
135,-9.065067,-108.99857,-104.385956,-116.29611,-112.568016
136,-100.17284,-93.75911,-104.30028,-23.894999,-23.839561
137,-100.203316,-34.450085,-102.79125,-99.36809,-20.134474
138,-97.78612,-30.22008,-99.45682,-102.64552,-31.074982
139,-122.15989,-100.97157,-103.15586,-18.776577,-23.687666
140,-25.752035,-104.411125,-35.198715,-113.75679,-120.54931
141,-102.78822,-103.30378,-102.528885,-23.734104,-109.74545
142,-99.82755,-31.926792,-104.41483,-105.63672,-15.377053
143,-21.72742,-27.298695,-106.3464,-115.515884,-16.85726
144,-20.709932,-101.711914,-100.00293,-98.68379,-17.13934
145,-92.27681,-28.221935,-22.210411,-116.24063,-114.88219
146,-104.4396,-107.20986,-108.31833,-4.868631,-25.658812
147,-93.58763,-112.93029,-102.21294,-114.04649,-15.414607
148,-99.30853,-104.074265,-27.081379,-103.6035,-24.455862
149,-95.902245,-103.50596,-104.71406,-107.11132,-109.96581
150,-13.962,-99.94978,-111.83776,-5.157611,-107.567635
151,-105.239914,-117.13913,-131.1065,-16.70206,-16.015738
152,-96.74815,-104.89919,-100.41586,-98.4027,-20.443605
153,-98.039276,-103.68548,-98.960976,-16.684599,-28.052588
154,-98.399284,-21.76923,-104.05739,-100.36505,-96.201
155,-100.88288,-30.471474,-101.9919,-13.100019,-106.23646
156,-106.56626,-103.027176,-102.31049,-106.905846,-116.51273
157,-99.75996,-100.79431,-100.9214,-17.548643,-108.77335
158,-100.05817,-101.702034,-33.00042,-15.735207,-106.44294
159,-122.767685,-102.98156,-101.00106,-11.797176,-21.36379
160,-97.74947,-28.09594,-113.54819,-100.79974,-107.67912
161,-100.25408,-108.41139,-99.14532,-115.597725,-103.12894
162,-104.50552,-97.74894,-103.787445,-12.277952,-25.960606
163,-102.19844,-17.33834,-103.34498,-113.453514,-28.661077
164,-101.58699,-102.171234,-107.07186,-109.26026,-15.207176
165,-97.39831,-30.805641,-23.652527,-111.71318,-19.23264
166,-101.78586,-107.259094,-103.000725,-6.8018947,-20.378454
167,-103.54543,-100.22611,-101.79854,-14.09786,-18.126102
168,-104.706184,-104.69509,-27.018469,-107.911224,-111.63555
169,-102.59657,-100.72019,-115.929306,-99.179306,-21.100508
170,-98.247284,-101.16225,-28.632122,-97.737564,-110.25293
171,-111.86695,-102.53839,-122.84656,-102.55714,-106.50452
172,-103.0903,-35.203022,-27.12031,-18.064285,-114.900444
173,-16.485739,-35.565952,-100.99689,-19.14376,-24.215263
174,-100.31779,-28.992325,-22.323982,-116.57358,-108.78746
175,-102.22444,-106.09249,-16.891026,-14.594835,-107.83391
176,-103.89954,-97.51759,-105.33314,-21.71852,-27.41032
177,-99.29361,-33.525337,-100.29865,-101.718895,-29.469137
178,-98.881195,-98.57241,-103.24181,-106.86883,-20.046034
