,It 0,It 1,It 2,It 3,It 4
0,-33.57097,-25.186523,-121.84433,-109.22737,-99.79254
1,-25.889456,-115.8502,-27.34811,-23.000294,-111.24751
2,-110.9304,-117.55423,-30.836615,-21.872663,-34.732117
3,-115.17207,-117.81029,-20.926708,-119.05265,-115.73876
4,-122.3309,-116.43713,-119.16616,-114.98254,-114.79235
5,-115.12977,-115.47537,-117.13117,-117.99132,-124.141174
6,-115.58889,-116.67986,-114.68632,-112.64296,-116.07373
7,-116.61539,-115.159065,-113.87967,-119.40244,-120.05002
8,-116.5769,-117.53527,-123.92618,-122.17801,-113.04258
9,-115.667496,-114.599625,-114.24109,-118.409134,-113.26497
10,-114.31093,-118.26011,-110.32489,-115.29118,-109.88252
11,-110.7403,-120.38659,-113.460526,-120.66665,-119.42419
12,-111.55568,-116.55328,-108.304016,-116.0877,-116.38138
13,-118.37008,-118.5028,-117.380264,-115.041374,-118.94345
14,-119.634964,-114.799614,-117.38252,-113.249695,-114.17402
15,-115.35629,-117.13897,-114.17867,-108.60143,-117.76384
16,-109.79201,-114.88617,-115.66714,-117.47811,-116.53548
17,-41.65752,-113.301765,-110.32876,-115.60235,-113.91709
18,-39.552822,-120.39989,-109.64662,-114.534935,-117.75138
19,-109.98075,-115.42204,-102.185005,-23.406591,-112.26796
20,-39.921555,-115.56029,-105.821594,-115.650185,-117.84429
21,-110.481995,-118.26853,-106.372635,-20.946268,-121.36696
22,-111.0443,-119.02538,-20.3158,-103.76367,-114.875046
23,-127.28616,-114.12032,-14.564718,-106.92773,-109.628235
24,-105.513214,-121.65416,-113.26961,-15.883416,-105.98748
25,-116.98653,-114.48067,-110.918335,-114.202126,-108.17705
26,-95.55013,-119.08209,-13.3715725,-108.74106,-115.10062
27,-111.10521,-119.71634,-105.498474,-19.473251,-106.32372
28,-101.82309,-123.71315,-18.440865,-16.56412,-112.38313
29,-99.70639,-118.086395,-112.00931,-19.32648,-107.527794
30,-108.88522,-35.478123,-113.3952,-100.084785,-105.56069
31,-112.371124,-38.183834,-14.540057,-22.183111,-105.39063
32,-17.303574,-102.296036,-115.42207,-112.82681,-100.57329
33,-26.310705,-104.82801,-27.65719,-16.744255,-15.4632225
34,-109.478035,-104.80782,-105.13071,-104.82454,-24.378078
35,-15.550086,-123.3537,-26.617117,-100.82189,-102.89819
36,-14.463732,-19.215694,-18.610489,-8.604772,-22.854006
37,-19.829723,-16.22298,-11.259696,-19.463757,-15.508894
38,-20.33623,-115.377144,-11.642774,-101.304115,-29.451586
39,-27.271788,-15.866111,-12.175372,-14.726509,-101.70411
40,-103.84941,-122.034775,-14.392429,-17.344446,-104.624664
41,-17.4736,-15.703034,-17.592943,-12.039358,-101.58187
42,-98.86136,-113.013054,-98.782524,-111.71991,-19.793692
43,-106.18055,-23.202303,-11.551015,-98.64185,-14.077974
44,-22.823507,-102.26094,-13.756678,-106.13476,-109.97777
45,-26.315056,-31.59802,-17.468672,-99.20185,-102.33695
46,-26.284502,-108.26982,-14.207608,-110.26567,-16.562414
47,-15.997564,-26.497355,-107.25112,-119.026276,-21.11074
48,-111.141785,-15.310508,-15.139572,-98.171844,-18.553055
49,-110.56496,-15.279556,-9.482029,-17.04606,-12.542007
50,-107.65686,-100.95353,-16.676857,-101.65714,-104.05885
51,-19.426493,-98.104095,-12.474865,-106.26512,-97.75894
52,-19.84238,-9.632267,-14.181059,-107.68762,-98.69914
53,-22.489634,-17.082497,-107.18868,-119.42997,-19.948948
54,-20.480078,-18.004004,-13.967403,-115.057556,-14.028472
55,-25.135973,-104.80982,-21.336933,-16.418257,-11.135173
56,-20.380632,-121.56084,-103.043304,-110.282295,-15.784452
57,-21.277367,-123.59198,-15.78857,-106.08006,-13.112986
58,-20.061588,-10.065447,-9.168676,-102.80201,-16.141516
59,-23.488579,-100.33915,-106.961975,-98.557236,-9.827801
60,-108.104065,-100.867355,-19.414005,-109.12995,-14.454393
61,-24.522114,-101.070175,-18.453396,-7.5999413,-18.625486
62,-25.586802,-9.685009,-16.135183,-12.078898,-18.159939
63,-19.718166,-17.168434,-16.532028,-10.052427,-16.350582
64,-20.533901,-26.56632,-14.500217,-105.99173,-13.615475
65,-107.22074,-19.169102,-96.412094,-118.99832,-9.093753
66,-16.39851,-11.685139,-16.673845,-98.79672,-15.032586
67,-23.266273,-17.467453,-16.117683,-13.889981,-11.794963
68,-21.058874,-19.894606,-20.309107,-8.575618,-7.6820374
69,-17.060814,-15.007286,-12.37545,-96.80161,-19.348318
70,-23.55023,-17.122574,-93.43801,-112.27098,-16.769964
