,It 0,It 1,It 2,It 3,It 4
0,-107.53756,-113.74305,-18.651052,-99.86835,-30.49584
1,-110.084335,-111.448845,-105.95777,-99.73326,-123.6794
2,-116.690384,-111.91015,-124.05353,-26.34245,-112.127075
3,-118.86194,-119.09187,-106.68818,-113.07605,-115.75781
4,-118.94394,-121.543785,-116.125496,-105.91018,-115.43013
5,-109.74135,-112.240524,-117.42374,-30.457293,-117.17955
6,-120.39703,-116.35227,-119.192474,-114.68382,-117.30143
7,-112.99675,-116.19446,-117.259026,-26.891573,-118.37091
8,-114.30203,-112.68234,-116.138306,-31.65271,-122.70384
9,-113.201096,-118.40155,-114.75068,-28.294853,-117.69154
10,-108.27487,-115.247025,-112.72938,-28.969633,-119.3815
11,-112.609535,-19.706999,-26.833551,-31.08531,-116.46168
12,-115.85206,-22.413876,-15.7776575,-31.976618,-111.155594
13,-111.24514,-104.935104,-119.83073,-29.01798,-106.2138
14,-112.90567,-28.843704,-102.07009,-33.726868,-112.78684
15,-41.923794,-31.937754,-101.48082,-30.504524,-106.25871
16,-108.16155,-104.88648,-17.790659,-34.47459,-104.403915
17,-36.743065,-110.20991,-101.360825,-31.549177,-110.601456
18,-32.870487,-109.00884,-104.96098,-121.675995,-14.8441725
19,-36.345585,-109.10229,-101.49908,-27.655811,-20.77119
20,-110.66659,-104.001884,-106.48074,-27.323181,-118.460106
21,-111.52179,-17.42563,-23.85083,-27.69795,-22.636152
22,-18.467268,-106.371,-108.26303,-35.02706,-116.47991
23,-125.685005,-108.76846,-100.91136,-30.75134,-13.662904
24,-106.84337,-104.255646,-12.668894,-32.395824,-12.282269
25,-110.27994,-102.37864,-16.59306,-27.718506,-18.294477
26,-113.91914,-106.7294,-110.89192,-29.276966,-101.09442
27,-100.85481,-105.38444,-22.295517,-104.26026,-16.418863
28,-125.069885,-108.438965,-13.675001,-105.781395,-17.2555
29,-22.637356,-110.46785,-98.90084,-18.121792,-11.879898
30,-111.98372,-103.66469,-18.130468,-106.07277,-24.63464
31,-121.911736,-20.6343,-16.581255,-108.93827,-14.693523
32,-105.633,-16.638401,-109.79104,-108.72794,-16.928856
33,-119.484604,-104.2068,-33.08807,-21.409359,-16.487114
