,It 0,It 1,It 2,It 3,It 4
0,-109.13149,-37.260204,-28.786013,-26.57383,-29.87156
1,-109.862946,-107.942215,-27.560379,-25.39874,-111.19602
2,-108.218666,-115.54529,-24.44914,-115.79893,-119.49234
3,-114.512344,-110.55004,-25.531202,-122.12328,-129.46481
4,-113.30453,-113.05044,-103.6321,-112.575096,-116.75139
5,-115.94862,-121.92047,-116.375656,-113.298195,-116.77732
6,-111.335655,-115.60822,-108.921165,-122.19028,-112.68984
7,-111.33029,-119.48221,-117.642426,-119.312325,-118.330696
8,-117.41135,-116.132866,-113.02898,-116.40843,-113.67741
9,-121.30484,-121.427055,-114.81917,-115.6268,-119.98627
10,-122.31911,-117.41846,-115.46024,-114.853165,-109.263275
11,-120.80888,-117.787315,-115.01559,-119.78006,-116.50238
12,-120.710045,-112.02825,-25.635235,-125.15706,-101.90328
13,-118.148636,-116.44864,-26.96338,-108.86488,-106.475914
14,-114.390625,-109.27856,-27.721037,-108.491875,-24.221348
15,-117.54619,-106.26634,-30.827366,-103.634895,-102.48179
16,-113.318954,-112.78586,-42.861103,-103.36267,-114.82211
17,-115.6157,-28.803957,-42.389057,-101.14295,-13.90796
18,-113.22192,-30.341793,-44.30754,-21.804953,-14.509246
19,-119.953735,-18.931993,-28.546516,-102.67774,-24.335573
20,-115.57038,-23.102375,-21.99939,-113.12488,-19.19453
21,-114.32784,-105.5819,-20.598768,-26.307108,-115.283554
22,-118.66514,-28.056322,-20.864124,-111.20711,-103.183105
23,-105.71912,-31.86399,-116.03138,-32.263874,-131.46661
24,-28.170053,-21.90703,-109.55839,-20.662704,-126.10823
25,-23.87916,-115.22939,-21.135431,-17.97769,-105.56303
26,-111.74539,-117.334045,-105.174255,-25.816328,-16.212154
27,-105.6167,-113.00478,-11.013427,-12.204696,-104.12982
28,-34.568718,-18.812124,-103.81423,-102.01518,-19.711624
29,-40.080677,-103.88533,-20.733381,-23.471746,-104.54552
30,-103.534134,-24.852701,-101.03943,-100.4055,-107.01495
31,-103.79171,-22.785793,-28.687086,-27.11627,-113.650986
32,-102.0526,-110.89889,-113.42873,-19.88481,-103.697136
33,-26.094152,-108.756996,-107.21249,-26.302065,-18.99355
34,-25.149544,-103.88798,-10.239314,-117.759674,-104.89945
35,-105.85306,-19.93524,-101.27587,-15.113356,-112.07896
36,-98.0844,-19.589312,-107.42036,-102.41801,-102.73701
37,-12.677542,-104.50296,-100.157524,-22.063158,-17.81927
38,-100.46216,-102.46808,-99.72407,-100.55295,-107.43445
39,-95.89864,-19.583628,-101.83907,-15.159447,-13.248591
40,-21.44562,-105.178955,-107.12839,-22.814684,-12.272411
