,It 0,It 1,It 2,It 3,It 4
0,-39.33555,-28.977682,-104.01113,-104.23009,-102.085526
1,-25.642376,-105.13504,-110.164986,-117.95062,-122.325676
2,-28.466293,-25.051123,-108.01473,-107.92793,-18.67814
3,-32.946053,-33.476677,-116.54126,-115.22265,-24.940578
4,-23.852022,-110.19126,-114.850525,-118.14914,-116.73812
5,-106.81135,-26.6516,-120.49092,-123.699036,-116.19087
6,-118.85669,-107.10247,-115.33519,-116.900276,-116.47346
7,-112.482445,-113.12114,-122.44042,-112.41798,-115.33479
8,-117.15907,-107.657104,-114.3443,-117.17573,-113.0985
9,-118.03969,-117.68915,-121.80348,-115.950325,-121.55765
10,-117.76255,-116.68829,-115.01157,-109.12479,-113.61757
11,-123.56121,-119.9854,-115.84464,-111.31737,-123.62003
12,-119.74868,-119.63643,-120.59114,-113.28571,-107.99494
13,-120.48462,-119.71884,-120.08431,-107.36759,-114.29488
14,-122.12066,-115.480774,-120.63105,-111.61949,-115.6739
15,-123.20957,-112.65541,-113.98948,-115.10856,-113.977684
16,-118.08823,-106.90392,-115.594154,-113.654335,-107.26649
17,-118.861755,-116.418785,-115.12075,-115.09761,-113.76485
18,-120.31712,-113.86328,-114.51581,-114.05574,-109.47299
19,-120.21245,-115.55848,-23.70869,-112.42084,-118.25714
20,-117.725746,-112.16429,-20.697346,-120.61003,-25.051395
21,-119.67672,-111.43958,-103.1777,-28.167807,-113.82636
22,-122.981705,-122.154625,-17.165077,-21.640673,-109.14258
23,-118.37227,-110.53671,-104.32059,-107.19184,-25.003235
24,-118.88783,-29.828583,-17.50989,-22.530682,-113.26329
25,-127.29927,-119.4663,-103.603584,-22.615507,-108.688614
26,-116.619965,-22.491402,-106.061264,-107.68273,-117.028305
27,-127.309425,-22.72249,-29.386454,-107.597084,-15.784312
28,-126.830505,-16.012629,-34.755684,-20.399508,-116.182076
29,-128.64798,-23.503677,-16.538506,-109.83038,-107.82382
30,-136.92805,-115.94514,-19.034916,-14.898461,-105.63853
31,-124.32629,-19.860462,-16.257269,-112.81553,-112.697525
32,-118.93129,-19.945213,-18.387897,-104.11849,-14.278353
33,-125.47066,-105.48047,-112.82896,-23.105812,-11.818809
34,-122.69986,-23.368488,-120.22441,-113.17085,-20.191494
35,-122.17058,-23.691164,-100.10543,-107.77539,-107.90094
36,-129.31776,-117.26634,-109.11125,-115.1183,-99.68599
37,-120.60726,-21.257399,-106.25917,-106.018906,-16.971157
38,-127.588165,-21.797388,-18.640705,-121.13971,-100.95825
39,-120.37709,-102.55068,-105.15555,-6.694463,-14.959732
40,-119.01022,-111.28836,-17.971455,-99.56979,-132.93063
41,-123.08457,-24.402287,-16.379639,-21.88579,-17.531225
42,-126.92031,-119.5663,-112.438736,-102.323875,-101.6619
43,-124.626335,-101.889885,-14.759151,-15.948947,-16.71007
44,-112.215515,-119.463684,-116.54196,-108.29031,-110.407715
45,-115.652916,-12.35873,-11.663655,-96.79068,-98.44108
46,-119.30507,-103.394844,-109.3064,-11.260857,-13.630465
47,-11.992901,-113.50987,-21.29548,-101.25205,-100.37498
48,-107.78911,-103.25117,-17.48206,-18.888569,-15.360895
49,-113.00136,-103.46065,-17.348839,-19.866516,-8.97689
50,-100.911156,-101.25145,-19.6711,-17.480946,-8.768007
51,-15.793505,-114.6928,-14.636615,-104.01145,-114.39333
52,-9.183555,-113.791336,-15.148034,-101.92481,-112.39802
53,-101.788605,-14.506076,-108.39576,-14.691584,-18.778395
54,-11.979816,-11.605344,-104.9637,-15.507527,-19.986343
55,-101.17837,-18.560555,-117.37921,-121.716,-100.89809
56,-118.548485,-99.96939,-9.88524,-106.09425,-107.90175
57,-104.71414,-21.359497,-114.2219,-99.383316,-106.62469
58,-17.424437,-97.99659,-102.123505,-23.244877,-16.071625
59,-106.09622,-114.3712,-126.67979,-100.90834,-98.12432
60,-7.1482983,-98.75047,-102.391945,-100.97238,-13.419951
61,-100.61422,-97.74534,-109.527306,-26.797678,-18.499247
62,-99.801125,-10.287182,-12.779871,-21.646812,-97.53081
63,-112.25888,-7.173784,-102.64657,-104.8312,-15.2819395
64,-100.39067,-110.789566,-8.427587,-112.73016,-9.719496
65,-16.532768,-16.43477,-14.475263,-14.478095,-10.306667
66,-25.766565,-16.325846,-14.129948,-12.633881,-10.193771
67,-12.151125,-15.598461,-106.64601,-20.952229,-99.0454
68,-24.281385,-92.93604,-108.52939,-101.077705,-97.191246
69,-34.298775,-108.166084,-13.479016,-23.783527,-10.526759
70,-115.34992,-9.006959,-101.037994,-103.59035,-8.905053
71,-101.18307,-111.86674,-114.99508,-14.279686,-116.565384
72,-15.838673,-9.327407,-7.556902,-19.770277,-6.8990593
73,-20.037897,-9.109151,-99.33125,-97.82875,-100.56217
74,-103.08772,-11.83999,-113.888504,-20.325163,-103.306465
75,-17.660315,-16.1862,-106.04861,-98.16824,-96.17647
76,-104.21958,-7.872656,-104.01868,-99.94811,-97.68961
77,-97.69758,-111.91416,-10.9639225,-18.130192,-102.168274
78,-99.80177,-115.82247,-8.997075,-14.949181,-12.47927
79,-120.86054,-99.07986,-11.323888,-98.00166,-7.5103407
80,-98.44437,-98.79205,-3.0036812,-15.869492,-92.25151
81,-13.086858,-11.093913,-10.57325,-18.873384,-134.47977
82,-14.519898,-6.8539624,-12.906575,-18.099398,-10.43998
83,-7.7970543,-93.9339,-115.78316,-100.45116,-4.028233
84,-97.30614,-100.42893,-116.081436,-115.770096,-9.653447
85,-119.22937,-114.09204,-110.311714,-109.88183,-10.689056
86,-97.74049,-108.96451,-6.6189065,-97.35045,-97.0171
87,-97.941414,-104.477936,-15.478078,-10.948833,-4.633258
88,-18.310822,-111.99941,-7.884838,-115.75685,-94.19245
89,-118.89586,-9.847503,-6.6295257,-96.205765,-93.99404
90,-101.35628,-93.49496,-100.64969,-115.33215,-93.67976
91,-98.68006,-94.52759,-107.724556,-99.24814,-14.88905
92,-97.28613,-94.32938,-7.875314,-118.58766,-96.097206
93,-12.89703,-9.783046,-7.122343,-98.63418,-97.220604
94,-116.26947,-20.899742,-10.732352,-6.175189,-9.143902
95,-6.996599,-17.113014,-12.533669,-8.706917,-116.867226
96,-14.082994,-97.166084,-100.137405,-11.997618,-97.37119
97,-11.155053,-95.45834,-8.067468,-13.956026,-10.648529
98,-16.087702,-15.332567,-5.239098,-8.094624,-12.12925
99,-15.101528,-15.305211,-17.559597,-11.360775,-96.84464
100,-98.447296,-94.49045,-11.310088,-10.576647,-97.06362
101,-19.459518,-94.75534,-11.61111,-11.916434,-20.252483
102,-17.19253,-95.6123,-119.42415,-119.17612,-96.167206
103,-14.443882,-98.513405,-100.253876,-123.257355,-104.12229
104,-16.963709,-98.160736,-14.735228,-123.073296,-97.23247
105,-16.891499,-93.63858,-10.000668,-118.61481,-97.60333
106,-18.1198,-94.74783,-20.004555,-94.991646,-96.8907
107,-15.752995,-6.149188,-4.891117,-95.21826,-119.03859
108,-12.1191435,-96.22386,-5.8349657,-95.66257,-23.512566
109,-11.362102,-5.896643,-97.02338,-114.21295,-98.67679
110,-6.6508927,-5.1109753,-12.154404,-97.071655,-98.877846
111,-92.161674,-3.8919282,-15.039789,-114.151215,-96.44502
112,-87.74764,-7.44053,-98.84087,-115.714165,-96.192924
113,-88.02005,-4.688517,-5.306736,-121.06903,-97.795746
114,-112.9749,-95.802635,-6.3429427,-97.7957,-97.668785
115,-7.291643,-95.4874,-18.879887,-7.224519,-99.32308
116,-103.0658,-116.64188,-20.146778,-97.94798,-97.23401
117,-7.684777,-98.446976,-23.080885,-9.1523485,-97.63585
118,-9.865904,-98.563126,-18.392935,-96.6245,-100.58268
119,-94.60329,-100.634125,-18.01699,-98.12979,-96.92187
120,-15.904662,-96.18683,-97.60579,-10.507139,-113.35182
121,-103.96184,-125.81881,-100.46415,-97.74252,-112.836624
122,-14.94763,-99.6448,-8.12857,-99.29979,-95.08048
123,-15.558918,-115.198166,-12.867757,-97.212494,-95.25833
124,-15.437811,-115.94877,-96.51629,-99.40432,-118.0882
125,-7.80176,-2.7231596,-96.390915,-14.916892,-8.682923
126,-10.847236,-108.85217,-17.815481,-10.52321,-9.076087
127,-5.472389,-112.265854,-4.432743,-98.15445,-15.322259
128,-9.40045,-122.09592,-13.349969,-95.75538,-97.066185
129,-11.561692,-5.346112,-7.979998,-97.36251,-94.57052
130,-4.6506023,-112.69559,-8.837727,-95.38208,-94.96582
131,-96.54114,-114.571945,-19.419413,-112.30809,-95.49993
132,-4.060943,-113.49447,-9.437724,-5.091222,-114.86802
133,-9.933899,-113.56333,-10.235603,-97.04247,-94.49802
134,-8.376207,-97.32577,-10.987418,-93.018295,-92.20489
135,-6.235572,-98.873505,-6.4828205,-94.94822,-9.65349
136,-95.842,-98.49209,-7.794464,-91.983864,-11.375566
137,-96.772064,-99.63979,-5.333361,-96.85804,-7.947338
138,-97.4135,-97.89301,-8.363585,-98.71888,-3.7282906
139,-95.95374,-98.50546,-4.546625,-96.7338,-6.1301594
140,-15.729081,-98.888794,-9.343662,-92.95462,-109.07231
141,-6.081439,-117.207664,-9.41108,-92.25393,-6.839398
142,-100.223,-95.28908,-10.612365,-96.18288,-92.18961
143,-110.70019,-123.97354,-10.423348,-117.236465,-14.140019
144,-8.219009,-111.49639,-13.261335,-96.037056,-14.986808
145,-6.5700107,-6.341151,-8.9844885,-94.04621,-96.4759
146,-4.7425447,-9.086427,-6.839073,-97.27532,-96.46306
147,-9.787011,-15.251481,-13.457504,-90.88515,-94.3371
148,-7.439906,-9.054607,-8.9534,-96.87178,-93.12282
149,-14.469525,-8.71859,-113.575356,-96.72479,-95.07569
150,-93.15371,-7.345745,-5.1967654,-97.48038,-96.23325
151,-5.859981,-93.38811,-9.426604,-7.7941213,-3.3063533
152,-6.0115128,-7.1596932,-10.932986,-94.28739,-91.47275
153,-110.75179,-10.910911,-14.70972,-0.77355945,-94.6302
154,-13.479732,-4.240251,-125.268425,-5.854944,-93.67572
155,-20.968021,-96.354866,-11.634391,-90.441895,-93.65912
156,-25.0972,-98.90983,-13.172112,-87.22249,-91.68645
157,-25.977057,-3.3899844,-9.788745,-94.85177,-93.06762
158,-7.866636,-97.20226,-4.15809,-94.57421,-96.79634
159,-96.73187,-4.8082547,-10.413667,-94.32253,-3.8382776
160,-100.00377,-96.628845,-112.01576,-95.122284,-93.183624
161,-7.049962,-99.80485,-1.98905,-10.094908,-91.13495
162,-99.418144,-97.54253,-117.291336,-98.96295,-90.917885
163,-8.641601,-18.783224,-98.85273,-96.14244,-96.471466
164,-95.981804,-13.536856,-14.224633,-91.57631,-4.7974825
165,-10.735314,-12.874893,-10.335307,-114.39896,-115.83371
166,-11.687809,-96.03966,-6.4457855,-93.84244,-6.5160413
167,-8.238284,-13.250097,-8.679158,-113.928764,-8.436102
168,-13.861843,-95.390305,-4.350802,-10.175251,-6.1625175
169,-12.071328,-113.90694,-9.993081,-95.14752,-97.69001
