,It 0,It 1,It 2,It 3,It 4
0,-40.2364398302023,-70.06448382735275,-81.63047357493375,-71.39357864004181,-103.30719344536138
1,-82.62060291263911,-86.30596029772857,-84.49595968567209,-61.85054534428115,-103.43793011396036
2,-75.01252078335669,-73.74316941979706,-68.08289158943484,-112.14535042293619,-110.95761179363106
3,-80.4766024769993,-65.63005292096007,-72.81694519266051,-46.80312489218342,-111.24029850706148
4,-44.397425923242565,-54.98667818619994,-85.83702314599728,41.65770943034278,-111.10247614973287
5,-94.26458008049738,-37.73937952780172,-77.60863766567347,-112.1092727692912,-111.20257997362378
6,-91.4401606495191,-64.60115489923709,-78.9060266620842,-106.09634133146828,-111.03485125850203
7,-76.17818883241961,-51.81620839117594,-93.31804548671718,-183.026722768125,-111.09196696123047
8,-63.940791308013736,-37.113925846976926,-83.60449122373944,-89.35892721380728,-110.76595154424571
9,-82.9841931295935,-90.74113199023842,-74.34202341269392,-78.72792623571219,-110.7713078055922
10,-75.97733582329379,-83.93916778521086,-86.53586534111139,-65.90112647701143,-110.77175146908685
11,-83.61899211866036,-101.3050269132241,-92.43099208360887,-112.61286701847737,-110.95793325850367
12,-88.67530813745533,-93.89698672349316,-76.17878582230273,-92.032641265853,-111.03055058089892
13,-85.85118762447777,-52.17927604275941,-82.27240047878895,-112.23076388325791,-111.01546559510255
14,-62.637917450630894,-72.43865889182067,-88.77996361324796,-72.54407841128172,-110.96282538338626
15,-52.15557933266168,-77.2030652033724,-63.59668390256011,-109.49424077346347,-111.23639476527957
16,-87.02548304124736,-47.321362666280926,-77.31689561706767,-76.61226474903248,-111.07773959972957
17,-85.86503340018106,-52.279466971524364,-73.4854068679423,-9.864402603333545,-111.05510731297608
18,-68.3486856976164,-61.53743278578298,-73.00198163165494,-72.80374164295779,-111.15204049133322
19,-71.1165230131646,-85.3810586896905,-74.06304726964049,-65.13059571912063,-111.2630488087566
20,-73.91682820301162,-81.67177392705283,-86.31659541711541,-110.9285945240638,-111.24830622224323
21,-89.45110710299512,-91.15054672610388,-89.25121425745884,-112.07952440292839,-111.00798619554999
22,-67.262231247571,-0.8069167070729435,-71.6328860728542,-83.3072572917066,-110.76354449931718
23,-90.79072770660184,-68.96661172261275,-74.55581132849989,33.5523597718921,-111.09172385637277
24,-72.07743718033842,-46.93479353938997,-82.04552921761977,-56.174284525535036,-111.10646478688655
25,-69.82661369862718,-61.306994492630174,-75.84459523819325,-112.08577756494975,-111.25146174543538
26,-54.887440738147156,-74.07180664224425,-75.89564241734567,-107.19823945451823,-111.27149780862902
27,-86.34199642734035,-13.379482434274436,-75.01875609535723,-110.96767629689289,-111.25453815820441
28,-49.05618759317576,-80.12561282591584,-75.07511702217269,282.5087590765349,-111.11597871384521
29,-83.16637203065122,-38.95651954766062,-70.1804356047151,-67.53049586307536,-110.97224682266824
30,-94.07205440397188,-79.10778643495932,-74.19955998447662,-28.180092709042682,-110.99995038830676
31,-72.21382804411431,-68.34865555207618,-68.308826578596,-74.29025083519947,-111.05798026244405
32,-72.2616735816688,-87.34684723309381,-69.48400519559222,-111.82270308120735,-111.04373554266121
33,-77.07685727532146,-68.48963446834189,-73.23733144084098,-81.3988809456103,-111.01436257164615
34,-79.75977008709063,-62.75427110825059,-78.5723754110622,280.6996734000723,-111.18674350759015
35,-81.18760582729719,-59.037274983971066,-75.590768825988,10.498613316144727,-110.77731323402003
36,-81.21356147134367,-88.44814001916038,-70.81627529856004,-111.26215463244088,-111.22853869279474
37,-84.00754260353247,-83.60315077213689,-69.2642015217195,-77.48223357766969,-111.26952179694237
38,-75.07302605795597,-48.41759423640491,-80.97610632659992,277.4235136757353,-111.26146446449557
39,-77.09057119179704,-69.7307121729267,-72.6186455240186,-82.58589966628202,-111.19553452700501
40,-87.86339538424299,-72.37409267395952,-72.89502084027541,-108.4576630442782,-111.1297716683168
41,-76.86453527186535,-45.79090568730357,-81.0696371066953,-87.25663732369865,-111.00849141484935
42,-75.75374073360736,-76.92079551269455,-81.43626343337137,-111.72467470412985,-104.78575190918149
43,-79.88604278577817,-43.958734770747995,-92.45498474921597,-66.87831610650508,-110.98871017384963
44,-77.11002265154758,-35.33634925965845,-92.58369874928208,-111.86521527695967,-111.26404250657869
45,-78.06008493803752,-38.476275736358964,-72.35733206974592,-65.722517064811,-111.10678977992882
46,-83.1910741638504,-34.96840606201549,-73.97053964024533,-69.6542170557613,-111.15922048126588
47,-71.45978177571918,-49.16392316324251,-80.18831515002445,-111.24887163023263,-111.22741670301525
48,-73.99596385862228,40.812957485594154,-72.09399971854687,-85.57878991277974,-111.26688681523626
49,-57.7025953540167,-82.46705822744686,-77.322698403595,61.02007244504202,-111.23590383261194
50,-82.57418594195943,-95.24449659696128,-75.84564095513026,-117.11954247961117,-111.09125758635253
51,-84.63179027066008,-66.7978061376447,-68.95153334335673,-27.83317492250461,-110.95735212583095
52,-76.33955512219792,-44.176641795531836,-67.05849333618286,76.72513094059042,-111.06646370141829
53,-55.594871989137225,-59.84872846286953,-76.29344171952198,-70.99915537985108,-111.16575498717775
54,-91.48794795474845,-56.009481993319646,-72.0082296846633,-112.35818260230053,-111.06245673083514
55,-79.75049732460019,-42.49411663344783,-74.38117056500398,-112.03119904618477,-111.23638590108418
56,-65.28842009861174,6.758302082853419,-67.51449092448618,-106.64511097619123,-111.22419202589927
57,-74.98412124412165,-94.41944863676373,-79.88570914513556,-78.82698848208325,-111.19672481471301
58,-81.8469098003246,-89.76624064334885,-77.06460362023115,-112.6845763854875,-111.22474292515685
59,-91.78056301505926,-75.20217123184386,-82.03789771387648,-116.14864318797746,-111.15362945804621
60,-79.71829121308713,-13.150987778730666,-89.92970206206338,-73.89504293954693,-111.05111985848596
61,-87.78524489943558,-95.71863880677637,-83.146583482394,-78.4375721438807,-111.23799351039716
62,-54.386398260033296,-75.48492473229145,-80.50739707989719,-96.44086036705227,-110.76078455707183
63,-39.08591598648649,-51.63931615970776,-76.05368011820778,-110.8154788711175,-111.27657377994184
64,-50.815496085033516,-63.85730053510891,-84.14627716600569,68.87113518482295,-111.17189044764451
65,-69.67561028128925,-72.64383622454713,-89.66339301942226,-106.59640730698841,-111.02484563065009
66,-74.64822638729277,-100.29032432621904,-66.3580462157987,-69.8715710209579,-111.23628613399156
67,-78.12306047505854,-72.38770689008388,-67.94003985832882,-72.23123848255948,-110.99723375466776
68,-87.48069546574105,-85.90346110747942,-83.22272508862484,-108.96828684623695,-111.23002113026257
69,-88.71822147053355,-72.29254246013579,-86.72497987575892,-77.36773484184685,-111.05075294315691
70,-47.687596285238385,-96.9946812711116,-83.78572074543747,-0.5064024843250934,-111.17726919886283
71,-61.070266461449684,-75.6736306324241,-72.84344276070718,-109.77797692031258,-111.0885131711103
72,-75.20495159524182,-54.403878672433265,-82.1779249881444,278.281881036536,-111.12815480908503
73,-65.46163077680292,-71.20039192784083,-74.31127478554049,-98.6488904475936,-111.14951936997846
74,-86.11281253028164,-60.53659572618272,-77.97245435601349,-107.28143349297437,-111.06329299175118
75,-73.49062361476044,-31.818812567956044,-51.90109084869616,-83.42514855639278,-111.24603826173829
76,-75.04102428820606,-38.17898961222628,-75.27325896041313,-76.54765958233672,-111.26162274381518
77,-80.32557071841943,-42.40471040079892,-87.07888266265539,-107.7888315666079,-111.14759760805529
78,-77.04052078581478,-65.1191365520109,-67.27532324662954,-74.18583433342386,-111.25387265547924
79,-71.54637428665349,-37.74325921371537,-85.12211893176473,-59.9151091985932,-110.75399457482374
80,-64.66564609414837,-52.83517682118279,-76.10542041841646,-80.56573484625757,-111.23974877754289
