,It 0,It 1,It 2,It 3,It 4
0,-101.52807,-31.17618,-29.688766,-113.87125,-114.08829
1,-106.408195,-122.98378,-111.25009,-31.618164,-117.357574
2,-128.2218,-104.283394,-113.63359,-118.86108,-116.32434
3,-118.77248,-115.49842,-115.19292,-108.71613,-115.405945
4,-112.0638,-111.794464,-118.009,-112.625916,-25.050032
5,-119.4675,-118.890236,-113.09019,-115.38822,-115.67729
6,-111.56291,-115.33868,-114.28192,-111.64601,-24.044712
7,-115.878365,-31.42402,-114.12702,-111.478455,-17.698055
8,-117.20834,-32.25412,-114.86146,-119.39523,-116.60304
9,-108.920494,-121.0291,-116.7592,-118.02777,-99.62425
10,-117.143265,-103.00048,-123.196686,-111.56732,-29.009476
11,-116.24001,-98.12818,-130.6964,-108.122826,-19.836445
12,-111.62683,-102.29669,-115.00741,-118.755844,-133.99629
13,-23.50847,-99.14144,-119.26674,-112.56739,-19.146025
14,-109.03114,-96.241325,-113.696304,-115.782364,-24.939259
15,-104.04602,-102.35145,-23.949177,-115.735374,-19.952492
16,-107.974945,-103.96515,-28.293377,-118.95875,-16.350275
17,-112.977295,-101.93698,-18.858654,-116.168564,-23.652699
18,-23.481646,-102.98662,-17.404211,-110.1572,-106.146805
19,-12.685682,-102.94961,-18.880278,-117.27746,-114.55602
20,-111.22478,-101.72377,-116.251396,-114.792145,-105.38537
21,-110.18405,-102.676735,-105.72033,-110.26593,-104.65785
22,-111.823364,-101.47889,-17.452969,-112.26297,-106.07988
23,-116.964966,-102.088715,-105.21906,-105.837234,-106.24052
24,-110.53193,-106.8595,-125.273796,-105.42608,-108.26443
25,-31.865042,-32.03535,-110.43781,-104.911804,-125.931046
26,-106.313446,-105.52952,-27.297123,-113.74486,-96.02814
27,-120.88512,-27.95343,-27.942793,-107.98242,-107.22173
28,-13.924667,-99.33437,-107.58461,-31.313099,-101.38902
29,-103.610344,-101.4627,-23.71898,-104.898735,-13.276332
30,-20.509604,-25.043407,-110.94948,-97.3197,-105.77316
31,-108.596695,-115.483574,-15.940786,-111.72057,-18.432669
32,-22.588173,-34.35276,-25.69202,-21.96583,-110.762695
33,-25.21186,-29.55896,-21.755905,-107.759766,-114.22171
34,-121.67364,-102.69949,-106.4896,-24.241226,-102.39241
35,-103.07867,-101.4858,-111.172485,-108.258965,-102.3422
36,-120.182175,-111.52616,-107.30127,-20.071476,-97.861534
37,-103.40095,-104.995316,-32.143085,-27.498957,-19.447132
