,It 0,It 1,It 2,It 3,It 4
0,-105.50912,-23.719694,-25.2083,-23.090229,-101.36815
1,-115.24682,-115.94744,-23.619314,-25.914625,-114.78125
2,-118.44336,-117.895966,-105.14009,-107.15223,-112.71737
3,-107.65145,-113.98143,-112.320755,-112.532036,-119.534836
4,-107.31045,-115.804596,-112.79732,-116.82445,-119.127975
5,-31.478083,-115.6098,-123.98173,-114.33274,-114.5949
6,-116.19983,-119.10608,-126.61633,-118.69333,-117.94504
7,-116.14877,-117.224625,-123.105286,-115.8321,-123.69245
8,-45.57047,-114.57177,-117.66258,-118.66653,-125.56219
9,-35.578728,-118.20305,-118.8179,-115.59517,-123.95783
10,-102.83094,-116.56526,-128.9749,-104.99598,-111.23422
11,-110.97574,-121.85066,-122.54937,-102.38189,-108.189514
12,-19.716984,-117.03679,-113.238,-133.57602,-111.8697
13,-28.314308,-113.979576,-121.59425,-104.183235,-37.118847
14,-29.174816,-110.17494,-117.11959,-104.90743,-37.11715
15,-109.14949,-116.17753,-115.800766,-129.08577,-38.936485
16,-110.87781,-115.63006,-121.49174,-36.87628,-132.40144
17,-23.630331,-116.5472,-107.3061,-117.565704,-111.443054
18,-131.60255,-115.48711,-112.467766,-118.92395,-116.6193
19,-106.81749,-111.77372,-117.88892,-104.265854,-19.532143
20,-107.55566,-113.862,-112.82856,-25.953074,-109.680374
21,-107.66814,-113.0541,-115.235855,-103.86584,-109.4888
22,-37.33333,-33.25002,-106.398636,-112.616844,-113.97639
23,-103.85859,-31.214207,-108.607765,-102.685814,-17.884077
24,-100.9494,-105.31109,-12.305354,-22.828728,-103.747185
25,-121.28645,-21.88008,-21.511343,-108.43844,-110.415855
26,-108.50142,-15.852129,-117.09653,-100.80382,-20.191456
27,-37.0416,-113.19191,-112.74744,-98.2015,-103.14168
28,-144.9774,-20.792326,-112.96468,-103.17724,-19.636406
29,-33.96443,-107.11855,-25.240723,-18.005903,-129.06697
30,-15.399907,-113.50687,-21.48538,-28.062601,-110.41739
31,-24.809053,-102.81614,-112.91359,-102.36787,-110.77596
32,-104.66298,-19.743057,-101.98551,-102.05209,-14.657708
33,-103.54646,-119.27402,-97.68214,-99.65742,-15.793554
34,-101.29474,-135.06735,-15.713314,-25.297176,-116.689865
35,-100.78458,-98.75198,-104.79196,-31.153055,-21.309496
36,-142.2761,-102.32164,-28.049618,-105.022385,-23.532803
37,-102.33283,-12.957133,-27.406906,-22.06705,-15.709247
38,-25.046839,-114.38156,-25.761292,-17.377064,-17.696117
39,-101.119995,-14.283109,-26.98047,-95.378235,-25.485615
40,-104.38095,-13.376321,-25.871532,-26.657381,-21.02364
41,-30.63509,-99.60995,-107.62135,-28.669655,-110.957756
42,-110.68363,-111.10607,-120.07628,-101.96756,-98.14699
43,-102.72625,-114.00537,-24.216114,-18.238955,-13.558765
44,-14.756626,-104.95937,-100.84953,-10.856846,-13.6764765
45,-101.264496,-21.468231,-110.49308,-112.88694,-15.571698
46,-115.26304,-19.964651,-18.982483,-21.063288,-12.699242
47,-110.76068,-16.145784,-21.319103,-103.392784,-15.951449
48,-110.863625,-4.016767,-17.173792,-13.876372,-114.76873
49,-111.354805,-101.10134,-19.83093,-98.80324,-12.248923
50,-18.180527,-108.59423,-21.29141,-16.50821,-117.15889
51,-102.12227,-100.481995,-112.17166,-13.599657,-13.57142
52,-20.730776,-105.77993,-108.314186,-17.551697,-13.111437
53,-107.32615,-12.841096,-101.64115,-14.75769,-6.2315335
54,-23.461506,-121.133804,-114.86321,-13.27636,-16.169662
55,-113.082504,-109.029396,-16.213984,-9.803779,-14.355456
56,-24.379341,-13.583177,-120.50594,-13.009599,-10.731782
57,-98.36298,-109.51067,-110.45699,-8.905437,-12.169803
58,-111.72319,-15.206379,-24.335148,-11.234303,-10.884482
59,-118.19874,-107.04289,-110.64565,-99.39985,-15.541622
60,-102.63191,-111.47581,-99.90649,-18.750673,-12.57991
61,-110.186554,-10.310181,-100.74918,-97.80501,-16.761219
62,-99.57775,-104.169365,-102.06858,-112.18596,-7.4198427
63,-118.2596,-10.589366,-16.683083,-11.6921015,-113.65291
64,-98.0111,-15.442633,-99.796555,-12.366832,-11.412234
65,-18.043318,-11.006169,-99.69084,-12.481019,-112.74814
66,-15.018413,-101.852875,-115.30272,-10.727977,-10.070198
67,-99.89641,-100.06069,-9.094772,-116.499756,-6.9212666
68,-101.91393,-10.463551,-114.60598,-95.05598,-116.24198
69,-112.98455,-14.167194,-12.650124,-16.019491,-7.845191
70,-101.23325,-13.212287,-18.125694,-16.625381,-15.194748
71,-132.06201,-104.02712,-13.501301,-8.998165,-7.9999437
72,-102.75717,-105.97166,-10.317279,-7.864791,-118.92453
73,-97.920616,-97.56601,-117.85757,-4.895983,-7.879197
74,-114.634964,-102.742805,-8.487546,-4.5911384,-100.054115
75,-99.05922,-98.29705,-111.18034,-114.30677,-96.46896
76,-94.52849,-96.88162,-11.278478,-110.99951,-112.44752
77,-14.633693,-10.980283,-122.04845,-6.9408345,-10.912568
78,-18.010117,-7.2841997,-97.542816,-6.2040854,-93.575134
79,-116.007355,-10.23093,-113.80867,-93.38566,-98.640175
80,-103.60794,-96.70318,-112.10528,-7.1294336,-9.903769
81,-98.67539,-7.3241096,-113.040245,-8.4957485,-13.980107
82,-101.502815,-96.30761,-113.887505,-116.088104,-117.90068
83,-97.02082,-109.62886,-111.13683,-118.04959,-7.847483
84,-114.789536,-116.46196,-3.8033557,-16.016705,-13.358833
85,-13.367949,-11.937458,-6.552886,-114.20026,-8.212789
86,-95.70569,-11.172662,-6.2203355,-10.553087,-96.77406
87,-17.184761,-3.084363,-10.634849,-4.3312154,-11.680747
88,-97.11921,-6.823446,-12.936179,-3.135101,-112.91352
89,-100.87391,-114.33697,-112.052055,-12.417022,-4.6314507
90,-8.912965,-114.32138,-96.444145,-14.034783,-122.11367
91,-19.184132,-14.540692,-96.997925,-7.6236844,-1.5122133
92,-96.472046,-8.499347,-8.145511,-6.9851594,-5.6352086
93,-97.25597,-9.963236,-119.93355,0.9654944,-7.121707
94,-96.04189,-113.26538,-111.80617,-3.194878,-10.894072
95,-96.89432,-112.808044,-5.6505804,-94.32642,-113.77126
96,-95.6346,-114.56275,-8.054732,-0.722052,-114.49046
97,-103.46331,-11.579956,-9.896402,-89.437485,-111.021454
