,It 0,It 1,It 2,It 3,It 4
0,-109.2474,-114.48485,-25.786806,-32.057274,-102.393196
1,-28.383585,-113.20154,-116.49489,-109.09492,-27.218204
2,-112.14701,-110.92812,-116.18968,-116.31288,-23.06795
3,-113.68877,-120.7565,-116.223335,-120.02784,-113.68822
4,-112.1311,-119.39316,-115.09772,-107.338974,-114.58284
5,-114.66888,-127.547676,-120.081375,-115.61862,-107.97134
6,-118.03502,-107.46133,-111.86746,-116.015114,-111.37797
7,-114.92334,-112.22356,-123.7177,-117.68676,-117.51544
8,-117.959145,-110.21127,-122.04043,-113.78014,-125.88582
9,-115.1084,-113.57679,-117.62193,-114.78963,-114.03255
10,-116.558685,-109.99614,-122.8391,-112.5794,-120.21661
11,-31.972675,-23.660217,-119.5346,-22.920866,-116.574585
12,-31.317636,-23.978827,-119.09001,-27.325954,-116.81448
13,-31.613428,-20.338274,-131.04839,-27.469812,-116.624504
14,-29.457838,-21.403433,-119.05014,-26.364788,-113.65827
15,-25.601797,-104.60848,-104.50844,-23.481007,-116.573364
16,-27.793,-110.881256,-116.248825,-34.55982,-117.73006
17,-18.185207,-105.14194,-106.37681,-105.74426,-39.89743
18,-103.40508,-101.487495,-107.478264,-108.87032,-38.69652
19,-33.92689,-111.79296,-24.980202,-108.845116,-35.554436
20,-17.060715,-37.233143,-26.859941,-23.840559,-38.389446
21,-7.4734282,-107.76056,-126.97585,-111.32711,-109.3677
22,-14.631879,-33.44404,-106.04581,-28.18973,-124.45941
23,-104.15216,-22.267967,-101.4481,-30.023169,-108.09925
24,-37.28472,-104.076324,-104.08822,-107.782524,-107.413246
25,-105.9204,-20.045073,-116.33263,-109.15256,-107.93352
26,-27.95695,-119.06884,-107.611115,-113.187164,-109.1418
27,-21.268635,-102.45198,-103.49727,-115.68213,-105.91554
28,-19.91483,-106.546616,-23.085047,-107.01456,-25.236118
29,-13.869792,-15.189021,-101.82529,-105.07391,-125.03734
30,-113.89133,-114.178665,-20.228426,-98.801865,-118.38388
31,-23.914639,-102.837555,-105.09832,-116.72508,-107.98676
32,-108.00244,-111.96982,-111.42665,-99.28901,-105.749176
33,-104.11458,-105.14658,-104.811386,-114.29477,-104.87001
34,-24.650536,-114.92881,-101.885864,-101.708374,-40.58953
35,-112.38244,-96.16757,-104.746284,-110.75013,-107.172226
36,-119.97109,-99.1835,-116.767204,-118.875885,-109.88047
37,-122.88315,-99.97073,-24.322989,-31.184797,-27.515238
38,-29.164413,-102.190865,-17.74006,-124.11645,-27.530264
39,-23.799482,-100.57804,-102.754715,-112.73503,-23.785162
40,-114.027245,-112.001785,-16.818666,-111.158615,-109.78243
41,-107.470505,-22.454103,-116.02747,-99.27799,-24.718872
42,-110.830925,-118.8949,-21.456507,-109.876465,-106.13331
43,-108.806145,-115.35666,-28.25541,-105.91744,-106.878006
44,-124.17086,-103.17743,-96.250206,-22.97183,-16.063791
45,-107.48687,-102.68412,-29.094666,-27.255161,-17.837353
46,-104.37236,-31.00713,-111.42492,-22.84372,-100.852486
47,-20.531065,-25.53662,-108.88656,-113.57237,-26.502045
48,-113.82482,-15.964441,-100.18362,-44.610252,-117.50778
49,-104.797585,-99.59364,-107.86781,-107.681305,-118.44376
50,-118.85764,-110.881,-22.643618,-107.44351,-104.80104
51,-102.59676,-109.02641,-108.76614,-112.32119,-101.53871
52,-25.126167,-115.77839,-114.13869,-116.497,-102.85771
53,-18.257553,-103.46129,-102.40274,-15.0855,-104.53547
54,-21.034075,-17.177942,-116.953415,-109.447914,-119.46498
55,-23.569763,-114.38519,-108.428764,-101.30303,-107.99666
56,-114.424835,-102.910065,-17.605915,-103.697945,-103.06608
57,-99.103546,-102.89002,-101.2057,-99.27072,-98.77358
58,-31.134905,-23.421558,-22.795689,-112.04644,-101.16824
59,-23.939133,-104.20772,-115.93186,-100.89284,-121.97307
60,-26.887325,-105.20214,-29.775309,-104.06905,-20.246801
61,-102.811646,-95.082275,-101.56159,-104.14852,-20.079422
62,-112.68057,-101.0322,-102.66539,-125.87207,-23.161934
63,-112.31086,-106.17332,-17.387886,-104.17053,-101.41866
64,-93.187805,-102.88381,-18.890108,-103.26515,-102.60849
65,-98.12998,-125.91736,-100.60153,-101.54344,-120.092926
66,-20.442514,-100.71402,-30.36785,-100.73982,-105.007706
67,-99.08515,-100.41403,-102.536,-30.027222,-121.57413
68,-100.896095,-17.913937,-99.804565,-99.58049,-100.603226
69,-14.389272,-116.4052,-103.21,-98.89004,-113.70793
70,-21.145777,-101.51403,-105.78775,-113.59395,-112.237206
71,-100.05655,-112.859055,-110.43832,-112.571,-110.51961
72,-124.66857,-115.53825,-102.64842,-101.97213,-22.13526
73,-116.566795,-101.661964,-106.36627,-100.23042,-111.70746
74,-22.782192,-104.08093,-108.88313,-32.89304,-102.13003
75,-108.17836,-99.4823,-27.209011,-98.88127,-103.55342
76,-33.830727,-112.162186,-22.099525,-9.97292,-98.24743
77,-23.00033,-109.87024,-101.21894,-100.41246,-103.67925
78,-21.418646,-121.612686,-110.05208,-100.494514,-19.316261
79,-107.66591,-21.419828,-19.69981,-102.55003,-18.498653
80,-115.93136,-112.00147,-16.34846,-101.292755,-107.77397
81,-118.10526,-107.376884,-18.741943,-22.3909,-17.780394
82,-100.87885,-19.099684,-116.048584,-101.805115,-101.02533
83,-102.18176,-116.626434,-120.9618,-104.2118,-116.223114
84,-21.002384,-100.71931,-104.697975,-103.82618,-116.16063
85,-100.37328,-122.61696,-103.36781,-15.747244,-21.606518
86,-119.108734,-134.17387,-14.664102,-102.28998,-22.491693
87,-101.71365,-103.48143,-18.305305,-110.01867,-106.17684
88,-21.00327,-125.096375,-22.554039,-103.5907,-111.852066
89,-110.12242,-119.38806,-114.57762,-96.596565,-97.965065
90,-112.77055,-105.21778,-109.21836,-99.08085,-27.470991
91,-20.383062,-105.26043,-103.46006,-24.52984,-98.7219
92,-107.83947,-105.18511,-102.36013,-24.748981,-100.55733
93,-32.37835,-19.696848,-97.08518,-16.247631,-107.5517
94,-100.00787,-23.280043,-115.29228,-97.98671,-113.871994
95,-20.567415,-111.10239,-101.18209,-109.86128,-101.15228
96,-107.733574,-102.80792,-102.69461,-100.00975,-104.936005
97,-107.51976,-103.62982,-17.84315,-101.81597,-15.652423
98,-28.182098,-24.873932,-22.514006,-101.554665,-20.553528
99,-107.03264,-17.560982,-13.507306,-102.255264,-98.77099
100,-110.02093,-106.508804,-26.856236,-102.79145,-97.878555
101,-100.28724,-112.77166,-103.40524,-100.70968,-99.8372
102,-101.0622,-102.35025,-98.23305,-9.3495,-23.408958
103,-110.1678,-111.33046,-100.95353,-18.594458,-109.75452
104,-111.26015,-115.425545,-11.557711,-29.171022,-101.612175
105,-27.124043,-100.19143,-16.889269,-102.76367,-98.39958
106,-120.15514,-105.13418,-102.67775,-101.520424,-24.157557
107,-111.28272,-97.3321,-103.72362,-16.773031,-109.9635
108,-22.712017,-129.80005,-98.51179,-103.1703,-114.270775
109,-23.07439,-35.901222,-104.64127,-100.046394,-101.31919
110,-100.177635,-109.76365,-22.008352,-104.2778,-115.20889
111,-21.697067,-106.52347,-98.72473,-27.03838,-20.821304
112,-99.10334,-104.9527,-25.87791,-103.86606,-30.186
113,-98.98444,-100.95999,-103.27267,-99.14752,-16.893358
114,-26.714392,-98.42533,-34.058018,-101.10825,-18.732885
115,-109.92398,-110.90362,-111.87142,-100.66291,-20.335476
116,-101.456085,-103.20774,-95.93215,-98.77087,-119.235176
117,-18.34382,-112.40493,-101.57467,-111.5841,-107.1096
118,-108.74591,-100.52157,-100.305,-109.01479,-43.670403
119,-29.11277,-101.48682,-21.742434,-100.991356,-102.97314
120,-108.592186,-100.1865,-36.224667,-97.87198,-100.870705
121,-118.64021,-100.48573,-113.795525,-98.60496,-116.01047
122,-26.260303,-114.20837,-109.49376,-98.20213,-113.72842
123,-117.98784,-105.28499,-100.89622,-101.3678,-8.952254
124,-104.29744,-99.07986,-99.44094,-101.30216,-111.4122
125,-112.776245,-115.62587,-125.04456,-102.00328,-18.22627
126,-106.862175,-100.25429,-24.094456,-111.32421,-111.06769
127,-100.93193,-101.97482,-22.330442,-107.03824,-103.17835
128,-19.199663,-114.35889,-107.31441,-101.010216,-100.90631
129,-117.0222,-135.38045,-111.49513,-105.072845,-98.14811
130,-110.76958,-27.321861,-101.51046,-102.9635,-28.324154
131,-102.27448,-114.823135,-22.287205,-98.388954,-19.42339
132,-101.79842,-117.86509,-102.746994,-16.560238,-97.670876
133,-21.222876,-104.484665,-107.42583,-103.57361,-108.56561
134,-27.17017,-23.819347,-108.523346,-104.08722,-19.361105
135,-21.742376,-19.683012,-119.20585,-101.27902,-96.25797
136,-32.3076,-20.874832,-111.137344,-102.59628,-99.55012
137,-20.90517,-114.291374,-100.99727,-97.37671,-17.924866
138,-23.690916,-104.76567,-98.984604,-112.53743,-22.412672
139,-30.87218,-102.43556,-119.861374,-99.44479,-108.5505
140,-24.509838,-19.618542,-102.682365,-100.75705,-19.463907
141,-117.38814,-113.724434,-99.05445,-17.647957,-107.372635
142,-29.61308,-127.63453,-19.09354,-102.13856,-110.93806
143,-107.827225,-101.99763,-18.779005,-100.26657,-113.35424
144,-117.4221,-108.59108,-16.918547,-96.37068,-106.06076
145,-26.531487,-119.01829,-113.29482,-103.421364,-16.258406
146,-32.159206,-101.80649,-100.42607,-97.72489,-13.475027
147,-108.674774,-111.22412,-114.36342,-99.00824,-99.35845
148,-17.039616,-13.970342,-113.61635,-99.91373,-111.50915
149,-109.74446,-108.67487,-100.07296,-98.02676,-100.90725
150,-23.468618,-106.14073,-99.164375,-99.69807,-15.342102
151,-110.29718,-102.011665,-114.94032,-101.5237,-121.96341
152,-114.515656,-112.96055,-99.88601,-20.046774,-111.09695
153,-115.27402,-99.91944,-111.29351,-98.20631,-113.43206
154,-109.08391,-98.93985,-101.270706,-100.990395,-120.63022
155,-113.94199,-122.39094,-117.11392,-21.89321,-99.571465
156,-128.18881,-111.23229,-15.089316,-97.7129,-99.243614
157,-98.94467,-113.96661,-108.230675,-100.50881,-104.57447
158,-100.34392,-96.92842,-99.74259,-99.80785,-110.15394
159,-30.172085,-99.859146,-105.24293,-98.90132,-24.21741
160,-24.941414,-97.91066,-115.36286,-97.63468,-18.170073
161,-113.20569,-106.2809,-15.740375,-103.8534,-115.56816
162,-33.55039,-105.99322,-15.703818,-111.56642,-112.534676
163,-32.058964,-15.319044,-99.602066,-99.55931,-109.37369
164,-25.349596,-101.287766,-22.771544,-11.548444,-100.87896
165,-36.28471,-104.26239,-100.7204,-14.506427,-101.675026
166,-22.039782,-112.8144,-100.768234,-99.02195,-100.720924
167,-110.46013,-101.45358,-23.089079,-103.34483,-91.692444
168,-37.736187,-112.202126,-19.857754,-95.63051,-98.395256
169,-26.061909,-112.79879,-16.03168,-103.64618,-110.20408
170,-25.266296,-110.5457,-101.121315,-105.24515,-102.65984
171,-28.088373,-100.93642,-103.79142,-8.7596445,-93.65945
172,-110.93359,-102.015526,-99.503235,-93.92473,-127.02732
173,-108.62107,-113.04111,-105.77098,-99.33406,-126.33264
174,-110.03406,-106.555115,-103.90912,-100.78967,-110.90017
175,-25.0635,-10.3949585,-103.50145,-15.864444,-113.67156
176,-23.912613,-100.86139,-97.24536,-100.63301,-120.57701
177,-99.66271,-99.92865,-99.17139,-99.55389,-114.11385
178,-114.49112,-116.881996,-101.11583,-96.99431,-16.859835
179,-110.77102,-99.62828,-99.22546,-96.74045,-112.02348
180,-110.19682,-99.30929,-101.28536,-109.02034,-118.46979
181,-100.74472,-26.115911,-106.40444,-101.95345,-101.40019
182,-114.033295,-113.20778,-96.846436,-100.80167,-13.129609
183,-23.104769,-111.907074,-109.005905,-98.43236,-100.74509
184,-107.86123,-32.10546,-104.731926,-103.84696,-98.82775
185,-109.91303,-98.59945,-15.920809,-103.10973,-118.39882
186,-111.45619,-113.67492,-17.85975,-100.596,-124.136894
187,-108.75038,-111.81228,-12.06184,-110.37039,-99.81149
188,-112.579605,-111.31961,-10.660916,-112.97342,-114.35006
189,-18.780472,-98.54163,-106.00393,-100.57771,-117.1657
190,-114.72969,-97.5296,-14.193503,-97.00817,-103.84525
191,-112.422646,-118.3196,-12.23136,-111.517204,-126.25314
192,-109.57952,-112.920425,-16.489496,-15.131052,-98.737854
193,-21.929558,-7.9749823,-101.23677,-101.33099,-29.48668
194,-31.681221,-97.55892,-111.925705,-114.97921,-104.172424
195,-114.319046,-99.0939,-18.195248,-102.15417,-104.845604
196,-104.83873,-112.365814,-102.46898,-99.951546,-101.7528
197,-21.14883,-106.06539,-110.524765,-103.93489,-104.86537
198,-108.82152,-98.789665,-124.16327,-102.08411,-97.955
199,-107.93848,-97.78563,-13.707613,-101.16036,-117.33729
200,-26.593918,-108.20007,-98.4999,-14.440983,-118.02795
201,-112.5451,-14.965372,-11.102857,-13.870192,-112.44203
202,-108.240234,-97.427605,-113.956566,-100.023834,-129.1962
203,-109.38037,-99.32751,-18.088415,-13.816868,-22.526346
204,-101.49437,-96.09675,-106.60904,-104.30471,-102.26862
205,-8.537379,-102.35672,-18.595907,-99.616936,-99.885765
206,-110.60998,-25.124126,-118.53136,-99.908226,-102.763695
207,-20.61889,-114.77572,-21.200878,-98.51219,-114.772804
208,-106.68755,-96.81325,-17.311312,-100.48129,-98.05612
209,-113.03103,-101.50967,-15.861037,-107.18446,-121.4565
210,-110.21502,-110.885376,-108.94243,-105.51046,-104.101326
211,-111.8076,-100.27561,-110.90039,-18.167206,-18.342186
212,-112.25246,-114.83109,-16.317522,-101.57754,-107.5524
213,-19.852222,-19.87584,-96.33827,-7.802643,-26.860804
214,-22.689917,-102.09488,-10.99158,-95.56799,-103.13495
215,-113.09172,-99.45555,-13.2481365,-103.6227,-104.11258
