,It 0,It 1,It 2,It 3,It 4
0,-36.702213,-34.077217,-120.73355,-122.723816,-109.31324
1,-110.46461,-22.300165,-24.390831,-107.59233,-111.8512
2,-111.6824,-118.63196,-23.132214,-27.997602,-123.9036
3,-120.13239,-112.038574,-25.87379,-124.0609,-110.35979
4,-118.52924,-111.22412,-20.13496,-119.97005,-110.59751
5,-116.51616,-114.06741,-27.526484,-120.57073,-115.42166
6,-114.09594,-117.38036,-112.650406,-118.58549,-118.191895
7,-114.48816,-115.68278,-122.56323,-118.51005,-114.66472
8,-15.799959,-114.04533,-115.809006,-115.814865,-126.788025
9,-119.21399,-111.25801,-120.451584,-119.06766,-108.26352
10,-117.149414,-110.75415,-112.29765,-107.94649,-108.6012
11,-113.46238,-119.24014,-28.5586,-109.74402,-109.81949
12,-102.211006,-119.9599,-29.751245,-101.80449,-107.78352
13,-24.799173,-119.80904,-31.226366,-32.537575,-115.15453
14,-17.318312,-119.39636,-33.380634,-100.93293,-31.711834
15,-16.891586,-115.59062,-39.53574,-108.79263,-23.06463
16,-26.796946,-124.20424,-21.702826,-108.863525,-31.19693
17,-20.303473,-29.732138,-22.003836,-114.54967,-115.802826
18,-23.136148,-31.482244,-19.781643,-104.13691,-115.293884
19,-120.51045,-109.67408,-102.3049,-105.38054,-29.871214
20,-109.2957,-111.29707,-121.8165,-22.266611,-112.64086
21,-116.648506,-123.86422,-103.0405,-109.83249,-114.052376
22,-102.7817,-17.576374,-18.12574,-101.07521,-39.76593
23,-99.33786,-112.84984,-19.59027,-99.43803,-109.149536
24,-105.31552,-114.598694,-108.40982,-20.296858,-115.600586
25,-108.02538,-113.599236,-25.72329,-103.675514,-19.975166
26,-27.473852,-111.832565,-18.825756,-35.726288,-106.25618
27,-19.257294,-16.085104,-110.26429,-102.84031,-106.18081
28,-109.51841,-113.68003,-104.10501,-103.851746,-108.77779
29,-104.682884,-110.21705,-117.899,-21.439306,-22.600962
30,-110.044365,-107.7805,-15.504101,-22.29577,-114.033195
31,-36.58919,-13.044454,-104.42371,-98.527885,-24.067795
32,-108.67618,-114.23704,-114.926735,-104.139465,-20.723621
33,-40.555782,-113.36212,-104.23775,-116.05771,-105.869194
34,-19.504559,-105.552734,-112.726425,-106.520546,-105.78542
35,-22.518038,-18.145967,-105.35389,-27.623285,-103.01644
36,-108.9251,-112.5497,-106.42029,-101.895775,-109.162384
37,-113.22232,-23.46445,-110.0132,-109.89696,-26.396132
38,-35.363674,-22.85203,-109.2788,-17.07293,-104.13883
39,-23.891178,-113.4241,-105.668175,-17.75699,-16.07642
40,-24.624697,-98.71508,-14.864086,-111.91927,-107.68048
41,-123.31865,-24.777594,-117.59694,-28.372877,-16.076008
42,-108.36543,-22.450712,-107.15433,-30.01147,-15.949017
43,-21.80654,-32.115364,-120.225525,-30.217276,-104.21867
44,-107.96032,-26.400072,-111.499245,-101.81832,-102.82651
45,-35.68636,-106.10355,-103.19594,-103.39233,-116.02985
46,-107.38844,-17.09649,-122.62621,-26.705801,-101.283394
47,-112.12841,-103.35873,-113.88646,-104.254486,-108.42248
48,-27.184868,-106.3649,-35.5414,-103.413704,-23.55431
49,-108.97048,-103.3354,-124.64913,-116.48259,-104.104454
50,-28.374039,-115.974556,-97.42557,-110.822945,-23.314627
51,-21.851532,-106.646576,-107.877914,-27.352352,-24.19916
52,-42.096596,-100.886406,-119.347946,-101.75399,-25.920334
53,-23.169847,-18.667217,-107.29957,-14.064128,-38.770714
54,-19.007141,-105.70381,-29.554691,-16.221373,-32.372326
55,-127.61096,-21.44075,-34.344433,-18.777477,-20.288874
56,-104.697845,-101.89965,-101.05439,-105.87538,-119.49931
57,-107.00896,-102.486855,-110.03042,-109.52157,-103.25366
58,-12.460666,-101.52075,-119.25935,-102.58302,-19.138323
59,-17.702423,-101.296036,-121.4614,-101.17821,-24.86492
60,-102.44426,-101.46783,-28.146816,-102.641754,-28.627861
61,-112.86404,-26.215557,-25.743324,-110.53297,-102.67654
62,-107.10127,-102.307816,-29.990545,-110.519936,-115.82786
63,-21.64175,-102.32455,-22.57218,-27.872467,-102.65773
64,-117.94415,-112.993706,-115.30695,-36.969925,-103.61256
65,-101.37951,-110.49956,-131.72845,-26.771536,-101.896355
66,-22.291138,-103.257935,-37.00392,-102.91099,-118.01956
67,-98.40357,-101.946465,-119.05357,-99.9764,-27.74878
68,-27.133688,-104.104836,-117.50139,-15.517004,-23.105394
69,-26.835228,-102.213745,-22.814022,-19.844618,-101.25996
70,-123.620125,-105.86273,-106.61879,-115.40437,-26.084639
71,-22.995104,-27.20004,-105.35859,-103.44463,-124.78575
72,-20.976564,-103.413826,-110.66058,-21.539297,-126.41863
73,-17.288933,-17.072357,-30.980059,-24.400719,-104.80639
74,-111.09662,-101.9332,-16.266075,-105.198456,-107.335
75,-108.9891,-19.307064,-113.07268,-19.289124,-34.02977
76,-113.59021,-111.339935,-118.95677,-20.239609,-106.00434
77,-109.3561,-101.98965,-23.974396,-102.242516,-24.96475
78,-98.9523,-125.54457,-19.980146,-17.825718,-106.56211
79,-100.36932,-116.83992,-105.150444,-114.32237,-98.73617
80,-101.991684,-97.78889,-17.116728,-102.07606,-29.57945
81,-102.89466,-99.50401,-121.32498,-25.623386,-31.814857
82,-20.303318,-105.202805,-100.09935,-22.577946,-36.506058
83,-130.20612,-110.26035,-102.04572,-113.72103,-97.6615
84,-37.457516,-105.24121,-103.68755,-22.855415,-99.559814
85,-100.90923,-118.26955,-20.63634,-111.889275,-101.65735
86,-25.44082,-101.3867,-13.837042,-105.21235,-123.23403
87,-18.019363,-11.8945675,-101.91176,-105.31047,-103.2225
88,-101.62804,-95.953,-100.31926,-102.84574,-31.691149
89,-24.050776,-105.35046,-31.211426,-14.535196,-18.19677
90,-28.286135,-109.12054,-112.16497,-101.06197,-25.081636
91,-24.258995,-20.88158,-29.590038,-22.526104,-98.60756
92,-107.5581,-101.669815,-12.06217,-121.757126,-99.02444
93,-110.86157,-23.518562,-107.985596,-26.631182,-106.99803
94,-12.916043,-105.32714,-110.95409,-113.82529,-97.985
95,-16.242289,-106.6509,-14.15072,-99.13688,-101.07711
96,-109.18889,-113.532234,-110.64189,-108.12334,-110.47952
97,-120.82086,-105.987915,-129.9289,-102.04559,-101.71956
98,-106.08477,-101.10827,-100.36007,-103.59309,-99.19896
99,-113.74572,-98.971985,-96.90769,-110.85909,-102.88322
100,-23.224308,-103.99959,-102.66236,-111.86725,-28.59609
101,-19.292603,-110.10353,-18.482119,-15.702371,-19.434502
102,-16.199667,-18.08231,-99.830864,-110.854454,-25.838734
103,-22.370512,-20.64871,-99.746704,-105.343636,-23.606745
104,-121.90848,-106.926025,-106.40659,-101.67345,-18.569193
105,-106.54051,-26.052675,-14.039706,-22.747128,-115.00433
106,-98.881004,-102.20458,-118.429306,-101.19782,-102.37452
107,-113.36835,-111.58344,-99.32846,-106.45943,-103.79909
108,-124.56381,-101.41097,-101.3702,-26.453331,-102.041275
109,-99.973465,-103.08866,-102.18706,-103.80588,-100.37772
110,-99.24725,-110.769,-111.80886,-113.37239,-111.2208
111,-98.89518,-25.953768,-97.807884,-19.477592,-111.79157
112,-103.69321,-104.04423,-99.68309,-105.67737,-25.469536
113,-21.656507,-29.383755,-103.0575,-112.777695,-16.991566
114,-12.501361,-101.38627,-102.90328,-21.109432,-115.76459
115,-23.69552,-105.57396,-103.93836,-101.673485,-127.1683
116,-100.04289,-100.75937,-20.01152,-97.342,-101.17187
117,-110.69787,-100.976074,-116.70753,-19.470022,-103.92764
118,-111.03452,-105.42558,-102.46387,-22.484404,-19.966944
119,-101.34437,-105.91122,-117.43233,-113.5887,-19.484497
120,-26.192188,-98.720184,-115.751045,-108.47664,-26.72746
121,-111.74664,-99.18282,-99.44803,-102.81614,-101.649994
122,-134.66261,-101.44062,-17.171864,-19.917597,-27.94026
123,-98.39516,-103.869194,-14.922212,-108.151924,-99.86996
124,-98.855156,-117.6122,-99.17818,-20.180153,-103.17578
125,-18.302309,-102.35003,-105.50877,-101.34736,-113.594406
126,-20.149973,-103.04045,-11.325601,-103.657425,-101.036064
127,-11.263084,-20.63011,-20.097876,-104.436806,-101.67171
128,-111.85161,-104.82416,-112.73979,-105.627075,-102.884964
129,-100.694,-103.22231,-100.576836,-104.55691,-120.75839
130,-96.11002,-117.68824,-106.13437,-101.984726,-113.262856
131,-16.44165,-103.0532,-114.29988,-21.116348,-115.47084
132,-112.2294,-13.032977,-114.956,-21.636698,-100.118965
133,-16.0004,-17.486403,-98.603195,-109.66313,-100.728096
134,-112.57253,-104.13573,-94.698784,-23.97099,-97.48909
135,-16.776663,-101.08575,-91.32853,-103.97564,-23.050999
136,-14.256726,-22.084831,-102.001755,-33.720734,-106.337906
137,-22.208347,-101.94055,-6.0811462,-101.36776,-27.091658
138,-128.6675,-16.069326,-17.70769,-101.344444,-18.058773
139,-119.13079,-103.06676,-100.740715,-101.987404,-112.65968
140,-17.422731,-98.56047,-21.820837,-97.901566,-23.863144
141,-114.397644,-18.892303,-106.14221,-21.836887,-100.27394
142,-111.98045,-103.60599,-17.587564,-108.41058,-20.567776
143,-102.20826,-124.70205,-16.636509,-21.047747,-99.81895
144,-111.83056,-23.965147,-8.910109,-118.926956,-15.888376
145,-102.0117,-100.859665,-111.839714,-102.71019,-114.57099
146,-24.259989,-112.83736,-102.96293,-111.27481,-25.356062
147,-118.79055,-112.70022,-29.076735,-19.839046,-28.637655
148,-115.78906,-18.358067,-23.384604,-112.96286,-11.609274
149,-109.99825,-119.004974,-102.97578,-102.23798,-19.215874
150,-112.53656,-110.60487,-10.542766,-99.68273,-16.840076
151,-98.5071,-106.27836,-16.559607,-112.292175,-121.530075
152,-103.22727,-17.761593,-15.341199,-111.95355,-24.602976
153,-111.165474,-17.53769,-14.994724,-101.035675,-99.49226
154,-101.57188,-100.83211,-12.612156,-108.53271,-100.7241
155,-17.89827,-16.09517,-103.689804,-16.899984,-100.75706
156,-15.117439,-104.16647,-104.651566,-18.391735,-105.00205
157,-99.894554,-94.83384,-101.64219,-98.78096,-102.39249
158,-113.315445,-18.26017,-116.98957,-15.075332,-99.16586
159,-101.284775,-101.11617,-93.977516,-102.6671,-21.164238
160,-115.99019,-98.89014,-115.25969,-117.22092,-20.798546
161,-101.316666,-98.23118,-105.42812,-101.11981,-26.29898
162,-99.52487,-109.70122,-110.21298,-100.14637,-100.83999
163,-99.08791,-102.84324,-92.99359,-36.36648,-101.7965
164,-27.90426,-103.122475,-97.73093,-97.657646,-16.375631
165,-117.703316,-103.80098,-123.36744,-13.657011,-108.784706
166,-111.63065,-105.09726,-107.94405,-100.7602,-13.116765
167,-12.340758,-14.766582,-107.03652,-104.06271,-105.94507
168,-108.83573,-102.12312,-18.078741,-102.57569,-26.208101
169,-17.785957,-111.75331,-17.705652,-26.227411,-20.6142
170,-106.81118,-102.911766,-99.528145,-107.68989,-104.83759
171,-100.049614,-95.72426,-99.76057,-103.491234,-22.384878
172,-111.0379,-16.812918,-112.63321,-111.45044,-21.186531
173,-19.895554,-103.90558,-110.51316,-30.152126,-30.552788
174,-99.66535,-24.04523,-100.99267,-102.40665,-101.61309
175,-101.12103,-17.987646,-12.497757,-96.679565,-102.13583
176,-22.562462,-101.87872,-16.948025,-102.81834,-18.909437
177,-101.8974,-105.14579,-13.034268,-100.58041,-121.56682
178,-111.22023,-101.73714,-20.052929,-102.17574,-24.304798
179,-100.84038,-110.22333,-105.13006,-113.9927,-17.156038
180,-17.360554,-12.501224,-107.23411,-102.67025,-24.593079
181,-19.647213,-106.333664,-105.490715,-101.6933,-100.79828
182,-20.110224,-15.076825,-102.36079,-106.938446,-24.323391
183,-99.424255,-102.81519,-94.85628,-111.28821,-116.5362
184,-108.42731,-102.16086,-99.1788,-102.177345,-122.02328
185,-17.8721,-21.603067,-14.565185,-23.248234,-109.329185
186,-100.05314,-97.426315,-9.9544115,-11.334854,-114.259605
187,-109.929245,-18.80626,-124.26529,-100.13995,-114.80435
188,-98.55237,-16.498306,-12.36708,-100.0468,-112.233215
189,-102.5305,-97.528404,-96.11611,-100.744804,-17.627193
190,-99.64767,-17.02021,-20.065828,-19.17509,-18.191504
191,-98.167206,-102.12436,-107.45381,-100.80657,-118.50334
192,-97.77254,-101.13142,-114.14422,-107.79851,-18.09283
193,-99.70152,-110.135666,-97.9035,-111.17762,-111.72863
194,-120.58526,-98.177284,-113.408424,-109.071,-118.42586
195,-110.68339,-16.819666,-12.137893,-103.53666,-111.211555
196,-104.443886,-18.736288,-97.39841,-99.509415,-99.89049
197,-112.99008,-119.94037,-10.74196,-100.45308,-123.28113
198,-13.080372,-108.461784,-22.016052,-97.09041,-115.25871
199,-99.2563,-117.98507,-21.903584,-101.8211,-109.50695
200,-98.046814,-95.817345,-108.684326,-100.84877,-100.09349
201,-9.798411,-21.449362,-14.90181,-100.14226,-114.55721
202,-111.42734,-114.121376,-11.708893,-29.52253,-99.04616
203,-112.80758,-99.50199,-10.741416,-16.532928,-20.21779
204,-102.00597,-103.122986,-12.113118,-118.82988,-109.29796
205,-112.52541,-102.888824,-18.899374,-101.70479,-114.34586
206,-15.612163,-102.03079,-12.887872,-106.37963,-110.60476
207,-115.449486,-13.14071,-14.443438,-101.16479,-99.081955
208,-97.90421,-100.73514,-19.239973,-110.64159,-118.48739
209,-106.04117,-107.9101,-109.677155,-117.518394,-117.76927
210,-102.90801,-16.600727,-21.483849,-103.67774,-112.21514
211,-93.232155,-99.40965,-16.156698,-117.819565,-113.18816
212,-98.86512,-109.77262,-10.841703,-13.739358,-111.83797
