,It 0,It 1,It 2,It 3,It 4
0,-119.77136,-114.221695,-35.87757,-107.467705,-121.660866
1,-29.908836,-124.42088,-23.901678,-118.0601,-114.901985
2,-17.222353,-113.28997,-26.826107,-123.3706,-115.62651
3,-112.26047,-117.20064,-108.41586,-108.821686,-106.040245
4,-112.76587,-115.74712,-118.1431,-121.35281,-113.74747
5,-121.571655,-118.708824,-116.34599,-123.14779,-109.963554
6,-117.4858,-101.7725,-114.65875,-114.460724,-118.653206
7,-118.6586,-110.80535,-117.768326,-113.96524,-115.73578
8,-116.06807,-104.8992,-112.87671,-113.793015,-109.65648
9,-108.9246,-105.666336,-112.080635,-117.79286,-112.891624
10,-110.93308,-106.01334,-116.59726,-118.40637,-114.34951
11,-109.816124,-98.86639,-117.50644,-113.54198,-113.68462
12,-108.20239,-108.66758,-118.75306,-119.09343,-115.76148
13,-107.43615,-99.201675,-120.48454,-116.51429,-44.727245
14,-111.809456,-102.5231,-125.44322,-31.266872,-105.1924
15,-107.658844,-96.881325,-125.66275,-28.89487,-36.695984
16,-108.47882,-121.23943,-122.035065,-23.60433,-121.19962
17,-25.52046,-36.01605,-131.81453,-120.01537,-44.179733
18,-113.19445,-33.50144,-125.71567,-111.31243,-39.492382
19,-116.26367,-94.72309,-117.60125,-122.30378,-114.83439
20,-109.39989,-113.19412,-126.64945,-121.59392,-26.960712
21,-122.03596,-113.4994,-117.766884,-112.46117,-132.52615
22,-108.81232,-114.49141,-113.081894,-22.351725,-13.811611
23,-24.628601,-105.49684,-115.9419,-20.616837,-29.381096
24,-106.76697,-121.16265,-106.590126,-103.89441,-103.299835
25,-108.64082,-113.59454,-106.525116,-14.29344,-107.046616
26,-106.33222,-115.82383,-107.52173,-102.68502,-106.7171
27,-10.185991,-18.823835,-108.38596,-132.81439,-25.42067
28,-100.446884,-107.37062,-13.505142,-124.11369,-125.68661
29,-22.663677,-100.84765,-118.105896,-20.515963,-23.95619
30,-21.21957,-16.601141,-105.50281,-18.979868,-26.238548
31,-17.481546,-21.089941,-109.47152,-26.644495,-16.37478
32,-114.298615,-21.209417,-25.822493,-13.508825,-102.193
33,-18.518484,-111.469925,-108.744286,-110.671295,-112.58107
34,-103.624794,-115.178696,-21.3899,-20.2287,-109.26594
35,-105.40102,-22.846552,-111.94234,-110.540405,-118.00971
36,-25.78036,-100.68526,-105.73513,-12.068242,-108.34881
37,-97.949554,-17.270382,-110.05643,-17.823996,-14.352833
38,-99.3982,-20.85795,-107.42669,-20.509115,-100.52305
39,-16.78373,-112.91497,-26.928177,-107.95412,-19.701023
40,-102.131325,-101.17323,-28.632875,-22.436665,-18.797447
41,-22.485415,-17.175776,-24.259476,-21.017399,-110.55766
42,-19.512064,-101.91294,-124.58685,-105.39299,-16.549725
43,-16.7815,-19.623903,-116.97985,-113.68728,-18.301622
44,-19.461355,-21.405426,-117.103546,-19.587936,-11.6609955
45,-103.16545,-17.674295,-110.718506,-108.96202,-10.716129
46,-14.117868,-97.53113,-103.54187,-104.671616,-113.71984
47,-123.50528,-18.260704,-24.168863,-102.41719,-14.293979
48,-23.906885,-20.530516,-104.767136,-101.46726,-96.9134
49,-108.717285,-16.634132,-22.32537,-107.21258,-110.867615
50,-13.322238,-21.122854,-112.8478,-120.45754,-15.048656
