,It 0,It 1,It 2,It 3,It 4
0,-25.371605,-117.011406,-21.531796,-108.27214,-114.96282
1,-26.959553,-114.648766,-116.55232,-19.550936,-109.18558
2,-111.92008,-110.78816,-114.95294,-17.186083,-116.27709
3,-114.350586,-119.33763,-114.66489,-28.543852,-110.23623
4,-112.86493,-120.90782,-119.00377,-114.39476,-112.42567
5,-117.4973,-117.33029,-121.61683,-112.873276,-111.03433
6,-115.79644,-25.792824,-108.28725,-117.94097,-121.37193
7,-116.333374,-31.012608,-108.12003,-110.33611,-26.386475
8,-115.01557,-125.63385,-115.452866,-117.005585,-103.77442
9,-33.727524,-103.9038,-121.426895,-118.661446,-29.8884
10,-116.859634,-111.51111,-119.60529,-112.125374,-105.58796
11,-30.222198,-104.39907,-120.223526,-112.66198,-105.50897
12,-37.195568,-101.9082,-107.27418,-112.997055,-39.20274
13,-33.36421,-135.1965,-112.11694,-16.297186,-25.387854
14,-30.948168,-102.58648,-118.009315,-24.77741,-108.27073
15,-30.180828,-22.555317,-108.49478,-104.24403,-32.619595
16,-29.435577,-19.503466,-114.39857,-35.061306,-22.791681
17,-105.295425,-109.907074,-113.40899,-111.68093,-37.68743
18,-125.15904,-106.36626,-113.54399,-21.641865,-21.433578
19,-103.48517,-118.21055,-121.85503,-99.94965,-17.93107
20,-104.31844,-20.251898,-117.9463,-106.63747,-27.31848
21,-24.766054,-103.060394,-113.26143,-104.50913,-23.50501
22,-23.653343,-17.133657,-115.10357,-28.988443,-108.49176
23,-17.819351,-19.470528,-118.10948,-104.11667,-22.910555
24,-14.403121,-101.891335,-112.85581,-27.755136,-23.458532
25,-99.03496,-105.36508,-99.76886,-27.891682,-19.571041
26,-102.49339,-117.938805,-111.92008,-110.526794,-102.1344
27,-119.26371,-103.89383,-110.90545,-16.989826,-119.01385
28,-99.137436,-14.073671,-103.51992,-28.112867,-103.527115
29,-106.517624,-111.10074,-24.790184,-116.97345,-13.320052
30,-21.685934,-116.182434,-20.559555,-19.307766,-100.78451
31,-13.346811,-104.62981,-109.25835,-111.6287,-23.493044
32,-18.600742,-107.38219,-107.74302,-35.378494,-105.038376
33,-18.158808,-112.273926,-113.108086,-19.326185,-100.705925
34,-102.43883,-121.75042,-114.37121,-104.25237,-16.42839
