,"Algo generation: 7, gene: (288, 1)"
0,-17.267866
1,-30.022799
2,-113.846886
3,-121.62909
4,-112.59066
5,-118.83635
6,-122.029175
7,-122.93377
8,-113.55675
9,-119.873055
10,-116.94118
11,-112.31673
12,-42.447815
13,-111.09775
14,-27.877619
15,-27.609327
16,-32.720623
17,-34.7447
18,-108.70423
19,-24.434937
20,-103.293846
21,-19.788641
22,-14.655618
23,-13.867144
24,-106.43397
25,-117.26452
26,-103.968155
27,-25.221624
28,-112.18186
29,-22.933487
30,-112.665825
31,-107.51548
32,-26.754055
33,-102.30991
34,-107.86237
35,-103.950035
36,-103.26948
37,-106.68328
38,-29.522219
39,-20.4336
40,-23.944403
41,-99.505714
42,-19.56281
43,-117.65293
44,-107.73117
45,-101.55828
46,-101.61518
47,-115.94684
48,-120.061806
49,-100.56654
50,-95.67406
51,-115.962296
52,-101.35103
53,-16.163927
54,-119.15308
55,-102.186455
56,-29.244808
57,-111.78358
58,-25.615683
59,-20.07278
60,-101.67132
61,-23.602356
62,-20.492668
63,-99.98403
64,-110.48836
65,-102.07436
66,-103.44791
67,-100.05903
68,-15.928581
69,-117.63281
70,-104.46326
71,-116.203575
72,-16.72726
73,-9.086262
74,-112.32814
75,-105.78523
76,-107.71081
77,-114.38434
78,-104.67161
79,-117.69912
80,-106.68273
81,-122.120995
82,-104.776794
83,-102.22636
84,-19.14754
85,-112.93533
86,-101.213394
87,-95.9955
88,-104.28559
89,-115.036766
90,-114.43904
91,-21.90551
92,-122.46603
93,-103.72095
94,-102.665634
95,-110.92454
96,-110.981964
97,-119.128426
98,-102.696915
99,-23.225327
100,-102.42412
101,-19.522411
102,-21.587147
103,-99.235664
104,-106.82622
105,-16.680998
106,-100.787865
107,-18.067343
108,-102.83195
109,-111.254486
110,-115.14264
111,-121.17276
112,-21.532549
113,-105.991615
114,-106.174736
115,-114.93658
116,-102.911316
117,-100.7838
118,-111.40169
119,-100.498726
120,-101.34502
121,-13.193143
122,-18.747753
123,-30.960712
124,-98.80518
125,-115.6604
126,-112.75762
127,-116.544014
128,-98.62716
129,-113.85328
130,-120.695335
131,-17.40415
132,-116.67176
133,-104.07669
134,-96.75639
135,-19.973267
136,-100.65292
137,-111.363266
138,-103.147285
139,-95.43036
140,-97.9572
141,-115.96927
142,-96.92195
143,-98.36599
144,-103.11549
145,-98.415764
146,-102.19995
147,-100.45667
148,-101.48586
149,-92.3785
150,-103.48366
151,-12.616332
152,-100.76465
153,-95.326614
154,-100.21163
155,-94.03641
156,-100.73054
157,-103.86113
158,-105.25392
159,-96.505974
160,-102.00403
161,-111.0519
162,-100.84221
163,-25.72461
164,-100.64783
165,-95.531265
166,-100.597855
167,-102.66944
168,-93.31396
169,-93.90662
170,-106.5729
171,-106.94017
172,-107.04757
173,-99.09004
174,-100.92504
175,-106.41606
176,-103.301575
177,-15.259736
178,-101.78931
179,-113.9999
180,-92.521164
181,-100.603714
182,-111.41997
183,-103.65676
184,-101.9462
185,-32.64927
186,-95.36201
187,-101.16654
188,-92.53255
189,-99.048256
190,-103.26723
191,-108.89907
192,-97.669075
193,-106.06746
194,-109.319855
195,-105.48665
196,-105.370346
197,-97.377495
198,-105.58695
199,-98.55206
200,-108.69073
201,-108.21515
202,-100.08965
203,-105.70074
204,-94.98246
205,-110.39303
206,-112.112175
207,-99.4717
208,-106.664085
209,-107.34757
210,-109.98773
211,-106.205376
212,-107.84985
213,-94.375626
214,-104.69741
215,-92.183556
216,-117.43263
217,-102.68227
218,-110.92289
219,-25.43095
220,-103.363174
221,-113.78463
222,-99.770706
223,-128.79425
224,-101.16753
225,-97.91232
226,-98.04631
227,-101.37005
228,-93.51725
229,-124.48312
230,-97.95845
231,-97.24777
232,-98.80735
233,-19.59719
234,-95.19145
235,-96.76437
236,-96.80792
237,-103.99352
238,-92.997665
239,-99.19403
240,-106.259155
241,-96.35549
242,-90.982315
243,-101.00012
244,-97.831
245,-95.01065
246,-96.08137
247,-100.75737
248,-109.62851
249,-115.44404
250,-93.452896
251,-89.23646
252,-90.74332
253,-96.66594
254,-95.5263
255,-96.48632
256,-98.02749
257,-94.44511
258,-100.12449
259,-99.5915
260,-99.5748
261,-100.99854
262,-98.55071
263,-101.56016
264,-121.781
265,-100.070114
266,-99.40516
267,-94.98159
268,-97.636765
269,-95.96593
270,-95.24708
271,-103.014725
272,-98.020615
273,-103.8146
274,-102.28698
275,-100.00798
276,-105.74646
277,-97.81403
278,-103.56423
279,-103.92575
280,-9.81221
281,-98.37718
282,-92.67512
283,-11.146993
284,-92.78681
285,-98.29982
286,-103.65574
287,-117.027695
288,-101.74116
289,-106.026146
290,-94.79216
291,-94.1302
292,-100.22818
293,-103.86068
294,-99.13707
295,-104.80979
296,-95.5137
297,-96.30845
298,-95.63536
299,-98.07466
300,-98.04485
301,-100.64783
302,-93.88636
303,-113.58469
304,-106.64154
305,-103.98866
306,-99.55713
307,-99.149635
308,-105.96151
309,-101.47602
310,-102.79732
311,-104.31476
312,-102.29312
313,-95.38163
314,-102.58244
315,-102.31163
316,-94.828705
317,-103.24211
318,-98.55225
319,-102.44747
320,-97.6138
321,-101.90467
322,-102.75067
323,-99.93308
324,-105.10442
325,-99.68744
326,-11.137542
327,-97.54029
328,-100.945496
329,-99.66433
330,-104.893326
331,-105.83853
332,-104.75145
333,-101.802
334,-101.397804
335,-101.45586
336,-102.862335
337,-105.62816
338,-10.91425
339,-108.045334
340,-104.97137
341,-103.761475
342,-104.25465
343,-91.14306
344,-105.393616
345,-95.73526
346,-101.832214
347,-102.8913
348,-102.15013
349,-104.92252
350,-107.01595
351,-4.854168
352,-101.754105
353,-95.71777
354,-105.259575
355,-105.68223
356,-103.85972
357,-104.784836
358,-105.98155
359,-110.75935
360,-110.57122
361,-107.17677
362,-106.397545
363,-106.52019
364,-105.60178
365,-105.82424
366,-102.853424
367,-102.06346
368,-101.604416
369,-105.92983
370,-105.68766
371,-106.37236
372,-108.034676
373,-106.809456
374,-105.45912
375,-19.501389
376,-26.706139
377,-102.54651
378,-20.765413
379,-21.393564
380,-21.558828
381,-23.003796
382,-20.528624
383,-17.616371
384,-100.08366
385,-105.42517
386,-106.967804
387,-100.08827
388,-105.339424
389,-104.71097
390,-107.12818
391,-95.41496
392,-109.86167
393,-41.185013
394,-39.40149
395,-94.30704
396,-104.03739
397,-88.65822
398,-104.08366
399,-107.18243
400,-105.68093
401,-106.419075
402,-105.6198
403,-106.77332
404,-105.78905
405,-104.997536
406,-105.65385
407,-106.51244
408,-107.34198
409,-98.88808
410,-104.05042
411,-98.92509
412,-102.71798
413,-103.51816
414,-103.96118
415,-103.48735
416,-104.22028
417,-90.146866
418,-107.51358
419,-97.185486
420,-103.690674
421,-107.789055
422,-108.2666
423,-108.03132
424,-107.70381
425,-97.128525
426,-92.16316
427,-100.44019
428,-101.25507
429,-85.70408
430,-96.10148
431,-15.241098
432,-4.753181
433,8.928393
434,-92.97422
435,-97.64486
436,-98.95074
437,-95.53419
