,"Algo generation: 1, gene: (250, 1)"
0,-120.907074
1,-23.960154
2,-106.13904
3,-108.127525
4,-121.03216
5,-124.34039
6,-114.592186
7,-114.03104
8,-108.75974
9,-121.349884
10,-108.34343
11,-110.82543
12,-109.50844
13,-107.06579
14,-118.81221
15,-107.17323
16,-41.36581
17,-32.418617
18,-40.1278
19,-110.196754
20,-118.67604
21,-33.479546
22,-27.43377
23,-104.88989
24,-106.51464
25,-103.56677
26,-105.4743
27,-112.771
28,-103.86334
29,-29.642366
30,-101.528656
31,-109.48849
32,-118.448975
33,-109.026955
34,-106.86412
35,-28.197023
36,-100.37279
37,-122.237946
38,-30.685051
39,-101.26921
40,-129.90814
41,-108.511246
42,-103.54491
43,-28.41543
44,-26.361408
45,-24.016191
46,-100.571884
47,-38.23272
48,-108.14202
49,-23.06488
50,-26.400589
51,-104.38663
52,-114.9956
53,-32.542374
54,-108.28049
55,-29.548777
56,-108.17908
57,-111.30918
58,-104.82673
59,-109.08314
60,-22.132296
61,-24.808495
62,-102.20973
63,-102.85655
64,-104.32585
65,-103.50357
66,-104.11352
67,-111.36412
68,-113.54922
69,-98.74758
70,-93.6469
71,-100.71097
72,-102.79785
73,-113.38087
74,-103.57535
75,-103.3801
76,-30.140394
77,-100.35101
78,-126.94167
79,-126.233
80,-24.557817
81,-28.710018
82,-108.98228
83,-25.581875
84,-27.911072
85,-109.47383
86,-102.434525
87,-112.44688
88,-110.471306
89,-99.1084
90,-100.56225
91,-101.31795
92,-34.613068
93,-112.346176
94,-102.67389
95,-108.95807
96,-31.255424
97,-115.42827
98,-29.023554
99,-97.038666
100,-34.136955
101,-110.98117
102,-101.21082
103,-99.99326
104,-102.942566
105,-99.70977
106,-100.19849
107,-119.63228
108,-98.56887
109,-99.51091
110,-102.205505
111,-36.738834
112,-97.762886
113,-116.97009
114,-100.231026
115,-105.022125
116,-121.743515
117,-102.89198
118,-120.251236
119,-99.49708
120,-121.293976
121,-101.57787
122,-103.92334
123,-100.343704
124,-14.167812
125,-112.75362
126,-19.663412
127,-101.256454
128,-101.003426
129,-100.30453
130,-103.12099
131,-100.31099
132,-101.25077
133,-29.724838
134,-23.166004
135,-118.39945
136,-28.269321
137,-119.70265
138,-118.28421
139,-101.59316
140,-100.99793
141,-23.76906
142,-102.71191
143,-31.593372
144,-118.45747
145,-101.734604
146,-100.78137
147,-116.92627
148,-103.20006
149,-102.4333
150,-118.36695
151,-100.76653
152,-19.303358
153,-20.673178
154,-102.19691
155,-20.703926
156,-114.33681
157,-98.91529
158,-100.30902
159,-111.17492
160,-100.6091
161,-23.117876
162,-135.571
163,-132.30795
164,-99.63289
165,-26.15738
166,-113.65222
167,-112.90947
168,-101.767235
169,-102.39901
170,-17.07958
171,-19.068691
172,-106.096
173,-99.86281
174,-111.30258
175,-112.095955
176,-104.91292
177,-100.75675
178,-112.682945
179,-103.9039
180,-102.19709
181,-101.68556
182,-99.265
183,-101.56517
184,-113.53573
185,-105.765884
186,-105.997665
187,-106.31622
188,-26.876879
189,-17.324589
190,-97.5873
191,-103.87692
192,-97.84797
193,-103.64618
194,-102.33374
195,-104.238815
196,-108.64405
197,-29.113947
198,-101.70644
199,-104.16919
200,-105.00558
201,-100.45204
202,-102.70333
203,-101.8196
204,-100.658104
205,-101.83728
206,-99.06328
207,-104.38474
208,-101.876274
209,-102.417076
210,-101.463326
211,-102.4732
212,-115.14317
213,-105.26602
214,-26.846605
215,-108.333466
216,-103.50051
217,-101.262764
218,-98.70461
219,-103.53794
220,-109.87311
221,-100.837166
222,-102.90229
223,-100.909874
224,-104.97662
225,-99.11361
226,-103.13791
227,-104.6423
228,-98.19175
229,-100.85875
230,-110.845955
231,-100.04863
232,-102.91362
233,-101.74105
234,-108.632774
235,-99.19144
236,-105.95881
237,-102.64736
238,-104.02638
239,-101.848656
240,-102.281555
241,-107.09043
242,-102.527176
243,-101.658844
244,-97.70545
245,-127.41178
246,-105.059975
247,-106.14821
248,-107.213104
249,-106.45801
250,-106.05059
251,-22.522017
252,-144.67639
253,-104.81406
254,-105.10786
255,-101.52132
256,-103.37555
257,-104.32647
258,-21.032305
259,-101.57372
260,-99.20378
261,-100.58196
262,-103.74051
263,-124.699715
264,-104.77953
265,-102.793915
266,-98.647224
267,-101.08232
268,-102.68963
269,-123.79935
270,-105.041725
271,-102.33731
272,-108.24173
273,-107.2947
274,-103.83334
275,-102.6601
276,-101.259056
277,-103.22228
278,-100.73559
279,-100.753426
280,-102.87303
281,-105.029144
282,-104.347466
283,-107.34975
284,-105.53735
285,-105.79589
286,-99.9858
287,-103.516556
288,-101.48851
289,-101.091324
290,-135.25397
291,-101.024895
292,-103.91987
293,-100.06505
294,-99.0324
295,-96.03572
296,-101.93216
297,-101.225204
298,-101.670784
299,-105.78332
300,-117.69401
301,-86.57199
302,-101.072365
303,-100.33715
304,-102.889854
305,-106.22444
306,-98.39309
307,-100.53276
308,-107.344604
309,-107.79218
310,-103.99988
311,-108.505615
312,-108.44417
313,-106.81396
314,-109.11881
315,-28.20694
316,-99.51438
317,-102.77355
318,-101.96871
319,-102.80815
320,-102.91026
321,-93.0544
322,-96.07283
323,-97.10001
324,-103.3012
325,-99.319855
326,-100.224045
327,-110.95653
328,-99.78176
329,-31.203094
330,-100.83044
331,-98.89746
332,-109.55594
333,-106.4375
334,-106.44451
335,-104.459885
336,-120.52979
337,-104.476074
338,-106.74889
339,-103.98532
340,-108.81441
341,-104.17888
342,-106.5073
343,-121.37195
344,-101.97691
345,-35.361374
346,-106.02516
347,-110.37169
348,-110.061966
349,-107.17872
350,-103.46892
351,-100.28931
352,-101.94342
353,-102.61908
354,-99.745895
355,-100.982544
356,-106.1225
357,-102.55689
358,-103.5459
359,-105.47249
360,-104.56527
361,-102.94785
362,-100.27285
363,-101.77239
364,-101.92356
365,-101.47754
366,-100.580376
367,-103.54493
368,-103.1859
369,-102.60574
370,-102.28279
371,-99.56038
372,-102.3994
373,-101.625336
374,-100.70275
375,-100.01793
376,-101.13192
377,-101.793106
378,-102.11271
379,-104.3431
380,-104.06741
381,-105.57374
382,-104.49886
383,-103.75123
384,-102.634384
385,-100.8951
386,-107.728386
387,-102.29144
388,-101.998634
389,-101.19894
390,-100.567444
391,-100.897995
392,-102.34096
393,-101.42966
394,-125.83003
395,-102.7481
396,-102.707344
397,-110.106384
398,-109.72776
399,-109.46193
400,-107.24495
401,-104.804
402,-103.96466
403,-104.32008
404,-105.58199
405,-106.47195
406,-103.239624
407,-103.15842
408,-103.57495
409,-103.58894
410,-102.74626
411,-104.620636
412,-102.91647
413,-102.28516
414,-101.06732
415,-101.20762
416,-101.23781
417,-101.89867
418,-104.26249
419,-109.168365
420,-130.86858
421,-118.96025
422,-107.60994
423,-106.16522
424,-102.47533
