,"Algo generation: 5, gene: (114, 3)"
0,-118.03379
1,-116.15079
2,-115.12535
3,-115.78032
4,-120.98019
5,-111.558975
6,-113.13084
7,-118.935265
8,-108.11765
9,-111.06836
10,-114.59283
11,-116.18363
12,-114.61311
13,-116.529015
14,-103.283844
15,-105.97671
16,-109.85972
17,-23.117262
18,-106.24309
19,-19.522003
20,-103.76138
21,-15.666668
22,-18.193134
23,-21.828165
24,-106.603546
25,-19.58996
26,-21.838345
27,-97.85872
28,-106.27152
29,-112.646515
30,-102.51408
31,-21.249235
32,-100.02148
33,-100.3722
34,-101.997665
35,-104.08201
36,-99.26149
37,-100.15552
38,-106.49632
39,-103.50645
40,-20.654608
41,-27.895754
42,-23.725754
43,-104.17221
44,-104.28032
45,-26.14169
46,-19.386091
47,-117.32346
48,-18.885237
49,-102.74017
50,-35.886127
51,-25.740572
52,-15.554717
53,-12.910206
54,-103.20798
55,-32.76052
56,-29.283585
57,-102.51003
58,-101.87524
59,-106.612335
60,-17.016842
61,-104.025986
62,-24.204865
63,-99.64321
64,-103.97838
65,-22.674614
66,-25.596079
67,-104.63125
68,-24.19661
69,-33.14865
70,-24.312904
71,-32.647934
72,-99.59405
73,-28.86656
74,-114.09469
75,-31.099388
76,-26.124752
77,-101.50247
78,-108.582664
79,-28.331438
80,-25.89921
81,-18.048439
82,-113.80465
83,-117.54756
84,-111.365036
85,-113.45744
86,-123.719536
87,-114.65329
88,-24.288582
89,-113.27547
90,-120.58277
91,-115.88294
92,-105.74698
93,-117.09699
94,-112.112434
95,-102.01462
96,-103.44051
97,-99.26826
98,-99.096466
99,-112.66344
100,-104.32998
101,-26.95268
102,-96.398384
103,-37.96757
104,-22.78311
105,-26.20805
106,-29.62704
107,-33.508934
108,-100.39395
109,-105.794815
110,-115.32768
111,-100.70476
112,-104.79434
113,-29.26426
114,-29.158958
115,-103.035286
116,-27.858679
117,-102.624886
118,-120.096664
119,-16.985407
120,-99.12765
121,-22.445263
122,-33.153355
123,-39.33336
124,-38.372574
125,-122.75615
126,-100.82707
127,-107.10846
128,-110.77835
129,-117.97406
130,-105.42416
131,-107.656746
132,-26.560333
133,-16.334827
134,-16.740013
135,-19.82812
136,-16.106382
137,-99.62709
138,-17.221739
139,-98.36639
140,-100.91054
141,-101.98368
142,-24.600988
