,It 0,It 1,It 2,It 3,It 4
0,-113.61548,-100.55169,-22.827864,-116.14955,-107.59004
1,-116.659225,-19.819986,-30.554525,-107.610435,-31.447008
2,-118.38955,-25.586412,-120.092804,-25.696558,-22.995203
3,-111.72379,-118.68821,-119.97563,-114.45189,-116.97488
4,-114.61332,-116.708496,-122.248085,-123.075935,-119.73589
5,-109.91026,-116.40823,-117.394554,-116.95476,-112.61373
6,-114.067116,-125.27135,-32.09531,-116.832245,-113.33926
7,-116.33416,-114.47251,-28.877834,-123.0225,-115.33158
8,-114.66741,-32.280144,-107.594505,-109.32481,-111.67592
9,-115.131836,-29.574165,-104.05588,-125.417114,-115.936066
10,-114.91811,-116.12983,-104.88861,-105.65423,-119.46724
11,-115.12322,-117.528564,-26.55132,-32.33458,-111.14471
12,-119.479294,-114.15724,-108.43983,-114.21585,-102.8843
13,-114.93528,-28.880474,-115.25653,-112.059685,-102.5658
14,-119.632675,-29.82452,-112.00315,-111.41985,-96.667534
15,-113.35894,-108.556915,-115.32419,-106.32177,-113.34453
16,-118.47525,-27.047314,-25.025234,-122.36584,-22.265419
17,-115.804306,-114.503716,-103.94274,-110.21794,-30.960087
18,-118.74297,-106.784004,-15.349164,-116.13368,-102.661095
19,-118.88472,-103.78875,-22.537983,-24.902695,-101.82527
20,-109.42033,-104.20698,-104.65901,-114.40785,-16.734718
21,-114.92842,-112.18167,-119.63456,-21.767569,-115.43914
22,-25.042896,-23.093113,-104.60282,-18.87862,-104.46668
23,-114.21131,-28.218477,-21.089401,-104.63198,-119.43726
24,-31.823671,-27.698954,-130.4374,-103.33788,-20.019476
25,-116.26951,-111.895195,-102.092026,-119.95831,-101.92445
26,-121.02049,-23.91686,-116.78375,-107.533714,-108.50217
27,-31.783955,-26.330202,-18.925446,-102.06263,-101.70137
28,-104.64964,-106.176,-102.39499,-112.116806,-110.55745
29,-114.534355,-129.34326,-104.868095,-109.69872,-17.706327
30,-103.001854,-105.77956,-109.72916,-19.787327,-16.816
31,-116.64881,-103.565216,-19.07495,-18.313087,-102.95886
32,-107.404305,-100.895355,-22.887884,-26.47015,-18.880812
33,-115.43469,-115.020546,-20.266916,-108.75214,-117.11918
34,-20.07829,-20.74636,-21.285088,-114.12882,-106.91144
35,-102.599,-104.150856,-24.63012,-114.59972,-120.05152
36,-28.112186,-100.508354,-24.976255,-21.389704,-102.413
37,-25.130245,-100.6435,-114.35792,-110.02232,-109.66397
38,-104.777916,-15.002393,-24.48284,-106.096405,-114.98808
39,-23.016409,-102.466965,-33.578182,-122.224106,-107.330696
40,-23.451849,-101.84109,-22.503073,-29.00091,-101.58106
41,-126.178894,-110.84346,-103.48222,-99.139626,-23.794603
42,-101.835335,-107.43514,-110.662186,-104.351074,-110.82817
43,-100.845665,-105.430145,-22.517982,-110.67183,-104.50861
44,-29.677473,-95.30562,-103.20132,-102.88297,-24.061619
45,-26.627943,-107.7137,-109.67045,-28.813366,-112.10468
46,-30.186844,-101.9825,-103.13351,-106.75112,-101.006256
47,-104.92499,-22.770954,-28.14969,-105.97829,-31.816723
48,-22.603695,-93.23138,-34.554054,-23.405714,-109.21817
49,-31.62498,-117.57915,-21.246382,-12.60201,-116.514275
50,-105.11875,-107.386444,-100.158424,-105.054634,-102.61787
51,-25.376028,-107.03663,-113.274765,-21.202198,-102.28972
52,-102.24559,-100.66948,-17.92753,-18.860594,-115.34254
53,-28.981436,-112.12159,-20.770655,-112.13187,-101.79768
54,-102.67314,-110.19201,-20.078318,-110.617546,-102.06982
55,-18.122854,-103.167915,-97.626625,-26.39713,-108.984146
56,-103.46221,-100.86832,-102.02033,-18.423376,-102.285324
57,-102.89395,-100.49915,-99.927155,-23.932058,-117.54779
58,-109.51701,-101.71427,-19.944904,-29.222778,-109.265465
59,-114.15953,-116.9169,-18.062717,-22.567549,-102.414246
60,-104.17604,-114.88736,-16.723469,-104.4154,-103.41906
61,-105.397644,-114.91238,-31.54824,-105.39413,-9.530449
62,-24.911173,-131.12128,-14.985841,-22.199636,-101.57611
63,-119.705444,-13.715542,-12.46417,-19.357502,-102.72274
64,-108.90685,-110.56551,-17.935587,-18.413147,-109.86684
65,-16.512733,-30.158453,-103.499016,-12.850732,-112.71168
66,-101.77492,-25.486992,-20.222395,-15.701212,-111.38771
67,-22.570063,-116.045364,-114.20266,-109.62762,-98.153305
68,-29.62229,-117.20553,-96.86175,-17.995182,-18.36741
69,-28.33156,-33.743603,-23.276077,-22.364845,-100.21055
70,-33.646286,-99.95709,-23.605247,-111.91638,-22.266045
71,-101.96688,-104.378555,-20.14875,-20.288681,-101.76089
72,-103.81813,-29.07583,-14.049151,-26.743446,-25.732851
73,-18.348637,-102.78636,-115.28386,-104.42579,-19.065702
74,-26.10597,-105.11843,-21.735554,-112.08368,-26.433264
75,-111.90017,-33.131443,-22.65812,-23.512568,-102.99112
76,-102.69329,-110.28376,-20.642944,-19.763763,-111.83656
77,-112.68714,-124.42283,-103.6906,-26.155836,-97.37311
78,-105.754265,-20.23163,-97.75511,-102.98584,-96.156044
79,-104.24383,-16.857588,-101.16869,-20.984003,-23.620317
80,-103.01366,-116.587006,-99.879425,-104.35572,-100.263695
81,-108.640434,-23.149723,-111.54433,-116.22028,-110.25937
82,-15.027396,-22.449936,-15.612312,-15.806516,-113.96144
83,-109.96866,-113.73012,-112.26392,-29.360163,-100.72193
84,-35.190662,-110.707726,-18.299545,-23.22469,-111.83624
85,-31.173746,-103.06803,-97.35057,-103.86467,-25.975897
86,-100.42096,-100.463104,-18.623396,-115.01659,-29.196241
87,-102.10627,-110.26439,-36.06022,-111.73645,-103.80699
88,-23.416569,-103.01422,-19.688173,-23.678312,-38.636475
89,-105.272705,-101.75253,-113.53232,-110.556465,-30.498917
90,-23.895071,-112.76859,-108.447845,-100.85951,-107.78494
91,-119.69926,-117.01439,-106.65439,-14.5374975,-26.361683
92,-97.82755,-111.04394,-100.08633,-24.642721,-112.48724
93,-109.19,-100.543335,-114.68212,-25.59019,-21.608545
94,-21.054409,-98.5346,-111.05237,-28.174068,-135.42175
95,-102.78912,-101.355606,-111.01311,-107.61674,-104.01182
96,-103.217865,-29.01189,-102.254295,-104.27539,-27.096766
97,-103.680595,-28.20175,-105.062775,-103.907074,-33.7119
98,-35.86069,-32.2468,-19.905745,-24.484882,-28.741875
99,-107.44988,-111.701065,-100.72386,-15.260977,-103.49673
100,-107.43336,-139.08243,-100.725555,-21.27618,-29.614325
101,-17.404226,-36.985462,-32.432938,-102.42581,-24.788141
102,-108.11131,-43.81318,-101.724686,-109.28273,-26.905746
103,-111.72795,-101.920105,-22.64541,-20.363176,-21.506754
104,-109.555725,-99.435814,-19.9367,-26.29995,-100.9848
105,-107.6012,-99.294754,-103.01909,-93.31806,-100.02847
106,-15.319992,-27.745426,-106.3464,-20.918135,-103.3374
107,-27.893711,-101.88771,-119.15906,-26.388718,-17.523325
108,-104.50221,-33.191742,-100.22267,-33.40345,-13.863333
109,-98.68611,-98.41833,-22.360409,-113.0377,-102.70582
110,-22.123589,-113.07876,-21.235807,-103.833015,-101.968216
111,-11.38339,-100.470955,-24.528618,-111.321,-103.270515
112,-108.110054,-25.63043,-24.230738,-35.729042,-25.801373
113,-107.37935,-29.387157,-107.0105,-113.29225,-37.794205
114,-22.519827,-101.30983,-100.12114,-105.87033,-22.59048
115,-109.30044,-44.85922,-23.900557,-23.119543,-23.249151
116,-103.4746,-113.7503,-106.9772,-26.339401,-20.007853
117,-103.28725,-38.9553,-102.16591,-103.446396,-100.83538
118,-103.76532,-28.616144,-16.758581,-110.50326,-99.31644
119,-101.08814,-37.35507,-99.91573,-100.946945,-115.82262
120,-105.12117,-96.224464,-100.689384,-109.34039,-30.057919
121,-102.21606,-20.917269,-26.219091,-20.294853,-110.58963
122,-105.32658,-46.53248,-22.252897,-100.71331,-109.36582
123,-17.133038,-103.24231,-99.560074,-115.4801,-27.915579
124,-17.202564,-34.37511,-99.45129,-109.89675,-102.50833
125,-109.009445,-37.08938,-106.22734,-102.868385,-17.826006
126,-20.860163,-34.638615,-111.479324,-112.23614,-105.06199
127,-21.234924,-104.83701,-104.21178,-103.05301,-29.699331
128,-21.769066,-31.149946,-108.18301,-107.49637,-14.8065195
129,-108.13733,-97.70273,-23.666985,-108.65016,-13.799822
130,-97.43225,-103.35404,-103.89317,-22.103714,-109.46712
131,-101.228775,-105.82329,-30.687128,-19.763689,-37.4063
132,-23.88062,-103.26778,-25.144545,-103.164734,-26.821823
133,-26.217176,-120.04492,-109.44154,-16.163313,-32.25581
134,-101.51926,-23.30273,-103.77983,-107.48253,-102.632965
135,-12.681011,-35.992157,-107.7216,-100.72224,-101.846016
136,-111.67293,-36.41845,-29.541418,-120.711494,-98.957825
137,-101.217354,-148.52661,-28.89962,-105.10661,-106.61398
138,-103.17557,-107.53581,-20.091923,-23.474834,-14.064508
139,-18.014679,-42.074677,-104.26418,-102.49351,-112.18423
140,-99.42237,-24.188124,-99.11558,-25.438993,-125.069954
141,-106.64541,-26.006329,-30.11526,-102.86502,-99.985054
142,-29.060884,-102.98366,-99.98893,-26.761063,-107.13771
143,-114.12556,-35.517635,-115.99004,-27.576834,-104.14767
144,-18.096516,-98.95473,-22.286318,-99.71434,-27.58252
145,-28.589994,-101.474976,-100.5214,-106.06799,-27.939077
146,-105.91631,-21.511082,-100.96295,-102.66183,-99.480125
147,-22.48614,-105.08234,-101.87258,-106.317085,-105.27251
148,-32.26586,-102.43202,-110.85251,-107.0967,-102.66933
149,-33.181942,-105.2773,-102.26515,-32.4791,-99.31232
150,-27.637646,-31.54354,-95.6953,-112.153305,-101.917175
151,-102.7517,-109.646736,-19.119858,-26.004276,-98.31654
152,-23.463562,-25.107454,-97.735504,-105.265236,-18.813332
153,-24.993954,-106.137085,-32.782585,-20.42461,-117.57147
154,-20.330956,-104.9187,-101.63767,-101.87758,-98.58332
155,-28.435575,-103.04448,-27.11633,-21.915936,-11.739604
156,-29.961866,-103.36173,-102.49024,-113.36371,-114.37269
157,-27.886343,-101.0666,-100.6485,-100.337685,-21.759222
158,-19.97923,-102.982086,-24.278475,-24.676659,-101.68957
159,-100.81417,-103.33965,-101.728004,-107.368774,-113.38627
160,-114.32297,-101.336464,-99.11655,-29.202133,-101.31785
161,-101.33918,-103.678246,-98.798225,-22.542158,-103.62461
162,-103.48292,-101.47146,-22.861252,-121.584015,-103.000984
163,-20.521393,-110.75875,-100.181366,-103.026505,-22.078344
164,-19.880337,-103.143486,-103.41611,-103.25461,-112.61545
165,-107.23681,-100.33077,-23.867025,-101.02006,-100.36109
166,-23.725391,-29.818235,-102.93804,-102.00269,-111.81743
167,-102.616486,-98.4451,-104.9091,-102.90098,-104.211334
168,-100.793816,-102.80429,-103.62679,-23.040808,-114.37918
169,-98.1383,-106.29577,-98.33344,-103.24535,-101.15109
170,-14.763436,-112.473175,-103.91194,-117.17203,-106.13251
171,-99.659996,-109.499504,-101.295685,-107.44681,-105.10884
172,-99.58144,-38.544952,-100.42722,-104.02433,-106.42636
173,-100.060425,-28.561193,-24.624697,-23.688488,-102.915474
174,-22.901167,-105.24673,-101.25094,-108.15605,-103.377945
175,-98.65591,-29.677404,-118.712494,-103.74828,-124.44896
176,-29.240965,-100.47259,-102.17469,-101.54631,-104.47649
177,-27.212841,-100.93732,-99.09859,-28.715317,-104.896286
178,-23.001415,-106.616905,-99.49318,-12.803072,-102.08187
179,-100.19101,-25.930471,-98.55784,-110.159676,-100.56546
180,-103.58435,-104.02247,-107.98047,-104.03964,-101.25894
181,-101.00313,-103.71349,-107.65744,-108.35079,-112.5914
182,-19.030336,-102.828804,-32.147778,-14.432353,-100.069405
183,-97.517975,-102.65559,-103.49366,-101.36713,-106.38631
184,-17.43911,-100.73554,-103.13275,-104.89312,-106.414246
185,-103.62526,-100.482635,-28.449417,-33.073494,-103.760025
186,-96.364044,-97.7374,-100.56339,-29.64375,-103.05725
187,-19.288465,-104.67012,-31.319225,-24.62924,-102.47091
188,-98.5295,-103.65194,-102.5578,-96.820984,-103.20151
189,-113.85003,-100.15548,-103.253685,-106.39219,-104.94093
190,-98.24337,-101.25181,-100.71205,-103.081375,-106.28501
191,-100.93492,-101.47431,-32.319183,-13.640091,-99.511086
192,-104.868256,-103.71885,-100.2522,-102.703865,-119.91809
193,-98.589775,-105.396355,-104.92669,-23.602728,-99.95872
194,-101.38491,-101.0775,-105.83749,-29.898363,-98.48454
195,-118.36225,-98.63988,-26.75488,-104.77071,-99.924965
196,-100.656044,-14.710398,-108.378815,-109.892365,-19.834545
197,-100.77642,-107.026955,-41.20013,-27.079607,-100.04502
198,-101.92713,-105.80349,-121.097595,-104.551994,-104.34784
199,-102.064125,-103.25087,-18.042646,-104.08527,-19.455189
200,-100.088394,-101.93909,-103.768616,-110.455605,-20.447716
201,-101.390625,-103.13111,-103.20798,-102.69059,-100.24067
202,-97.387474,-103.71737,-97.91792,-99.97685,-103.990395
203,-97.50513,-107.03582,-33.795998,-106.43892,-100.73628
204,-97.249054,-30.166689,-32.3103,-23.79674,-97.6161
205,-19.891495,-99.44206,-100.17928,-104.07342,-16.590422
206,-111.2132,-108.53742,-38.414276,-107.41603,-105.51674
207,-102.54873,-99.01979,-18.718386,-105.31084,-100.65047
208,-105.1706,-101.65171,-99.67631,-99.058304,-101.10354
