,It 0,It 1,It 2,It 3,It 4
0,-120.05682287394566,-39.00983302455169,-103.90719660684466,-113.5809376575146,-50.599168829722935
1,-120.18692422435558,-73.5646858744657,-104.20255186157611,-113.52627734483096,-44.08916753915079
2,-120.01588627499467,-70.97054755213826,-99.3032376185134,-113.92593084173929,-55.2567491724876
3,-120.03553320261464,-72.70138697411167,-100.11997988718252,-113.58464676062017,-69.91249643222181
4,-120.02995454115731,-22.24551591844711,-103.70509244991219,-113.64085775637068,-64.13980861710446
5,-120.1852486303846,-66.12759695751745,-107.92294424050239,-113.57565508197807,-39.830652808207226
6,-122.33151209008197,-58.48405806418682,-102.37170212581009,-113.64910907013342,-37.813177858149956
7,-120.0114495110965,-34.16973041691094,-98.83218462726909,-113.52389806395769,-78.34494886928798
8,-120.0516878824588,-55.31552341026628,-103.67166356879876,-113.53478572492115,-81.03100290364523
9,-119.96069497018493,-39.270135961795994,-102.82355024562031,-113.64894102841554,-57.372850133486715
10,-120.01441853644263,-40.93876453111241,-102.89016056926238,-113.52361853948608,-39.52024250121585
11,-120.01276037652045,-52.96182205899463,-99.77504943387893,-113.60503797200198,-54.518618726647766
12,-122.33187435025286,-74.27238190599607,-101.83022085202361,-113.5660153929436,-37.309686551189365
13,-120.18463325397423,-16.610830017492177,-104.90308487473987,-113.65219261698549,-69.35455822851448
14,-120.18912257509616,-94.25691631121529,-100.95431968178724,-113.55567472811975,-60.66452372100608
15,-120.06508755715564,-47.236270869371474,-100.80433806215476,-113.66211047130078,-66.91447916183623
16,-122.3372358954791,-41.36237630026045,-103.52696705941608,-113.57387866141522,-42.87203152501024
17,-120.04533143439828,-46.460306278673905,-100.74357985788708,-113.6005093305055,-70.85943588430015
18,-119.96098299533625,-64.48590015345269,-102.35967253510739,-113.66604122336643,-39.83355640842582
19,-122.35051559569811,-36.94914214711249,-103.09886597869979,-113.53896864060872,-47.18024012914055
20,-120.042605822552,-58.49397751611099,-104.24371294387554,-113.6507912917069,-66.47371305939275
21,-120.17745544000529,-66.35636404298758,-100.8177201432089,-113.52536869340265,-57.64291575340276
22,-120.06531120719265,-36.030056946398744,-98.8621593379844,-113.61408388255691,-45.03945303203725
23,-120.01017451809284,-8.86637638694134,-102.16874942347718,-113.52769114258699,-66.05793199848323
24,-120.03688924904107,-56.3574699587803,-102.43521055427752,-113.5376053946813,-59.273835856081924
25,-122.32714193431599,-87.25488962033391,-101.52398051498271,-113.56940168712289,-60.110651506364526
26,-122.34277408425821,-59.75392251535937,-102.28555361010754,-113.603904252816,-53.99217706260273
27,-120.61543803492748,-43.60548845389218,-103.18161227477684,-113.52237622997228,-79.08428564723084
28,-120.04713460855062,-61.53340925486014,-103.54745984766261,-113.53079550466997,-70.93883427084921
29,-119.96236980105317,-40.202194819211385,-102.74791167493413,-113.62360557826776,-67.79605220596943
30,-120.17621479120106,-64.62702998000881,-103.74414136936888,-113.56191713452961,-57.451302074631684
31,-120.0492151030861,-53.08091746842021,-103.40309210351234,-113.52862534664943,-41.38663767919812
32,-120.04247808641756,-30.242468979277163,-103.06435608383144,-113.5894233308838,-53.606669800410685
33,-120.03798743279837,-43.721067747119214,-102.81979931550846,-113.55900871006462,-60.08992421420853
34,-120.03653214787197,-84.12938520690612,-103.7917246900381,-113.64249305873116,-60.3186890841167
35,-120.05953456441996,-51.00301801221401,-102.67679618408593,-113.63866173030127,-80.27973856437455
36,-120.18770989119945,-77.3777713716058,-103.62516512316404,-113.55168824696355,-64.01192397937614
37,-120.0328645359638,-49.391547883170055,-101.67182162388042,-113.6600593822406,-89.47019390989963
38,-122.33068132053998,-42.88112525561668,-102.62519386656831,-113.64878798346967,-51.42835155447449
39,-120.1888921800082,-77.9484506938296,-103.0177902139804,-113.55705017389606,-42.11908386273686
40,-120.06093582385033,-99.19711519016884,-103.9959995938347,-113.6567467942809,-51.59202772270017
41,-120.0314953188772,-40.91656987938902,-103.75329794487233,-113.63309095175379,-47.063165629496275
42,-120.02579477900888,-36.303257618522885,-101.76888125068427,-114.08133194840948,-63.18958287590494
43,-119.6911410841799,-62.9994027421533,-102.41500150313539,-114.47728846211048,-73.71832689806322
44,-120.0628120293816,-40.96369778752891,-100.44185891192531,-113.5610686853255,-39.918756413665896
45,-120.18702794981189,-90.38858585539856,-99.91316714109294,-113.63930694973158,-80.42175974411083
46,-122.33290804263329,-81.1601519456556,-102.70407627399763,-113.62656046432878,-76.43316177096156
47,-120.0093668743639,-36.95576190042027,-104.37294089635958,-113.64651563167759,-61.29225138844535
48,-120.61401804540432,-46.587841586191495,-104.25594313966545,-113.63096072806853,-52.34666520225848
49,-120.0540353709981,-48.79650894151659,-102.69816181590532,-113.66144034007812,-70.40548036074452
50,-120.04838250742667,-96.78023968418346,-103.70088146305208,-113.65158760333806,-72.24751327738927
51,-122.3474469335607,-40.94310518402458,-103.45417240511937,-113.58246297101925,-31.40013813263505
52,-122.35064219482989,-30.683610652721583,-103.79107244876337,-113.5959976191856,-65.9625060276749
53,-120.18221213882168,-65.0176403364328,-101.98080193008296,-113.6646707888376,-56.46803928876669
54,-122.32756273227932,-71.46639522246956,-103.0804870308948,-113.64040256061281,-82.84095297783117
55,-120.18886634200067,-40.50377076178165,-102.7068050585352,-113.59830398003696,-66.80142906610628
56,-119.96158046876577,-62.75672304532118,-100.90169764229779,-113.57470252442546,-59.938546145436064
57,-120.01500509251531,-37.805302400522564,-100.93383361519082,-113.62533767510594,-57.75911190174466
58,-120.18448407870719,-63.38004938207107,-103.69288533698395,-113.54546558927,-74.89700479622806
59,-122.33921250156749,-87.0227116625365,-99.20888618612972,-113.66648436944746,-62.26842205052078
60,-120.03049393668087,-51.734034741707774,-104.98743514147152,-113.56694907355681,-38.816095154669156
61,-120.06327256509414,-33.4784076193947,-103.69129759655769,-113.62787404637908,-54.844523126602816
62,-120.0368038172933,-48.63687458250204,-100.88610105952993,-113.63718635645634,-87.61509110012774
63,-120.61424250649164,-59.5089516731161,-101.89433298814296,-113.62067645620299,-56.89964347868909
64,-122.33352713332636,-85.8234802749271,-103.96507612336364,-113.58801112675357,-56.84122126456105
65,-120.03525957880356,-51.40140323609362,-101.63277962927334,-113.54843903381999,-53.88862500178253
66,-122.32580116795377,-55.370639024638415,-100.97591020041021,-113.55433220081528,-53.894493865206876
67,-120.03435206328332,-35.57191959312435,-100.89116675283512,-113.53723375586544,-38.534614167958516
68,-120.18014157155528,-62.173456236197296,-102.91346110051933,-113.57434305910456,-68.57371054279679
69,-120.613371478023,-33.101813136653846,-100.82220433522575,-113.52828159068277,-36.441220954063056
70,-120.06012669265084,-43.49444548298386,-99.33240048456875,-113.55209401538036,-92.09889821835048
71,-120.01104572100752,-58.34277923434988,-103.43529104870682,-113.59400794514207,-11.2527196811577
72,-122.32272459876539,-57.81678546123488,-91.1555761516355,-113.66214487924736,-66.63255211806919
73,-120.06745477312431,-1.3110208167707782,-104.8817812442972,-113.58636591664205,-4.655197178378799
74,-120.01483383350262,-66.81604143499268,-101.1993200104131,-113.56061566752257,-59.92572861796604
75,-120.05987886336074,-45.225335565781286,-102.68443892261014,-113.6397287208885,-45.63817183278688
76,-120.0082576442187,-85.00408043826596,-99.69620983991648,-113.60403909547813,-36.47662078158187
77,-122.35078443433966,-70.33289216493404,-101.99480088499995,-113.63679817649908,-51.852440842110674
78,-120.0092091943485,-43.72945142288101,-103.71647683369741,-113.5264797491692,-62.82874926829775
79,-120.04337924314538,-73.82994779934982,-102.62184134786638,-113.6081488721619,-69.43495262291592
80,-122.33019485602838,-26.195202451727667,-103.73515037472237,-113.5274360761419,-40.720196840099405
81,-120.61570017068834,-45.387868745455975,-104.10609294449041,-113.52675743149533,-69.53036081874433
82,-120.01036833723882,-59.90723630206951,-100.7704434225075,-114.51704783736713,-58.857916003409784
83,-119.67782222032486,-70.45479955583687,-100.08810052195929,-114.51138834676597,-79.24502884407653
84,-119.7568586847124,-62.937157097992426,-104.51673806118966,-114.5148733038019,-68.29166976939825
85,-120.05514216843932,-47.534144739864665,-100.03931448703135,-113.62750796782754,-57.57855696520208
86,-122.32422242436559,-59.51008632924795,-103.29768715765886,-113.62160180165331,-68.19874209454345
87,-120.1835885111671,-48.81258645069504,-103.98121621345668,-113.63993763614445,-47.06218878434385
88,-119.96397583292611,-71.27795858271979,-101.2070512411582,-113.65707781087856,-45.58137438431463
89,-120.044077296393,-40.971701757273614,-99.70778655280235,-113.64657606595692,-35.682621153059046
90,-122.35112252913044,-35.48010393207613,-102.88210132881875,-113.64972641492946,-72.11948054238408
91,-122.33004726450766,-51.5507404184348,-102.15550454953748,-113.6328533370532,-63.87353257999074
92,-120.01860951962323,-33.47614090996956,-103.11625309844378,-113.52137589241067,-54.48914282811352
93,-120.03928220631369,-43.89846455337297,-104.09938364794478,-113.64095436965178,-89.41720481738471
94,-122.32876805976903,-73.32767484895655,-104.686568032089,-113.60419133437487,-76.38202095462412
95,-120.6126350282822,-54.36879062488243,-102.84125742829033,-113.55189364005378,-53.70041254878419
