,"It [268, 1]"
0,-97.10723
1,-34.04703
2,-108.84212
3,-115.39742
4,-114.080124
5,-114.81886
6,-112.61906
7,-113.848175
8,-113.92053
9,-114.00462
10,-114.23224
11,-16.336897
12,-96.80916
13,-36.570187
14,-127.087585
15,-13.483042
16,-27.152048
17,-21.556469
18,-108.30217
19,-104.82207
20,-108.10347
21,-27.233221
22,-33.60371
23,-100.64201
24,-110.13327
25,-110.89316
26,-113.301605
27,-106.23299
28,-92.32075
29,-19.755924
30,-109.277466
31,-31.518606
32,-15.889652
33,-111.07469
34,-103.36146
35,-19.655289
36,-110.997375
37,-110.285446
38,-14.067179
39,-111.79271
40,-112.85725
41,-19.892267
42,-28.482063
43,-32.39618
44,-105.16349
45,-112.02657
46,-17.738546
47,-116.6982
48,-104.6179
49,-102.995384
50,-99.49202
51,-27.567276
52,-32.361526
53,-114.42961
54,-22.592081
55,-23.750452
56,-20.748434
57,-26.650059
58,-23.83713
59,-32.664204
60,-27.979172
61,-24.302044
62,-115.992256
63,-25.771309
64,-28.141388
65,-27.450388
66,-110.90092
67,-32.30614
68,-105.606964
69,-104.49032
70,-29.341503
71,-31.368954
72,-33.568832
73,-38.5832
74,-32.63142
75,-113.92903
76,-110.839035
77,-31.53395
78,-24.025187
79,-26.708857
80,-33.04105
81,-30.43046
82,-24.535248
83,-28.947506
84,-39.214
85,-30.859995
86,-102.13147
87,-110.18889
88,-96.33677
89,-22.486464
90,-33.379997
91,-104.5331
92,-23.410868
93,-101.32651
94,-42.329044
95,-40.465443
96,-21.692356
97,-109.44702
98,-26.59882
99,-31.937307
100,-124.19322
101,-103.84355
102,-114.00983
103,-26.855444
104,-33.181385
105,-102.275345
106,-29.716175
107,-25.714262
108,-37.3245
109,-112.64831
110,-23.443623
111,-102.67593
112,-38.19635
113,-36.01482
114,-113.96759
115,-104.64047
116,-103.027435
117,-31.481108
118,-20.40475
119,-19.379246
120,-116.9682
121,-121.56002
122,-101.72732
123,-20.786879
124,-25.308062
125,-106.45542
126,-116.68257
127,-104.0193
128,-127.56714
129,-121.24606
130,-99.95094
131,-17.884375
132,-26.648996
133,-116.883995
134,-101.19393
135,-102.948326
136,-112.46621
137,-121.526596
138,-101.48879
139,-24.985569
140,-19.418207
141,-19.268135
142,-24.606724
143,-120.7707
144,-112.883446
145,-103.86175
146,-21.230373
147,-24.842144
148,-118.05174
149,-106.959274
150,-111.486336
151,-107.227425
152,-105.32459
153,-108.46173
154,-104.93645
155,-101.7045
156,-106.43794
157,-22.6598
158,-101.8731
159,-102.853935
160,-109.054
161,-33.22994
162,-104.31767
163,-36.404053
164,-105.608635
165,-100.13858
166,-107.03441
167,-33.838318
168,-102.91068
169,-104.07746
170,-102.6334
171,-106.49196
172,-102.122025
173,-102.83597
174,-106.16453
175,-104.40842
176,-102.61615
177,-25.530827
178,-106.78371
179,-22.836756
180,-37.658188
181,-102.508064
182,-103.4848
183,-25.29973
184,-24.259455
185,-103.4183
186,-28.674875
187,-24.284481
188,-108.45064
189,-104.33032
190,-104.23776
191,-102.823204
192,-26.533415
193,-24.150274
194,-110.72061
195,-26.801458
196,-25.276573
197,-100.65422
