,"It [141, 3]"
0,-92.4616
1,-115.82714
2,-115.07791
3,-116.546974
4,-114.85611
5,-112.423515
6,-113.187004
7,-113.949356
8,-120.73135
9,-117.79762
10,-117.83089
11,-116.40392
12,-123.29848
13,-117.92369
14,-113.17807
15,-112.409775
16,-115.0407
17,-113.82184
18,-116.207275
19,-117.89928
20,-117.532776
21,-117.21583
22,-116.59689
23,-114.5426
24,-114.38465
25,-116.416
26,-114.473434
27,-115.19414
28,-117.90358
29,-112.99466
30,-114.995346
31,-116.34628
32,-122.484146
33,-115.99642
34,-117.22452
35,-116.10681
36,-22.824255
37,-99.61845
38,-100.144775
39,-23.49046
40,-104.91167
41,-104.711296
42,-101.07619
43,-117.26791
44,-101.25298
45,-98.74458
46,-19.685726
47,-106.955444
48,-24.781246
49,-108.90303
50,-113.68274
51,-31.006628
52,-103.904366
53,-105.89658
54,-118.34276
55,-11.4488945
56,-113.681206
57,-110.1502
58,-117.035385
59,-102.62635
60,-23.354235
61,-115.60465
62,-134.98631
63,-18.4972
64,-117.71016
65,-27.077866
66,-23.925053
67,-25.602875
68,-17.531439
69,-112.42006
70,-21.698702
71,-24.838955
72,-23.592037
73,-119.07224
74,-19.720306
75,-113.40653
76,-105.79196
77,-102.3905
78,-110.603264
79,-26.46608
80,-106.99346
81,-101.185234
82,-107.78003
83,-110.53054
84,-23.891516
85,-108.28704
86,-23.507599
87,-113.373856
88,-104.909256
89,-25.562742
90,-103.48218
91,-112.32022
92,-100.06123
93,-22.439884
94,-20.592123
95,-108.70544
96,-27.464615
97,-116.80272
98,-111.125275
99,-110.56168
100,-100.56474
101,-116.62378
102,-104.57553
103,-112.14429
104,-103.12434
105,-103.09707
106,-22.02251
107,-112.617325
108,-21.161943
109,-112.781906
110,-20.020058
111,-15.201934
112,-117.1639
113,-115.74059
114,-15.768534
115,-20.703974
116,-24.612942
117,-27.164618
118,-111.63404
119,-29.68797
120,-27.70262
121,-123.545746
122,-19.86009
123,-29.016222
124,-26.785133
125,-24.354284
126,-100.40383
127,-95.65258
128,-18.452332
129,-99.49232
130,-101.28499
131,-17.218472
132,-106.11509
133,-17.61035
134,-17.250694
135,-14.422111
136,-18.449627
137,-17.96736
138,-119.66859
139,-102.995575
140,-110.42559
141,-16.295006
142,-119.67622
143,-26.059832
144,-24.752363
145,-126.44694
146,-116.11924
147,-103.23371
148,-107.84023
149,-14.151262
150,-107.15284
151,-17.52584
152,-97.0548
153,-99.39979
154,-20.95082
155,-99.95241
156,-105.17039
157,-113.02501
158,-107.00306
159,-12.043953
160,-22.147085
161,-15.710311
162,-20.151834
163,-12.321427
164,-113.82751
165,-102.6393
166,-15.258251
167,-21.076363
168,-102.71326
169,-20.688631
170,-106.626755
171,-112.14179
172,-12.921755
173,-103.42517
174,-93.418755
175,-103.87463
176,-119.13101
177,-13.494834
178,-102.6882
179,-99.660706
180,-24.424318
181,-102.32788
182,-105.92669
183,-20.434458
184,-23.8489
185,-23.419338
186,-16.577
187,-100.49513
188,-98.14548
189,-98.173706
190,-102.44473
191,-103.74459
192,-97.17243
193,-95.738335
194,-100.522224
195,-100.635864
196,-98.810486
197,-100.334175
198,-99.47603
199,-112.74998
200,-93.50235
201,-99.91992
202,-97.38058
203,-113.51882
204,-101.85914
205,-101.510056
206,-100.57683
207,-100.39242
208,-93.84533
209,-125.04825
210,-92.83811
211,-100.23439
212,-103.36798
213,-101.718216
214,-99.945755
215,-100.138626
216,-99.3033
217,-102.55089
218,-102.10025
219,-102.04793
220,-105.343666
221,-102.258675
222,-99.86962
223,-102.037346
224,-101.33655
225,-98.24898
226,-100.72914
227,-102.73563
228,-101.70473
229,-101.341606
230,-102.94749
231,-101.34538
232,-102.53024
233,-102.87629
234,-102.985695
235,-116.40706
236,-96.971214
237,-101.02439
238,-92.16165
239,-98.638275
240,-102.915215
241,-99.69465
242,-100.277275
243,-100.48517
244,-101.00323
245,-100.31913
246,-102.32011
247,-101.34051
248,-102.327095
249,-101.37129
250,-102.72665
251,-97.45255
252,-100.79577
253,-104.5822
254,-100.69997
255,-100.59049
256,-98.752014
257,-101.57263
258,-101.85129
259,-106.702324
260,-106.1683
261,-104.153336
262,-102.08412
263,-97.5898
264,-103.2824
265,-34.635197
266,-109.53634
267,-108.02024
268,-97.913635
269,-99.900696
270,-100.83808
271,-101.07756
272,-30.546188
273,-113.42857
274,-96.79272
275,-99.35162
276,-99.55765
277,-101.82514
278,-100.666725
279,-100.65559
280,-99.16788
281,-101.64931
282,-96.47292
283,-99.88205
284,-98.756096
285,-101.34641
286,-100.86401
287,-101.54522
288,-100.673164
289,-104.60741
290,-103.09245
291,-102.37482
292,-100.380516
293,-33.507614
294,-33.2557
295,-103.36416
296,-102.50951
297,-101.75852
298,-127.94796
299,-100.95642
300,-100.32583
301,-101.91382
302,-99.12798
303,-100.47761
304,-101.42651
305,-100.22832
306,-99.19005
307,-102.32053
308,-101.76537
309,-100.71294
310,-101.08342
311,-99.09566
312,-99.178
313,-98.86897
314,-100.06063
315,-101.58482
316,-97.9381
317,-104.109955
318,-105.42885
319,-103.936356
320,-101.51142
321,-102.75974
322,-102.933304
323,-106.718666
324,-105.954
325,-101.17699
326,-103.917496
327,-102.01912
328,-101.849106
329,-100.086975
330,-100.740814
331,-100.77183
332,-102.431046
333,-101.49748
334,-101.75885
335,-103.21063
336,-100.04942
337,-100.983086
338,-100.22323
339,-98.47897
340,-101.49743
341,-102.30706
342,-99.408485
343,-104.69919
344,-99.82549
345,-99.868164
346,-101.45327
347,-99.02358
348,-99.11043
349,-98.80278
350,-99.37271
351,-100.54657
352,-100.68322
353,-100.17623
354,-99.54126
355,-99.819595
356,-99.06731
357,-99.22393
358,-99.44227
359,-99.71454
360,-101.0452
361,-104.09112
362,-103.29704
363,-101.810974
364,-101.138435
365,-106.4789
366,-103.37244
367,-104.64625
368,-103.33608
369,-101.288284
370,-101.747086
371,-102.91423
372,-102.572464
373,-101.77454
374,-101.24113
375,-101.14954
376,-99.82632
377,-106.15347
378,-103.91159
379,-105.2605
380,-111.590485
381,-108.587326
382,-99.06056
383,-99.523575
384,-101.61922
385,-106.10015
386,-106.98414
387,-110.32023
388,-136.08807
389,-40.7932
390,-113.39492
391,-115.02216
392,-104.5333
393,-105.36734
394,-104.03309
395,-99.83752
396,-101.53156
397,-101.252075
398,-101.47832
399,-103.01752
400,-102.18972
401,-102.24663
402,-102.98519
403,-101.322174
404,-105.09605
405,-102.55216
406,-100.93455
407,-100.20518
408,-96.2934
409,-1.898856
410,-102.387
411,-100.85187
412,-99.73448
413,-100.22854
414,-100.50118
415,-101.11994
416,-101.63925
417,-101.2019
418,-103.49152
419,-97.7537
420,-108.24037
421,-20.24269
422,-105.16387
423,-100.934906
424,-99.89023
425,-98.248886
426,-98.78012
427,-102.82646
428,-22.287651
429,-25.97869
430,-27.43005
431,-106.55845
432,-108.14307
433,-109.16558
434,-107.25306
435,-112.89087
436,-108.476
437,-106.2881
438,-104.5858
439,-104.93576
440,-105.317184
441,-105.52861
442,-101.658775
443,-103.221535
444,-102.628
445,-108.34364
446,-108.957634
447,-107.89757
448,-109.28323
449,-104.75546
450,-103.695694
451,-101.71442
452,-101.384735
453,-101.9385
454,-101.539665
455,-33.89615
456,-31.594622
457,-41.572598
458,-39.464203
459,-101.839516
460,-104.72252
461,-104.61173
462,-107.16808
463,-106.82993
464,-105.454056
465,-103.203316
466,-103.49569
467,-100.24185
468,-100.95739
469,-99.976974
470,-103.48319
471,-104.69324
472,-100.85708
473,-102.85694
474,-102.22488
475,-104.25697
476,-102.99924
477,-106.0068
478,-106.73737
479,-107.83271
