,"It [288, 1]"
0,-108.363754
1,-115.12501
2,-121.93314
3,-115.39475
4,-114.580925
5,-115.18446
6,-41.836514
7,-118.165054
8,-113.98625
9,-26.105917
10,-12.907214
11,-20.859064
12,-26.401726
13,-23.820986
14,-128.95033
15,-103.70234
16,-110.249664
17,-122.57992
18,-102.820885
19,-112.38514
20,-103.01048
21,-114.68489
22,-120.24035
23,-10.777678
24,-103.388885
25,-14.244924
26,-29.367704
27,-107.46482
28,-106.78486
29,-107.863335
30,-24.840359
31,-16.175064
32,-20.33685
33,-119.23364
34,-121.15933
35,-107.95501
36,-102.87581
37,-114.597466
38,-113.938034
39,-16.911978
40,-14.648641
41,-13.986219
42,-105.83647
43,-105.307625
44,-107.946434
45,-14.535897
46,-24.409832
47,-116.53956
48,-105.60034
49,-105.62096
50,-120.67366
51,-100.4416
52,-116.10889
53,-109.58655
54,-112.23916
55,-24.376242
56,-21.971151
57,-19.088093
58,-103.12396
59,-102.478226
60,-18.050598
61,-16.619541
62,-24.988588
63,-23.76646
64,-18.654737
65,-111.64281
66,-12.78322
67,-16.03068
68,-19.834427
69,-97.07534
70,-101.72207
71,-16.97952
72,-17.673786
73,-18.590546
74,-108.65075
75,-25.872911
76,-26.481987
77,-19.85125
78,-111.578476
79,-18.500496
80,-18.812662
81,-24.897099
82,-19.061
83,-13.696383
84,-104.81364
85,-109.85007
86,-103.593666
87,-20.181547
88,-13.357901
89,-107.29914
90,-23.264744
91,-17.17004
92,-19.933437
93,-104.4987
94,-16.459452
95,-19.183369
96,-15.267975
97,-17.60698
98,-14.438925
99,-24.101084
100,-13.117948
101,-109.45329
102,-17.998867
103,-24.245213
104,-17.442389
105,-22.126833
106,-29.042265
107,-13.948817
108,-16.777258
109,-14.410878
110,-22.833172
111,-23.148552
112,-17.034643
113,-23.603704
114,-25.875105
115,-21.361822
116,-110.339935
117,-22.973604
118,-28.228882
119,-23.553854
120,-30.02037
121,-23.737186
122,-22.13949
123,-21.474195
124,-27.69526
125,-106.39051
126,-31.83732
127,-30.137064
128,-122.086655
129,-23.91694
130,-28.687635
131,-30.226873
132,-35.965332
133,-38.402
134,-32.675655
135,-28.828852
136,-28.700562
137,-29.340588
138,-30.509838
139,-41.765217
140,-26.811579
141,-30.96444
142,-37.38027
143,-30.824274
144,-25.587252
145,-30.662128
