,It 0,It 1,It 2,It 3,It 4
0,-112.27861,-104.4708,-15.034711,-15.76288,-109.577065
1,-17.987223,-107.26482,-23.240252,-106.37698,-108.79097
2,-114.302376,-107.17543,-13.554227,-115.67493,-114.75693
3,-114.145775,-112.56293,-115.23757,-117.442,-115.54406
4,-115.63594,-118.1432,-116.70834,-116.188034,-112.32018
5,-113.12007,-116.66376,-116.34454,-106.89041,-109.11569
6,-116.89865,-123.40471,-116.87687,-109.28876,-20.456873
7,-14.3011,-111.77589,-108.041756,-119.06967,-110.98897
8,-15.6999855,-118.66478,-110.92737,-114.32735,-115.62871
9,-114.942245,-114.83978,-111.88117,-113.26693,-15.658087
10,-17.7758,-105.56845,-110.09384,-110.785866,-104.702866
11,-110.60343,-22.593761,-109.5707,-113.379196,-18.60732
12,-103.08651,-33.714344,-111.90025,-114.02363,-101.699394
13,-118.78592,-112.17411,-107.78568,-115.49627,-22.047586
14,-119.38392,-110.733116,-105.91671,-113.75833,-103.03666
15,-103.97941,-115.54765,-113.56491,-113.583694,-104.62823
16,-102.98051,-17.968891,-108.28923,-18.881695,-13.810429
17,-109.91301,-15.74141,-110.51169,-108.37226,-108.098785
18,-100.476105,-105.074394,-105.71212,-105.29031,-14.427614
19,-17.568312,-108.12386,-22.893091,-111.78344,-18.418306
20,-14.819087,-20.116833,-15.244677,-118.92886,-124.94082
21,-15.232789,-19.298256,-113.39204,-107.53411,-103.21303
22,-100.845665,-112.328255,-21.053411,-104.92401,-115.76438
23,-111.6215,-111.323135,-17.75732,-19.156836,-17.116875
24,-25.306376,-116.86151,-103.38526,-108.67668,-10.765869
25,-12.166321,-18.799334,-104.64745,-105.69711,-107.68832
26,-98.92199,-13.164728,-17.271896,-115.56611,-102.747215
27,-17.530355,-105.94217,-15.774771,-114.821045,-97.72788
28,-23.055105,-116.1731,-10.44255,-125.97876,-121.06073
29,-15.466806,-18.478493,-99.09555,-105.316345,-102.26819
30,-97.52637,-20.92045,-95.920525,-115.625175,-17.963402
31,-21.036144,-104.87964,-12.145123,-16.82337,-17.537857
32,-10.041983,-106.253365,-101.15288,-124.40311,-14.247211
33,-18.498093,-22.054434,-105.25622,-11.761825,-102.497665
34,-17.53901,-12.335478,-14.730026,-119.35608,-101.10631
35,-16.39763,-13.730577,-8.449284,-104.753845,-101.46425
36,-104.37213,-15.673914,-97.891464,-33.193596,-15.165075
37,-13.101561,-27.088636,-103.02442,-17.948288,-97.85998
38,-107.608795,-18.671492,-15.400269,-22.461006,-12.275976
39,-15.872052,-102.077255,-18.572746,-17.333508,-99.002846
40,-21.040987,-115.01984,-11.392863,-18.15756,-99.02677
41,-119.357254,-102.9138,-110.15518,-102.09641,-24.000399
42,-15.114514,-16.131681,-104.548584,-113.50692,-13.196997
43,-17.328634,-103.69422,-18.147326,-104.85317,-98.69365
44,-13.529974,-19.30894,-102.91951,-13.701528,-98.814766
45,-107.51574,-11.344224,-101.44645,-102.05982,-14.757462
46,-111.98023,-17.079103,-97.451485,-100.753876,-101.997116
47,-99.96691,-19.477497,-10.898344,-105.17513,-104.81065
48,-102.51132,-17.13086,-15.27839,-12.555272,-15.879697
49,-10.582751,-15.191777,-99.80011,-111.702,-99.36903
50,-10.700477,-18.65705,-12.85384,-97.13531,-18.509338
51,-94.47273,-16.68037,-111.365105,-12.010792,-97.50676
52,-14.940293,-20.892635,-12.883205,-103.38168,-102.48737
53,-14.075378,-14.273339,-14.658952,-99.581726,-15.580511
54,-12.261887,-20.290565,-15.629915,-97.7185,-17.380465
55,-97.02366,-12.753164,-110.95266,-111.96854,-15.715818
56,-16.734152,-11.220903,-11.027939,-9.630681,-109.450066
57,-98.52723,-18.485739,-110.61396,-98.31326,-20.934898
58,-98.98505,-103.172806,-99.06745,-114.999504,-12.433725
59,-6.853897,-101.053276,-18.676783,-108.72835,-112.44622
60,-107.53361,-20.290447,-112.90479,-13.997492,-97.95579
61,-11.899133,-16.461464,-18.768032,-15.096741,-15.133043
62,-16.240091,-16.63078,-18.016752,-100.10363,-102.246864
63,-14.07836,-12.896305,-19.308947,-15.283879,-10.721334
64,-12.330086,-116.520355,-19.615831,-99.00868,-103.13166
65,-9.2286825,-109.79861,-14.91016,-98.647255,-9.990142
66,-15.235202,-107.454254,-10.562147,-118.101265,-110.46358
67,-15.921303,-115.11872,-14.31123,-106.41397,-113.9032
68,-108.23515,-101.97051,-9.91145,-115.51664,-16.127354
69,-108.91029,-100.507614,-100.38241,-14.091295,-10.204179
70,-21.970642,-96.46019,-113.59581,-108.98818,-11.427195
71,-109.25118,-16.690992,-8.08003,-17.683548,-11.716816
72,-11.84693,-18.443987,-4.5750237,-97.84677,-12.862222
73,-20.022366,-112.84071,-98.04361,-105.73444,-18.340784
74,-15.300677,-129.95407,-113.445496,-100.56295,-110.072495
75,-10.552196,-114.14461,-14.058185,-26.012808,-11.510754
76,-24.239614,-9.581139,-115.78136,-100.47011,-98.6148
77,-23.317053,-99.14173,-10.639588,-108.51082,-121.502686
78,-8.141015,-20.266867,-96.292336,-25.827946,-103.17691
79,-14.086171,-101.124176,-95.96337,-124.23808,-14.717455
80,-18.394844,-99.79855,-114.97647,-112.07607,-16.124144
81,-11.396155,-100.19153,-98.143074,-120.69214,-101.75975
82,-9.207418,-99.27963,-99.91632,-105.46637,-97.649216
83,-10.214448,-96.765656,-97.77144,-112.027245,-111.40945
84,-13.831044,-13.650971,-10.326297,-9.717857,-100.06451
85,-16.129593,-96.74006,-98.96832,-110.25289,-9.263028
86,-107.178604,-14.91406,-15.7223835,-14.320173,-97.33479
87,-12.817678,-100.07393,-8.937939,-97.59315,-98.84913
88,-16.194344,-113.91133,-108.16555,-110.79866,-11.8911915
89,-107.87744,-14.193945,-11.229748,-104.47969,-14.182282
90,-100.017204,-17.109913,-9.766374,-100.76443,-100.92895
91,-16.323668,-95.53453,-131.64793,-112.05588,-12.509007
92,-13.456007,-122.51718,-107.14297,-100.25313,-14.907762
