,It 0,It 1,It 2,It 3,It 4
0,-98.25743,-112.074425,-15.705094,-23.947418,-102.44931
1,-18.08691,-110.33057,-13.47136,-27.707006,-22.00013
2,-108.39486,-114.67856,-19.181086,-27.96491,-105.38063
3,-102.46316,-112.05753,-112.307304,-29.831413,-11.850012
4,-110.53333,-116.336334,-117.04906,-107.14261,-102.21909
5,-117.579765,-111.800514,-113.26272,-111.34319,-103.10381
6,-111.82704,-111.74676,-114.83821,-117.006035,-108.80971
7,-116.80176,-18.61199,-109.98605,-110.28037,-24.986124
8,-104.93433,-104.617165,-106.58599,-119.26775,-20.926752
9,-112.70429,-126.69098,-111.04027,-117.39004,-105.01805
10,-110.759285,-108.58353,-111.34661,-115.70858,-114.81604
11,-112.71239,-112.898346,-107.90538,-114.418976,-114.270584
12,-14.633445,-115.68713,-116.19233,-108.30882,-110.0695
13,-13.985912,-9.921308,-110.01308,-113.53959,-107.08792
14,-14.757207,-124.172104,-16.613693,-111.652245,-11.988357
15,-20.946299,-106.87395,-16.087399,-105.666306,-102.50925
16,-14.3287735,-100.444756,-105.53564,-109.06619,-117.00387
17,-10.981539,-24.814457,-109.04061,-112.98797,-115.80962
18,-112.86306,-20.983402,-102.173256,-117.45152,-105.713
19,-106.00649,-10.914151,-98.132706,-109.70035,-101.48605
20,-21.671,-114.418625,-103.31454,-105.494804,-10.888174
21,-21.356092,-106.10238,-112.32141,-106.399086,-113.12906
22,-114.5749,-91.866936,-19.242046,-99.94846,-9.635376
23,-104.16556,-27.500149,-101.10121,-109.17551,-100.63882
24,-14.986596,-23.705284,-95.9924,-13.3345375,-14.352359
25,-104.33039,-111.11615,-17.306765,-111.120674,-109.675385
26,-103.54497,-100.96377,-23.506102,-107.299706,-105.72005
27,-18.773932,-114.640915,-106.98584,-112.11912,-100.374626
28,-20.335566,-13.806364,-20.351484,-106.42314,-113.412895
29,-9.351381,-109.27987,-12.784967,-102.58781,-14.455478
30,-21.188477,-101.81155,-97.64981,-103.81798,-17.134228
31,-12.774539,-17.403744,-103.94908,-9.911338,-19.571955
32,-108.84216,-99.28077,-19.489452,-16.355825,-103.862946
33,-12.304456,-99.32877,-11.082192,-99.979546,-11.273321
34,-102.29459,-110.84633,-17.590204,-11.657828,-19.576496
35,-112.378784,-111.74266,-19.557573,-105.74422,-10.897436
36,-14.523087,-112.70134,-16.569834,-10.895597,-10.683412
37,-15.6073475,-99.53984,-14.589385,-99.67823,-20.988777
38,-17.169203,-97.40529,-11.615819,-117.076546,-102.78337
39,-106.32236,-110.98084,-18.373156,-99.369286,-13.764425
40,-110.31483,-111.13992,-102.71955,-20.673475,-110.39155
41,-116.553345,-96.8115,-109.344986,-106.20766,-99.68809
42,-10.79373,-110.57997,-14.020273,-11.558376,-98.14802
43,-12.753335,-116.6976,-12.157441,-21.640348,-15.135597
44,-12.760599,-18.403978,-109.38325,-103.87177,-101.61208
45,-16.695192,-122.52891,-99.76418,-98.93238,-96.172295
46,-103.593285,-102.96572,-130.31735,-11.110416,-105.314804
47,-22.180532,-111.70312,-111.56078,-98.259964,-95.47271
48,-98.363914,-20.839432,-20.271809,-98.65739,-9.451657
49,-12.700459,-5.343651,-111.92118,-99.33297,-12.891386
50,-106.78331,-99.41232,-13.945097,-17.18489,-100.95433
51,-111.81309,-118.3468,-99.73893,-110.658066,-109.21715
52,-16.80178,-98.43425,-120.16946,-11.533088,-98.63023
53,-9.877208,-100.393074,-98.27381,-8.230587,-14.483692
54,-12.9938,-95.12408,-14.31041,-16.189182,-107.90555
55,-100.52431,-16.81959,-8.94782,-14.742529,-16.044468
56,-112.39445,-115.68471,-10.4663,-116.76641,-12.582533
57,-112.48766,-107.60554,-15.068885,-97.9675,-103.64281
58,-110.16477,-12.421481,-100.83045,-98.105515,-8.196675
59,-13.242084,-99.94183,-11.814889,-15.965513,-106.136116
60,-9.258038,-18.735344,-9.87393,-99.01806,-19.422644
61,-129.10136,-102.798416,-17.097246,-19.100483,-98.83532
62,-101.25487,-98.213905,-99.99037,-109.55252,-100.60403
63,-17.35969,-97.10074,-13.356606,-99.196495,-12.855119
64,-112.06683,-20.777184,-18.1528,-100.87288,-105.01603
65,-110.795235,-96.81884,-18.65828,-108.5431,-101.18699
66,-96.04044,-7.8833632,-117.961845,-127.28196,-102.45799
67,-99.31194,-12.671472,-98.8856,-22.856068,-101.68171
68,-97.42517,-99.354065,-9.172242,-12.9415865,-96.47388
69,-101.65643,-98.902824,-97.26862,-11.276456,-109.645096
70,-11.238137,-99.30895,-102.03439,-17.819544,-98.176094
71,-95.69387,-97.64869,-14.471336,-99.04732,-116.30697
72,-14.9577875,-96.97232,-113.87797,-12.725423,-15.84617
73,-96.31325,-100.598694,-101.09102,-17.967299,-112.05157
74,-19.153927,-12.389871,-11.161125,-11.757363,-104.74727
75,-97.67942,-110.99613,-13.76528,-11.989569,-96.3645
76,-101.10084,-17.633713,-21.238276,-99.73769,-114.69171
77,-17.72231,-99.08868,-109.076385,-16.820503,-105.33309
78,-95.24815,-99.05202,-99.98408,-101.282616,-100.85668
79,-100.384056,-104.94746,-113.63062,-19.31315,-6.337463
80,-99.07885,-98.931725,-17.747717,-124.85329,-120.94923
81,-114.28252,-118.05675,-102.629166,-97.89131,-97.53523
82,-12.327794,-100.225,-110.21678,-11.844701,-117.75085
83,-97.43145,-19.490242,-9.396578,-10.383416,-102.05572
84,-11.616524,-18.82386,-97.925865,-114.58058,-99.147285
85,-130.29834,-16.32102,-108.680305,-120.96782,-117.02506
86,-13.443005,-12.727338,-16.526175,-98.07575,-100.71743
87,-16.724184,-11.8897295,-13.653256,-100.077835,-112.266235
88,-15.041506,-97.711235,-8.109572,-111.57378,-101.972626
89,-110.28774,-102.63573,-114.08871,-100.45874,-21.17525
90,-13.326581,-98.22643,-101.322395,-114.34355,-105.1593
91,-118.22903,-111.13127,-17.195618,-102.09325,-98.59827
92,-113.30983,-12.676142,-117.50798,-95.74784,-104.22134
93,-97.73155,-21.17857,-98.73612,-101.24371,-96.367134
94,-114.181564,-21.162779,-13.636665,-100.57428,-99.30461
95,-115.28884,-18.142809,-122.442,-98.438965,-97.3769
96,-99.3863,-16.9407,-107.16219,-127.428345,-103.24784
97,-18.921644,-18.995886,-99.8203,-101.14883,-113.80473
98,-102.25016,-98.851654,-108.43341,-13.3133545,-115.55946
99,-113.36554,-118.74721,-105.97299,-13.878805,-102.510925
100,-10.495008,-20.68491,-117.133194,-99.192314,-16.956848
101,-98.1917,-11.283755,-4.953479,-11.367513,-102.2579
102,-98.54124,-102.81927,-97.26106,-113.83825,-13.468846
103,-23.287895,-100.27031,-103.81245,-100.93503,-101.7602
104,-14.558556,-114.348404,-124.60445,-18.958138,-98.3923
105,-110.53114,-101.01547,-109.24255,-97.73148,-100.29289
106,-113.99247,-102.566246,-16.99264,-97.93923,-10.142844
107,-15.058801,-112.22795,-117.20928,-98.21571,-101.40888
108,-102.74099,-9.823613,-12.777543,-111.74614,-15.891324
109,-100.81709,-100.889336,-107.94749,-122.91548,-14.793132
110,-98.60759,-99.731514,-114.00504,-99.787415,-99.23055
111,-98.528336,-119.103485,-109.94102,-111.0289,-103.22296
112,-116.79517,-96.987015,-107.46922,-111.05904,-98.380035
113,-107.099846,-109.82339,5.6345134,-100.211464,-105.53991
114,-125.94835,-120.40228,-12.553878,-14.657257,-102.1248
115,-111.87086,-114.13154,-15.773047,-10.1046095,-99.86132
116,-119.91446,-101.621025,-9.8232765,-102.22902,-99.04385
117,-96.071724,-100.8707,-103.90004,-12.561758,-102.55053
118,-96.184265,-19.68621,-16.238056,-15.684666,-99.23741
119,-110.64136,-111.08511,-98.947105,-11.7853365,-99.60736
120,-19.468,-118.57419,-11.5131645,-100.433174,-100.49001
121,-112.231415,-120.71932,-18.665415,-98.11669,-110.717125
122,-10.887101,-114.14657,-11.688024,-15.640392,-95.79282
123,-10.693213,-110.53213,-103.80316,-98.07839,-101.96505
124,-102.546036,-13.756663,-95.70652,-12.404718,-99.07825
125,-116.53244,-110.511086,-99.915665,-109.08773,-108.38692
126,-112.39037,-98.22846,-17.495207,-14.287908,-108.83467
127,-13.66781,-115.59688,-97.42757,-11.230485,-100.84432
128,-105.9985,-100.519104,-12.138574,-96.938,-16.86575
129,-12.846995,-96.92333,-15.579068,-99.759125,-100.88508
130,-126.98564,-100.743164,-112.045906,-114.44914,-104.41309
131,-97.707664,-19.62767,-101.7075,-17.616558,-102.620674
132,-98.581665,-101.26088,-112.339905,-20.101559,-104.364624
133,-121.98818,-97.39392,-2.3830028,-13.697159,-118.36886
134,-13.131819,-101.67281,-110.83382,-99.59231,-111.0182
135,-10.719572,-21.036957,-16.334507,-8.430015,-99.142426
136,-97.837585,-103.10037,-96.2655,-116.35989,-114.6145
137,-11.794685,-98.037125,-106.08382,-99.53353,-109.608765
138,-12.381062,-112.257996,-112.917404,-103.17666,-98.362495
139,-7.190412,-111.45681,-115.20832,-96.04476,-100.9785
140,-19.079636,-102.08196,-98.02857,-100.65488,-102.35175
141,-97.49396,-26.399364,-98.65566,-101.014114,-100.125404
142,-20.891596,-101.60418,-108.84495,-11.852786,-12.470068
143,-116.65977,-97.15709,-98.99058,-10.025333,-21.819275
144,-15.408151,-7.6498837,-10.035294,-113.26764,-100.91824
145,-97.89875,-99.660576,-117.005,-96.60647,-98.37961
146,-102.11737,-99.77892,-19.16111,-14.750034,-99.72484
147,-99.853745,-119.63002,-111.17902,-122.195984,-98.53539
148,-101.12964,-100.36312,-17.377386,-14.284805,-100.76602
149,-22.163742,-99.080536,-97.068924,-123.777405,-98.2034
150,-114.71618,-110.46236,-13.273213,-101.4266,-107.9534
151,-119.747154,-101.84146,-107.82343,-99.66825,-118.578285
152,-98.09282,-108.98355,-16.798677,-116.06832,-99.057045
153,-119.66928,-124.66499,-15.859604,-101.31051,-96.89478
154,-100.02643,-16.148027,-111.4942,-102.01417,-110.50716
