,It 0,It 1,It 2,It 3,It 4
0,-98.01839,-109.992744,-112.14569,-18.617315,-115.15063
1,-102.45863,-112.526245,-107.19689,-117.768486,-117.301216
2,-114.16749,-110.6402,-115.66628,-114.04783,-112.61217
3,-101.53234,-115.65634,-118.29568,-115.20371,-115.66781
4,-8.338838,-109.52199,-120.374664,-119.67707,-115.265236
5,-103.00935,-106.387,-111.97581,-115.453835,-118.59392
6,-114.83192,-101.40325,-113.226746,-114.934395,-112.3567
7,-99.28571,-103.174736,-116.689545,-114.34576,-109.27235
8,-101.44961,-102.04202,-21.112562,-111.15454,-113.26992
9,-9.976871,-103.20789,-17.428009,-20.85189,-107.42486
10,-98.7414,-102.11184,-102.8415,-14.886533,-15.100936
11,-100.31972,-120.34532,-15.471748,-22.821772,-11.83284
12,-114.10434,-20.47949,-14.737115,-16.977514,-18.136353
13,-98.596466,-21.332891,-100.940125,-26.142286,-103.67486
14,-12.775935,-24.357515,-22.115358,-9.783643,-109.3785
15,-99.4515,-102.26829,-19.761639,-18.145357,-8.777116
16,-15.658682,-102.36237,-110.28332,-16.133736,-105.37818
17,-111.491196,-112.82697,-6.6923847,-14.137364,-25.773935
18,-115.526505,-15.997056,-14.173561,-17.873148,-105.04821
19,-100.28894,-105.27136,-13.477572,-8.84148,-6.6678867
20,-8.66557,-22.031507,-99.6054,-11.065047,-101.62221
21,-7.3316555,-98.03248,-2.9333122,-101.18552,-109.85125
22,-117.482315,-100.728165,-9.468903,-11.783913,-101.15708
23,-108.61417,-96.890755,-18.2558,-102.02545,-109.58754
24,-98.623085,-102.33912,-15.167253,-8.7572975,-13.802463
25,-10.6147585,-17.639977,-18.81286,-6.941522,-110.24649
26,-110.19223,-98.97975,-97.9375,-10.248325,-114.556244
27,-7.7722464,-24.53464,-14.425485,-13.668448,-20.186152
28,-12.457828,-19.11078,-100.54052,-14.306355,-96.225235
29,-97.88009,-103.4188,-7.891597,-10.001493,-11.286883
30,-114.23125,-12.11907,-115.66902,-12.549466,-107.568924
31,-92.906715,-16.64741,-11.035898,-11.396137,-111.3414
32,-98.8993,-99.57111,-16.168814,-13.233394,-21.95591
33,-101.456955,-17.226562,-111.36415,-10.71566,-114.951004
34,-98.49451,-12.699345,-17.69024,-13.101937,-95.56901
35,-15.204243,-104.779884,-10.22012,-98.61156,-95.50465
36,-96.28659,-101.48274,-10.8099165,-9.684742,-98.818146
37,-103.51494,-97.37314,-100.7049,-13.415928,-26.114826
38,-91.88877,-97.550385,-11.335622,-103.45212,-101.92776
39,-11.27759,-6.399977,-13.943502,-5.529082,-122.10008
40,-14.972911,-99.38409,-17.384876,-103.09745,-100.30112
41,-6.37517,-99.26099,-99.768585,-98.99521,-13.947225
42,-7.3676186,-8.040423,-107.48315,-8.963147,-11.190041
43,-11.196224,-16.517595,-18.53409,-5.4246073,-10.119902
44,-10.412057,-94.59061,-97.67375,-12.429249,-98.88119
45,-98.78753,-13.637601,-10.141385,-8.010862,-99.94086
46,-100.26641,-16.048174,-21.256338,-12.812894,-115.436134
47,-5.435065,-15.482803,-20.403568,-5.553232,-99.93078
48,-5.999209,-17.859005,-14.02688,-93.816666,-100.42942
49,-5.9376044,-12.62057,-111.97387,-103.27884,-110.432495
50,-116.0059,-7.2688966,-97.60243,-99.25071,-12.590695
51,-9.39194,-12.876943,-10.632823,-11.1421385,-12.012274
52,-121.148445,-10.332491,-117.10216,-13.986425,-15.593382
53,-11.13639,-16.521162,-96.566185,-95.58324,-9.109906
54,-111.127884,-9.664163,-12.058827,-104.68928,-98.78247
55,-5.0829988,-7.9902377,-11.980432,-102.210655,-13.241731
56,-104.44061,-94.00004,-13.706024,-96.851204,-109.502716
57,-109.61293,-9.346776,-108.22171,-14.7511,-16.280445
58,-14.514816,-13.914754,-107.01417,-12.839336,-19.579145
59,-11.276314,-14.203021,-111.98325,-13.893218,-97.84924
60,-112.10955,-14.080381,-110.83229,-8.642852,-14.1422
61,-98.4026,-96.43919,-112.22846,-10.072955,-116.668526
62,-118.53165,-14.381255,-6.614366,-13.4076185,-97.43966
63,-12.421464,-13.386268,-14.246106,-10.326853,-96.7092
64,-114.82358,-12.400121,-98.06653,-100.31709,-114.17919
65,-98.34388,-27.320839,-120.10696,-102.81628,-99.2274
66,-21.844477,-12.314465,-109.70556,-9.452071,-9.391128
67,-101.32878,-98.29684,-17.280537,-108.5403,-97.85113
68,-109.77128,-98.74624,-17.434824,-98.42981,-97.966675
69,-94.80811,-14.446192,-98.947205,-100.789894,-14.825102
70,-94.0881,-8.75604,-10.832479,-95.286766,-17.967495
71,-102.71664,-14.432173,-121.47389,-97.2525,-110.59965
72,-99.87998,-9.15406,-17.39074,-11.036032,-14.704346
73,-98.20468,-15.884072,-14.127187,-101.04489,-100.292496
74,-23.718864,-94.394684,-6.68585,-94.90614,-120.85446
75,-15.462548,-14.559515,-15.005161,-11.254823,-99.50378
76,-98.51311,-112.401146,-19.711477,-98.41003,-96.9479
77,-100.51845,-98.08535,-16.19922,-95.14327,-98.929924
78,-119.95921,-98.50666,-16.707323,-96.14398,-11.328457
79,-14.862077,-121.018936,-11.972936,-100.63742,-108.277054
80,-103.45046,-120.66135,-112.34772,-101.87454,-97.89732
81,-22.349257,-109.31696,-21.573193,-100.02701,-97.561325
82,-113.83143,-101.115616,-21.500849,-15.454246,-111.911
83,-123.593094,-11.5400715,-21.769331,-9.809906,-117.42705
84,-100.030594,-97.40147,-117.87913,-103.85052,-13.45455
85,-109.157524,-8.78771,-11.679055,-102.09639,-14.224567
86,-102.80794,-10.213048,-101.47985,-100.166275,-99.51394
87,-100.63212,-102.207695,-112.8006,-105.157646,-98.5087
88,-102.84314,-102.75374,-112.244896,-97.16311,-110.10809
89,-99.825676,-103.40461,-111.40853,-111.82479,-116.55336
90,-127.34122,-98.62454,-99.46391,-99.06963,-117.803535
91,-102.35216,-99.01884,-9.545907,-101.94109,-100.94285
92,-22.398338,-106.89104,-110.990845,-95.732155,-102.84298
93,-101.15202,-101.4719,-4.845349,-16.03734,-99.88662
94,-103.187645,-9.054662,-9.748938,-98.46896,-116.74192
95,-9.860306,-16.505957,-114.72608,-105.110886,-15.975166
96,-11.144036,-12.779689,-15.628659,-103.3158,-97.580605
97,-98.31144,-18.830536,-115.598076,-101.69817,-102.48077
98,-105.647575,-17.169518,-6.69548,-98.35023,-104.246346
99,-13.943218,-104.04648,-10.192551,-102.04758,-17.613997
100,-131.90057,-95.33972,-114.7547,-103.12252,-111.84587
101,-99.16699,-16.867981,-118.32087,-97.002266,-17.152376
102,-105.81904,-97.982086,-112.549255,-102.1982,-13.025626
103,-107.199554,-6.670314,-119.43437,-95.71698,-109.192276
104,-100.06872,-18.43848,-3.7555795,-99.761986,-97.69178
105,-25.061678,-7.4464607,-14.377855,-103.006874,-101.77352
106,-110.76165,-10.681774,-112.65731,-98.68181,-101.89363
107,-101.65967,-97.512856,-7.578633,-98.16685,-99.145676
108,-12.61974,-16.892551,-113.13736,-98.85215,-100.38564
