,It 0,It 1,It 2,It 3,It 4
0,-14.041165,-115.95134,-109.48982,-115.40451,-130.68657
1,-119.99699,-107.91387,-114.38261,-107.167175,-27.35987
2,-109.268005,-113.25635,-115.95006,-110.6295,-20.559118
3,-103.00958,-112.79538,-106.78209,-105.06558,-12.69812
4,-10.633704,-106.376976,-109.17682,-107.871605,-15.517489
5,-19.890215,-116.47664,-114.326836,-16.515465,-121.507805
6,-13.49133,-111.88426,-110.09332,-100.43609,-114.750465
7,-101.09235,-106.6715,-104.89705,-111.17454,-29.100231
8,-12.472482,-107.00071,-29.022644,-100.31005,-111.903275
9,-105.00394,-27.868036,-112.78299,-99.63873,-20.79264
10,-113.77393,-107.39851,-104.62118,-20.870897,-21.7606
11,-10.705586,-21.98118,-20.636148,-111.98051,-104.173035
12,-9.794722,-111.60474,-112.59212,-14.717458,-21.217691
13,-111.78532,-12.373035,-19.475626,-111.47648,-19.706741
14,-112.74586,-13.255447,-98.685585,-113.02028,-17.899729
15,-10.813131,-117.33771,-103.25773,-17.1265,-14.661276
16,-20.393526,-112.12624,-100.62748,-100.03032,-111.73715
17,-6.651123,-9.003262,-15.520994,-14.564684,-100.88461
18,-99.58817,-108.48811,-107.10233,-17.606417,-98.90994
19,-111.21847,-104.00922,-107.59392,-10.272753,-100.44417
20,-12.550185,-13.356624,-116.769424,-98.99766,-98.63883
21,-101.019905,-110.617256,-20.09705,-100.1539,-97.98332
22,-97.11268,-99.84403,-96.18011,-115.33905,-98.38609
23,-20.446306,-107.44443,-100.59837,-101.21157,-16.799496
24,-10.870376,-11.28852,-14.665409,-121.70927,-98.798035
25,-99.86327,-110.80643,-14.59553,-100.2636,-23.034842
26,-9.023912,-121.132545,-17.047165,-96.5739,-14.186583
27,-11.102466,-99.78695,-12.065315,-112.563,-15.669905
28,-98.54271,-102.102005,-120.98744,-98.41205,-11.23187
29,-22.272026,-22.058146,-21.8228,-15.590074,-103.894905
30,-119.092186,-98.47536,-101.17766,-100.32322,-100.27303
31,-98.41096,-99.998085,-8.582287,-12.036452,-119.81262
32,-9.199614,-18.858257,-19.09259,-15.4444895,-98.47529
33,-9.099734,-111.5578,-9.40873,-21.083733,-16.244678
34,-11.475224,-115.627,-9.973566,-110.537636,-10.730158
35,-110.86828,-111.28587,-11.395043,-101.09033,-106.92901
36,-101.56956,-107.59917,-105.678925,-11.021365,-23.027948
37,-30.474823,-26.442154,-106.46974,-17.04951,-11.492887
38,-19.398499,-14.293419,-20.955637,-112.20122,-108.56525
39,-97.93526,-99.86805,-8.304415,-18.843622,-16.280172
40,-104.3261,-15.828876,-22.434729,-110.79279,-101.47959
41,-12.724648,-100.20255,-13.173102,-115.68509,-116.088806
42,-114.93015,-108.479706,-103.85708,-98.0797,-7.7915583
43,-100.14964,-13.960577,-14.066564,-16.60482,-117.57706
44,-3.6942935,-108.900406,-102.975044,-17.003008,-18.752363
45,-14.073466,-115.244225,-13.502892,-103.97858,-11.24254
