,It 0,It 1,It 2,It 3,It 4
0,-22.027607,-113.98597,-114.76612,-23.971693,-113.31395
1,-25.86954,-114.97345,-110.72767,-107.397095,-112.84901
2,-127.46151,-121.40497,-107.58003,-109.04161,-112.85918
3,-112.39938,-108.53052,-114.021385,-106.87878,-117.39611
4,-109.81116,-17.811474,-103.911575,-115.528885,-113.37317
5,-15.936509,-102.06299,-16.176416,-110.43184,-109.162415
6,-97.1612,-109.28355,-13.290825,-103.97493,-123.075775
7,-24.89866,-106.85797,-11.619521,-108.762726,-11.357032
8,-102.45909,-12.818863,-20.654043,-111.145905,-107.37707
9,-17.333374,-100.505005,-114.092064,-111.90265,-103.886116
10,-111.20991,-96.41879,-12.062783,-25.340235,-105.393364
11,-106.712105,-13.224319,-116.51018,-102.527985,-12.995152
12,-15.47438,-11.414338,-17.614075,-12.52722,-101.78744
13,-17.025053,-101.21869,-14.013947,-19.139437,-29.74712
14,-12.462168,-20.689453,-105.20705,-18.309948,-14.063353
15,-9.985969,-8.2948885,-17.697866,-105.49162,-13.51609
16,-104.091034,-104.81263,-99.676216,-114.79336,-100.27767
17,-16.435429,-100.19939,-102.983406,-20.80165,-20.40539
18,-107.56953,-100.07004,-125.879425,-25.539972,-109.18654
19,-101.762245,-116.334854,-100.9438,-23.191914,-17.378914
20,-115.65119,-110.62337,-110.37165,-13.8486805,-13.183571
21,-9.0105715,-99.29498,-12.603103,-118.79886,-97.99991
22,-12.250771,-111.169106,-102.45332,-108.41571,-18.896545
23,-126.04709,-9.394394,-16.816797,-16.782093,-16.217262
24,-105.03004,-95.2261,-110.856346,-105.22521,-119.9154
25,-104.697815,-101.57592,-112.97983,-10.41868,-118.313934
26,-22.183798,-21.26813,-111.93858,-103.549805,-106.83253
27,-113.331726,-115.57309,-20.290546,-104.1198,-14.048679
28,-104.39737,-110.55471,-14.909596,-12.190207,-99.21672
29,-17.634863,-109.70522,-11.873025,-103.908554,-104.52721
30,-109.777855,-17.516037,-100.672005,-13.790984,-103.14082
31,-15.059775,-14.381641,-10.233673,-108.53578,-101.47681
32,-102.343315,-14.9818945,-8.150854,-105.31218,-97.32414
33,-102.06045,-99.374596,-110.41847,-18.950499,-13.994951
34,-17.5279,-98.38317,-16.069542,-18.280159,-101.00975
35,-120.243454,-96.19829,-20.356768,-18.81644,-19.660126
36,-104.246254,-119.16771,-15.851711,-12.558869,-101.111115
37,-17.04595,-107.63743,-23.842558,-19.09947,-101.81319
38,-18.693047,-13.913217,-102.29576,-119.814476,-98.626564
39,-18.042152,-101.92361,-18.903929,-11.21254,-100.89525
40,-12.161253,-107.1774,-15.922541,-12.328767,-98.273125
41,-11.007945,-97.732285,-113.6402,-110.91264,-118.47812
42,-106.63909,-107.86405,-15.257085,-115.34772,-106.52296
43,-111.07564,-16.951296,-99.45086,-15.913011,-101.61777
44,-16.643473,-25.774035,-13.644605,-112.93516,-100.89061
45,-21.227055,-105.531235,-97.052345,-100.42282,-13.096939
46,-108.630554,-125.038155,-112.55456,-110.198845,-100.56154
47,-103.71031,-99.22906,-112.59883,-118.461365,-95.2837
48,-96.05129,-17.515846,-9.336349,-9.644634,-116.17833
49,-16.865522,-116.23169,-118.03641,-100.70743,-24.875496
50,-20.527176,-10.847932,-20.942291,-10.713441,-19.173174
51,-8.977603,-12.66114,-17.855415,-99.6767,-16.0142
52,-99.18512,-98.9222,-18.429852,-12.44977,-100.23793
53,-10.260128,-17.257097,-12.964605,-117.9328,-115.07929
54,-97.69051,-111.60978,-16.322336,-105.42856,-100.199005
55,-98.61518,-99.07455,-111.325676,-109.73009,-125.3106
56,-111.51933,-15.794085,-13.360102,-101.97098,-98.15851
57,-11.244706,-101.70738,-12.515363,-101.12389,-102.89843
58,-100.52461,-12.53483,-110.79475,-98.903366,-19.560091
59,-98.83576,-102.493805,-101.76065,-96.29926,-119.46299
60,-19.080679,-13.060684,-100.162605,-108.75689,-98.4868
61,-10.862067,-14.678319,-99.29473,-105.019325,-20.343067
62,-18.37493,-21.1562,-101.18481,-102.66464,-113.464386
63,-103.45968,-13.28494,-108.681145,-19.863455,-98.32898
64,-98.53747,-11.622823,-11.973248,-111.60731,-99.7619
65,-16.13371,-122.12766,-109.94428,-116.64384,-13.471837
66,-117.45523,-98.36495,-101.65424,-17.215467,-11.33783
67,-118.8979,-10.158124,-112.4052,-113.95742,-110.87248
68,-97.775955,-101.98934,-11.266462,-101.75273,-101.2757
69,-25.450947,-101.864365,-19.48719,-108.454124,-15.596801
70,-14.2585,-10.11817,-100.00987,-112.00153,-99.04991
71,-18.39683,-111.46691,-111.058365,-98.72212,-10.250124
72,-22.156471,-99.305756,-110.5931,-99.94551,-98.74238
73,-12.491035,-18.009613,-13.550573,-10.329947,-19.280787
74,-11.364325,-100.161156,-12.797744,-120.62369,-100.75879
75,-17.476948,-10.162441,-113.380936,-123.250435,-111.10729
76,-15.564101,-133.36182,-15.317563,-14.562223,-21.599493
77,-12.073539,-103.23387,-96.86461,-17.117321,-101.97988
78,-10.378064,-99.47744,-114.79765,-99.55875,-101.716835
79,-10.965847,-104.50829,-16.608723,-113.775986,-18.846443
80,-111.218254,-11.594265,-101.131386,-100.44639,-101.22972
81,-101.31254,-98.10258,-23.755163,-114.351,-11.588993
82,-14.214743,-95.9764,-18.410889,-9.626981,-112.70923
83,-110.48147,-13.285401,-114.892685,-107.33471,-129.4494
84,-99.97176,-97.64923,-100.74775,-100.67205,-98.659195
85,-100.652954,-10.814533,-111.01164,-97.29619,-97.28312
86,-24.82115,-100.277885,-110.82883,-8.034947,-119.76139
87,-15.554916,-108.0968,-105.77739,-116.5018,-111.201614
88,-27.45492,-100.67553,-113.61113,-12.120293,-103.46225
89,-22.106258,-15.119536,-110.11607,-111.71494,-6.7506266
90,-101.14695,-14.927885,-11.289763,-111.543205,-100.19647
91,-102.17881,-116.99489,-99.446495,-98.2038,-97.87084
92,-100.22311,-105.00757,-119.06186,-100.40525,-25.61067
93,-14.887038,-114.022644,-99.110794,-114.87247,-97.6087
94,-124.54646,-98.09117,-126.6952,-11.5025625,-116.29758
95,-17.121197,-101.01229,-96.97995,-100.99201,-98.25093
96,-12.93069,-112.98815,-96.11909,-111.81022,-118.46718
97,-5.6535726,-110.55281,-125.228424,-124.22739,-114.03514
98,-113.229004,-100.7131,-106.548996,-110.57727,-96.06978
99,-16.530434,-11.296757,-98.16469,-16.100662,-99.03428
100,-118.299484,-109.39862,-107.907455,-108.08005,-98.41098
101,-99.075615,-97.77551,-98.22015,-99.26088,-97.38271
102,-4.0354037,-95.97604,-113.73407,-118.25747,-100.41473
103,-97.38656,-17.922218,-104.94156,-123.0051,-97.023254
