,It 0,It 1,It 2,It 3,It 4
0,-29.299868,-19.856764,-20.095922,-100.34034,-98.36401
1,-110.83798,-98.138824,-108.12964,-127.12407,-18.854975
2,-105.74712,-13.993339,-25.662022,-17.073648,-113.83536
3,-112.41595,-99.63434,-114.67968,-113.05978,-113.14379
4,-114.08163,-115.3068,-112.67383,-107.68141,-116.94997
5,-118.60651,-110.31085,-116.52175,-120.65144,-107.0029
6,-106.377205,-109.94928,-116.10718,-110.25636,-108.96703
7,-99.84911,-117.56725,-114.92001,-108.09369,-112.091896
8,-106.542534,-112.31032,-114.32236,-113.32948,-20.488518
9,-98.4224,-110.276665,-20.144213,-19.078161,-14.483829
10,-114.19865,-106.11015,-107.7329,-20.954422,-127.65782
11,-116.039505,-109.19066,-11.010688,-16.76012,-115.494804
12,-98.880486,-107.257095,-110.152374,-17.459057,-103.21981
13,-101.16269,-115.5484,-117.35233,-22.139069,-109.53389
14,-16.453491,-108.908035,-106.02221,-113.84446,-110.74351
15,-23.308947,-111.294876,-107.540695,-114.33282,-10.956131
16,-98.76988,-12.014401,-105.1451,-117.026184,-104.63625
17,-100.798416,-12.5546,-19.490738,-15.956695,-10.873877
18,-117.47608,-17.984049,-112.56016,-18.783342,-18.380928
19,-114.40047,-101.20682,-102.84342,-112.9321,-12.604845
20,-123.771065,-105.16097,-12.538236,-97.637665,-17.363726
21,-16.668024,-105.79363,-100.61635,-100.02538,-15.874705
22,-109.290764,-101.70909,-19.437742,-19.929722,-12.343729
23,-22.68457,-114.456116,-104.59274,-100.012726,-102.7461
24,-98.18573,-114.32148,-10.5955715,-114.70658,-17.0871
25,-20.857393,-96.843575,-116.00853,-10.687056,-18.86404
26,-23.428564,-98.66094,-9.262726,-23.83071,-104.42904
27,-24.337402,-101.98121,-99.23735,-100.7347,-18.726244
28,-99.94595,-15.689051,-99.75137,-101.882774,-14.739214
29,-99.83091,-14.243923,-110.52268,-102.04954,-12.949297
30,-16.330317,-117.13206,-99.00512,-102.306694,-20.338158
31,-17.162306,-102.11728,-117.15226,-10.314297,-111.67084
32,-12.207851,-106.43771,-112.656975,-104.64355,-103.34743
33,-99.93234,-19.233526,-116.460655,-15.560629,-108.44697
34,-17.739103,-98.7666,-100.2173,-100.88608,-9.850328
35,-109.10253,-24.735104,-111.20866,-98.78485,-14.771499
36,-12.321972,-100.33477,-115.738495,-14.499004,-10.810216
37,-98.0055,-12.357444,-100.93989,-9.388356,-19.60224
38,-18.645805,-108.86212,-99.07571,-96.85292,-113.51456
39,-117.98525,-100.62877,-110.31652,-15.947186,-10.458119
40,-14.797558,-101.4262,-100.29143,-14.704119,-12.758086
41,-7.7675834,-99.962494,-14.004789,-96.981834,-19.348768
42,-99.68785,-9.081674,-14.916504,-14.073609,-14.923099
43,-112.29954,-99.78553,-13.720466,-14.051699,-14.0081005
44,-7.9379086,-103.48374,-16.095324,-17.551598,-104.376396
45,-20.210438,-101.49698,-10.256604,-99.357605,-15.219429
46,-103.07819,-99.8327,-104.6615,-100.37804,-13.825852
47,-114.3504,-103.149734,-116.65586,-13.0089,-17.054358
48,-110.70619,-99.96171,-102.63988,-112.05306,-102.29453
49,-11.817642,-100.55305,-13.84029,-109.5924,-101.15783
50,-108.38684,-14.42137,-9.834279,-110.82197,-103.89824
51,-113.67643,-96.0394,-108.67422,-100.4791,-114.28676
52,-119.41601,-16.469402,-98.97481,-114.1434,-17.11179
53,-11.125585,-101.9065,-15.413237,-102.96853,-16.038574
54,-103.676285,-112.11392,-111.16002,-101.32255,-13.523963
55,-112.62204,-98.08931,-115.101036,-102.68328,-15.049798
