,It 0,It 1,It 2,It 3,It 4
0,-117.60279,-120.32411,-114.6329,-118.6438,-112.32577
1,-119.4084,-120.540306,-114.36901,-34.50775,-116.41352
2,-113.51617,-106.57405,-109.44084,-104.16901,-111.451584
3,-113.16415,-15.367327,-107.58521,-108.16751,-114.408485
4,-111.52979,-108.79266,-115.669136,-107.68887,-111.26975
5,-103.061676,-103.83082,-108.77358,-17.337183,-24.704462
6,-20.712883,-11.564661,-102.244865,-103.905426,-26.64002
7,-13.063744,-13.306612,-19.569918,-102.359695,-111.52076
8,-106.07341,-10.481589,-97.00404,-107.827614,-112.46785
9,-106.53028,-12.991856,-103.286,-111.211624,-108.36713
10,-101.6388,-101.88843,-107.650055,-23.239529,-14.900996
11,-115.248856,-102.006516,-7.97718,-17.592075,-113.13314
12,-18.275518,-109.08411,-106.607544,-106.03501,-106.52316
13,-116.56032,-109.274284,-21.162447,-115.04593,-119.96449
14,-14.419853,-12.504924,-106.79012,-120.31355,-107.75174
15,-112.711754,-11.2024765,-17.218285,-102.89455,-126.268776
16,-116.17503,-110.20884,-102.25447,-21.196217,-113.33739
17,-15.084015,-17.295315,-100.98634,-100.81331,-103.71474
18,-99.83537,-108.82326,-110.24918,-15.396893,-17.362757
19,-118.58465,-111.4375,-100.19199,-13.128458,-19.288366
20,-112.51439,-105.37932,-99.774895,-14.4771185,-20.822918
21,-111.84383,-101.64806,-109.34178,-101.86426,-100.99815
22,-109.689896,-110.9373,-16.483149,-12.07942,-18.115244
23,-120.19318,-13.691939,-116.97104,-21.485806,-100.21452
24,-103.73131,-9.352332,-101.25289,-13.990006,-115.60451
25,-102.2823,-111.66666,-15.198918,-10.091534,-112.7555
26,-130.11523,-111.00462,-100.84386,-12.694192,-122.6535
27,-101.547325,-7.328609,-109.274124,-11.846102,-108.74347
28,-108.25792,-102.08989,-104.42529,-12.270242,-19.564472
29,-112.467285,-111.87226,-13.126386,-13.746118,-14.831234
30,-100.78552,-18.184183,-8.035441,-104.23467,-18.81191
31,-11.422267,-111.01198,-104.88437,-20.210838,-106.289635
32,-103.70662,-9.1938925,-97.10927,-15.742396,-14.581297
33,-9.232071,-14.499828,-116.06543,-10.746279,-112.94854
34,-100.56508,-113.781685,-11.036757,-100.02632,-18.008915
35,-100.86413,-10.999883,-99.758,-116.485016,-98.90514
36,-118.67853,-14.926642,-11.888753,-11.9257965,-19.27049
37,-117.44013,-14.42261,-112.8059,-107.9756,-13.818245
38,-97.69793,-8.664475,-112.20745,-17.54654,-112.38352
39,-13.329903,-101.29947,-15.978835,-20.742401,-114.20854
40,-25.626049,-11.624435,-15.523177,-105.09939,-97.61323
41,-105.4346,-101.101715,-109.382545,-111.21903,-104.319984
42,-10.970957,-100.33629,-109.32579,-14.728693,-11.062905
43,-16.613573,-15.1991625,-117.09527,-13.719196,-98.158905
44,-100.49285,-17.965841,-16.635653,-99.04663,-18.862347
45,-16.190462,-99.67724,-120.00658,-99.14416,-101.843544
46,-18.473616,-17.632576,-16.608204,-100.58349,-108.57787
47,-97.85957,-17.128279,-12.853359,-103.64793,-18.256212
48,-117.645836,-97.195625,-11.938796,-105.240456,-97.67815
49,-108.09584,-101.106674,-16.72548,-99.50632,-97.83162
50,-115.237816,-125.27368,-17.156603,-15.548623,-98.860695
51,-97.46582,-115.856384,-118.01199,-24.58545,-18.466455
52,-111.477066,-12.216535,-15.024312,-14.365177,-121.64653
53,-104.060555,-104.74155,-16.295992,-7.75875,-108.38673
54,-103.44607,-11.093965,-12.063893,-18.531303,-104.44687
55,-11.360874,-104.85708,-24.23611,-111.60905,-18.30278
56,-117.6608,-100.52574,-11.672896,-10.149868,-109.08242
57,-14.666086,-101.23552,-99.83989,-24.05123,-13.006253
58,-120.37941,-9.951176,-18.912163,-97.58576,-98.62375
59,-8.135872,-21.27579,-112.010864,-17.819971,-120.5659
60,-106.503456,-16.030615,-14.961734,-108.08509,-113.88321
61,-112.254486,-113.03413,-15.628912,-119.95726,-16.324938
62,-20.092941,-116.582954,-101.357414,-13.757165,-16.395807
63,-104.82338,-113.14403,-114.109886,-17.392603,-15.7765665
64,-102.10569,-10.177749,-15.718867,-106.68249,-9.625721
65,-113.122154,-110.80524,-101.1138,-16.394205,-14.042407
66,-13.922776,-112.27853,-110.016945,-12.886113,-19.526493
