,It 0,It 1,It 2,It 3,It 4
0,-22.285862,-20.536705,-101.533936,-102.6885,-113.65001
1,-119.76189,-111.66755,-106.59998,-113.41166,-125.75329
2,-120.70416,-111.576584,-108.88508,-113.163826,-112.28156
3,-16.553635,-113.28938,-125.34112,-115.496475,-17.280922
4,-12.325399,-110.45688,-113.1194,-112.22269,-17.79845
5,-113.260956,-116.15465,-111.53715,-111.95357,-111.45981
6,-114.94951,-107.39418,-112.2231,-104.68257,-104.267235
7,-16.072538,-101.52862,-115.37599,-103.32956,-20.817152
8,-109.989525,-25.089489,-102.78447,-8.500286,-110.39296
9,-19.948532,-105.693054,-18.49856,-101.146255,-102.8047
10,-14.709648,-18.171652,-32.431942,-104.27044,-111.64798
11,-104.698746,-15.825341,-103.79372,-104.75612,-104.63281
12,-19.728851,-120.13336,-18.969383,-12.611282,-102.65137
13,-104.677605,-115.92797,-25.222486,-107.3556,-104.72947
14,-98.91638,-16.137754,-23.836666,-15.600326,-104.94756
15,-105.70914,-17.734749,-111.50847,-21.900167,-104.175804
16,-15.714898,-108.81096,-19.915611,-27.144796,-99.42442
17,-98.62895,-12.82447,-13.851156,-110.45868,-101.74643
18,-98.99672,-102.17939,-12.820434,-115.26857,-112.82112
19,-111.90883,-112.36145,-109.64148,-118.26455,-14.444586
20,-111.352425,-102.95001,-15.889002,-20.275955,-112.02945
21,-10.794043,-15.810407,-117.75241,-12.284154,-100.32852
22,-7.931294,-102.37345,-31.334198,-123.3132,-101.61225
23,-16.926012,-13.412802,-99.851654,-116.000175,-18.566738
24,-10.259035,-102.214615,-109.07306,-14.300475,-103.4067
25,-112.51893,-21.711561,-17.249409,-114.28439,-101.450264
26,-101.184,-102.22656,-100.34713,-103.81691,-12.516483
27,-108.3837,-16.446766,-100.16196,-18.667711,-100.55256
28,-9.47,-115.10299,-13.19736,-18.171368,-112.09369
29,-99.244965,-117.10452,-99.09374,-27.633888,-101.32241
30,-15.60539,-15.441629,-9.591728,-101.30305,-101.96421
31,-15.336459,-111.66618,-18.382355,-112.452095,-101.067184
32,-99.49912,-120.67149,-98.56445,-104.63061,-25.163338
33,-111.90129,-13.206794,-102.014755,-11.953499,-101.31368
34,-99.797356,-111.46207,-101.522484,-21.130499,-20.077219
35,-96.91358,-19.092733,-15.803154,-13.69072,-99.00516
36,-15.038199,-12.189024,-13.442905,-108.40978,-101.783844
37,-97.42235,-100.09469,-98.6904,-21.812431,-101.703285
38,-116.5641,-18.141212,-23.34363,-110.392586,-113.81931
39,-15.41067,-112.99446,-21.432825,-11.39418,-112.7596
40,-118.43947,-16.64004,-106.35538,-101.359474,-110.890976
41,-96.370834,-12.91838,-109.84367,-99.470566,-10.462344
42,-98.97705,-20.978216,-101.29305,-12.474428,-98.76561
43,-113.21721,-114.08311,-111.49493,-20.813072,-121.49103
44,-97.06935,-17.60313,-16.280935,-123.22448,-100.7149
45,-17.36079,-18.209251,-99.731735,-102.02896,-118.45754
46,-99.14687,-16.73167,-22.059841,-113.84269,-16.659676
47,-17.176731,-11.126828,-103.92711,-100.37893,-101.47144
48,-9.243782,-15.2315855,-109.691505,-29.440773,-98.72909
49,-10.268825,-101.02752,-15.438477,-109.90088,-99.06308
50,-14.025396,-108.67648,-113.92377,-117.27629,-104.77723
51,-108.94649,-109.105446,-96.39837,-110.47863,-114.44306
52,-14.33264,-17.391228,-100.507416,-18.270369,-22.624405
53,-16.149214,-23.145208,-99.5835,-15.878584,-14.850103
54,-14.289611,-14.525496,-104.9309,-110.99651,-97.774574
55,-7.7329516,-110.01398,-120.631744,-100.20467,-100.71598
56,-112.23754,-104.97747,-110.68058,-8.115985,-110.648964
57,-14.481718,-102.30499,-113.58928,-14.1055355,-13.603016
58,-112.02139,-16.808083,-101.3694,-119.28371,-119.02101
59,-116.4507,-15.446875,-106.302956,-118.961655,-98.84099
60,-108.553085,-111.003494,-112.11843,-104.18152,-99.44959
61,-94.71314,-17.565083,-21.095093,-111.05321,-98.62636
62,-16.116615,-18.66607,-97.90911,-119.128716,-112.867676
