,It 0,It 1,It 2,It 3,It 4
0,-22.145304,-105.74313,-15.855976,-111.25042,-110.11768
1,-15.184775,-111.67346,-114.25898,-113.21484,-116.804794
2,-120.42181,-108.95737,-116.531525,-106.34272,-108.60701
3,-117.25361,-114.98152,-114.82035,-116.53027,-117.62017
4,-125.29653,-110.549484,-111.754684,-116.09071,-116.282936
5,-127.42233,-109.07105,-113.7022,-107.36117,-106.56867
6,-21.942823,-107.75159,-109.75321,-110.33584,-107.06028
7,-109.638916,-107.700165,-108.507286,-25.606619,-18.58364
8,-110.335556,-104.76042,-13.604237,-110.89102,-121.20488
9,-104.55703,-110.38987,-105.16166,-113.80039,-115.36692
10,-10.546178,-20.754564,-102.51196,-114.05479,-97.9754
11,-116.423836,-20.870293,-107.581276,-22.57135,-116.71908
12,-113.32297,-114.93932,-99.8846,-120.05619,-20.972057
13,-23.589693,-115.828186,-21.340797,-19.18596,-101.5927
14,-18.314163,-116.67351,-110.38839,-111.72238,-17.298819
15,-100.19761,-16.386154,-28.363707,-113.8306,-110.109604
16,-108.877426,-15.552226,-103.25521,-102.80433,-22.708422
17,-115.23628,-12.55725,-108.95968,-16.53501,-17.921804
18,-16.96833,-24.36026,-18.362923,-101.4476,-15.273916
19,-18.000341,-21.066645,-118.8755,-100.60608,-17.117496
20,-24.671223,-22.09557,-102.24256,-104.994514,-11.962329
21,-12.503264,-22.15871,-111.870804,-9.9009495,-14.231324
22,-110.00019,-24.593094,-9.719452,-17.340044,-26.550135
23,-13.217197,-110.82404,-16.543976,-19.234463,-110.079124
24,-15.928484,-109.13397,-18.506237,-106.74973,-14.260178
25,-13.272786,-13.002225,-108.29229,-20.920692,-15.163174
26,-105.84806,-18.394487,-101.163475,-18.959814,-103.93685
27,-16.561197,-11.165502,-18.371092,-20.581161,-16.496214
28,-111.63349,-16.186897,-15.144248,-123.01492,-20.63777
29,-13.834247,-14.426931,-17.471832,-13.234039,-13.743723
30,-16.36507,-112.28914,-100.57171,-21.688616,-20.239801
31,-99.33269,-9.148516,-9.213301,-14.28554,-11.716171
32,-15.610342,-112.74939,-18.403997,-113.69102,-19.261198
33,-17.66296,-101.50134,-18.655495,-101.57241,-112.42935
