,It 0,It 1,It 2,It 3,It 4
0,-110.86889,-27.420542,-113.216225,-21.409014,-101.375824
1,-106.81767,-127.75757,-116.28566,-112.160126,-18.473955
2,-111.66409,-125.506714,-115.37525,-115.82849,-107.78943
3,-109.890396,-117.45992,-106.862045,-112.716064,-117.67825
4,-113.68654,-107.753426,-111.02164,-115.72025,-111.731
5,-20.277727,-113.12733,-113.63803,-20.322779,-115.51213
6,-18.835903,-25.88249,-117.75897,-119.83873,-105.69351
7,-113.24536,-99.756645,-100.54115,-122.654724,-108.07429
8,-17.094303,-114.23869,-99.66147,-105.81165,-112.739296
9,-24.164658,-28.431763,-18.309935,-11.7715,-20.903967
10,-13.604514,-116.290016,-27.787817,-102.31099,-30.243404
11,-15.160655,-113.79103,-27.016054,-15.0011835,-109.49248
12,-18.18861,-106.30364,-29.367958,-25.155268,-101.70293
13,-115.204544,-105.7682,-32.930008,-13.710507,-114.81688
14,-17.202026,-14.462557,-21.392706,-20.017872,-103.56427
15,-116.64085,-104.67835,-103.35129,-104.353035,-28.330168
16,-21.433151,-11.575717,-106.809555,-13.982597,-15.888884
17,-19.125792,-16.52153,-13.392946,-18.64197,-101.59923
18,-100.61768,-18.046873,-16.87779,-104.38856,-101.953545
19,-100.79252,-10.143634,-119.20975,-109.050766,-19.645102
20,-18.203735,-12.404133,-101.42551,-14.056166,-100.57989
21,-14.749832,-16.976238,-107.76613,-13.565258,-114.232796
22,-111.40467,-100.19233,-106.02715,-18.209467,-19.436214
23,-9.704397,-23.567327,-110.66577,-124.92979,-13.296808
24,-114.47862,-8.54537,-99.93678,-97.66751,-15.921986
25,-13.078519,-97.75015,-101.13527,-105.15605,-104.650444
26,-100.751114,-112.771835,-109.53486,-8.721074,-116.48407
27,-13.643752,-23.397547,-15.893669,-96.82741,-16.99277
28,-101.92366,-26.31806,-17.33024,-13.688821,-17.260157
29,-14.881845,-101.90433,-15.327058,-12.615953,-18.342999
30,-13.174043,-9.984852,-20.797901,-103.97158,-117.809944
31,-10.253137,-24.333353,-113.65752,-101.16076,-108.15091
32,-104.30797,-13.226804,-104.72293,-15.586111,-98.177765
33,-102.72797,-109.71319,-11.093191,-9.56162,-110.25712
34,-11.284547,-112.36239,-18.934662,-102.53619,-102.1192
35,-111.3449,-17.412851,-112.24351,-12.507405,-18.734018
36,-14.728834,-18.806736,-23.365444,-102.65256,-106.146255
37,-11.694512,-19.484816,-95.88827,-10.101477,-112.65562
38,-15.358455,-100.52191,-14.126779,-109.11195,-19.056957
39,-112.88145,-15.208785,-21.475876,-100.47512,-12.760319
40,-21.620337,-12.791754,-98.4694,-99.027855,-127.32582
41,-100.87294,-13.064245,-108.99884,-18.26757,-111.67657
42,-98.35562,-112.82761,-108.81712,-99.74372,-19.365543
43,-14.148478,-100.80266,-20.007652,-116.2386,-116.13763
44,-101.05579,-105.05569,-12.397247,-101.20769,-108.48196
45,-102.32099,-112.12841,-21.55395,-119.19803,-108.393974
46,-20.40865,-108.29778,-113.34727,-13.212466,-101.69107
47,-12.938753,-23.366617,-106.497025,-112.83382,-98.940056
48,-19.892628,-20.635141,-103.45299,-117.54187,-107.78898
49,-98.77062,-101.52624,-107.970116,-97.98067,-98.641365
50,-102.63341,-19.665966,-108.323715,-101.60603,-103.187035
51,-102.17793,-107.84858,-16.409437,-109.472725,-14.96389
52,-8.427303,-110.80463,-11.678424,-11.224234,-99.56632
53,-107.634384,-11.54107,-11.933167,-13.880238,-96.931915
54,-20.210594,-99.014694,-100.34622,-114.110344,-109.14689
55,-20.456673,-99.56312,-97.8597,-14.879233,-97.313774
56,-13.54963,-9.076135,-99.7436,-4.9012904,-109.73744
57,-21.914059,-96.88888,-10.490687,-105.401344,-19.037125
58,-99.76695,-16.250147,-113.52283,-114.69294,-15.119486
59,-14.529861,-18.66186,-110.20606,-99.538666,-108.82768
60,-13.384793,-101.75173,-98.11545,-103.61291,-98.20728
61,-7.8833313,-98.01964,-108.222534,-98.75947,-17.986797
62,-114.22995,-96.62138,-106.08841,-99.35522,-114.9726
63,-10.936395,-113.23479,-107.793846,-107.67026,-113.689476
64,-8.723406,-99.37578,-12.936209,-102.32391,-13.485244
65,-111.65806,-21.772675,-11.2182045,-116.354416,-112.165665
66,-112.173706,-116.17256,-103.70567,-9.97194,-115.3262
67,-101.24055,-16.322977,-107.67288,-12.239514,-102.16269
68,-9.4845085,-99.4946,-18.151155,-21.828165,-19.272264
69,-19.769016,-95.5445,-101.15114,-105.65763,-20.810816
70,-6.2972417,-18.661879,-14.990133,-104.61825,-112.599205
71,-14.06342,-97.714485,-16.367607,-99.784584,-99.19478
72,-100.79151,-101.90256,-11.2068,-97.62135,-100.09164
73,-114.33157,-9.315159,-16.61022,-8.3308115,-15.931513
74,-16.516747,-110.35931,-18.254103,-105.24306,-98.18993
75,-121.15397,-106.3359,-15.394184,-0.9407145,-127.94969
76,-109.31684,-101.07126,-100.52408,-16.838127,-22.391733
77,-99.50052,-13.574713,-99.289215,-101.78908,-19.979748
78,-21.902906,-113.62321,-98.84903,-101.825226,-108.83978
79,-12.936582,-15.226124,-17.215574,-9.862118,-114.5944
80,-115.318756,-13.295406,-114.894775,-99.023445,-100.831505
81,-105.66322,-112.41234,-102.4214,-12.993205,-13.101866
82,-100.12157,-11.754173,-14.362759,-112.020615,-17.256218
83,-99.25497,-111.816444,-117.21916,-111.32126,-110.32273
84,-98.72455,-18.321348,-118.0947,-9.754167,-109.797386
85,-18.089981,-11.134385,-21.449308,-103.06495,-101.06996
86,-108.80908,-115.88734,-112.62525,-102.6223,-114.61539
87,-100.85868,-104.671196,-103.01749,-107.09189,-120.943115
88,-7.9782257,-109.65332,-17.361242,-101.8164,-113.38728
89,-99.403366,-13.220503,-96.673515,-100.04289,-104.09045
90,-105.76723,-109.46504,-112.80764,-103.48605,-123.25297
91,-102.03633,-10.584727,-120.289215,-101.98555,-17.996946
92,-21.38589,-29.289202,-120.20916,-98.67782,-137.22687
93,-112.06897,-15.958278,-119.5793,-97.48932,-19.244907
94,-8.515096,-103.807045,-11.346202,-98.19102,-99.36115
95,-12.765528,-111.52341,-114.93193,-98.91334,-122.316086
96,-99.10068,-108.62826,-101.05823,-117.51582,-100.34874
97,-99.89471,-13.353502,-97.06607,-97.16202,-110.40147
98,-99.0893,-105.23923,-102.10745,-104.39081,-100.94003
99,-12.729926,-108.564606,-99.366905,-12.078308,-26.125689
100,-112.128426,-12.984178,-97.80417,-96.17584,-104.71382
101,-108.62521,-10.762044,-98.17407,-112.0563,-29.087732
102,-22.003286,-111.053444,-102.1262,-105.45667,-109.85812
103,-115.890465,-115.804535,-16.23505,-105.28783,-99.579185
104,-21.605974,-12.781083,-99.3274,-8.276476,-108.89565
105,-128.59929,-17.703674,-13.89643,-13.722847,-16.32199
106,-99.44702,-16.13485,-118.18273,-109.09726,-105.6785
107,-16.53243,-11.551001,-13.84654,-101.34226,-121.12059
108,-15.487328,-112.723915,-98.799034,-98.63705,-102.882744
109,-14.663763,-17.360453,-97.85275,-114.388695,-110.80664
110,-100.705185,-105.11551,-114.05908,-101.70965,-111.42743
111,-103.43165,-15.57029,-100.55643,-104.47833,-19.971605
112,-110.3024,-118.12555,-100.87252,-109.692505,-111.398796
113,-114.114426,-110.67697,-114.28461,-13.961629,-104.23772
114,-115.08717,-16.470097,-108.90055,-114.85637,-118.9727
115,-18.406977,-104.79197,-21.048382,-110.79298,-112.84946
116,-18.142326,-97.725784,-111.66345,-14.819453,-99.305984
117,-100.16341,-112.83814,-95.80311,-96.68332,-110.878456
118,-98.37123,-96.81527,-16.66015,-18.63864,-15.814079
119,-98.56888,-100.99252,-117.57358,-111.88621,-117.84073
120,-14.234788,-112.24734,-9.988456,-104.99222,-98.600266
121,-98.90954,-108.38896,-16.577288,-102.64462,-15.025284
122,-102.673775,-100.54812,-98.849174,-98.76364,-103.38779
123,-98.53515,-16.37016,-15.540824,-110.42906,-101.309525
124,-18.122837,-101.984886,-93.82113,-108.565575,-109.716835
125,-17.713102,-110.01877,-111.905,-11.293544,-12.083496
126,-100.23742,-12.712213,-13.533714,-103.229355,-109.427704
127,-109.67525,-97.539986,-98.290535,-18.458944,-16.052872
128,-14.669122,-99.91579,-116.55022,-20.823969,-97.90263
129,-106.49744,-13.720175,-17.912573,-18.634285,-97.79728
130,-24.77879,-113.03294,-120.826935,-17.547884,-100.651535
