,It 0,It 1,It 2,It 3,It 4
0,-97.4081313268969,-123.25424913997807,-90.17949497721003,-92.71578377343032,-36.68522927361182
1,-98.17222282648859,-119.03959966162358,-88.6159613653156,-94.28230498710136,-41.98706274782654
2,-94.36602484314392,-119.57169816817677,-120.65872795017886,-99.74866900747168,-35.210589518962315
3,-98.20486766980689,-123.18407328871777,-90.18024411904842,-96.47387030684288,-45.327621165320814
4,-98.32072240245652,-118.04209322765749,-124.40130484341326,-92.82606758746164,-102.62383317925786
5,-98.24163360999,-118.19518692717406,-128.47691785426582,-97.40928650165411,-34.321229094995125
6,-97.28601925154621,-95.1634627517485,-89.89287953972413,-97.42806406372999,-42.0495875901396
7,-98.26028377034648,-124.62871114339835,-90.79005345516434,-93.09527549223446,-34.81216958559435
8,-98.26503975938695,-121.22440912656921,-125.42706604165537,-98.40632008501578,-32.531022777925095
9,-98.27484514811154,-90.27762215320956,-92.19072263519,-97.42870102453355,-33.80136277109929
10,-98.040643358555,-122.10313305600351,-88.34673094225582,-92.72431940473771,-39.601196463524815
11,-97.3401671867305,-121.82584111435308,-126.00757081101557,-94.41037601629861,-34.06411371412539
12,-97.69398045624708,-118.6998613743425,-90.01025613609822,-96.48945150851668,-34.35983672274238
13,-98.67010985802607,-118.00949899639654,-89.88607256953642,-93.046388391619,-36.77248766276331
14,-98.61087797933025,-121.98704599575325,-128.15231962285688,-92.78809129160364,-33.74851420920067
15,-98.17732141464836,-121.82594041971001,-125.00320344648867,-92.92693398952204,-42.09630159009177
16,-99.03370356058159,-118.38427064673076,-128.41615430255405,-96.52743386547695,-33.630505565775785
17,-98.39503313356848,-122.11432642936722,-90.30636080554721,-97.77054886598482,-33.86827410321834
18,-98.26907087419461,-119.17453874901221,-91.94801678999637,-93.18295918654833,-40.34242472045452
19,-98.96247901110281,-120.07804174352523,-124.34100449801582,-92.58462702502123,-46.75205902952534
20,-98.4788727250804,-49.88064414116874,-90.49413229147679,-92.7435469440041,-34.91831356540286
21,-97.40776922809667,-120.75036651446445,-126.12474313470395,-92.99142215716121,-34.54247200041769
22,-98.00258378710683,-119.91603710647517,-127.06045009650524,-92.92278080508811,-48.34682948682408
23,-98.8228349413429,-119.02070025445086,-92.09412135257836,-92.47245732620266,-40.27696476826197
24,-98.2179904087397,-120.05850350063822,-92.88245873462269,-93.58063304399909,-35.22624011662029
25,-96.58556163685893,-118.71899782985682,-91.24220890994982,-93.45254279352585,-34.12308788257276
26,-98.26189972044233,-121.69106735965819,-91.0311399047751,-95.5576588376166,-32.61682888361174
27,-98.51049079708352,-118.8824276392539,-90.31763385754661,-96.50220141070453,-34.003437984727796
28,-97.9248021427476,-122.63116320907866,-90.14845871089726,-97.41035720425286,-31.48630944803128
29,-97.3770688386332,-50.60165354714601,-127.37748260707035,-93.20244151199205,-36.10777680962335
30,-96.5480913410389,-121.04864451806893,-89.46804069996276,-92.34565498212135,-31.682265158040888
31,-97.6631118420586,-119.46489696732579,-89.06559895189447,-97.43703604110094,-44.344961500890065
32,-97.72820472712722,-118.65602035958119,-92.9865654204674,-92.81164560465018,-37.40261687251324
33,-97.56284711029896,-50.32503861769986,-85.89410606892538,-93.39437334556163,-45.66268941569117
34,-97.99908776142371,-120.2907421156459,-90.11047002197301,-97.78991251411983,-46.27571903309208
35,-98.27712054377345,-118.4145794684618,-88.91850387099369,-96.47599699937265,-36.07970879863291
36,-96.79239445017018,-120.72226717381187,-125.27909393977568,-97.7535467286021,-36.0054544591047
37,-98.10758491853834,-119.32618891356341,-93.20592932693863,-93.50409634435425,-33.903369780740206
38,-98.58375060116865,-118.92952201179962,-90.82962191848301,-92.6929922646194,-45.61059389147044
39,-95.94640243440688,-92.02503379091375,-90.26439169892356,-93.34447297958222,-34.65914470805263
40,-98.14096878835147,-124.57256902585084,-91.60077703505856,-93.96387858433881,-36.38382868813335
41,-98.82466196977309,-118.28013694998722,-18.204122158876107,-93.96684093731689,-39.89301172101152
42,-97.98297410736932,-123.24704475005635,-123.3402457924382,-95.09445572913779,-49.05430508157261
43,-92.71017363643907,-122.30074875576405,-130.84686026284245,-96.78100157541044,-37.374992460093125
44,-96.72337298905116,-97.0711801531723,-89.10485720477116,-97.28991559923925,-32.87589086172886
45,-98.54000483177781,-89.99380668361322,-91.48741087605626,-93.664630746914,-48.08466145969287
46,-97.73847222658378,-121.09497428606481,-90.15772499565051,-97.42366488262235,-35.018629624494686
47,-97.52692111091245,-122.36846678335112,-128.492967422993,-97.78616771390301,-34.83902955490668
48,-96.26366951400155,-93.4179763490193,-128.78758788276494,-93.0233327170394,-42.12481727764592
49,-98.88448035987102,-119.85105395247128,-93.44593453377244,-97.75597934890177,-30.851849071758227
50,-98.09706055504286,-121.28656643207432,-82.3910219786882,-93.00138462141156,-34.25481839419829
51,-98.60452223339988,-50.208818449490046,-89.32655987872401,-92.19717048734543,-33.025107596752036
52,-98.69024002781177,-121.20058173385853,-88.3414413600626,-94.65545990300178,-44.11180027675199
53,-98.76928040548383,-121.78867841379127,-83.04395054001478,-92.60044812424722,-34.55495631007261
54,-97.47110558725412,-120.19229907614552,-91.33248043115387,-94.42294391170702,-38.69749836923879
55,-97.42945756633114,-123.97367620436226,-91.52473179417554,-93.25120906626425,-40.42572732170524
56,-98.09357948650202,-120.82366841566454,-89.79152241021488,-92.65356225162373,-34.12755494077212
57,-96.57713921652801,-120.98110350241356,-89.45985043796011,-97.33414026871297,-34.41760025323385
58,-98.76708961685576,-95.44960693211776,-84.14852680219066,-93.95213472297415,-30.327189516167174
59,-97.3819276985568,-93.97221472982476,-91.27688904249567,-92.42024371938392,-45.998924380898835
60,-97.04103127138538,-90.43509664690417,-124.06484975348954,-97.44536019163384,-37.161764587135465
61,-98.91523955140325,-50.88377843659668,-90.32827025482027,-97.69249041629051,-33.64295803922671
62,-98.56398134887995,-118.43389769928507,-90.48222105228338,-92.74845083378489,-33.809678123671475
63,-98.38084133640366,-120.76673464720355,-127.81065217014697,-94.31033936398941,-38.890544860293154
64,-96.82575015690814,-119.64270509372199,-90.73671405775919,-97.43105858874786,-28.172142472161667
65,-98.25760501235212,-49.464044474469205,-93.30101245412898,-92.69757938695481,-33.57853912992926
66,-98.69851995328465,-118.71939447926496,-125.84238094906338,-92.61466250417777,-45.67037643945709
67,-98.84320987903963,-121.31200988637048,-90.49097109575237,-92.18635763751428,-33.93791231529037
68,-99.25577173235772,-50.99215765258795,-83.91284695301894,-92.80274245569979,-34.130330221613896
69,-97.25961290459894,-122.31527051242557,-89.30965898431589,-97.42980181285753,-34.93390918301369
70,-97.48635574022401,-90.15538697351613,-127.47859647383552,-93.13269509787376,-33.5050195674078
71,-97.05791563948345,-118.7189305504399,-125.05171028333696,-93.90750549167551,-34.05664219226279
72,-98.89051653599692,-88.97419434480699,-92.5389180926811,-94.25239552922672,-38.327029046935586
73,-98.65852634296931,-121.01541227249677,-89.82088430575418,-92.48685187792398,-34.49357868921627
74,-96.9826997875506,-123.26336264657718,-92.03781331841267,-97.45662605298202,-40.61336447525695
75,-98.84898960775598,-90.66813761285235,-94.07988191975153,-92.88098657137915,-39.372350684659814
76,-99.04785193903837,-121.21426755284273,-83.77640588327745,-92.61316030888462,-46.825639973799696
77,-98.32358156730079,-121.66161416849401,-90.51588616744647,-96.72535404277188,-35.296844856914674
78,-98.51548641209436,-125.75105506010368,-92.10601329374616,-98.57260529315495,-35.25164888760535
79,-98.72015871905936,-124.87303730153882,-88.54217749095933,-96.52553975860363,-33.61939636536378
80,-98.40934543247137,-122.18132035321347,-90.21162257770402,-97.42279361953838,-41.25556132078118
81,-97.95843693500315,-123.27509532606399,-90.12150219274258,-92.74514264310896,-45.55671329519917
