,It 0,It 1,It 2,It 3,It 4
0,-110.83324,-103.38197,-11.910069,-115.372635,-113.817505
1,-109.17462,-115.75693,-112.73994,-111.57684,-114.06021
2,-114.3353,-118.18846,-117.608444,-106.933426,-116.32444
3,-106.99403,-106.59087,-105.383896,-112.39539,-113.11806
4,-108.04864,-109.04605,-118.10515,-106.685265,-104.31154
5,-112.63949,-112.79706,-109.5713,-103.66002,-104.27349
6,-102.77099,-107.98536,-114.37114,-105.31953,-115.33862
7,-22.272533,-104.60604,-7.751712,-19.556923,-107.92072
8,-13.423321,-108.52849,-106.72764,-103.39003,-23.972212
9,-27.089302,-101.0627,-109.257614,-105.82164,-109.801544
10,-112.16989,-10.977498,-17.009598,-21.898386,-102.11825
11,-19.73245,-102.11832,-107.93054,-17.688892,-105.58491
12,-100.439735,-121.977936,-13.18499,-15.211335,-17.356289
13,-12.954174,-19.106482,-18.008549,-116.52879,-100.065834
14,-124.81245,-102.139145,-105.35094,-10.105548,-29.808084
15,-98.68435,-101.81133,-117.211494,-21.071058,-100.435555
16,-100.27416,-101.27524,-11.376217,-13.654577,-12.387112
17,-17.562994,-99.49303,-102.11227,-106.02573,-101.459404
18,-114.58124,-118.85685,-17.964039,-109.83629,-103.75735
19,-126.67818,-20.224531,-109.04796,-114.23101,-123.45253
20,-100.31907,-23.995617,-20.582563,-18.558674,-14.932997
21,-98.13847,-10.442726,-105.377655,-110.33754,-111.30527
22,-16.428135,-105.85267,-16.09011,-106.130714,-12.750852
23,-99.10787,-111.05595,-17.815638,-103.00236,-99.59152
24,-22.345423,-21.041945,-11.167359,-111.92256,-20.319563
25,-98.27144,-28.973461,-100.63982,-104.57498,-119.755165
26,-120.34511,-106.24676,-17.114153,-111.612785,-112.53758
27,-100.82716,-113.442375,-107.338295,-129.37654,-99.68261
28,-12.549632,-15.504477,-13.247307,-20.39113,-112.81127
29,-100.86234,-98.743454,-102.4306,-18.59047,-101.32086
30,-100.261086,-104.79872,-18.892206,-19.901932,-113.73743
31,-104.26126,-115.20934,-14.686343,-99.19467,-107.31827
32,-103.90597,-12.919845,-111.60613,-102.238846,-98.42809
33,-99.5861,-16.431036,-104.61603,-110.67852,-117.05646
34,-15.671242,-19.245274,-17.811516,-20.53974,-22.388388
35,-100.75565,-18.094374,-108.8536,-101.87449,-115.65477
36,-113.37912,-115.31301,-12.576907,-26.195368,-100.407974
37,-23.761065,-100.0079,-18.818565,-101.58403,-94.90176
38,-12.350405,-103.16543,-120.70538,-102.754555,-117.08863
39,-97.20509,-24.788084,-18.732975,-100.64857,-18.883215
40,-107.31848,-105.7938,-9.696382,-102.560486,-10.93214
41,-121.394516,-12.324354,-118.83629,-121.39072,-98.9532
42,-101.83786,-14.6980095,-99.518654,-120.52252,-103.95557
43,-20.614126,-105.83469,-98.97918,-11.896069,-16.250881
44,-98.72923,-11.209601,-107.95892,-111.972885,-99.06469
45,-113.59372,-102.87133,-117.13563,-110.15817,-101.59425
46,-15.083461,-14.703176,-105.1659,-108.0672,-124.74104
47,-108.66914,-111.07493,-102.713844,-20.636932,-98.23563
48,-98.62623,-98.27828,-118.461655,-100.44295,-98.01071
49,-100.91585,-102.19163,-99.43349,-21.076332,-97.378296
50,-113.60962,-108.71552,-112.82935,-14.650141,-97.67222
51,-100.60697,-101.59639,-123.99125,-16.046667,-105.22129
52,-103.993195,-101.87907,-109.00801,-99.72289,-16.251476
53,-21.221287,-15.837735,-99.08033,-100.19178,-11.473628
54,-100.49871,-16.645136,-10.363584,-112.0494,-18.076502
55,-99.74222,-11.001023,-9.831961,-99.068886,-99.72383
56,-112.266594,-111.63958,-98.781296,-115.585724,-117.16221
57,-16.268017,-12.198011,-100.29417,-101.7922,-98.16964
58,-99.04315,-15.974729,-12.30991,-117.207634,-100.42797
59,-13.584772,-16.853289,-100.27072,-100.26836,-14.942233
60,-12.782803,-14.608996,-97.92297,-103.15823,-98.001686
61,-98.123474,-19.250338,-13.491951,-111.84592,-107.38787
62,-17.127125,-20.371675,-14.289656,-102.03304,-113.548904
63,-22.61443,-23.055798,-102.773605,-113.70461,-18.153858
64,-22.355902,-112.34175,-14.46637,-24.142363,-111.11961
65,-114.03705,-27.027178,-109.999176,-100.97376,-110.98782
66,-119.56676,-101.32332,-97.60991,-18.645147,-15.125357
67,-115.643555,-103.42387,-9.776713,-11.662063,-20.917528
68,-99.08284,-8.7083025,-18.640009,-100.868576,-98.9704
69,-112.44189,-15.427691,-14.392904,-12.34907,-126.13646
70,-98.8899,-101.51847,-13.141522,-99.63461,-21.89601
71,-113.28967,-108.01181,-113.43669,-12.736666,-100.22592
72,-9.446295,-16.394684,-103.12952,-23.99895,-100.42592
73,-99.46396,-97.55244,-102.839096,-109.356995,-97.389465
74,-98.69367,-112.83196,-14.387783,-112.8,-100.659424
75,-105.17597,-112.090515,-98.52858,-14.974298,-16.77716
76,-98.184685,-20.34306,-99.47454,-99.30621,-8.751291
77,-123.86498,-102.49543,-100.55372,-21.00128,-99.87524
78,-15.483947,-113.04207,-13.471242,-111.09485,-120.29634
79,-100.51122,-23.302332,-14.108371,-111.03354,-110.420074
80,-99.064285,-21.762314,-19.05685,-109.7738,-114.537926
81,-19.265991,-15.328215,-98.84081,-23.224102,-20.628473
82,-111.37477,-21.45437,-12.611232,-111.01499,-99.038826
83,-114.78138,-21.383734,-105.49577,-26.892786,-113.75466
84,-21.724163,-103.03712,-11.264542,-25.040564,-12.384907
85,-24.76095,-19.197407,-98.12279,-100.356,-98.02145
86,-18.318676,-11.881173,-16.812927,-98.858795,-113.07769
87,-107.5361,-26.294415,-14.66225,-22.593243,-112.81053
88,-98.461365,-19.17059,-111.964,-15.026197,-111.19464
89,-8.6577015,-14.282295,-16.116621,-20.948383,-107.93075
90,-98.89758,-113.193474,-12.3304405,-100.70118,-98.9164
91,-15.91374,-103.62256,-117.972435,-112.22842,-23.872488
92,-101.55569,-14.608096,-108.7672,-111.63705,-22.211603
93,-117.36967,-108.770935,-17.680445,-108.75287,-20.66676
94,-99.939804,-99.495445,-100.86662,-112.381744,-13.757444
95,-10.175664,-21.791851,-99.22826,-20.13898,-100.54413
96,-13.347392,-15.367742,-108.623856,-101.863014,-18.64463
97,-13.943292,-100.96625,-111.26392,-24.398083,-109.26564
98,-98.350815,-98.386734,-10.728051,-15.001233,-109.89939
99,-12.694593,-101.15237,-112.468376,-9.208803,-99.00845
100,-98.76032,-11.756389,-116.26575,-100.01655,-107.37232
101,-111.549706,-8.379829,-14.969341,-27.763763,-108.35091
102,-12.072352,-12.976483,-13.139528,-100.38981,-15.910223
103,-112.154564,-111.56982,-114.26428,-100.82539,-99.70486
104,-111.96832,-110.11564,-97.47583,-108.133736,-97.93188
105,-97.796455,-14.876421,-13.221833,-109.607315,-117.56574
106,-22.49259,-20.209978,-115.07017,-94.662056,-98.4203
107,-109.489174,-12.592882,-114.09812,-101.7814,-113.24632
108,-12.451759,-101.19118,-98.47331,-131.97862,-111.669495
109,-12.8446045,-19.28107,-118.81518,-110.80082,-98.585434
110,-13.950481,-8.764771,-10.0088215,-16.873964,-99.5853
111,-105.05839,-17.221773,-98.17368,-16.483358,-18.284077
112,-15.396331,-101.43408,-17.49096,-92.97348,-100.67402
113,-97.674805,-108.894554,-9.747984,-100.14382,-97.9999
114,-110.97086,-14.168526,-103.26527,-121.697586,-97.58902
115,-12.276134,-22.684998,-112.90667,-107.25754,-116.376045
116,-16.688496,-21.427612,-14.275769,-111.633575,-109.62967
117,-107.23201,-101.59213,-13.287841,-99.9819,-98.23976
118,-112.66959,-13.408733,-109.861694,-99.27238,-97.77904
119,-116.20237,-101.899055,-98.453125,-112.56463,-99.44722
120,-112.57129,-107.99285,-13.000472,-99.6153,-22.623384
121,-109.12242,-16.13803,-93.54357,-17.134527,-114.26535
122,-102.0018,-102.43465,-103.680786,-108.299545,-20.904852
123,-15.677173,-20.815588,-98.698105,-100.620735,-119.81575
124,-102.26375,-114.31118,-113.639,-119.01839,-113.51029
125,-110.398964,-99.40799,-99.94756,-111.03839,-120.45964
126,-105.90102,-99.37067,-112.93697,-16.61299,-116.722275
127,-98.08752,-18.566982,-99.386635,-109.59631,-122.44946
128,-114.4596,-23.602814,-107.656395,-10.634778,-97.37438
129,-101.57542,-107.30688,-14.309541,-99.735214,-96.75069
130,-97.48988,-101.99182,-99.222404,-119.78814,-16.97305
131,-121.31561,-112.17685,-12.037775,-18.424397,-13.556127
132,-100.0457,-104.49673,-14.307558,-10.923585,-98.42016
133,-118.86749,-22.36295,-8.930716,-97.70692,-98.66622
134,-9.09981,-10.771331,-108.51906,-18.796703,-100.15553
135,-99.45301,-115.539246,-14.832525,-108.20131,-115.91661
136,-119.05368,-113.337814,-100.631805,-110.118935,-35.75581
137,-98.55643,-19.217672,-106.41613,-115.83727,-12.623031
138,-10.146804,-99.98698,-12.506582,-100.269844,-97.01682
139,-111.17623,-17.001633,-107.44936,-17.860668,-104.76712
140,-10.782626,-18.088213,-99.602,-13.179381,-100.133766
141,-100.8728,-19.390053,-99.958855,-23.032875,-101.10036
142,-98.78557,-18.392626,-114.76351,-100.96097,-118.873375
143,-108.99076,-107.89531,-12.858777,-17.191969,-13.683537
144,-13.653775,-11.974092,-102.90108,-13.051009,-99.014885
145,-9.611758,-23.079287,-12.95659,-102.598045,-16.470572
146,-102.603195,-99.80878,-117.09305,-112.89647,-17.733751
147,-18.751434,-103.8274,-12.445215,-109.567116,-102.43615
148,-99.869736,-101.76967,-14.111664,-112.30636,-100.70803
149,-13.414141,-112.616646,-11.158949,-126.13292,-99.0747
150,-109.6554,-14.756529,-11.988375,-99.03675,-112.53278
151,-114.21252,-11.741754,-112.698654,-97.49375,-101.42965
152,-104.41324,-21.920374,-16.091854,-99.212006,-97.56092
153,-100.11087,-17.280571,-97.04684,-18.688782,-98.47905
154,-12.389561,-17.620382,-112.45871,-17.469688,-99.416466
155,-11.84814,-109.25702,-109.4505,-27.576027,-103.633415
156,-13.934957,-18.018538,-14.619122,-15.194239,-98.55605
157,-107.21428,-106.340294,-98.18786,-27.257294,-127.44388
158,-100.73352,-18.430298,-100.59848,-105.83156,-107.234055
159,-97.966545,-21.445972,-97.79759,-99.21158,-97.39791
160,-109.97713,-117.370926,-18.474531,-121.43164,-119.532974
161,-98.47481,-98.818344,-20.986586,-102.44215,-97.300995
162,-98.40658,-112.230606,-102.8976,-100.87539,-110.33497
163,-103.441246,-104.10532,-14.61603,-13.35716,-99.79306
164,-108.884865,-19.883713,-11.4668665,-18.348753,-106.54563
165,-116.81472,-101.59162,-10.137692,-17.28386,-103.73572
166,-26.921461,-11.585117,-12.067912,-111.46499,-21.740982
167,-14.536645,-10.416844,-103.31368,-21.706272,-100.27266
168,-105.08754,-98.87962,-99.972275,-112.08761,-117.48983
169,-110.21789,-98.79296,-15.218282,-21.107359,-18.189253
170,-98.95891,-17.26946,-17.084087,-16.685951,-96.31345
171,-94.79971,-114.12765,-107.81337,-125.30346,-110.20464
172,-116.677666,-112.60013,-100.14563,-112.12579,-19.244267
173,-98.31477,-15.098331,-100.87218,-111.49959,-105.8994
174,-109.37104,-101.62827,-106.285995,-20.46137,-97.452866
175,-15.974157,-105.612434,-107.88722,-101.03898,-97.18514
176,-105.29364,-17.86027,-9.249713,-20.636108,-112.50736
177,-16.854073,-97.92344,-108.023415,-96.55564,-96.09839
178,-16.695284,-106.56708,-98.128624,-107.0598,-121.55713
179,-19.210348,-18.181719,-17.69474,-111.32515,-97.99523
180,-120.846436,-117.172165,-111.821434,-18.185377,-110.81513
181,-7.326337,-98.188995,-112.208664,-99.318375,-120.82234
182,-101.6849,-14.400173,-112.38687,-98.53149,-26.365993
183,-100.85992,-100.66773,-109.0264,-99.0651,-100.33186
184,-107.64719,-16.355148,-100.76244,-15.126441,-109.46449
185,-20.114298,-117.23684,-108.57926,-110.16149,-104.19459
186,-110.3259,-12.720575,-109.41046,-112.38744,-13.709137
187,-98.86231,-26.539284,-110.67443,-110.72975,-99.24305
188,-97.887,-97.421,-119.59273,-120.50023,-12.413828
189,-16.891396,-108.81813,-16.909359,-106.09678,-110.493
190,-102.67687,-21.173708,-13.351584,-99.24305,-97.665184
191,-117.18064,-102.52433,-17.39628,-24.5754,-109.4129
192,-15.35632,-18.806896,-15.386983,-98.03424,-14.647939
193,-99.488045,-101.543304,-114.91979,-22.88452,-18.493465
194,-100.28078,-11.40735,-9.405856,-109.80624,-18.763653
195,-115.023735,-20.12392,-100.54732,-112.825714,-99.7845
196,-15.382522,-100.03375,-97.651054,-104.2031,-110.8005
197,-101.90088,-99.36783,-116.89891,-111.56646,-115.32332
198,-117.6184,-103.010735,-108.20186,-101.213715,-110.30046
199,-99.279,-13.226427,-10.40233,-17.616808,-100.17358
200,-98.15885,-26.890268,-96.419556,-119.78404,-110.962425
201,-11.542726,-99.518234,-14.540253,-99.64884,-100.599846
202,-111.547386,-99.74581,-16.63361,-21.84081,-109.694984
203,-109.359406,-102.094444,-109.22946,-105.69212,-115.2783
204,-100.4685,-118.49603,-96.74023,-22.623337,-127.338036
205,-99.2035,-113.03305,-107.8829,-26.487402,-111.264275
