,It 0,It 1,It 2,It 3,It 4
0,-94.6189310778665,-89.86623917136589,-96.9141675038732,-92.13475089225814,-86.81186396424783
1,-94.45371284468294,-88.88437275572113,-96.53978874886913,-92.12878161008427,-87.77170911080154
2,-94.34857835142112,-90.11328880423649,-96.6829792477262,-92.18991019943003,-86.35881034838827
3,-94.11658645997677,-88.77891401286695,-96.95918810619949,-92.23077292815701,-88.21130745833662
4,-94.17772879149827,-89.38944460029187,-96.46893852344431,-92.17851466452954,-86.9202788198072
5,-94.68383070480401,-88.69363929155996,-96.58985866067788,-92.04148459753941,-86.45809132095404
6,-94.53426864607705,-89.82746224897292,-96.5131279631243,-92.26325356733415,-87.421097829155
7,-94.6132840769233,-89.58756006251151,-96.65304365791256,-92.24950641640932,-86.38487406442928
8,-94.20852416736508,-89.34263297896732,-96.82915538616149,-92.06991737120153,-87.17575708489453
9,-94.30554417702618,-89.50561731698333,-96.4234604688586,-92.2134043218805,-86.37203135311627
10,-94.52646511272089,-89.17052949188773,-96.72171490464895,-92.1981498103153,-86.64861453391455
11,-94.31923015915572,-89.38567448270592,-96.56676101092101,-92.22296666130568,-87.80625904857833
12,-94.23292512024535,-89.2862677436412,-96.49060404210087,-92.15539029235357,-86.49884756619188
13,-94.66677787990488,-89.26966962971969,-96.38148336498789,-92.19396121452198,-87.77778827240434
14,-94.18859907710164,-88.88579904953251,-96.65454979757467,-92.22919100227801,-88.14352026983451
15,-94.08596313630014,-89.05724973019825,-96.74603182752493,-92.18785617609916,-19.43444925093433
16,-94.26200226716247,-88.93819889757208,-96.44600085144839,-92.2162240776313,-87.27876472579192
17,-94.49396720187536,-88.70114905154996,-96.57168202486801,-92.08323203966538,-86.64474391142741
18,-94.49334169080574,-89.273897338524,-96.61893805124595,-92.25615088299014,-87.92688055816697
19,-94.34578698767854,-89.20423281006154,-96.46803079069576,-92.25054724142922,-86.95120638351182
20,-94.12698654209512,-89.42617910178193,-96.90013316025892,-92.20725089090516,-87.0060371218964
21,-94.12853053365306,-88.79758986173613,-96.65583749555307,-92.20607226758501,-86.8368876955565
22,-94.46767339635485,-94.64310975810218,-96.43669347888728,-112.10993476763997,-94.79686897298477
23,-94.60247243421323,-94.99837129998548,-96.75532531544069,-112.3460055218842,-23.040632365341786
24,-94.23838605757112,-94.6978988454879,-96.85875061900495,-112.61101909086061,-13.163133296047327
25,-94.22480029301357,-94.96436273337824,-96.86436338536193,-112.49184296116209,-94.63459265415526
26,-94.44401005658197,-89.33516418437783,-96.41899024677805,-92.1513436718317,-87.57705007085421
27,-94.37232345266827,-89.49749814002153,-96.54231493191685,-92.12979670665774,-87.88061180045766
28,-94.22023479481166,-89.78354279216316,-96.4935604772681,-92.16123537811595,-86.72065189659692
29,-94.77150281084042,-89.17583236008697,-96.62541852107326,-92.1932551985683,-86.52379391100335
30,-94.30681145648255,-89.07564969123496,-96.46975311550801,-92.0997700638003,-90.36902791372214
31,-94.43592172093534,-88.88278499486064,-96.41033406921632,-92.21427449738269,-86.43256028705505
32,-94.44912774329447,-89.48130790180099,-96.71025291553602,-92.28708750973006,-86.0750887630508
33,-94.64056594378451,-89.10259664850736,-96.7581733789988,-92.29890652123652,-88.4508759884244
34,-94.61178229064258,-88.8787778571883,-96.3033122545393,-92.20652224735701,-87.02029110174641
35,-94.33070564588112,-89.31712772514639,-96.80739490722368,-92.12013815967299,-88.06224834912216
36,-94.57436015764512,-89.15261486540665,-96.49537151371152,-92.18207902467876,-88.70519039383593
37,-94.44939643825406,-88.69180188023897,-96.5515700413109,-92.1699382626961,-86.87432480810563
38,-94.81519714042001,-89.01845029273377,-96.5844383118477,-92.1797315522276,-86.70443796372771
39,-94.396204192829,-89.18840252172434,-96.52471004017342,-92.21462158226272,-86.6674292246198
40,-94.36762628649734,-89.61132455672843,-96.50798263139029,-92.17229740952642,-87.62109258553278
41,-94.20356304674331,-89.26871569008892,-96.58504098874307,-92.16515484574069,-86.82275822551743
42,-94.52144588932457,-89.05412777174023,-96.39713070973382,-92.13044824599602,-90.4394421592312
43,-94.46086356984831,-89.58228987123506,-96.38271274953405,-92.42192603619672,-87.25653399991737
44,-94.0898552324324,-89.28778597651717,-96.52657791834541,-92.12708960208946,-90.30112646459602
45,-94.07688479220946,-88.87141382337983,-96.7636492146221,-92.25333498801861,-86.4500309785059
46,-94.27041608912684,-88.98585402616253,-96.69631683767021,-92.16055346259293,-86.09269890006935
47,-94.50970447572983,-89.20547707722265,-96.54860665873392,-92.16656812323882,-87.00653170240791
48,-94.45752086328808,-89.10913352767875,-96.81111789072833,-92.19538066280862,-87.62285157292305
49,-94.30947629264257,-89.33718764010572,-96.41517910516929,-92.20127140876065,-87.78639561892503
50,-94.20445948633878,-89.02040143589252,-96.30370908848406,-92.24258889358025,-86.28096110174735
51,-94.32783404639473,-88.7636860272047,-96.48505969300044,-92.14627695119029,-86.77240460720479
52,-94.2190250418048,-89.61251020343803,-96.36605473287094,-92.17892887093659,-86.3958758955923
53,-94.3794945000119,-89.4096385879082,-96.6814592783864,-92.12950922464506,-86.18753843684576
54,-94.07448670686549,-89.03017589871756,-96.52652686188696,-92.2737711842398,-88.80538463181452
55,-94.48790658243296,-88.68514729889296,-96.39039472523332,-92.24599289569984,-88.26569012720805
56,-94.18368040745348,-89.24077844881297,-96.43793192720133,-92.0316613624444,-86.57541924160951
57,-94.17855260591449,-89.12769678881484,-96.42074669962531,-92.10122839137146,-90.42665294606914
58,-94.46716048767783,-89.09283145119855,-96.43845109472757,-92.21409538801787,-88.61568208856858
