,It 0,It 1,It 2,It 3,It 4
0,-122.75959573813438,-111.10684368553012,-16.212845590264813,-15.821383865819499,-95.0619107733731
1,-122.19831019339912,-111.1954212292498,-95.64502635080895,-15.335638295644435,-94.74124628019635
2,-123.53623296308595,-111.23935727343367,-95.69812328772495,-15.822878076071653,-94.91371093467244
3,-122.61417464625745,-111.17219160723624,-96.03861872806834,-15.444436398030406,-94.51639647594975
4,-123.89895866230464,-111.05327461502019,-15.634418921343444,-15.562913165392839,-95.58647981619808
5,-122.77806834738271,-111.20956090118581,-17.086139717680915,-15.830924549669653,-94.92780940593062
6,-122.11296366993439,-111.07612894444416,-95.87904205776103,-15.289761899744772,-94.65843516590442
7,-122.28904314524704,-110.87165321817248,-95.66464020081804,-15.213475818013686,-94.92188104074867
8,-22.17720093153061,-111.18899054710381,-95.63585492174117,-15.845086544458658,-94.75110606748191
9,-22.314165993900733,-110.83989295100017,-95.83488699191444,-15.554839357707461,-94.89664715058748
10,-22.244127199694958,-110.90243152969673,-17.093372429194147,-15.794369167095233,-94.76601430951618
11,-122.44843100364145,-110.93322121839536,-95.93452311029867,-15.835094251418965,-95.3313849627355
12,-123.33758138608988,-111.141018544248,-95.66640331742292,-15.62805874395188,-94.91135182731753
13,-124.18767857682752,-111.22252802056167,-95.65605728962272,-15.845040924784358,-94.69099892484331
14,-22.24639831719996,-110.93694721195008,-15.528521332420965,-15.809167489752582,-95.40389833941467
15,-123.56675349660276,-111.22724342228317,-95.72846408254901,-15.755147262589077,-94.7616940221986
16,-122.12334711785212,-110.95456340677974,-16.946376863891725,-15.807472591558735,-94.63139351657867
17,-22.308215258328126,-111.10590717315146,-95.88078525318772,-15.625065812976732,-94.98571032813952
18,-22.258278245938744,-110.86941358491126,-16.084714369600285,-15.816718327321794,-94.98572881661138
19,-124.03605942908057,-111.06203136140775,-95.69975458280743,-15.556747980730668,-95.14499846942338
20,-124.39025699954507,-111.1818055709169,-95.517791977005,-15.821926918944373,-95.18640639678087
21,-124.52600617383844,-110.85888945193402,-95.9009844056416,-15.751042985824785,-95.09095599276246
22,-22.66040505931636,-110.7355007269547,-95.61215332252905,-11.905619329734552,-94.63937437293345
23,-22.87940153387171,-110.74691166229701,-15.532028054968631,-15.730524534953316,-94.90151410853001
24,-21.03285193408416,-110.96374602411625,-95.61528249211858,-15.66139922932598,-95.47932413917384
25,-22.649212239907538,-111.17731511117984,-15.40975626702149,-15.534764754499188,-95.43589076381168
26,-21.862116474772225,-111.23381243737492,-95.72848999372998,-15.65542059419175,-94.93645809624488
27,-22.005546724240272,-110.91213578608695,-95.65755559395285,-15.628432932405719,-95.07802452143399
28,-22.143227008524693,-110.99376715642462,-17.139849999710595,-15.506744103555551,-94.70785753414835
29,-122.4488353415809,-110.98201617499937,-95.91918587975017,-15.585146493109939,-94.8806776950156
30,-22.34534390450593,-111.05670951181061,-95.65188430098584,-15.60642962189977,-94.9325211310075
31,-22.27005486933365,-110.9813182039503,-95.69729130478794,-15.323778862067565,-94.75809266322517
32,-123.45110882332122,-111.09960908408712,-95.63756326057816,-15.820795564831007,-95.11340784204535
33,-22.331553032507625,-111.10833619860963,-16.250981981064335,-15.546793128828984,-94.78842306236592
34,-21.98521812876481,-111.21871169067703,-17.041709975902155,-15.712956264846824,-94.6325326727872
35,-122.03742253029051,-111.21820871469161,-95.90930621179682,-15.649037431105107,-95.59175810046149
36,-21.737864368093792,-111.20540822906916,-96.07676951092466,-15.820851470056335,-95.44065085397241
37,-122.30238033692947,-111.04047615724926,-95.67933892163697,-15.747287107349237,-95.45241306787085
38,-22.396855630103804,-110.85838908830068,-95.67960891739877,-15.880886917133507,-94.8387488580544
39,-22.115171205096747,-111.08652373534751,-17.054362115525915,-15.664625520502977,-94.96330375118762
40,-123.72863968845805,-110.88954084791337,-95.69628356152059,-15.799765901567698,-95.21374556109224
41,-22.0126920230178,-111.18467018579598,-95.84462835155529,-15.660048176437968,-95.18799044773914
42,-22.043869956180732,-111.16020236887658,-16.19006091578979,-15.386526224954766,-95.10650684515294
43,-123.51241365679911,-111.132404392533,-13.824559879610728,-15.496561429618236,-95.38591681068351
44,-122.28949937522688,-110.9138311624676,-95.92806307826633,-15.739824230317154,-95.68831702399048
45,-22.390837042814233,-111.16681283369505,-17.023626516049287,-15.637422460499302,-94.97932979225305
46,-22.281526317488044,-111.07434848117316,-95.67024908744358,-15.944708809901858,-94.78149230621888
47,-123.6553004476681,-111.1829638260364,-17.069819355543036,-15.627596376071933,-94.61640155442005
48,-123.4528026662167,-110.93760304534932,-95.70516624859535,-15.795578115713226,-95.40747298381392
49,-122.55977718553831,-111.1164980611202,-16.222268282723206,-15.920519273108296,-94.74351335594206
50,-122.32697062006233,-111.13152395752506,-15.560370208423999,-15.364729143080698,-95.10831011983454
51,-122.3599289540846,-110.85407126419898,-95.88077030737155,-15.822064649908505,-95.39144275648748
52,-122.1379718271573,-110.9263025908793,-95.67842261610738,-15.814002926716096,-95.21917398264283
53,-124.09725108207297,-111.04681656335651,-95.6649712798968,-15.576152633946121,-94.90806680190641
54,-22.082096020411498,-111.22767348518937,-95.84726851039908,-15.928741191096147,-94.92694206197079
55,-122.46243043072464,-111.21386217818875,-95.655312478748,-15.750651534027526,-95.36937423132574
56,-122.04773736563124,-111.22255143141918,-95.66082926233827,-15.82387398099069,-94.96902690825422
57,-22.30884662577222,-111.0966829481634,-96.03734211722218,-15.816236194136298,-95.32884793180725
58,-123.50692960915171,-111.11345885681733,-95.68085106249946,-15.526809910894512,-94.79338207772258
59,-22.324241436670533,-111.0573037667633,-17.155226023099065,-15.61213650854163,-95.27352300038677
60,-22.311765847992667,-111.17213534665946,-16.25213233621456,-15.326319246768149,-94.79636169933791
61,-122.58092177955112,-110.85208644332147,-95.6607283408232,-15.82493403221883,-95.33507398729313
62,-23.69564553069195,-111.25442039676973,-15.536014096874874,-15.32206753887645,-95.11333842250464
63,-23.687715896401613,-111.06544789000756,-15.585186173933558,-15.581060404549946,-94.99257248189036
64,-23.412878862104442,-111.08621719336728,-95.65839517545265,-15.712792906338308,-94.84642627341269
65,-23.465057663125307,-110.97850529110897,-15.344590257777977,-15.761161425594958,-95.53794916594215
66,-21.03332336597442,-110.92429807586534,-15.443848640653435,-15.371670753372957,-95.17706451645338
67,-22.066438324089834,-110.89699452788382,-15.554150560140688,-15.770024694486345,-94.84321296918392
68,-122.50692551687456,-110.86863285074445,-95.72843487873519,-15.724659051214768,-94.86809353953271
