,It 0,It 1,It 2,It 3,It 4
0,-16.352549,-117.89087,-106.98584,-17.438248,-16.982855
1,-116.2734,-102.52598,-113.0422,-22.226795,-112.727005
2,-117.38945,-116.032166,-113.9677,-108.185684,-125.66478
3,-107.29664,-109.38785,-110.44261,-108.35183,-114.40771
4,-112.94245,-109.505585,-113.27454,-120.14162,-104.53347
5,-10.193863,-17.83478,-107.42757,-16.552011,-104.72189
6,-115.905624,-115.995186,-24.227383,-113.60684,-111.59098
7,-18.867235,-111.16884,-14.671075,-19.19574,-107.7603
8,-12.425881,-12.294736,-106.22723,-98.04145,-118.53388
9,-17.145792,-21.969164,-114.94325,-28.007511,-102.073265
10,-22.067669,-23.856133,-14.115404,-110.524994,-104.474
11,-14.956981,-19.264288,-105.54049,-100.69512,-125.50577
12,-109.94128,-15.029396,-103.73478,-22.41633,-22.797861
13,-106.69173,-7.6389537,-107.4563,-12.894367,-107.59392
14,-104.55999,-19.56542,-13.907189,-15.577114,-113.86246
15,-11.527574,-115.249535,-13.85715,-112.83952,-17.180601
16,-106.11638,-105.12532,-107.90154,-15.925261,-16.858658
17,-98.59787,-18.67975,-106.670906,-22.414505,-15.040532
18,-109.27355,-125.05251,-9.200288,-15.237108,-16.546648
19,-104.672935,-20.59688,-109.26617,-97.67099,-23.943775
20,-101.703476,-100.48957,-104.79601,-105.617935,-15.545492
21,-100.77863,-102.719734,-99.44476,-18.03474,-32.18767
22,-113.88722,-106.87201,-110.599525,-97.76831,-104.98543
23,-114.89777,-102.841415,-21.148914,-16.218016,-10.676082
24,-100.855515,-22.69021,-99.34358,-96.30316,-109.475006
25,-116.71236,-100.79569,-22.02368,-25.99801,-15.387957
26,-10.91639,-110.94374,-102.099976,-19.168816,-105.392
27,-15.171187,-9.3544855,-104.31288,-14.858982,-23.092318
28,-101.25277,-9.003215,-101.32179,-98.411606,-101.711075
29,-109.484314,-112.345795,-102.24978,-96.845146,-99.33633
30,-18.687939,-102.662025,-108.5241,-16.839407,-101.8836
31,-115.27436,-99.715485,-114.27345,-98.17366,-109.73854
32,-106.78363,-17.351833,-16.40076,-19.926271,-11.637583
33,-99.498566,-98.40379,-29.277596,-96.28898,-111.9828
34,-100.77667,-16.239216,-14.6780615,-98.814926,-14.826075
35,-108.592804,-26.620886,-102.43665,-98.22729,-109.7975
36,-99.319725,-101.78855,-18.048155,-14.3303385,-15.693793
37,-103.4227,-106.48532,-97.80408,-99.77869,-113.06613
38,-102.49699,-19.034094,-100.38107,-20.790579,-99.93385
