,It 0,It 1,It 2,It 3,It 4
0,-18.1063,-109.283775,-100.736015,-19.48398,-106.63865
1,-113.419655,-117.19534,-106.087555,-116.23611,-115.32769
2,-121.732956,-112.67112,-115.27602,-111.93071,-106.958244
3,-110.664734,-115.505775,-112.78351,-106.41259,-113.62834
4,-104.60714,-105.33336,-119.2208,-15.369288,-107.30625
5,-114.5852,-18.944557,-113.373436,-105.26136,-117.4308
6,-113.74555,-98.96147,-114.03894,-107.486725,-29.157356
7,-111.53031,-15.290008,-7.7722282,-20.368502,-34.948566
8,-107.38189,-25.352787,-14.361214,-13.215931,-113.866585
9,-106.73817,-30.10426,-12.708221,-20.876076,-114.219185
10,-107.78011,-36.03111,-96.55043,-23.855223,-112.19766
11,-19.985256,-29.807556,-15.00094,-19.767443,-108.693306
12,-108.016136,-112.27556,-101.891,-21.353798,-102.78722
13,-111.31436,-17.27031,-13.343055,-101.318016,-22.125334
14,-15.926786,-22.452116,-19.342861,-19.657354,-109.59157
15,-22.591585,-116.59293,-21.918955,-18.859535,-102.990166
16,-114.50047,-99.53547,-14.103858,-19.51075,-102.18747
17,-97.54266,-100.34884,-21.217117,-19.015203,-104.33563
18,-18.823433,-107.58356,-17.513466,-111.29983,-15.75504
19,-15.060939,-17.11907,-15.41146,-97.99036,-96.11872
20,-14.606662,-19.776857,-119.64425,-14.165071,-100.23848
21,-109.601364,-22.401054,-10.968017,-16.224525,-119.38678
22,-10.913192,-101.04976,-111.67777,-102.29221,-97.77729
23,-15.515162,-16.946257,-10.601922,-103.36071,-15.629508
24,-23.327198,-111.549866,-15.124378,-101.79587,-112.820305
25,-110.13923,-15.675038,-10.808389,-17.443354,-10.913325
26,-21.733335,-10.942983,-21.410273,-18.05219,-110.65535
27,-107.939125,-17.625021,-105.87364,-100.75238,-111.29396
28,-18.949703,-21.089764,-118.87349,-20.155481,-100.45512
29,-108.79167,-97.62547,-13.362671,-115.279755,-100.68603
30,-95.622604,-18.546738,-14.90612,-10.878809,-110.31355
31,-106.17988,-19.960857,-20.376564,-16.297413,-106.71967
32,-94.01889,-23.771877,-107.362076,-15.883558,-97.77049
33,-8.045991,-102.79421,-23.262568,-13.204267,-22.593433
34,-109.01079,-22.826784,-11.401498,-16.387247,-113.44929
35,-7.1558013,-16.632086,-13.720455,-17.727211,-99.83022
36,-107.05424,-96.309425,-16.196333,-100.36952,-19.182966
37,-17.638765,-16.920385,-13.959361,-13.940594,-18.955637
38,-103.376396,-18.805845,-117.5815,-13.392581,-113.017265
39,-103.53439,-123.33409,-111.76953,-14.333385,-98.47738
40,-98.393936,-100.55205,-10.4326315,-97.76613,-20.737986
41,-101.7029,-120.482864,-12.018272,-14.76751,-20.916908
42,-12.402908,-22.232933,-14.096883,-19.217108,-18.81937
43,-109.080925,-97.99174,-23.471428,-11.060736,-100.375046
44,-9.071968,-118.03195,-27.040722,-101.41924,-100.29046
45,-107.50702,-113.58411,-97.47093,-12.644041,-15.811602
46,-110.89941,-18.792433,-10.43671,-16.220684,-99.57963
47,-100.993645,-107.04515,-12.720985,-109.6529,-98.00976
48,-101.25452,-109.96297,-100.7772,-95.276764,-140.30707
49,-96.542625,-126.65657,-94.690704,-21.450094,-101.03772
50,-10.3331,-125.57227,-17.2586,-99.17134,-10.45168
51,-103.29648,-17.099806,-18.937506,-97.75074,-113.04613
52,-98.37457,-18.542784,-20.334152,-12.231086,-12.815488
53,-12.804746,-18.030577,-12.967436,-100.67204,-10.303879
54,-97.22455,-20.709349,-17.041298,-17.867615,-95.73974
55,-15.5469055,-23.374332,-18.022673,-120.46415,-22.914953
56,-19.153046,-122.56588,-19.956821,-21.417875,-125.488205
57,-115.554855,-102.17192,-19.03456,-11.3514595,-100.01078
58,-99.18296,-22.07388,-17.210926,-13.667968,-17.57566
59,-110.50345,-107.6892,-14.167663,-13.34939,-16.993841
60,-94.95927,-20.269691,-92.81167,-14.959984,-20.55605
61,-97.308395,-22.076096,-19.94941,-15.824092,-122.876434
62,-106.61266,-99.70112,-93.24758,-18.478827,-113.827415
63,-114.701256,-23.236795,-18.057138,-113.34419,-97.497086
64,-91.183,-117.16863,-8.560456,-98.81299,-99.28061
65,-114.54756,-18.661694,-16.092793,-111.25582,-98.64002
66,-99.459816,-23.899418,-18.461145,-110.33038,-96.80043
67,-15.36309,-25.667969,-22.007217,-18.1633,-96.92027
68,-103.15205,-25.220722,-18.829704,-116.611664,-98.29479
69,-97.52528,-108.92084,-16.834002,-12.865058,-93.05284
70,-13.678293,-14.172432,-15.940656,-107.34805,-96.08008
71,-22.278101,-108.943115,-13.343584,-15.607218,-95.66714
72,-114.15991,-20.780867,-98.30256,-110.66315,-99.33253
73,-108.80641,-98.88317,-19.039402,-13.011829,-13.213461
74,-101.245384,-98.99784,-100.992615,-26.014105,-103.97038
75,-21.725458,-103.092026,-20.141897,-15.007146,-120.037155
76,-114.50608,-128.20941,-22.889656,-117.0808,-118.71349
77,-99.9633,-111.29034,-100.63262,-9.738817,-15.836386
78,-11.341487,-98.531845,-16.64033,-14.02699,-99.901855
79,-101.71799,-94.26906,-12.356537,-16.178982,-111.99187
80,-100.93889,-97.79159,-15.561795,-96.85577,-95.276596
81,-101.344505,-95.66038,-110.25296,-96.093895,-95.29231
82,-103.068115,-106.77697,-11.364438,-100.08736,-93.458496
83,-104.47871,-114.36684,-16.086538,-97.56231,-90.95526
84,-98.463844,-113.14686,-123.23955,-99.86577,-98.92697
85,-100.047,-126.1443,-17.54007,-16.44334,-100.61287
86,-97.42836,-18.93048,-17.858929,-112.736755,-114.31914
87,-99.61992,-113.652374,-11.571353,-11.242551,-114.05463
88,-111.11482,-100.19945,-19.634071,-100.273346,-98.435684
89,-17.942188,-98.99764,-100.69988,-102.71204,-116.722946
90,-6.3527064,-111.53859,-98.10427,-99.96311,-116.45203
91,-14.216692,-121.364624,-16.585789,-99.76217,-94.9787
92,-99.730644,-17.467445,-14.989728,-16.483791,-103.34399
93,-121.06634,-124.16339,-14.436444,-15.582415,-10.9582815
94,-13.181685,-99.132195,-19.172262,-13.463562,-92.25853
95,-100.99297,-99.61382,-21.23212,-25.635715,-108.87575
96,-104.62924,-22.510708,-19.662079,-92.40389,-96.343445
97,-103.53256,-15.098893,-18.468092,-103.40036,-17.676735
98,-111.128136,-13.004491,-17.866417,-20.434273,-10.668416
99,-98.71085,-14.112495,-100.017395,-102.08022,-91.07301
100,-97.62549,-98.219475,-101.08493,-94.92856,-100.840096
101,-102.87409,-101.45342,-94.57229,-9.01579,-93.16288
102,-15.0550165,-100.92148,-12.453821,-100.715034,-97.09192
103,-99.89828,-98.303734,-20.689953,-101.34092,-95.9791
104,-101.13732,-97.45336,-14.377428,-7.3137956,-16.601921
105,-97.831505,-101.31534,-98.829,-22.609293,-113.4989
106,-19.780674,-114.44252,-102.10513,-101.444244,-103.08133
107,-98.00193,-112.13502,-24.58377,-20.503698,-97.11097
108,-98.542656,-20.558176,-104.485535,-100.4155,-16.044897
109,-109.90272,-100.71991,-32.92942,-14.727933,-90.596924
110,-119.10539,-14.214402,-100.95714,-17.791252,-96.135765
111,-100.126656,-19.299614,-27.647055,-10.854912,-99.08085
