,It 0,It 1,It 2,It 3,It 4
0,-34.06226,-101.12488,-110.83072,-113.70114,-111.1118
1,-114.49334,-112.92465,-111.46952,-113.35167,-118.25333
2,-19.01471,-112.09032,-114.29277,-109.59517,-112.732635
3,-21.359222,-114.86766,-107.102585,-111.72556,-104.86738
4,-14.2529125,-111.72243,-113.375175,-109.59173,-19.097158
5,-115.342674,-104.33662,-14.098455,-112.6086,-127.93475
6,-96.75181,-107.076195,-23.974491,-115.898445,-20.297726
7,-100.6025,-106.58307,-105.99666,-114.48541,-12.818016
8,-27.267267,-23.54134,-19.603909,-18.229586,-117.05199
9,-25.500204,-124.5954,-115.90367,-12.035986,-11.493847
10,-20.476852,-113.08308,-93.210594,-15.059751,-109.28918
11,-21.435299,-102.44166,-100.535706,-112.58693,-13.734928
12,-100.73854,-114.89405,-97.124466,-105.33415,-107.13865
13,-102.706894,-17.974607,-98.49526,-20.343714,-13.936843
14,-111.09057,-18.340378,-19.44503,-11.238558,-111.06449
15,-103.27296,-104.23197,-22.888338,-106.44904,-15.80967
16,-13.268155,-15.253039,-14.72431,-102.888466,-98.08297
17,-15.168571,-102.84055,-12.421009,-16.3507,-114.15492
18,-99.523575,-17.187468,-110.00433,-11.58794,-33.231995
19,-9.812607,-16.33457,-95.37399,-28.398714,-9.289585
20,-14.768745,-14.037822,-111.731834,-15.272216,-12.0596485
21,-24.8982,-14.693508,-12.6814,-11.416396,-98.49105
22,-10.383567,-25.15254,-118.457306,-8.722509,-12.461274
23,-16.638922,-16.487125,-104.1371,-100.87523,-95.9211
24,-12.226885,-17.057577,-102.01855,-109.06453,-15.199443
25,-16.370428,-14.04853,-6.321766,-11.907427,-127.57893
26,-14.328276,-10.840512,-103.06263,-14.529072,-15.15698
27,-14.871304,-96.61641,-100.90907,-12.14282,-101.73391
28,-13.198106,-113.062935,-17.588278,-12.584,-15.74588
29,-17.364143,-13.129585,-14.817971,-24.499403,-17.411348
30,-18.483124,-26.623684,-16.785192,-99.34248,-97.01715
31,-12.452789,-100.56622,-15.821267,-7.5202312,-9.906228
32,-13.795421,-107.40409,-12.434254,-100.30521,-106.191795
33,-16.700161,-14.40273,-12.108326,-104.61863,-97.25423
34,-94.38278,-18.783474,-11.4024315,-102.21591,-19.584087
35,-13.331954,-14.712394,-100.22184,-6.8242617,-98.47607
36,-18.663004,-7.9627237,-117.0567,-100.22656,-17.50626
37,-99.899994,-11.705838,-97.81414,-98.479706,-16.94699
38,-94.561966,-98.70037,-16.203638,-98.93067,-98.47068
39,-14.543852,-13.448422,-13.44547,-113.090744,-14.044701
40,-8.72467,-110.64927,-106.729004,-94.25839,-117.316345
41,4.1569257,-98.49804,-97.34795,-10.264092,-7.718397
42,-115.887314,-101.61359,-92.87318,-94.12652,-10.390806
43,-19.836702,-99.75642,-100.76538,-14.121611,-17.630545
44,-13.530104,-116.9395,-114.528,-11.703531,-101.080925
45,-10.265097,-122.52088,-0.43563864,-94.999466,-8.339449
46,-13.521789,-95.22902,-94.11268,-12.593276,-100.42915
47,-11.780839,-94.89658,-97.38989,-94.0588,-21.193613
48,-22.789833,-96.476555,-115.63318,-12.68484,-98.265396
49,-15.664079,-118.23656,-4.2211204,-10.205572,-98.0998
50,-99.408966,-13.652414,-97.46942,-97.13315,-12.92331
51,-103.314064,-111.1465,-95.21294,-104.299164,-114.19371
52,-123.86626,-98.100395,-26.873682,-12.294032,-103.009796
53,-126.13881,-101.01445,-103.116356,-19.276945,-7.263927
54,-92.221146,-100.6867,-98.28257,-15.0850315,-15.425704
55,-107.684555,-94.48883,-7.707652,-13.8325815,-14.251427
56,-99.924095,-25.928509,-21.241625,-98.19002,-11.5685215
57,-105.00703,-19.411375,-116.46414,-98.90621,-97.76891
58,-99.89851,-14.1594,-18.239166,-94.54105,-101.25901
59,-99.62801,-96.819305,-101.29317,-100.976974,-16.871416
60,-98.101295,-117.164566,-100.99566,-96.62673,-13.280796
61,-100.301636,-95.492485,-97.89514,-101.0708,-105.19928
62,-101.05898,-97.6276,-14.799044,-13.368471,-108.955986
63,-17.892035,-99.45097,-99.285614,-18.272326,-13.78725
64,-17.12451,-102.90227,-96.43953,-98.48091,-96.953705
65,-16.749437,-25.238258,-16.959637,-8.001968,-13.597688
66,-7.59122,-22.493515,-98.55534,-95.87092,-98.99912
67,-99.360985,-91.20082,-99.33115,-12.905954,-101.80038
68,-117.68091,-98.658325,-100.84254,-114.11953,-14.846996
69,-103.6484,-20.18419,-97.96347,-22.430628,-17.434935
70,-98.39184,-100.7514,-116.921616,-23.311718,-8.280306
71,-101.410126,-101.02262,-13.425909,-21.158043,-97.59408
72,-101.21675,-90.9149,-97.697815,-114.375175,-100.4612
73,-95.42871,-99.37176,-96.99303,-12.485582,-101.43166
74,-103.55156,-20.030867,-115.113365,-100.86136,-99.79782
75,-95.39687,-116.58083,-97.37331,-105.33848,-10.610974
76,-122.631584,-100.20266,-7.5868278,-115.90515,-11.428683
77,-99.7926,-9.862059,-8.5916605,-98.94817,-15.781075
78,-92.93931,-101.40775,-96.575,-22.523447,-14.118184
79,-95.116234,-98.06876,-98.227425,-97.46895,-97.40788
80,-110.2676,-12.391634,-112.61682,-13.27832,-100.40262
81,-102.5637,-99.99596,-97.468056,-16.094738,-97.05938
82,-106.166046,-97.97087,-97.26517,-111.87593,-94.83243
83,-103.83743,-97.587456,-103.09985,-99.28957,-12.3381405
84,-98.36052,-98.862175,-99.467804,-12.932147,-99.77606
85,-99.18608,-114.47862,-96.99311,-12.2788515,-105.190865
86,-100.84181,-114.93425,-104.06197,-16.799734,-102.31702
87,-22.794819,-106.79003,-13.472634,-109.80403,-100.34868
88,-111.27821,-98.78848,-99.54302,-97.40782,-18.564497
89,-100.60755,-100.92609,-97.526695,-99.01441,-100.82913
90,-9.077016,-9.765724,-111.643166,-103.849724,-100.18622
91,-114.147095,-105.82275,-7.371471,-93.675,-14.203075
92,-102.42514,-87.18766,-100.835205,-113.37273,-92.82358
93,-104.94979,-97.64432,-98.28531,-99.70113,-99.385506
94,-114.077576,-102.2106,-96.09336,-98.18968,-19.831995
95,-98.894775,-114.92624,-107.86997,-109.1843,-98.87897
96,-100.78289,-102.90637,-99.15805,-96.44834,-102.08191
97,-101.292496,-102.213745,-99.89966,-99.37588,-5.5617027
98,-98.82391,-99.56345,-108.119896,-98.61522,-5.3517966
99,-92.669525,-9.832752,-100.16653,-21.4251,-108.41883
100,-103.47675,-97.270355,-98.35044,-100.50971,-104.23186
101,-17.358807,-21.589277,-96.23364,-98.91941,-13.1233635
102,-99.534996,-94.475945,-102.62226,-97.80866,-105.0625
103,-103.09855,-4.144359,-104.96525,-102.6712,-100.49172
104,-97.33036,-103.6879,-98.03654,-103.30529,-16.613869
105,-98.384705,-104.795616,-120.085526,-101.009926,-99.420555
106,-91.84641,-101.98474,-101.970375,-101.28269,-102.127106
107,-100.83115,-105.174774,-101.86634,-101.785614,-13.389584
108,-102.24962,-104.10598,-109.53928,-96.97645,-102.01586
109,-94.64783,-92.85441,-99.35506,-21.22737,-26.746801
110,-20.84784,-104.26231,-96.163345,-24.876038,-23.93493
111,-93.36448,-103.79434,-98.263275,-16.609285,-95.62916
112,-102.13694,-95.21604,-100.95262,-121.28206,-102.453
113,-108.66007,-105.084694,-112.69867,-99.088974,-19.55892
114,-100.359024,-112.57066,-112.831635,-91.86823,-98.238914
115,-100.15522,-115.69082,-97.98373,-96.3841,-98.7581
116,-99.322296,-101.81731,-10.553632,-101.84188,-91.52976
117,-97.910545,-109.24933,-97.818,-99.60539,-99.552574
118,-99.28028,-89.847694,-98.0088,-103.97334,-102.47563
119,-105.71218,-87.78226,-98.287155,-99.69568,-95.82419
120,-108.70468,-98.08217,-117.14565,-99.460686,-9.504576
121,-15.627008,-92.78874,-23.538465,-17.82074,-118.022095
122,-101.74153,-98.3495,-114.06812,-103.36984,-101.72378
123,-97.10942,-96.39619,-11.888447,-16.325607,-103.42995
124,-102.884224,-109.61425,-100.340675,-115.951836,-18.3434
125,-118.32408,-98.997765,-130.47955,-16.866673,-98.27376
126,-97.11005,-99.83292,-97.77882,-104.3566,-21.543936
127,-98.55597,-101.70564,-116.10192,-101.63916,-23.856403
128,-100.27667,-99.707924,-97.20371,-105.5279,-17.21747
129,-103.27494,-101.079414,-100.15213,-104.124985,-102.34731
130,-97.06019,-11.624972,-102.62705,-104.26282,-98.68066
131,-110.13001,-101.967094,-99.778854,-99.85087,-10.386049
132,-104.08411,-105.260704,-14.006906,-105.37151,-105.36038
133,-110.53102,-101.185616,-97.0222,-96.66068,-96.92151
134,-101.50067,-93.171524,-14.655728,-100.33724,-101.985855
135,-102.39629,-108.50578,-16.537912,-14.937635,-17.646801
136,-98.753815,-18.564903,-113.046974,-9.068106,-98.54026
137,-103.754555,-10.379371,-10.971416,-24.1996,-100.11694
138,-100.108986,-9.312994,-96.50929,-28.464502,-24.941496
139,-100.748955,-18.648611,-108.01293,-102.21474,-103.34007
140,-19.375751,-116.72073,-12.654541,-99.44355,-97.96925
141,-97.27981,-98.55802,-20.629248,-102.6711,-97.54546
142,-96.672516,-99.90217,-97.58424,-101.446754,-25.532986
143,-91.002266,-101.48102,-115.45194,-109.742424,-17.133343
144,-100.27283,-18.623623,-98.02692,-96.82683,-13.9116125
145,-103.79845,-97.32685,-19.614302,-111.57052,-97.801956
146,-98.4187,-17.762665,-103.1019,-93.843636,-26.97883
147,-94.17655,-101.197235,-16.545603,-17.846256,-17.835865
148,-97.35299,-95.73297,-98.00227,-15.369457,-100.655945
149,-98.09218,-8.106783,-100.568306,-92.93827,-95.17306
150,-97.23822,-97.8585,-21.40246,-96.11768,-97.13807
151,-107.32394,-102.22841,-104.80017,-116.794975,-16.990572
152,-103.414474,-124.69585,-106.85001,-106.188515,-33.39382
153,-17.8292,-94.47579,-98.9542,-97.514206,-26.550045
154,-96.70883,-98.38418,-14.822514,-96.32805,-103.03151
