,"Algo generation: 3, gene: (475, 3)"
0,-16.435379
1,-108.53487
2,-114.334625
3,-110.38838
4,-105.71436
5,-11.529786
6,-112.439804
7,-115.63825
8,-112.41206
9,-106.61427
10,-19.528032
11,-106.65482
12,-101.80779
13,-114.54375
14,-111.37251
15,-14.235234
16,-21.66701
17,-103.290535
18,-113.661934
19,-21.038788
20,-118.89014
21,-110.5204
22,-22.933022
23,-18.019577
24,-11.010109
25,-15.643626
26,-109.430084
27,-18.417187
28,-105.37803
29,-113.02318
30,-106.94213
31,-118.32913
32,-16.144976
33,-16.578522
34,-19.482338
35,-18.954483
36,-109.63394
37,-16.967516
38,-17.931263
39,-13.960305
40,-25.754124
41,-110.78645
42,-8.323884
43,-25.16842
44,-25.332163
45,-15.925956
46,-107.51958
47,-11.798598
48,-11.013471
49,-105.068474
50,-16.106369
51,-9.624729
52,-21.208675
53,-100.33658
54,-10.4860115
55,-7.5053267
56,-19.237831
57,-11.130393
58,-12.063546
59,-14.148516
60,-128.67996
61,-10.647151
62,-11.563185
63,-8.405719
64,-12.354202
65,-14.20409
66,-111.52798
67,-13.00035
68,-100.30136
69,-114.64323
70,-103.28108
71,-11.350154
72,-10.50652
73,-15.503536
74,-105.38953
75,-111.07913
76,-112.292656
77,-15.002273
78,-108.169624
79,-10.475497
80,-25.542858
81,-6.5649457
82,-13.592698
83,-16.498627
84,-10.854183
85,-12.465368
86,-10.793033
87,-14.389166
88,-10.770466
89,-16.681286
90,-17.46817
91,-103.75836
92,-10.360149
93,-10.768826
94,-21.388878
95,-111.49404
96,-17.758537
97,-15.414304
98,-13.627072
99,-6.647434
100,-17.496128
101,-20.984795
102,-9.188975
103,-15.232077
104,-10.53962
105,-12.592261
106,-10.726349
107,-18.786179
108,-102.075806
109,-96.49875
110,-13.891483
111,-18.313272
112,-15.341283
113,-102.28614
114,-11.801209
115,-108.27006
116,-103.60034
117,-103.408676
118,-22.49283
119,-105.5995
120,-104.38439
121,-98.66427
122,-96.703514
123,-97.93332
124,-12.306959
125,-99.342476
126,-19.212551
127,-105.46107
128,-101.32741
129,-20.345055
130,-102.64962
131,-8.144798
132,-9.368497
133,-10.950278
134,-104.96725
135,-11.480054
136,-14.031231
137,-99.9572
138,-100.43781
139,-95.914604
140,-102.661575
141,-21.30382
142,-21.785114
143,-105.02155
144,-13.587177
145,-12.710979
146,-18.93009
147,-11.509969
148,-102.93202
149,-10.3610735
150,-7.928415
151,-100.18176
152,-99.85874
153,-20.159826
154,-16.482088
155,-12.555673
156,-9.104626
157,-120.12432
158,-106.681946
159,-101.2132
160,-100.79796
161,-12.063223
162,-14.788579
163,-8.452298
164,-103.29764
165,-107.74694
166,-13.473982
167,-10.152314
168,-11.005793
169,-98.71293
170,-14.867732
171,-14.231019
172,-114.85345
173,-11.35666
174,-11.662106
175,-10.450854
176,-16.606543
177,-14.636682
178,-9.49787
179,-7.7978983
180,-99.163315
181,-103.2909
182,-7.482038
183,-103.93516
184,-12.152517
185,-10.308152
186,-9.799618
187,-96.858475
188,-15.070521
189,-13.824114
190,-17.318699
191,-20.880636
192,-117.71687
193,-9.147392
194,-13.7770405
195,-102.589386
196,-10.2421875
197,-11.778677
198,-109.82832
199,-9.327889
200,-13.877947
201,-102.71308
202,-13.999718
203,-12.599523
204,-99.44743
205,-10.070408
206,-21.507679
207,-22.397013
208,-100.28022
209,-14.71405
210,-12.433782
211,-113.60384
212,-116.39399
213,-99.85743
214,-106.5002
215,-10.819441
216,-117.27611
217,-104.29586
218,-9.411076
219,-98.64558
220,-117.60134
221,-96.60357
222,-100.33843
223,-115.206184
224,-113.80083
225,-13.322557
226,-22.251535
227,-24.591043
228,-113.70322
229,-23.024754
230,-122.014496
231,-12.798506
232,-101.719345
233,-15.722259
234,-12.740363
235,-102.21457
236,-15.627195
237,-97.8859
238,-9.0013075
239,-99.084145
240,-9.171478
241,-16.331444
242,-109.32602
243,-8.529325
244,-107.29073
245,-101.603134
246,-99.25476
247,-99.32359
248,-9.733384
249,-101.55511
250,-103.3592
251,-13.429348
252,-15.526644
253,-15.63515
254,-14.299428
255,-99.778854
256,-100.12148
257,-9.192448
258,-8.083167
259,-99.62128
260,-7.5758224
261,-10.539382
262,-103.17185
263,-10.784866
264,-10.706947
265,-112.75223
266,-8.075273
267,-96.79833
268,-127.17773
269,-17.689386
270,-100.508934
271,-12.375437
272,-101.58512
273,-102.29992
274,-15.697569
275,-99.70848
276,-102.71721
277,-107.95447
278,-26.011879
279,-25.873493
280,-102.29531
281,-104.36359
282,-23.768633
283,-15.172751
284,-100.9478
285,-104.106064
286,-111.28314
287,-97.26094
288,-7.3820443
289,-13.6186695
290,-19.323689
291,-15.694312
292,-9.1692705
293,-16.045502
294,-18.878534
295,-17.770573
296,-11.710769
297,-102.442566
298,-21.543573
299,-102.41871
300,-14.214729
301,-12.1552725
302,-11.244035
303,-17.13873
304,-94.23087
305,-12.346167
306,-105.04899
307,-108.611404
308,-120.30491
309,-96.80588
310,-99.333565
311,-118.32205
312,-99.27214
313,-97.88819
314,-14.797508
315,-105.26952
316,-19.831818
317,-111.80844
318,-24.158625
319,-11.323325
320,-103.38694
321,-11.098172
322,-103.2278
323,-19.474655
324,-22.732428
325,-100.863205
326,-101.86391
327,-8.587132
328,-103.38292
329,-31.874537
330,-108.43603
331,-34.955547
332,-32.056114
333,-103.75289
334,-107.35669
335,-105.89476
336,-10.780429
337,-14.002377
338,-93.91983
339,-7.63777
340,-102.57757
341,-100.337135
342,-110.59835
343,-102.24416
344,-102.194626
345,-97.57741
346,-108.626305
347,-105.77813
348,-98.8039
349,-18.013214
350,-21.22749
351,-17.246397
352,-103.268745
353,-104.04286
354,-15.913153
355,-15.920808
356,-97.896484
357,-13.6737795
358,-13.365296
359,-13.182663
360,-105.55592
361,-105.449196
362,-134.66953
363,-127.65097
364,-99.21274
365,-16.96685
366,-108.80624
367,-98.98067
368,-96.659996
369,-95.72057
370,-14.387634
371,-16.26358
372,-27.97174
373,-24.713116
374,-23.084963
375,-9.799939
376,-113.0978
377,-14.698306
378,-98.09457
379,-100.1961
380,-100.0156
381,-96.91788
382,-105.70189
383,-109.28848
384,-109.254234
385,-112.33459
386,-21.054647
387,-23.482033
388,-34.304245
389,-114.88761
390,-111.86842
391,-22.827255
392,-114.11375
393,-100.50587
394,-107.61238
395,-109.12682
396,-14.719088
397,-11.91945
398,-116.68481
399,-18.931608
400,-105.31108
401,-25.20634
402,-27.349566
403,-8.324372
404,-119.85084
405,-12.234521
406,-93.21955
407,-19.850077
408,-18.473051
409,-30.866129
410,-27.72721
411,-37.864468
412,-24.763515
413,-21.545591
414,-21.522017
415,-26.60331
416,-20.599174
417,-10.376351
418,-12.527487
419,-23.759914
420,-21.004793
421,-18.261253
422,-15.742707
423,-15.468927
424,-19.375591
425,-23.211988
426,-15.720807
427,-14.669598
428,-24.604233
429,-24.014566
430,-21.936142
431,-19.427847
432,-11.1580925
433,-16.200596
434,-13.073972
435,-21.454865
436,-15.313404
437,-17.159048
438,-98.75686
439,-102.91966
440,-98.44258
441,-98.66578
442,-33.93413
443,-99.26487
444,-22.298227
445,-13.951296
446,-16.67807
447,-11.1909895
448,-18.108929
449,-16.293364
450,-12.888695
451,-19.98387
452,-15.660889
453,-10.529492
454,-12.588763
455,-15.972662
456,-20.119827
457,-99.7077
458,-18.332956
459,-98.74811
460,-6.848313
461,-17.100088
462,-14.609881
463,-12.387841
464,-15.135253
465,-21.71538
466,-25.365913
467,-24.290062
468,-22.719166
469,-16.74421
470,-22.41349
471,-19.501205
472,-20.821325
473,-97.833755
474,-98.13862
475,-99.88751
476,-15.1449585
477,-8.980673
478,-11.421182
479,-12.938031
480,-7.5347795
481,-10.825238
482,-7.5766983
483,-104.4681
484,-115.38512
485,-102.30764
486,-13.0653925
487,-13.271356
488,-20.6488
489,-108.92139
490,-12.951509
491,-8.83285
492,-13.322338
