,"Algo generation: 5, gene: (243, 2)"
0,-11.663817
1,-114.757034
2,-114.3318
3,-111.974525
4,-113.896805
5,-24.431501
6,-15.727764
7,-16.872213
8,-23.276474
9,-22.283344
10,-104.49458
11,-113.56096
12,-104.00189
13,-17.059252
14,-13.198254
15,-106.08096
16,-97.44584
17,-101.94103
18,-29.420662
19,-18.29942
20,-9.1153
21,-108.46956
22,-6.441036
23,-17.63594
24,-15.840422
25,-101.14159
26,-98.09122
27,-17.058699
28,-15.809702
29,-22.74669
30,-13.039352
31,-102.90685
32,-11.791044
33,-100.765236
34,-102.06902
35,-101.31807
36,-26.249943
37,-15.585479
38,-99.07841
39,-18.227446
40,-12.900583
41,-24.924038
42,-100.003555
43,-14.200957
44,-16.167448
45,-108.92792
46,-94.41405
47,-104.375534
48,-18.014408
49,-15.618147
50,-25.500471
51,-110.184555
52,-11.567277
53,-106.07831
54,-11.913517
55,-101.04129
56,-118.44542
57,-102.37793
58,-21.91133
59,-9.935981
60,-99.92687
61,-112.88837
62,-101.98522
63,-14.866778
64,-98.638084
65,-9.338617
66,-111.877785
67,-128.47624
68,-102.90202
69,-15.400727
70,-14.70983
71,-11.906235
72,-113.96059
73,-9.753913
74,-111.33229
75,-101.83791
76,-111.054596
77,-112.60486
78,-107.153946
79,-13.178311
80,-11.278321
81,-112.46236
82,-7.0967045
83,-97.297516
84,-104.476326
85,-98.73042
86,-98.915504
87,-102.77676
88,-13.11993
89,-122.17149
90,-11.935156
91,-107.90961
92,-104.079765
93,-102.02138
94,-17.553965
95,-114.28011
96,-17.08801
97,-9.406276
98,-7.6935725
99,-98.25594
100,-98.155045
101,-97.84595
102,-21.910597
103,-8.245221
104,-101.75364
105,-96.5385
106,-10.000409
107,-93.926216
108,-118.94272
109,-105.94719
110,-14.532273
111,-20.254625
112,-120.828476
113,-103.91233
114,-18.82987
115,-15.348429
116,-109.71
117,-101.68442
118,-9.3214655
119,-18.072525
120,-110.12647
121,-98.50261
122,-108.08291
123,-103.24503
124,-105.06118
125,-103.68551
126,-120.00565
127,-104.7513
128,-101.45795
129,-7.1643543
130,-12.7301
131,-18.605017
132,-25.488272
133,-18.283773
134,-107.4966
135,-9.512519
136,-3.420592
137,-100.16777
138,-98.9057
139,-105.58358
140,-115.16152
141,-13.607612
142,-117.45595
143,-8.039945
144,-13.517063
145,-13.037319
146,-105.81239
147,-119.24241
148,-110.21719
149,-108.47478
150,-103.30548
151,-99.63453
152,-97.47683
153,-7.970999
154,-100.900665
155,-100.49106
156,-12.329427
157,-99.35095
158,-99.73599
159,-13.264645
160,-10.540986
161,-104.25238
162,-116.50778
163,-6.884314
164,-119.04721
165,-10.767742
166,-10.425177
167,-104.341
168,-11.758803
169,-107.41179
170,-99.99659
171,-103.835144
172,-103.24048
173,-107.71387
174,-20.894144
175,-96.47685
176,-98.0829
177,-99.210434
178,-101.96958
179,-100.26394
180,-97.8542
181,-99.0711
182,-98.53779
183,-10.511257
184,-105.70481
185,-13.232162
186,-98.07195
187,-15.996432
188,-14.205864
189,-100.864975
190,-115.85842
191,-100.89314
192,-16.06076
193,-100.82668
194,-101.25874
195,-99.41781
196,-102.25691
197,-13.87693
198,-99.75682
199,-101.83189
200,-97.43507
201,-102.54657
202,-104.07191
203,-96.1762
204,-99.814514
205,-98.89768
206,-103.35553
207,-102.02276
208,-22.334036
209,-98.28308
210,-94.11182
211,-103.77847
212,-102.72608
213,-105.54824
214,-10.208011
215,-101.76643
216,-99.20843
217,-113.45763
218,-99.449326
219,-105.16385
220,-101.372086
221,-109.96808
222,-97.11318
223,-14.8805
224,-101.03819
225,-103.87299
226,-11.044463
227,-100.35317
228,-104.444725
229,-14.120371
230,-97.99059
231,-98.18738
232,-114.64294
233,-101.52613
234,-98.70228
235,-18.063107
236,-18.728119
237,-106.69249
238,-117.82485
239,-6.868606
240,-98.90729
241,-6.9518933
242,-13.742014
243,-105.80603
244,-94.22259
245,-18.745275
246,-18.83416
247,-22.49344
248,-106.60921
249,-106.73373
250,-16.789608
251,-15.420355
252,-107.317
253,-100.01425
254,-13.038057
255,-14.316745
256,-7.023084
257,-12.016349
258,-9.356992
259,-101.89578
260,-99.469246
261,-13.43406
262,-10.534447
263,-9.0445385
264,-107.186554
265,-124.721115
266,-104.3503
267,-102.07069
268,-108.98971
269,-96.95036
270,-102.06625
271,-14.053347
272,-6.5690775
273,-109.29778
274,-10.675068
275,-22.015837
276,-113.72334
277,-120.71653
278,-20.391314
279,-106.103294
280,-111.310684
281,-115.879425
282,-106.98205
283,-106.72651
284,-10.346939
285,-7.7376227
286,-108.70621
287,-115.295235
288,-100.72678
289,-102.040115
290,-100.67351
291,-107.12152
292,-9.595526
293,-17.497805
294,-103.60511
295,-100.543495
296,-8.722821
297,-104.60784
298,-103.57082
299,-106.24293
300,-96.263336
301,-95.98596
302,-99.05498
303,-99.46527
304,-102.40084
305,-8.889511
306,-103.510506
307,-16.485943
308,-100.464554
309,-11.553285
310,-102.52183
311,-102.640114
312,-107.4236
313,-103.06243
314,-92.42164
315,-97.05605
316,-107.390564
317,-15.332307
318,-14.473003
319,-13.946725
320,-8.339918
321,-107.145706
322,-99.843
323,-102.633064
324,-13.646573
325,-14.908834
326,-8.203047
327,-21.94047
328,-16.695208
329,-128.33295
330,-106.67289
331,-104.829605
332,-117.04979
333,-105.646645
334,-108.09238
335,-103.415825
336,-101.86777
337,-100.17419
338,-100.63828
339,-99.96814
340,-123.515594
341,-105.0475
342,-119.39966
343,-100.98741
