,It 0,It 1,It 2,It 3,It 4
0,-18.847925,-112.78279,-22.44555,-103.70885,-18.276955
1,-109.69485,-106.77444,-116.70516,-106.7192,-11.8577585
2,-110.69419,-119.11886,-112.75253,-116.05575,-25.514725
3,-115.558075,-122.17081,-122.3909,-116.86423,-111.84353
4,-114.48068,-110.93093,-112.85084,-126.01482,-110.18099
5,-117.33775,-115.33876,-107.00481,-108.449356,-104.18926
6,-108.006645,-108.24673,-113.97989,-107.668655,-111.66877
7,-112.634476,-111.0729,-102.261185,-117.795876,-13.338779
8,-104.75912,-16.051485,-108.02641,-101.01966,-109.84155
9,-110.46624,-99.18739,-12.900886,-117.91171,-9.039154
10,-126.65253,-27.635393,-107.60559,-111.79161,-102.1289
11,-103.76509,-17.108467,-103.134636,-122.934296,-100.54221
12,-104.24496,-101.53941,-13.50111,-111.78267,-22.353428
13,-115.82545,-102.63231,-14.521283,-100.28244,-97.68438
14,-20.312778,-18.104073,-9.1978655,-98.31584,-106.51967
15,-103.01217,-16.2195,-111.03934,-102.943634,-15.495507
16,-109.047134,-118.38991,-15.818687,-26.871277,-124.79869
17,-11.040519,-12.425825,-14.589481,-24.619406,-103.05661
18,-18.810957,-104.666306,-11.167875,-99.75183,-12.692171
19,-104.70111,-118.04699,-10.304833,-11.103567,-11.019037
20,-16.513653,-18.456736,-14.764033,-13.698312,-9.039623
21,-16.054327,-101.569214,-100.16463,-15.859362,-102.72324
22,-105.97289,-19.001917,-14.075893,-14.002543,-96.85031
23,-97.51,-99.113976,-14.821738,-18.913557,-11.655621
24,-15.229076,-98.574814,-14.961152,-114.58056,-89.79229
25,-107.16194,-101.365074,-8.712544,-101.669464,-102.10951
26,-16.25014,-9.560529,-6.7526784,-18.012796,-98.732925
27,-19.094345,-97.77926,-13.739554,-13.538142,-13.383848
28,-12.712579,-19.284676,-11.585016,-12.404958,-97.5229
29,-18.802734,-99.82997,-13.38409,-97.88581,-96.04841
30,-17.92848,-98.51257,-13.34323,-100.39511,-17.467484
31,-18.562338,-105.70973,-7.9468713,-17.138218,-97.551834
32,-108.99537,-111.07548,-104.49596,-16.008232,-102.080315
33,-99.82111,-11.604791,-15.094543,-103.76138,-99.818504
34,-102.62334,-117.38045,-11.723893,-102.69007,-96.46683
35,-103.47918,-117.39932,-13.671032,-20.198011,-98.50742
36,-98.91183,-19.690868,-101.93234,-104.792046,-100.04781
37,-21.811672,-101.85503,-109.8224,-104.58982,-10.601529
38,-110.14928,-100.815346,-16.905264,-110.26823,-100.73533
39,-118.85907,-111.33611,-6.4631495,-15.613357,-100.185646
40,-7.9200754,-117.35209,-10.43963,-14.396435,-99.02699
41,-11.81308,-19.345955,-10.247161,-22.459064,-103.77747
42,-100.620285,-106.6309,-12.839398,-115.911644,-102.327644
43,-15.013391,-16.525505,-9.632444,-101.66364,-99.739204
44,-14.95601,-102.17092,-11.973586,-112.15642,-106.181854
45,-13.658198,-98.608345,-12.261526,-98.89956,-101.337494
46,-16.109982,-12.524127,-7.0565243,-98.4096,-105.29695
47,-112.53052,-102.852715,-5.8822513,-14.022549,-25.824486
48,-11.438151,-100.93535,-12.3661995,-101.66485,-102.7412
49,-11.843132,-98.97997,-14.055667,-97.60375,-107.003815
50,-98.03309,-105.54278,-4.037215,-97.31845,-11.907113
51,-95.73352,-102.82059,-110.00217,-9.575898,-14.930437
52,-9.41953,-98.63276,-101.719055,-8.741277,-105.254265
53,-111.86294,-97.798676,-9.6201315,-8.773289,-99.35082
54,-11.657321,-101.992836,-18.622988,-9.828638,-98.05911
55,-16.613312,-109.8874,-11.540154,-94.96408,-98.630394
56,-99.03746,-99.89135,-13.861714,-106.5962,-99.9862
57,-9.522343,-103.02487,-10.929803,-10.576403,-27.133526
58,-109.992004,-13.614196,-11.319125,-92.1243,-95.73752
59,-11.637654,-22.698227,-5.6908975,-112.88218,-100.812546
60,-19.239748,-98.43375,-8.373462,-9.493962,-103.26908
61,-97.37402,-10.722069,-11.088618,-110.388054,-98.17998
62,-99.13223,-98.115555,-9.229102,-96.70057,-13.919579
63,-112.32739,-17.06844,-4.798417,-99.12497,-99.932976
64,-113.230255,-96.07422,-15.166481,-105.577286,-106.97427
65,-101.63686,-11.756196,-7.764656,-96.18182,-4.424514
66,-96.906906,-103.882195,-6.3644633,-103.683014,-97.129105
67,-97.04443,-97.37523,-11.18687,-112.63588,-11.649323
68,-111.24674,-113.079414,-13.161938,-111.05107,-99.49021
69,-97.32286,-98.82678,-11.699975,-105.32794,-100.18422
70,-102.54728,-27.113434,-6.2606654,-24.324787,-98.27354
71,-8.37777,-96.37522,-16.239304,-97.02165,-9.262018
72,-110.94826,-21.425705,-8.85269,-96.10232,-18.084944
73,-99.36263,-28.289358,-16.787626,-106.892105,-102.3007
74,-5.180106,-99.04597,-17.119156,-102.559135,-112.56275
75,-99.44035,-96.81212,-99.936806,-99.507774,-99.25343
76,-17.310633,-98.84041,-108.164246,-101.471466,-8.727444
77,-98.62893,-18.424324,-9.8279295,-100.72541,-11.757524
78,-95.97527,-16.39894,-9.160681,-97.98792,-96.70396
79,-99.0933,-97.277664,-108.587364,-5.523993,-11.105234
80,-117.427345,-98.87831,-5.88775,-100.935036,-16.129198
81,-7.5711966,-97.909676,-12.84199,-105.84036,-27.400743
82,-8.772147,-21.717527,-15.084432,-97.3101,-101.7436
83,-113.6376,-101.62143,-8.497855,-96.29889,-101.82131
84,-8.269916,-98.67354,-6.219245,-98.78684,-99.09104
85,-102.04808,-113.15448,-7.794264,-18.940308,-15.124095
86,-95.96013,-104.47183,-10.4363,-97.36397,-11.821717
87,-12.975682,-111.50738,-102.08802,-113.74545,-99.98793
88,-113.228264,-96.32381,-7.87209,-97.772285,-102.16049
89,-10.327068,-23.848959,-114.1039,-101.74987,-103.12079
90,-100.99335,-109.09164,-18.193033,-100.46555,-97.31806
91,-98.6205,-17.16824,-15.100207,-118.70082,-100.35929
92,-98.02669,-101.506584,-102.71679,-112.35715,-11.1611595
93,-122.39659,-99.86449,-11.107382,-112.80699,-96.392586
94,-102.35668,-12.913171,-113.10384,-122.937225,-96.54329
95,-96.68998,-99.17858,-6.639885,-19.738918,-15.534568
96,-97.96824,-15.318862,-95.16046,-17.273487,-21.65407
97,-104.4857,-96.310234,-15.129555,-102.44912,-109.264824
98,-110.72157,-97.83163,-109.597435,-96.67162,-15.694588
99,-98.128975,-90.14859,-11.944808,-97.05929,-25.19901
100,-102.968155,-98.75508,-110.82284,-95.98709,-19.77592
101,-105.590675,-21.572126,-12.011104,-103.02549,-14.96141
102,-105.380005,-29.309992,-113.22613,-112.55055,-13.872339
103,-112.04121,-98.12032,-111.20391,-117.18026,-98.49303
104,-101.00181,-18.184875,-111.021935,-97.37195,-97.95943
105,-115.25056,-108.93235,-120.976135,-100.74587,-13.778813
106,-100.981316,-16.649448,-110.257454,-102.44268,-16.85193
107,-97.741806,-94.24149,-7.9621572,-120.07876,-21.396938
108,-95.17707,-97.82407,-19.198101,-113.965126,-102.91097
109,-107.65043,-115.75846,-22.009373,-92.80471,-23.476118
110,-117.392426,-103.77958,-14.028932,-95.05859,-19.956013
111,-95.92888,-104.00353,-100.75899,-98.704384,-22.275608
112,-98.249886,-121.86317,-6.3090596,-97.22124,-99.56075
113,-112.08181,-98.80121,-117.92639,-13.629792,-98.47964
114,-111.92468,-102.00782,-18.677248,-100.19629,-95.56526
115,-117.20394,-100.078186,-10.562593,-20.63805,-14.0829935
116,-5.3723636,-113.53596,-6.6451187,-99.116066,-101.56217
117,-102.48516,-95.90679,-115.70325,-97.374756,-98.77549
118,-10.335602,-101.503494,-26.241184,-102.80485,-98.921776
119,-102.93334,-95.497215,-98.37445,-15.607785,-100.25531
120,-101.332596,-118.14366,-108.98165,-101.87655,-94.588234
121,-7.8403625,-97.0135,-107.01177,-101.99729,-101.666336
122,-5.165467,-98.3845,-12.618421,-109.346436,-99.18919
123,-102.53978,-98.665085,-16.066612,-103.03924,-99.49824
124,-98.81259,-98.56404,-9.144887,-101.71681,-18.95426
125,-94.51198,-94.81773,-12.920155,-99.91197,-13.133976
126,-98.84216,-98.17793,-108.21162,-112.17772,-17.453075
127,-101.26009,-96.16802,-101.06505,-102.6878,-100.27458
128,-104.08979,-97.315834,-16.416668,-114.80372,-13.955374
129,-95.36174,-15.737965,-14.801134,-103.823555,-15.46329
130,-105.0422,-99.02038,-13.156268,-100.361275,-96.786705
131,-97.056175,-99.24592,-98.02555,-98.158295,-11.012481
132,-99.72523,-97.63291,-9.979439,-114.51641,-14.565476
133,-98.83032,-11.566744,-98.04969,-103.64967,-18.35697
134,-103.98142,-118.13518,-15.033694,-100.29923,-102.51749
135,-92.24679,-98.63178,-96.7219,-101.24326,-111.81315
136,-96.889465,-95.198616,-22.080362,-97.79192,-16.294447
137,-113.99434,-125.14881,-13.907028,-20.068142,-98.99646
138,-101.59295,-100.408936,-15.213066,-97.716125,-98.73628
139,-112.097046,-21.803942,-7.3480854,-18.654684,-98.0746
140,-99.14737,-100.73335,-17.005522,-97.87307,-99.37014
141,-111.9259,-100.19759,-108.29399,-102.874084,-99.405464
142,-100.95696,-94.124306,-19.213346,-99.2897,-17.790937
143,-10.671253,-25.523489,-110.79569,-102.69682,-92.03681
144,-97.10466,-21.26102,-101.9858,-106.43116,-97.46799
145,-99.749306,-115.2872,-13.045042,-14.909501,-9.030745
146,-21.119724,-97.15124,-1.9122891,-99.10963,-97.74829
147,-98.860405,-102.594185,-20.411873,-101.47532,-16.983128
148,-103.053246,-97.190125,-7.8623586,-102.66709,-7.6396713
149,-104.453995,-22.690573,-109.76961,-104.202866,-95.72174
150,-101.39378,-104.50641,-12.200939,-103.90776,-113.48142
151,-91.87444,-102.45532,-12.191091,-99.88469,-101.160965
152,-99.52203,-98.329285,-7.7986765,-97.975464,-104.354645
153,-103.53087,-20.36244,-18.14595,-100.55699,-95.33507
154,-98.76026,-99.595726,-107.75817,-104.743996,-96.62001
155,-97.925385,-99.38977,-99.270676,-108.95554,-94.02677
156,-96.73609,-15.472815,-118.956375,-106.32118,-98.86249
157,-12.774865,-98.26322,-16.119818,-102.19273,-100.81605
158,-22.941635,-103.45805,-110.76539,-102.11246,-99.12581
