,It 0,It 1,It 2,It 3,It 4
0,-115.659424,-115.88083,-102.46897,-109.44414,-111.40364
1,-110.05065,-112.17377,-26.494791,-113.6556,-113.80415
2,-109.99841,-119.848625,-14.848036,-123.08089,-115.00946
3,-108.15073,-114.77379,-114.752785,-108.153175,-115.220345
4,-28.837524,-115.36331,-95.787704,-114.86227,-25.067713
5,-16.946527,-116.64053,-26.754654,-105.37306,-25.371647
6,-96.276375,-118.5756,-19.580004,-107.57593,-23.498213
7,-21.507542,-17.476233,-97.822525,-107.77112,-111.605064
8,-105.01313,-117.271324,-122.31696,-15.44966,-111.95826
9,-11.97222,-16.540594,-103.50589,-20.995455,-109.500534
10,-110.89258,-21.951015,-21.130302,-102.48438,-19.558418
11,-103.21759,-118.184425,-99.13453,-104.87167,-19.633442
12,-11.752236,-104.89055,-21.912386,-112.83316,-101.91306
13,-112.29265,-100.19003,-11.79681,-112.524445,-14.033771
14,-114.88379,-22.070805,-20.681234,-14.923147,-96.9751
15,-117.52325,-17.310621,-20.21935,-16.048101,-116.05181
16,-18.772976,-110.3208,-24.425922,-102.220955,-12.659838
17,-119.22916,-17.566568,-127.87758,-20.607487,-15.822526
18,-109.77785,-119.60346,-109.56509,-12.065098,-105.85384
19,-17.708344,-19.45613,-7.914207,-112.90476,-14.103146
20,-100.66595,-102.75244,-8.187184,-17.725834,-20.118694
21,-118.11191,-116.0833,-5.5628514,-98.98169,-112.59789
22,-14.5355425,-18.811827,-9.027103,-105.23763,-100.80496
23,-16.109003,-16.761528,-110.91972,-103.39843,-100.06613
24,-103.42565,-18.379314,-19.559832,-118.31557,-100.720474
25,-101.80187,-113.080154,-93.92251,-11.0842905,-14.077045
26,-108.5057,-17.63335,-8.800283,-99.83195,-10.754444
27,-116.49163,-105.81759,-100.99418,-117.77215,-119.01781
28,-118.86659,-12.66638,-115.6224,-25.023308,-16.37949
29,-19.314892,-116.43281,-117.192024,-21.565054,-113.455185
30,-101.99139,-111.24388,-10.195095,-101.125534,-111.83648
31,-115.38684,-98.564644,-109.390755,-98.77564,-123.56883
32,-105.48648,-102.14682,-16.400764,-103.793816,-112.52023
33,-122.335106,-103.06461,-97.95559,-109.78539,-17.136496
34,-21.135075,-115.80613,-98.09282,-24.663383,-12.08262
35,-16.428495,-127.17083,-13.378368,-21.75109,-23.781988
36,-109.22313,-101.04348,-97.67994,-98.618744,-11.213249
37,-122.10975,-101.09317,-114.06074,-111.67493,-99.386185
38,-99.0042,-110.45225,-101.476906,-7.459152,-115.23808
39,-109.74804,-109.59579,-109.75721,-20.588041,-103.23033
40,-13.158303,-112.236534,-96.5647,-111.92712,-94.15106
41,-105.72748,-102.31735,-97.61501,-121.287186,-7.462662
42,-117.98687,-101.43818,-104.00415,-8.6254635,-115.26653
43,-15.750963,-103.706,-97.39432,-12.865016,-106.944626
44,-103.12018,-100.74586,-10.423717,-15.527966,-112.52589
45,-99.988106,-12.931615,-8.456651,-98.32958,-102.59209
46,-118.74875,-104.16381,-6.8885655,-11.398538,-97.005775
47,-13.058805,-105.62769,-13.801905,-13.134813,-14.915293
48,-16.342955,-18.77868,-99.33084,-7.6814523,-97.406685
49,-17.483551,-123.05933,-112.400635,-95.025375,-6.8863525
50,-17.503767,-21.239792,-100.70588,-116.40298,-12.965554
51,-96.79967,-108.70249,-113.79751,-107.41603,-111.9946
52,-102.85335,-99.00912,-101.128876,-104.50555,-109.43176
53,-114.30442,-101.12204,-102.290276,-14.912982,-15.028882
54,-11.567921,-100.15044,-102.18686,-11.235315,-12.525276
55,-118.72478,-16.659718,-99.937386,-109.24203,-101.36964
56,-12.450948,-98.081665,-100.01368,-97.75868,-19.055954
57,-108.9781,-128.6021,-115.678955,-12.853356,-98.60249
58,-115.44452,-111.84811,-99.242455,-103.408325,-103.6916
59,-19.66017,-106.90093,-107.90758,-8.924829,-99.74751
60,-115.22631,-105.22182,-15.7709055,-8.779696,-108.65481
61,-11.097538,-109.2528,-20.376135,-115.32582,-101.552795
62,-21.380604,-106.87194,-102.38123,-99.952484,-8.442262
63,-118.56327,-101.20252,-97.015396,-14.098998,-97.58962
64,-11.864761,-19.329954,-10.160991,-9.288214,-97.571365
65,-15.842138,-113.96642,-113.61475,-16.40594,-99.17479
66,-114.32831,-14.606552,-99.78185,-110.12889,-16.091866
67,-99.89885,-99.36626,-4.8330655,-109.27826,-26.154572
68,-14.767358,-112.95582,-26.66066,-9.407584,-118.76925
69,-101.6536,-99.38304,-19.903584,-12.914907,-15.976863
70,-23.402163,-109.31815,-100.64613,-16.513805,-96.87917
71,-10.737396,-99.582504,-113.300735,-120.43312,-105.39724
72,-112.09974,-98.581985,-23.876606,-12.549091,-14.497091
73,-114.11803,-112.24286,-94.17365,-19.931257,-20.078476
74,-100.71841,-107.93878,-99.71308,-16.242252,-19.208057
75,-100.93355,-100.94719,-13.747373,-13.989824,-98.92097
76,-97.885155,-103.478905,-18.699368,-7.6310143,-98.066414
77,-13.119593,-101.96541,-99.48406,-96.697044,-97.16631
