,"It [183, 2]"
0,-116.0365
1,-114.01982
2,-116.32572
3,-122.2912
4,-111.80292
5,-114.898735
6,-16.108963
7,-16.842464
8,-9.739808
9,-26.782345
10,-116.05303
11,-115.238625
12,-108.872765
13,-116.91292
14,-101.48133
15,-9.715017
16,-15.282943
17,-11.366093
18,-101.56171
19,-16.686441
20,-14.813912
21,-19.913525
22,-18.214281
23,-112.83022
24,-105.53521
25,-100.35984
26,-110.9384
27,-105.12632
28,-103.382385
29,-19.601917
30,-108.10117
31,-10.569144
32,-13.645984
33,-112.53705
34,-22.039536
35,-11.975779
36,-15.536789
37,-106.2146
38,-12.3274765
39,-25.298952
40,-108.94045
41,-17.960575
42,-16.890854
43,-114.010956
44,-21.961258
45,-12.718867
46,-100.18415
47,-100.88665
48,-103.46732
49,-95.406105
50,-100.62896
51,-99.81628
52,-13.768546
53,-104.60576
54,-22.031858
55,-112.522545
56,-108.37146
57,-120.97931
58,-96.685394
59,-11.447536
60,-21.307545
61,-103.85974
62,-21.456562
63,-101.50872
64,-18.90935
65,-22.391077
66,-96.65058
67,-97.62535
68,-93.970665
69,-8.666288
70,-14.395962
71,-16.25745
72,-102.03898
73,-119.66681
74,-14.555935
75,-110.93929
76,-14.930389
77,-15.235668
78,-94.80629
79,-103.992584
80,-109.84653
81,-21.395609
82,-123.192505
83,-115.554375
84,-14.262998
85,-97.73978
86,-19.137905
87,-98.079384
88,-18.754725
89,-24.508202
90,-100.51999
91,-99.461655
92,-125.36125
93,-98.139206
94,-15.686581
95,-99.66349
96,-16.324688
97,-105.42605
98,-16.950861
99,-15.70673
100,-116.16632
101,-19.320457
102,-98.74437
103,-100.77073
104,-100.57766
105,-19.600082
106,-20.459341
107,-95.6264
108,-10.310837
109,-98.16311
110,-99.81972
111,-121.8425
112,-96.88678
113,-111.752716
114,-17.696568
115,-94.89816
116,-102.22096
117,-20.589159
118,-96.76165
119,-114.065
120,-98.744
121,-109.34265
122,-121.94809
123,-100.71218
124,-96.314415
125,-98.15645
126,-14.014862
127,-11.133244
128,-104.40039
129,-109.840195
130,-16.193571
131,-92.066185
132,-100.24899
133,-105.25879
134,-120.58463
135,-11.079021
136,-117.04062
137,-118.34179
138,-95.39953
139,-101.266495
140,-96.05182
141,-16.065012
142,-102.07795
143,-93.14821
144,-115.30339
145,-99.912315
146,-99.42745
147,-114.728424
148,-98.042046
149,-97.23844
150,-10.470484
151,-16.768337
152,-15.671086
153,-125.89254
154,-89.88626
155,-98.48525
156,-7.0129347
157,-101.74114
158,-21.5243
159,-98.86011
160,-99.321495
161,-100.00848
162,-97.52662
163,-102.270454
164,-97.93903
165,-12.660119
166,-101.65031
167,-15.884725
168,-99.80712
169,-101.6879
170,-95.47152
171,-99.77488
172,-8.675688
173,-14.149584
174,-99.95252
175,-20.829224
176,-100.04721
177,-106.945595
178,-104.78122
179,-103.48992
180,-100.4342
181,-98.441635
182,-108.38797
183,-99.80951
184,-102.19872
185,-98.30173
186,-9.154853
187,-99.347855
188,-95.057526
189,-92.852036
190,-119.55973
191,-97.50854
192,-98.72202
193,-10.415838
194,-13.711538
195,-10.166918
196,-94.57481
197,-102.26045
198,-6.821912
199,-15.291752
200,-22.216476
201,-100.53639
202,-14.567438
203,-102.68798
204,-100.41688
205,-115.991
206,-98.416756
207,-97.33199
208,-94.04981
209,-98.284454
210,-9.247639
211,-9.070092
212,-19.91047
213,-15.552313
214,-101.13721
215,-93.20915
216,-104.526024
217,-99.091225
218,-95.00713
219,-103.515594
220,-98.015236
221,-99.54997
222,-101.09619
223,-14.482514
224,-103.50774
225,-99.53471
226,-99.54408
227,-101.35311
228,-98.441086
229,-116.268585
230,-102.52632
231,-108.69468
232,-99.63829
233,-100.25981
234,-98.37678
235,-103.559204
236,-95.529236
237,-108.02029
238,-98.59085
239,-98.26278
240,-102.5098
241,-101.95054
242,-100.26915
243,-102.62097
244,-18.306147
245,-97.155106
246,-97.617676
247,-100.73714
248,-17.411469
249,-25.46604
250,-98.13388
251,-100.060616
252,-94.36723
253,-95.1856
254,-111.37476
255,-103.84535
256,-100.79786
257,-3.2183545
258,-97.844635
259,-106.74347
260,-101.79049
261,-101.32556
262,-101.65315
263,-100.146286
264,-102.77516
265,-19.265745
266,-99.84291
267,-94.42577
268,-100.74164
269,-98.02363
270,-104.91554
271,-105.15845
272,-21.959484
273,-104.37323
274,-111.69824
275,-105.70407
