,It 0,It 1,It 2,It 3,It 4
0,-124.12953,-98.11155,-23.509247,-112.44331,-132.84738
1,-121.54022,-109.70549,-116.08597,-111.437935,-117.21742
2,-113.10291,-112.213936,-113.26708,-15.083835,-113.796814
3,-110.526,-121.07852,-114.24193,-21.399235,-18.988836
4,-113.4301,-116.35687,-109.294304,-101.03872,-20.236614
5,-113.94928,-15.314949,-102.69135,-102.904564,-110.9848
6,-112.38045,-102.50982,-114.543884,-103.540405,-107.02158
7,-106.21974,-96.79993,-114.14014,-101.93136,-19.80081
8,-137.27301,-104.914085,-12.657688,-100.934494,-119.70187
9,-9.369045,-99.3478,-12.399072,-110.11127,-17.899109
10,-111.98506,-100.70323,-11.315797,-20.551971,-105.457794
11,-21.169804,-108.34716,-105.314354,-21.012196,-104.06324
12,-23.757132,-98.4344,-111.78113,-28.217419,-18.301533
13,-20.646585,-22.331156,-103.07731,-16.625086,-11.085957
14,-110.670425,-17.803543,-99.0009,-103.105675,-24.705173
15,-107.27949,-27.607464,-17.692947,-99.732155,-99.99548
16,-9.135562,-131.89651,-17.412374,-119.03582,-110.87202
17,-15.637178,-23.918304,-14.035746,-15.773429,-101.56605
18,-19.606728,-104.943726,-111.004005,-14.572697,-21.057148
19,-22.94958,-16.558727,-109.42904,-22.52256,-100.12855
20,-105.07839,-107.32715,-111.78333,-16.951094,-9.738087
21,-105.766495,-14.747842,-95.95229,-22.843267,-15.198509
22,-103.68192,-19.627388,-8.023146,-97.480515,-18.304216
23,-22.179531,-96.089905,-102.56891,-11.801222,-98.46848
24,-16.994076,-11.084009,-14.69619,-101.943695,-9.723755
25,-101.059875,-27.281313,-106.52648,-100.75374,-6.836782
26,-13.787204,-20.727516,-93.35329,-9.895462,-18.702297
27,-16.778843,-10.619924,-13.638573,-100.73285,-97.96192
28,-12.807027,-99.86242,-96.407234,-99.43548,-15.704671
29,-117.19171,-16.551893,-12.142205,-10.650216,-98.50545
30,-100.51466,-18.891829,-102.35144,-108.522255,-111.20879
31,-21.55395,-22.151953,-89.52824,-14.531,-99.89643
32,-14.479206,-14.777411,-95.38652,-100.00361,-101.12621
33,-117.19354,-100.424675,-9.715983,-15.375319,-8.683222
34,-102.48627,-95.69154,-97.6175,-101.408676,-100.92927
35,-113.73617,-21.380417,-113.838,-90.91524,-17.977041
36,-100.15617,-96.416466,-18.840433,-93.94001,-17.41281
37,-113.89382,-104.3687,-110.87326,-103.597725,-12.375343
38,-103.040764,-99.8412,-106.85741,-12.126377,-14.701894
39,-11.7275915,-99.173935,-113.75577,-14.741164,-103.1153
40,-20.120708,-12.722221,-20.743753,-100.53414,-16.892273
41,-112.21193,-102.63288,-15.14396,-112.27012,-16.135752
42,-14.529022,-14.265579,-17.630568,-95.05226,-15.640456
43,-113.08562,-99.44477,-19.358028,-6.1526737,-102.68233
44,-102.090515,-99.82616,-12.107275,-98.00104,-13.639275
45,-105.305756,-99.86514,-98.678406,-99.14815,-15.029962
46,-108.97781,-21.485165,-10.597244,-15.303644,-15.173541
47,-12.809287,-18.296762,-15.013061,-11.940971,-14.417546
48,-20.076185,-99.48618,-21.84148,-107.68141,-5.8153048
49,-105.92372,-9.568877,-114.39937,-8.288341,-105.22767
50,-103.792915,-100.018616,-16.841768,-6.6837907,-11.378733
51,-98.93786,-104.76604,-16.737146,-111.33268,-8.637279
52,-11.180693,-13.739665,-13.186247,-14.271869,-96.80451
