,It 0,It 1,It 2,It 3,It 4
0,-119.548515,-20.387472,-27.952688,-105.10504,-111.57909
1,-23.105453,-115.77064,-22.910269,-108.82884,-105.74365
2,-118.68959,-103.12491,-27.87016,-19.132698,-108.35338
3,-17.788572,-18.701166,-115.43326,-14.5055895,-118.914154
4,-19.953573,-108.31831,-114.35947,-116.98776,-111.94432
5,-115.325455,-112.69355,-115.54734,-115.316925,-137.78177
6,-125.1622,-122.494576,-130.69005,-117.20171,-114.51941
7,-112.17309,-122.433815,-118.6996,-113.331924,-116.19709
8,-116.44028,-112.88238,-120.64371,-119.22322,-113.91771
9,-121.29252,-116.61721,-121.65556,-114.293396,-123.840744
10,-118.150024,-120.80052,-111.12655,-113.32201,-108.93839
11,-114.62309,-115.879585,-117.17846,-114.004776,-111.62596
12,-119.70658,-118.52422,-113.5897,-115.89318,-113.78378
13,-112.13842,-123.040924,-114.64345,-107.04185,-112.95171
14,-118.87507,-118.24806,-111.55068,-115.23541,-31.857056
15,-118.944725,-114.87091,-113.436226,-113.56162,-113.89864
16,-114.065445,-124.55628,-114.4002,-114.51388,-20.086056
17,-113.54639,-106.61328,-105.98966,-116.217804,-21.976149
18,-107.45416,-105.6341,-112.77671,-118.18962,-17.264084
19,-111.82014,-105.92436,-22.850214,-121.71417,-16.637075
20,-114.381165,-111.8418,-103.81873,-121.80877,-107.55915
21,-114.458115,-113.29199,-105.98005,-27.103542,-100.24024
22,-112.89622,-112.116585,-114.26517,-20.418697,-105.96856
23,-114.77972,-114.17512,-14.610745,-18.001043,-101.615944
24,-112.82034,-110.6898,-106.42333,-18.945095,-100.03683
25,-109.90506,-112.37971,-107.09178,-18.755318,-22.30688
26,-115.571144,-104.23916,-114.08026,-19.205801,-20.588545
27,-109.30191,-110.12222,-21.179464,-13.259607,-20.411608
28,-118.00934,-110.58123,-107.797325,-12.178269,-18.579802
29,-104.35246,-111.36377,-100.74119,-104.063644,-16.277615
30,-115.17358,-102.82168,-19.246172,-15.389384,-19.558735
31,-116.25712,-17.312098,-13.262625,-12.577818,-15.869672
32,-17.839424,-25.11893,-18.60523,-16.400278,-112.68892
33,-11.328528,-21.912796,-103.66028,-14.066444,-111.122086
34,-103.44192,-14.742856,-21.364365,-14.9182005,-112.208176
35,-104.796,-16.045694,-14.410994,-19.266775,-104.267105
36,-114.80419,-103.67288,-18.732086,-13.99698,-100.38999
37,-8.855855,-20.477364,-19.097664,-16.960663,-119.22528
38,-115.468025,-15.339094,-102.8456,-15.431813,-18.109253
39,-105.05848,-106.97113,-15.305971,-105.30653,-113.255135
40,-113.33217,-16.26783,-124.14975,-9.9503,-11.777274
41,-110.53118,-105.798935,-12.793689,-14.102553,-102.527725
42,-15.6096325,-105.85951,-22.838696,-11.483006,-101.96256
43,-119.09193,-111.333405,-24.767326,-103.79952,-5.940147
44,-26.642635,-127.11362,-29.664232,-10.87722,-100.75217
45,-118.12228,-9.317092,-101.35634,-103.13339,-113.05309
46,-20.607504,-116.25301,-19.89761,-4.5413013,-11.92553
47,-104.00931,-113.17716,-132.2348,-11.1293125,-103.31962
48,-25.423735,-107.086395,-22.061321,-8.607575,-99.19793
49,-26.3147,-99.04744,-15.347319,-8.684133,-100.02497
50,-116.5598,-13.589399,-17.105143,-11.536888,-123.1118
51,-109.173775,-100.08658,-17.37932,-15.670675,-16.923492
52,-114.730034,-107.22172,-20.372972,-9.649324,-12.64072
53,-11.880979,-107.67157,-17.116919,-10.058932,-12.605617
54,-118.66613,-107.736,-17.504328,-7.796722,-108.773384
55,-16.448586,-99.67604,-100.507866,-96.97957,-13.023163
56,-10.477198,-9.437953,-124.52391,-97.67502,-14.498021
57,-107.12908,-107.43962,-107.38881,-96.991615,-96.762344
