,It 0,It 1,It 2,It 3,It 4
0,-107.946526,-98.75672,-101.207375,-100.51643,-25.860376
1,-18.93865,-23.940706,-28.637053,-20.526445,-22.767563
2,-110.150955,-99.56311,-22.321388,-21.799,-108.93874
3,-125.900536,-19.214912,-118.35652,-20.483416,-103.81068
4,-18.693584,-106.01531,-118.039185,-24.940258,-106.47197
5,-117.09937,-23.38554,-112.80377,-106.05832,-115.89265
6,-114.79652,-121.44289,-116.16197,-104.6145,-111.839355
7,-19.654333,-118.437225,-117.34542,-113.46146,-117.340515
8,-19.242846,-111.3066,-116.048645,-118.71418,-119.80271
9,-103.80927,-112.900665,-112.96344,-115.73283,-113.879555
10,-102.16374,-111.619934,-112.01979,-114.28198,-120.31933
11,-27.427948,-114.08662,-114.99904,-111.7557,-116.53403
12,-102.48784,-114.71736,-18.22877,-124.58712,-114.07233
13,-110.822044,-33.84493,-18.261564,-116.16617,-113.95121
14,-102.84727,-36.38336,-15.83709,-106.98262,-115.468285
15,-106.00503,-120.694786,-10.746828,-107.28506,-120.08931
16,-102.0272,-140.10577,-20.427557,-116.7088,-114.41478
17,-102.04134,-33.867073,-21.323195,-112.90903,-21.61004
18,-103.32032,-36.471516,-101.040115,-106.16713,-25.347761
19,-101.93716,-36.319218,-22.095196,-113.69062,-20.551567
20,-100.12665,-32.13866,-107.81729,-114.21308,-113.82385
21,-114.12489,-24.750805,-22.156322,-110.80922,-111.29771
22,-101.68631,-18.670864,-16.745787,-103.5401,-112.68094
23,-121.046165,-21.304703,-100.46784,-111.80081,-102.16758
24,-99.95139,-18.98995,-99.76714,-117.937515,-11.866056
25,-14.933736,-27.824574,-101.20148,-111.961075,-99.69474
26,-13.321189,-16.6917,-104.94598,-104.32345,-18.24282
27,-100.043655,-10.662382,-18.688755,-13.757093,-10.6392765
28,-99.55799,-112.61566,-19.20247,-98.821655,-117.57842
29,-104.46561,-104.27736,-15.799819,-111.33611,-7.052616
30,-112.93984,-12.729498,-17.10237,-113.72583,-117.10281
31,-8.517426,-28.081673,-11.570691,-106.23283,-15.951947
32,-114.310936,-105.66219,-109.81574,-102.834045,-107.18302
33,-16.814632,-103.663055,-16.075197,-116.2108,-14.599806
34,-16.077368,-10.197847,-13.55743,-23.294733,-108.88414
35,-7.737768,-15.446127,-20.328133,-103.11177,-103.333954
36,-115.18358,-102.0451,-20.029865,-101.34412,-100.936195
37,-7.177411,-102.173,-119.13215,-110.80331,-16.524256
38,-101.54954,-14.316074,-99.504135,-25.712091,-101.07485
39,-11.014129,-100.64177,-15.723367,-101.94385,-100.88402
40,-103.1181,-101.38056,-107.92,-117.5924,-10.691849
41,-112.184845,-102.20623,-21.45039,-103.278336,-10.224495
42,-105.49253,-99.330185,-24.221237,-24.108109,-14.378788
43,-17.632347,-98.55838,-15.501696,-130.68596,-17.767096
44,-105.26896,-11.52284,-10.27141,-16.182522,-102.16981
45,-10.895963,-98.42332,-16.802004,-12.0256405,-101.680145
46,-11.416464,-102.405205,-103.26608,-11.227303,-14.764426
47,-12.784492,-98.24768,-119.87481,-13.476295,-15.264104
48,-7.6127467,-121.39292,-9.915726,-102.3642,-111.28323
49,-102.63336,-100.08569,-10.824686,-120.173874,-115.26411
50,-11.0417795,-100.0826,-8.165834,-98.67574,-101.216225
51,-97.08368,-101.832565,-11.317046,-14.664717,-12.240418
52,-103.66673,-101.37765,-9.752904,-14.279003,-14.80686
53,-102.70773,-30.140606,-13.83612,-14.555369,-13.440895
54,-8.295021,-100.06345,-13.5939455,-16.509903,-101.850044
55,-11.529239,-124.10989,-7.9270854,-98.6057,-105.91876
56,-13.442011,-112.154144,-97.42694,-110.11237,-97.417816
57,-4.864846,-102.87957,-10.362534,-12.583017,-97.92975
58,-8.504967,-11.763824,-90.317604,-13.694668,-7.5885997
59,-6.24261,-107.915565,-6.2566066,-13.796005,-101.532135
60,-98.59799,-10.103657,-6.333113,-98.86567,-118.19101
61,-4.226696,-12.683949,-7.8150983,-103.18905,-11.011972
62,-10.090537,-120.59502,-9.715509,-10.837475,-10.535576
63,-121.24394,-99.466255,-10.111147,-94.324295,-116.1843
64,-114.7616,-97.29679,-11.629464,-117.523674,-8.155828
65,-17.683584,-91.65558,-10.667857,-8.551173,-100.64786
66,-8.255663,-13.631133,-8.545028,-11.641911,-100.06888
67,-23.626877,-27.318768,-92.82267,-13.024164,-109.4025
68,-3.187691,-28.750645,-94.51492,-11.627858,-105.459755
69,-26.964296,-25.952734,-94.17891,-100.92629,-99.09986
70,-113.19533,-97.80586,-98.103195,-97.322876,-100.22344
71,-118.653465,-25.392143,-95.48018,-102.48292,-9.742543
72,-103.378044,-100.53547,-6.227794,-98.96688,-96.33687
73,-104.735535,-14.082727,-112.59148,-7.880024,-96.11507
74,-15.594454,-100.95477,-4.496895,-12.159361,-111.23597
75,-7.5667324,-11.297006,-97.67974,-9.973415,-101.05259
76,-98.47422,-119.15056,-5.628823,-11.275714,-98.627266
77,-109.03696,-96.075806,-5.8971663,-12.135729,-96.35222
78,-98.96516,-100.01561,-7.6709757,-11.775812,-102.30599
79,-100.37873,-8.759478,-4.3522797,-105.282394,-99.62773
80,-19.521578,-100.06444,-9.840229,-18.667183,-105.036674
81,-105.04829,-115.586975,-10.463596,-9.844438,-5.0703297
82,-124.17855,-123.11201,-6.909508,-101.40719,-5.705413
83,-117.662445,-9.352548,-7.22361,-99.79806,-102.083755
84,-10.273694,-96.22382,-9.536568,-101.60051,-109.02862
85,-100.96419,-5.1028357,-8.796829,-93.52373,-17.145838
