,It 0,It 1,It 2,It 3,It 4
0,-115.45315,-114.38196,-25.317461,-23.071932,-18.292322
1,-120.95923,-115.07713,-126.47638,-19.804281,-113.74575
2,-115.78874,-110.62603,-111.99391,-24.24092,-112.67694
3,-113.50094,-121.722755,-112.789375,-123.34022,-115.40371
4,-100.5804,-116.14578,-118.08258,-19.96914,-113.17694
5,-107.32777,-122.88521,-112.77447,-23.178253,-21.163904
6,-24.214577,-119.444626,-115.01632,-21.188526,-101.32548
7,-20.201342,-120.47859,-27.904732,-11.523648,-101.2036
8,-108.32145,-127.21708,-119.49226,-104.621216,-104.382065
9,-15.19583,-119.85711,-28.368935,-104.68443,-120.54879
10,-17.419851,-107.28323,-129.71599,-25.703184,-102.917564
11,-100.04427,-111.76345,-27.730934,-99.301094,-23.999586
12,-103.765465,-111.646194,-109.97392,-99.78444,-23.255419
13,-101.45655,-111.10836,-17.489916,-22.818388,-22.085716
14,-101.09163,-110.11996,-103.97085,-106.54428,-106.247215
15,-15.820149,-122.53611,-104.13532,-24.28882,-111.940895
16,-20.033968,-112.01385,-105.90751,-29.247099,-105.11704
17,-14.523554,-99.75024,-15.651464,-103.44425,-112.2831
18,-11.857359,-112.38952,-20.640223,-27.04745,-104.42746
19,-21.452831,-106.75018,-103.305725,-105.28697,-97.201225
20,-103.15293,-110.95325,-111.7972,-108.3566,-102.07989
21,-112.36522,-118.87363,-19.383844,-109.939186,-98.44252
22,-107.19038,-107.30769,-111.8111,-111.08237,-105.219666
23,-111.67319,-101.0686,-22.592245,-102.58465,-110.76555
24,-116.95912,-113.96728,-100.96166,-111.263275,-109.82162
25,-109.34428,-27.095604,-111.86048,-27.047373,-143.24911
26,-104.26654,-111.694374,-109.9301,-106.56586,-104.997314
27,-102.796776,-109.83809,-99.28536,-100.33987,-27.352615
28,-116.19871,-101.73049,-106.32597,-101.96487,-17.918865
29,-119.69168,-124.75498,-24.351864,-102.7557,-103.04828
30,-16.921667,-119.06102,-25.706738,-100.695885,-124.340576
31,-101.74689,-110.735985,-126.40138,-112.98425,-119.69675
32,-22.963257,-108.59071,-19.268656,-97.570816,-100.27662
33,-17.264868,-112.31101,-108.46991,-105.86538,-111.93105
