,It 0,It 1,It 2,It 3,It 4
0,-23.674185,-106.072556,-113.56775,-102.767624,-30.182592
1,-30.585052,-111.80354,-103.4458,-23.713764,-30.951443
2,-109.3848,-112.886696,-110.60317,-100.91352,-25.406235
3,-109.86267,-118.37666,-22.403706,-122.69106,-28.764269
4,-114.72073,-109.85756,-24.877539,-110.70666,-109.79283
5,-122.27712,-109.85159,-20.747158,-106.8971,-116.00706
6,-111.57195,-115.16373,-118.52302,-116.78998,-27.87769
7,-116.74561,-111.84646,-115.994316,-117.4942,-107.83516
8,-110.38217,-23.197445,-117.83821,-111.46448,-117.27713
9,-109.71356,-36.85136,-114.19974,-110.752205,-111.59826
10,-117.02965,-112.744354,-117.06325,-112.527954,-117.82352
11,-115.14418,-107.05175,-115.81937,-109.001076,-111.188995
12,-115.9918,-26.20743,-116.93946,-109.495316,-116.312584
13,-123.09503,-107.78101,-117.00128,-115.267105,-126.82622
14,-116.13635,-116.86035,-111.26416,-116.16537,-113.81641
15,-111.494446,-107.444115,-116.18411,-28.971756,-113.393036
16,-110.30607,-19.206161,-25.278067,-114.76329,-112.07328
17,-111.82598,-115.86407,-23.326775,-118.61611,-110.2727
18,-105.89738,-20.23806,-23.625826,-117.33066,-116.49219
19,-107.02725,-17.622084,-115.56367,-26.548502,-20.478683
20,-108.75783,-26.564621,-116.50492,-13.660994,-110.20884
21,-114.91253,-104.717606,-110.21341,-113.560036,-108.96366
22,-113.95204,-117.84531,-21.305529,-111.35423,-21.226656
23,-108.32422,-112.02472,-109.2017,-25.12009,-24.007557
24,-115.004654,-104.96216,-111.79651,-111.05859,-111.07215
25,-33.7565,-26.572538,-12.244821,-18.8344,-106.75211
26,-19.737507,-18.155476,-116.53054,-109.68882,-26.726
27,-18.79815,-26.282358,-21.582819,-109.38543,-103.77909
28,-106.09554,-109.75433,-105.51327,-105.104576,-30.082611
29,-110.93477,-17.950493,-112.43647,-27.324554,-103.803764
30,-35.22578,-97.08812,-107.75875,-112.197945,-9.579613
31,-37.620853,-112.88832,-114.22931,-103.894424,-17.439047
32,-30.3904,-23.211077,-11.261963,-23.14908,-26.383146
33,-106.969925,-24.792118,-109.928795,-108.979385,-34.63531
34,-103.99889,-20.570425,-16.717134,-106.68298,-22.339548
35,-117.39261,-100.62196,-113.3836,-108.738144,-17.889284
36,-35.466442,-9.103957,-109.12428,-107.56512,-114.51626
37,-106.5953,-23.211931,-118.289696,-105.4716,-110.33709
38,-112.924164,-101.23566,-104.763794,-104.713585,-106.4286
39,-104.360855,-19.716642,-106.36085,-17.125175,-111.53179
40,-30.944252,-109.92973,-113.46652,-114.126434,-19.95864
41,-29.575474,-17.720686,-23.863293,-106.610344,-100.07062
42,-101.59635,-19.83892,-98.025536,-21.014793,-121.81915
43,-109.70917,-21.313295,-112.97859,-115.45213,-30.906372
44,-99.33452,-14.783839,-20.751696,-108.04692,-114.611885
45,-102.7716,-103.047325,-105.88294,-106.345215,-108.72514
46,-104.85663,-22.410183,-16.162088,-18.198336,-18.41451
47,-103.82798,-18.94277,-101.46941,-20.05786,-109.24133
48,-108.87336,-110.08801,-10.597857,-24.800753,-110.41379
49,-26.539349,-111.33583,-102.82829,-106.48758,-108.471886
50,-24.91616,-114.94926,-111.93912,-102.42014,-99.88486
51,-99.01911,-17.869438,-104.83459,-106.25996,-26.986221
52,-106.8307,-15.830081,-24.092985,-25.75428,-33.185707
53,-103.02076,-102.723816,-107.38607,-119.726974,-104.386406
54,-99.384254,-112.14746,-22.599907,-111.1814,-28.548084
55,-101.828445,-100.96775,-107.72197,-98.72232,-103.45731
56,-103.37851,-21.881311,-98.89026,-17.152153,-101.57442
57,-87.96432,-16.270939,-109.33111,-115.27545,-22.859596
58,-100.59086,-17.8719,-18.23315,-24.097122,-111.34467
59,-100.52482,-20.252562,-106.70398,-108.9459,-30.042475
60,-25.896336,-98.83282,-23.048513,-29.517908,-110.18516
61,-19.983511,-101.70143,-23.09043,-111.03828,-119.8598
62,-23.839926,-16.496407,-19.406406,-104.705956,-27.75057
63,-99.81031,-103.82503,-20.873434,-101.07321,-106.32143
64,-25.622156,-103.77406,-14.595993,-23.899374,-32.51508
65,-20.813374,-96.81206,-108.95729,-20.830915,-108.77555
66,-96.68618,-16.897476,-107.78339,-100.089836,-105.15829
67,-15.647462,-21.710146,-27.0537,-20.97785,-106.43248
68,-112.03971,-101.90677,-10.40093,-19.296152,-100.96082
69,-24.405151,-99.63102,-104.220406,-23.562479,-112.08789
70,-115.79944,-106.42481,-108.60627,-24.711546,-110.02062
71,-19.717712,-102.616135,-20.339138,-19.329947,-23.25243
72,-21.179207,-104.226295,-19.029058,-110.78495,-102.3631
73,-28.798449,-102.424515,-17.198475,-22.476498,-108.27711
74,-110.522446,-98.75803,-100.19424,-25.176722,-100.16172
75,-102.65096,-20.63901,-122.27711,-23.565622,-25.05872
76,-104.959946,-113.19706,-21.652885,-21.858212,-20.006393
77,-24.860811,-106.932724,-20.028412,-30.905077,-40.665726
78,-21.42708,-96.80156,-114.42809,-111.74213,-100.27556
79,-7.884886,-101.00055,-23.341028,-102.512634,-99.603096
80,-109.586876,-106.3034,-26.68117,-106.67388,-105.987175
81,-97.89429,-100.186264,-109.1682,-102.16062,-105.53716
82,-20.24435,-111.988655,-21.195213,-20.164347,-31.835997
83,-109.88715,-19.032358,-15.843067,-101.49882,-29.12923
84,-19.725475,-22.11373,-113.73328,-98.96288,-107.372345
85,-96.67199,-25.467415,-105.286835,-118.92949,-115.49272
86,-105.05039,-99.962944,-17.660662,-130.19391,-100.15422
87,-101.13458,-104.6076,-21.825314,-97.1075,-15.63654
88,-103.25736,-113.09669,-19.607002,-100.928314,-103.88996
89,-101.69295,-109.98861,-21.257975,-98.95029,-105.97104
90,-106.52076,-97.861984,-20.756435,-21.686869,-130.66772
91,-21.972721,-101.5872,-22.092007,-102.895676,-18.087048
92,-114.28119,-22.02447,-96.85843,-15.6949,-98.91457
93,-15.972083,-101.74848,-99.42852,-21.611494,-112.015335
94,-13.586908,-24.806923,-18.66483,-24.501778,-98.51039
95,-108.99974,-104.62201,-103.2374,-112.314156,-12.359831
96,-21.905195,-20.321972,-103.71475,-24.97318,-15.662998
97,-99.55991,-97.41892,-15.428057,-24.54941,-109.772446
98,-16.692818,-98.494316,-17.411251,-10.783176,-114.897575
99,-10.416864,-105.01962,-102.78271,-13.885804,-102.35164
100,-98.9424,-98.45357,-15.096999,-113.12217,-25.221657
101,-14.908859,-17.376513,-25.087038,-26.609291,-30.448685
102,-107.70996,-19.57582,-21.262075,-98.26865,-100.1534
103,-7.383706,-7.634806,-99.05106,-16.546196,-100.57256
104,-4.152678,-113.73199,-100.722664,-15.566783,-21.145758
105,-121.88579,-100.53808,-10.482313,-16.086485,-9.548721
106,-21.287178,-101.316055,-16.098978,-15.786571,-113.82762
107,-101.79559,-17.257006,-117.77724,-21.500713,-23.226662
108,-98.940285,-101.69593,-108.888916,-20.623598,-98.671646
109,-103.98512,-24.421528,-102.44653,-26.262688,-16.55455
110,-99.91084,-100.66564,-105.58822,-98.255325,-21.704205
111,-111.10099,-103.672104,-118.09232,-21.343235,-106.22742
112,-105.18657,-11.07804,-95.48049,-28.098074,-19.03006
113,-118.52496,-16.657028,-19.363852,-23.95414,-16.355783
114,-103.8947,-98.604355,-21.81514,-98.96429,-101.893364
115,-98.68962,-102.24972,-109.224266,-98.564575,-104.47534
116,-99.086784,-101.44768,-106.46873,-18.038446,-22.125927
117,-124.680115,-15.846609,-17.365864,-18.622274,-17.037682
118,-103.66456,-15.84255,-16.371624,-21.113863,-99.60327
119,-100.63418,-109.82771,-23.944582,-96.80087,-112.51876
120,-103.60754,-18.283895,-20.949587,-17.632221,-98.99856
121,-114.81687,-19.75282,-116.35888,-11.9164915,-94.93458
122,-97.54233,-12.760342,-23.720491,-97.38994,-99.87632
123,-101.8401,-7.0840235,-102.60754,-20.642477,-101.09056
124,-103.72739,-16.566587,-96.54245,-10.961756,-111.904724
125,-101.54153,-110.40222,-19.135323,-101.79457,-108.41194
126,-116.80811,-102.67041,-19.844646,-22.975336,-13.302145
127,-124.29531,-16.834385,-98.315125,-14.995446,-12.069425
128,-118.19844,-112.727844,-98.62739,-16.51504,-104.522484
129,-93.56946,-13.465943,-14.217689,-13.016192,-34.659702
130,-6.847683,-6.711813,-14.968505,-15.870236,-27.745766
131,-105.433846,-103.72598,-18.630564,-12.024378,-106.95712
132,-105.29381,-106.76274,-105.44853,-104.690414,-15.854287
133,-107.29129,-12.553142,-19.479092,-14.935376,-18.76967
134,-104.661064,-15.65229,-97.25901,-20.10784,-20.752766
135,-102.63119,-16.957428,-19.712572,-91.11969,-99.6233
136,-105.209404,-13.6627445,-23.685867,-10.27516,-18.789806
137,-101.65792,-18.729256,-102.282455,-16.28431,-104.507355
138,-94.881065,-9.841739,-18.40778,-9.937242,-26.679285
139,-101.33123,-107.135506,-101.00338,-14.563691,-104.21904
140,-99.12223,-8.681117,-23.13753,-20.978092,-102.51531
141,-98.64657,-108.670944,-16.046646,-15.329114,-18.545218
142,-109.776405,-11.271849,-101.23969,-25.724857,-15.558616
143,-122.2126,-111.371414,-18.705599,-15.53373,-26.909628
144,-101.61529,-8.932453,-102.60055,-10.4425745,-102.66149
145,-106.88425,-108.51461,-24.575502,-7.761606,-96.99835
146,-114.348625,-109.92285,-111.91062,-10.409319,-112.64355
147,-101.10641,-115.20334,-100.54144,-113.22022,-102.93103
148,-98.2972,-120.092674,-99.72004,-9.671158,-97.71753
149,-100.27905,-12.260882,-103.08603,-8.614101,-101.69813
150,-99.23359,-115.071884,-18.997414,-17.587093,-98.884834
151,-98.633675,-8.118188,-15.011188,-7.04371,-101.12254
152,-98.0633,-26.300308,-103.89717,-12.311283,-95.606514
153,-100.01105,-106.136635,-125.33816,-9.457069,-22.963926
154,-10.626921,-104.346466,-13.451017,-14.814767,-22.161388
155,-97.91339,-99.739655,-96.66769,-17.31079,-14.784638
156,-104.54948,-115.17683,-114.574615,-7.1771965,-19.731823
157,-104.03296,-98.97363,-23.71953,-7.750717,-93.246895
158,-108.54518,-12.107353,-19.055958,-15.814858,-16.466024
159,-96.45328,-103.7505,-15.701897,-19.930624,-13.741195
160,-99.69504,-108.62057,-100.730644,-11.266666,-3.5612793
161,-98.17255,-104.45592,-17.507734,-10.216089,-100.35917
162,-100.29498,-21.893688,-101.505974,-13.432815,-99.237595
163,-94.20866,-98.649536,-100.86424,-15.131775,-23.593267
164,-103.22946,-109.42477,-18.178894,-12.20043,-8.016919
165,-112.37352,-109.16275,-20.371132,-18.600733,-98.216484
166,-104.71573,-9.055468,-23.88621,-14.145807,-17.619501
167,-105.52272,-7.188095,-101.06002,-10.817353,-7.5377984
168,-104.28351,-97.17237,-23.260368,-15.470397,-100.67444
169,-102.154175,-102.52297,-16.763985,-18.821188,-92.30965
170,-116.01544,-101.99963,-100.69904,-98.9052,-99.19286
171,-99.28234,-99.3477,-12.694264,-11.694562,-100.49614
172,-110.3359,-15.087969,-19.786825,-14.98627,-100.06755
173,-101.4912,-105.20798,-103.951485,-16.48999,-103.46527
174,-99.341515,-21.482758,-108.84255,-102.80896,-12.565806
175,-103.238,-4.0220633,-105.961395,-106.202225,-102.62802
176,-101.891426,-6.282288,-107.29465,-9.53701,-97.007904
177,-104.577614,-102.982864,-104.04534,-5.4865484,-101.58112
178,-99.482666,-91.82199,-15.347155,-15.942782,-33.582962
179,-95.25105,-101.11237,-16.778286,-24.094677,-95.987495
180,-100.438675,-14.038539,-108.605576,-14.574775,-17.365429
181,-114.67185,-101.818985,-14.983747,-16.56548,-94.1604
182,-23.985435,-16.299208,-119.25625,-9.976537,-4.727257
183,-115.01388,-7.17848,-95.79372,-119.43672,-5.785591
184,-94.50921,-12.22351,-16.383106,-9.923557,-100.52971
185,-97.750824,-104.70424,-104.57529,-103.302216,-91.58134
186,-116.77368,-103.86445,-15.004716,-116.77592,-100.13743
187,-101.162155,-93.03011,-104.8152,-106.75786,-6.934009
188,-99.79213,-105.621544,-3.9294245,-109.48242,-108.3621
189,-100.01455,-15.088457,-109.46393,-19.483566,-107.34962
190,-88.31891,-19.922806,-19.924433,-105.610916,-121.447624
191,-113.36563,-107.80403,-102.46813,-22.442701,-20.758097
192,-94.85832,-96.39568,-97.919395,-13.830444,-21.194162
193,-98.70689,-102.049805,-102.35483,-2.1203794,-102.30459
194,-108.64405,-102.16383,-19.942617,-12.999334,-3.2783117
195,-117.681,-94.07885,-102.50814,-100.62707,-100.08664
196,-91.12121,-7.6080723,-121.33391,-110.94333,-14.752433
197,-99.55602,-13.105556,-13.108102,-101.20453,-98.68862
198,-102.85414,-15.407162,-5.414343,-103.68748,-98.21496
199,-95.72238,-14.918849,-97.17017,-101.30767,-13.058154
200,-116.67298,-100.205795,-101.06554,-16.653852,-14.777095
201,-115.65984,-14.349115,-101.96588,-99.17845,-10.989731
202,-94.62126,-98.52292,-27.368988,-90.45468,-14.333789
203,-113.46378,1.048511,-21.556038,-5.6509967,-95.799644
204,-102.82967,-110.67744,-19.912157,-101.862946,-19.914038
205,-97.85224,-9.516887,-99.62397,-9.503485,-97.041756
206,-106.29593,-11.138013,-105.37828,-12.25155,-13.511644
207,-124.80695,-100.02553,-95.6234,-7.8394237,-99.69196
208,-94.39694,-100.3255,-22.409,-15.033522,-98.921265
209,-101.96766,-99.60294,-12.183699,-17.554106,-99.47644
210,-100.3169,-101.99644,-15.5069895,-100.06518,-88.03943
211,-99.0257,-105.34051,-20.658445,-11.600467,-16.376657
212,-123.174515,-100.05231,-27.261217,-9.64476,-98.3756
213,-120.30449,-102.54033,-100.67443,-12.388554,-101.18849
214,-98.86644,-100.17664,-10.268462,-10.9254,-17.86416
215,-100.14034,-98.589775,-99.64383,-2.821478,-30.891531
216,-113.78302,-15.887538,-1.2629467,-94.67016,-17.954636
217,-95.52605,-16.713432,-96.70294,-113.856064,-19.7477
218,-124.29039,-104.28297,-105.40315,-95.13725,-18.951794
219,-120.32864,-8.723069,-104.841774,-101.68528,-19.033655
220,-117.12802,-101.747284,-14.370676,-6.5680346,-13.584292
221,-98.30357,-100.57425,-102.85632,-103.21661,-15.792953
222,-92.82825,-106.312965,-101.72318,-22.836975,-15.022959
223,-109.22422,-113.53213,-25.725231,-107.60559,-100.495605
224,-119.62183,-16.72806,-16.06091,-95.72061,-100.55742
225,-36.999153,-100.49963,-100.23828,-95.54844,-102.29102
226,-101.23276,-98.23329,-9.54517,-94.50842,-12.639693
227,-102.27191,-104.58009,-12.247946,-116.493286,-108.21623
228,-99.81638,-100.60633,-16.741295,-113.02152,-16.661377
229,-118.36797,-104.175026,-13.256982,-18.16596,-11.075874
230,-22.93522,-105.19337,-10.483648,-12.286225,-100.99525
231,-121.10338,-107.91312,-102.02381,-112.11709,-16.451096
232,-117.575,-16.262007,-100.684296,-99.5443,-100.92573
233,-98.64357,-18.698551,-22.324303,-99.69486,-102.03521
234,-26.127693,-103.977005,-98.244446,-18.56784,-18.69658
235,-20.188412,-101.90856,-108.79968,-14.44541,-18.369843
236,-115.45735,-100.02625,-93.91563,-101.933754,-17.002302
237,-109.856514,-100.402054,-97.74218,-115.77801,-21.949594
238,-112.433945,-107.61673,-99.17093,-102.87208,-105.687996
239,-105.39865,-104.430016,-14.152024,-97.61307,-21.139923
240,-121.54744,-114.98486,-11.235289,-12.550653,-102.120224
241,-123.14741,-18.987864,-97.22729,-7.7791486,-13.782898
242,-98.440025,-16.439817,-99.53092,-9.779855,-17.21533
243,-127.49113,-103.18499,-92.76468,-113.7025,-19.21596
244,-101.49263,-103.47858,-15.077581,-93.70644,-101.93272
245,-105.04416,-104.524796,-20.11912,-94.0608,-8.620155
246,-29.64487,-103.69406,-106.99356,-97.23882,-101.52034
247,-117.930016,-101.68173,-100.26964,-7.680776,-99.21744
248,-21.900852,-99.03636,-10.658811,-102.03332,-95.70736
249,-96.39434,-105.05645,-13.253376,-109.77248,-91.98185
250,-27.4054,-105.57589,-13.69297,-97.03126,-102.194466
251,-100.39455,-107.98813,-14.701216,-98.042725,-7.205622
252,-100.023605,-105.74375,-105.29524,-94.52545,-18.985344
253,-98.63759,-102.798004,-12.996695,-107.10083,-99.46708
254,-28.168081,-17.973738,-11.705671,-109.928,-8.274344
255,-35.45001,-17.051325,-5.245313,-117.60476,-9.823621
256,-28.76385,-16.331448,-11.19008,-94.92085,-100.931335
257,-25.736723,-107.16221,-12.0608425,-96.517235,-8.397022
258,-28.110134,-104.37464,-99.19335,-96.09073,-10.7911
259,-31.416317,-103.175896,-102.300545,-98.94506,-14.426104
260,-128.1731,-106.65841,-99.95873,-97.47555,-4.1630726
261,-100.14799,-105.15671,-14.465599,-101.499626,-7.3702
262,-99.28277,-103.20776,-14.548075,-11.254343,-96.65367
263,-25.011581,-107.25103,-105.76065,-10.132323,-9.586912
264,-32.012386,-107.63648,-100.64117,-126.024826,-11.089184
265,-98.85181,-106.79076,-22.44763,-95.733055,-113.4197
266,-101.725815,-108.56446,-22.26037,-97.5558,-112.668625
267,-32.349613,-105.405556,-105.52279,-93.26069,-10.368972
268,-34.750378,-105.57004,-111.90712,-97.30299,-118.66173
269,-100.26836,-14.0032835,-20.235563,-95.74683,-9.413531
270,-32.370106,-105.911285,-103.232124,-100.63371,-10.119351
271,-101.51572,-18.603897,-9.889034,-96.774155,-9.445882
272,-97.81253,-13.233109,-12.724851,-115.442986,-100.60712
273,-17.055391,-106.262985,-113.211464,-97.41185,-122.23435
274,-101.55256,-106.33413,-14.016322,-92.32267,-10.34506
275,-26.705273,-105.46696,-100.81383,-95.7722,-4.8836145
276,-21.834332,-105.27611,-106.68206,-94.56224,-25.60355
277,-22.81454,-106.78983,-98.095116,-93.78933,-94.25432
278,-19.016815,-105.505516,-12.226606,-97.49384,-8.230596
279,-24.089457,-104.96248,-11.8764,-92.48652,-93.74836
280,-102.71717,-105.31232,-8.431431,-93.1113,-6.8656583
281,-25.663584,-105.63611,-100.96338,-121.29004,-34.07407
282,-12.95778,-109.19443,-104.78552,-99.82698,-5.1161613
283,-13.217903,-108.53514,-132.29825,-96.84273,-6.7123523
284,-118.631836,-103.53962,-13.092806,-95.52482,-9.048529
285,-103.38752,-104.816216,-9.669096,-94.86644,-10.702641
286,-101.34589,-108.65304,-99.45632,-95.57213,-9.132568
287,-127.76039,-111.32738,-24.34555,-92.61338,-5.3310533
288,-99.0517,-111.421974,-109.8195,-93.969635,-4.8245506
289,-104.805984,-107.09703,-10.209018,-96.40472,-93.08563
290,-98.4224,-109.835785,-109.84851,-95.286514,-12.073746
291,-103.40862,-108.64548,-108.60982,-91.84218,-123.800934
292,-19.669735,-109.60202,-106.332954,-95.19902,-122.528564
293,-17.563437,-106.01599,-109.95569,-92.94843,-112.543106
294,-101.60403,-106.94166,-26.70172,-10.360321,-18.603907
295,-103.680145,-109.175354,-108.32931,-103.37405,-115.76149
296,-25.97799,-107.08699,-107.90925,-95.29419,-122.43312
297,-93.88135,-108.823524,-106.866104,-88.887146,-19.865122
298,-99.27689,-106.95291,-107.819496,-91.16971,-23.18167
299,-93.02669,-106.85678,-107.269394,-93.01064,-14.003838
300,-97.60769,-102.62713,-108.2736,-90.28682,-5.6824083
301,-103.83826,-106.94235,-105.339066,-133.95483,-126.1787
302,-17.912907,-107.20237,-101.075745,-116.114,-5.117271
303,-19.103378,-20.31009,-105.30368,-121.63591,-6.8839703
304,-97.2821,-107.143486,-102.49579,-89.93955,-95.06748
305,-102.97219,-105.29704,-7.170999,-88.25582,-92.8399
306,-103.21622,-110.41051,-18.17408,-89.68928,-93.87449
307,-101.60486,-108.01882,-102.85016,-87.89266,-97.102104
308,-96.63449,-108.01288,-99.51509,-90.00864,-22.331762
309,-100.706154,-12.500879,-104.84478,-88.04905,-22.785486
310,-98.13909,-11.491516,-100.92241,-86.14822,-93.75055
311,-98.1346,-102.66416,-102.155685,-89.217125,-20.671606
312,-102.43557,-11.593496,-97.917336,-90.38061,-94.552155
313,-97.829216,-15.897273,-105.818436,-89.44936,-16.460339
314,-104.970695,-19.3078,-104.6781,-93.73748,-2.3072798
315,-106.26967,-108.89738,-25.400394,-123.52928,-0.25300837
316,-102.47251,-107.20025,-8.957227,-124.57032,-117.507675
317,-98.75673,-15.96259,-106.752556,-123.45426,-2.258682
318,-100.27033,-117.050354,-105.60603,-93.73757,-2.0567596
319,-102.05263,-27.653728,-98.192635,-93.07958,-2.5715373
320,-99.23628,-28.655151,-98.819084,-96.11739,-1.2883246
321,-103.94261,-29.95044,-106.12932,-95.11107,-1.3625169
322,-104.801254,-26.397884,-25.088198,-126.50922,-4.8155527
323,-101.11319,-24.947641,-106.04061,-91.16548,-4.852133
324,-129.59294,-25.965477,-107.49404,-90.76585,-4.0326343
325,-108.14571,-98.00158,-109.69104,-83.9698,-1.1033804
326,-104.503784,-103.442924,-107.836044,15.375343,-1.353375
327,-98.44329,-109.166245,-107.60388,-88.08914,-5.1419115
328,-98.760414,-107.17955,-110.85836,-88.11737,-8.034464
329,-97.977394,-108.01178,-107.010666,-90.93282,-103.651924
330,-103.897354,-102.73242,-96.53148,-89.277695,-8.689576
331,-105.63504,-128.40007,-103.497215,-91.09166,-101.756744
332,-105.567505,-101.94346,-107.51705,-91.77969,-5.17405
333,-104.48602,-28.141487,-104.70441,-9.667995,-104.66046
334,-97.998764,-104.58685,-100.59312,-9.72883,-7.7062755
335,-103.89244,-28.776733,-102.3894,-93.39017,-92.38689
336,-100.28851,-26.572718,-98.25673,-93.04072,-9.145695
337,-107.35317,-28.273218,-101.35012,-93.33424,-14.191621
338,-98.345085,-27.172459,-107.149704,-90.94473,-101.10049
339,-99.791046,-15.26174,-104.626205,-93.59336,-98.86164
340,-101.8243,-115.16272,-100.14813,-93.812454,-100.78732
341,-99.87697,-117.843346,-25.153986,-87.66032,2.7922642
342,-103.59866,-106.92059,-14.88273,-83.91954,-94.39927
343,-105.15997,-106.60942,-102.13948,-83.743225,-99.87661
344,-99.33769,-107.023346,-99.90148,-90.008286,-93.6461
345,-101.16649,-105.68085,-105.16493,-88.28581,-103.008736
346,-101.23045,-106.736206,-100.81101,-86.02866,-4.0795746
347,-101.552505,-100.84919,-24.217783,-88.790306,-90.2731
348,-101.35387,-27.240074,-17.39408,-86.883194,-3.1269317
349,-100.99327,-121.84926,-100.328514,-91.75916,1.1096722
350,-101.160385,-124.53549,-100.33323,-90.44883,-97.084
351,-100.31909,-31.388367,-105.20198,-91.22661,-95.98548
352,-101.63556,-128.81738,-101.32919,-101.98445,-94.84951
353,-100.16425,-106.523605,-108.95393,-92.24575,-99.34286
354,-99.628235,-24.57783,-9.08953,-89.65077,-92.475494
355,-102.09945,-102.11731,-99.3474,-88.051834,-90.765625
356,-100.85592,-101.95097,-99.587265,-89.893486,-101.09347
357,-105.3854,-27.409319,-100.16266,-88.20253,-99.0027
358,-102.47377,-24.640936,-95.51638,-89.837395,-94.954666
359,-101.996124,-29.410105,-99.6127,-89.82089,-96.61431
360,-103.7785,-25.330154,-21.391756,-88.9516,-2.5934603
361,-101.48017,-31.431627,-97.25507,-86.892166,-90.405014
362,-101.42206,-24.947393,-127.27934,-93.733696,-98.765526
363,-101.14379,-25.912415,-118.82049,-98.47312,-96.59298
364,-102.158585,-102.00499,-99.653244,-100.10377,-99.275345
365,-100.93877,-98.93922,-15.407496,-90.15838,-95.96304
366,-102.57404,-99.75961,-94.11237,-87.42716,-96.529015
367,-101.97995,-26.971895,-26.52689,-84.30081,-103.377525
368,-100.99916,-28.640293,-4.254865,-85.3544,-99.35154
369,-101.91322,-28.22731,-98.50143,-2.9387534,-99.57345
370,-102.29173,-29.069809,-23.23538,-84.903854,-91.747086
371,-103.084045,-27.353386,-16.17761,-86.94791,-100.40484
372,-103.52904,-26.17899,-19.399612,-88.30044,-93.14138
373,-102.61001,-101.80357,-31.457293,-87.22252,-94.824715
374,-102.79082,-27.145575,-2.8389802,-87.870804,-96.908676
375,-102.31224,-25.018847,-13.392733,-11.891301,-95.645454
376,-102.74016,-30.696394,-19.490734,-100.074295,-96.04664
377,-103.04896,-32.56702,-14.031559,-17.455372,-96.0112
378,-102.064156,-28.607006,-16.270052,-6.5619307,-96.04048
379,-103.17016,-28.351988,-21.775177,-97.44146,-101.62206
