,It 0,It 1,It 2,It 3,It 4
0,-108.63074,-117.29478,-107.136375,-34.319622,-114.02825
1,-112.79509,-116.68145,-30.263727,-112.18327,-25.778158
2,-124.15398,-105.00581,-115.86085,-115.72588,-16.841457
3,-115.12599,-27.368183,-111.16236,-44.844074,-16.607576
4,-27.097328,-22.075716,-120.55257,-111.44704,-26.380888
5,-31.746756,-117.04267,-128.61935,-112.894585,-111.80501
6,-25.37788,-113.96942,-121.726234,-114.64768,-115.11271
7,-19.989872,-124.488815,-123.09996,-113.054855,-112.064095
8,-115.200745,-117.19889,-119.71879,-115.896484,-117.93891
9,-128.73123,-109.04095,-117.86743,-124.57766,-114.78145
10,-114.49543,-110.02444,-126.76352,-117.39167,-117.473
11,-110.22197,-116.68671,-115.33904,-112.68272,-117.166275
12,-16.019297,-115.41461,-107.59707,-112.37864,-114.30877
13,-103.57051,-110.59642,-112.565735,-132.28369,-116.67496
14,-15.91553,-111.155174,-107.66583,-118.00841,-113.62405
15,-10.989964,-106.09259,-108.26406,-126.44299,-109.64843
16,-107.271614,-114.40006,-106.07039,-122.351425,-106.2691
17,-106.27703,-118.76736,-35.79437,-125.858986,-105.33957
18,-105.47698,-106.18621,-30.915007,-118.55408,-106.95286
19,-14.984367,-102.08542,-102.246994,-121.527,-19.708244
20,-19.534986,-106.1695,-102.32796,-112.607346,-17.034922
21,-19.92726,-102.25897,-15.519144,-114.152,-103.76979
22,-19.285353,-13.214489,-7.4378457,-112.508934,-108.80438
23,-111.87212,-7.0609765,-111.51752,-115.880745,-111.824455
24,-104.81698,-12.49858,-109.36599,-110.63697,-103.39276
25,-13.135619,-11.751766,-118.97531,-113.0509,-111.0368
26,-97.77632,-12.273248,-7.578028,-112.22263,-117.67962
27,-114.43467,-21.00494,-110.56674,-109.85746,-110.083336
28,-105.615234,-19.88218,-8.471281,-110.48403,-111.09994
29,-20.828583,-105.69039,-10.527049,-113.115395,-22.682022
30,-102.52609,-106.834175,-9.652889,-112.120674,-19.236284
31,-107.77501,-16.060562,-102.64176,-103.51714,-109.22427
32,-21.112473,-12.706328,-10.110715,-111.56326,-10.616622
33,-13.339245,-11.91068,-117.45143,-11.329793,-21.076014
34,-110.37176,-10.02527,-102.80794,-102.00247,-110.25603
35,-11.72763,-13.78978,-7.277053,-11.254819,-107.017586
36,-12.709225,-13.648633,-98.77508,-100.39843,-116.50293
37,-18.450985,-7.93645,-5.093147,-12.419671,-15.048328
38,-17.369051,-6.3790817,-116.59516,-13.099293,-18.278378
39,-8.919534,-15.260506,-10.671666,-16.470312,-20.09085
40,-99.16861,-3.7076619,-112.46693,-21.782345,-14.639659
41,-5.130899,-9.346989,-113.4243,-98.572945,-96.947075
42,-94.94461,-8.793605,-97.25568,-96.293076,-108.51224
43,-95.67435,-17.110395,-100.60507,-8.020815,-106.48689
44,-100.50203,-9.978885,-10.465592,-12.309229,-105.906105
45,-99.775696,-11.08554,-11.52984,-12.688521,-105.73846
46,-94.37436,-2.6466053,-3.8744543,-14.36583,-115.04854
47,-97.76664,-8.04624,-3.4897265,-11.502011,-14.057189
48,-96.511536,-12.833324,-4.8534207,-5.188499,-14.35592
49,-97.92133,-21.109049,-6.116637,-7.150287,-11.191509
50,-96.863976,-24.314491,-8.628549,-8.657668,-13.5110445
51,-102.47212,-11.798701,-97.35205,-9.820923,-9.860389
52,-7.6229167,-7.3830347,-13.30307,-17.347593,-12.471141
53,-105.686195,-3.5991507,-16.568165,-110.234245,-115.282074
54,-101.52929,-10.566946,-5.348678,-11.421365,-107.981125
55,-10.294131,-12.451129,-4.4147844,-12.767139,-113.22374
56,-101.35591,-13.2832,-7.244798,-12.082067,-117.581474
57,-95.997505,-9.8935585,-2.927185,-105.49161,-110.07532
58,-10.900948,-97.17922,-101.49891,-108.58522,-2.5229485
59,-6.8567514,-97.429955,-6.0463047,-12.314658,-105.25609
60,-9.810363,-102.05872,-8.584589,-105.61304,-6.0151715
61,-101.5778,-101.03272,-4.9163475,-115.81399,-114.24565
62,-8.571425,-97.94956,-3.689455,-7.2264605,-112.15938
63,-10.756314,-10.147976,-15.986314,-5.337711,-111.23936
64,-2.809522,-6.283096,-100.23533,-13.001691,-113.14093
65,-15.233879,-10.970782,-100.76264,-12.440975,-96.303055
66,-19.72865,-3.6992068,-24.093348,-11.819707,-93.45148
67,-97.95681,-11.598179,-4.1259766,-20.986652,-114.625046
68,-96.80266,-10.528873,-0.75777847,-105.49636,-95.51215
69,-4.965034,-7.8196836,-14.838783,-104.60073,-95.89811
70,-100.582214,-10.24539,-16.307535,-26.842783,-94.50557
71,-5.294105,-115.4066,-15.0694685,-99.757675,-91.79303
72,-104.06521,-97.81257,-20.49914,-12.725474,-4.201226
73,-97.437256,-97.60637,-18.720718,-12.615705,-91.72249
74,-18.053484,-4.162714,-14.431711,-8.174377,-16.30751
75,-96.984726,-6.2294393,-18.99738,-107.68864,-19.903288
76,-113.19661,-113.04616,-19.189034,-108.58836,-98.32612
77,-13.179596,-115.35171,-19.561445,-107.31849,-21.780203
78,-112.56145,-112.11338,-16.865837,-9.627282,-120.99539
79,-6.9953146,-100.10156,-17.379128,-12.774648,-94.45752
80,-7.470798,-114.59961,-21.814997,-12.312995,-100.83604
81,-110.03142,-115.46216,-19.53618,-106.00963,-94.51416
82,-1.3405777,-111.57854,-94.13646,-113.56687,-94.534775
83,-3.1849709,-16.814959,-32.53686,-97.78166,-10.202784
84,-99.7342,-101.21109,-106.5729,-106.537155,-14.636276
85,-94.93297,-13.815589,-33.589806,-97.87436,-15.296931
86,-97.20569,-16.914547,-102.59425,-118.01534,-12.695904
87,-94.26397,-12.52108,-9.257888,-106.27214,-10.777033
88,-94.79027,-96.59824,-93.513016,-107.55937,-100.00241
89,-95.541565,-115.34033,-118.85009,-119.09829,-18.716978
90,-90.61383,-116.09014,-15.170534,-24.340197,-119.69614
91,-97.32321,-113.28645,-13.373761,-112.77836,-108.694115
92,-95.40671,-119.83896,-95.72954,-98.92932,-11.091656
93,-96.105286,-109.03408,-96.497604,-15.936586,-11.993156
94,-10.795456,-100.658226,-14.804763,-9.485878,-14.861169
95,-98.43038,-20.68976,-97.40717,-109.489784,-11.23175
96,-114.79756,-24.52502,-10.24,-97.83233,-91.81416
97,-11.510069,-26.402863,-3.799968,-119.18138,-95.13701
98,-94.689804,-109.369606,-19.069326,-22.636572,-18.177067
99,-6.238589,-108.785934,-5.643731,-120.031075,-126.80639
100,-98.06194,-107.47749,-3.674085,-104.85889,-12.581758
101,-7.976074,-109.44922,-14.432831,-8.944593,-15.023287
102,-10.205325,-24.098333,-13.72936,-11.511386,-13.254469
103,-98.661644,-19.566387,-91.3876,-112.06557,-15.212531
104,-7.3875594,-17.79084,-92.71197,-115.552185,-88.67656
105,-7.11302,-18.606308,-7.916368,-116.94204,-99.85525
106,-5.9679112,-20.943361,-98.40794,-118.52271,-23.327972
107,-114.59572,-20.427021,-96.52656,-22.919476,-123.53452
108,-5.610523,-17.541103,-96.32336,-17.040524,-120.57649
109,-96.16898,-15.924249,-93.34565,-98.55861,-13.390477
110,-13.954688,-99.89783,-12.558976,-19.29289,-20.073061
111,-9.997038,-98.36356,-15.790418,-100.53608,-20.766981
112,-94.37308,-114.317184,-12.25057,-101.31873,-20.998472
113,-11.670592,-114.75864,-15.059802,-101.70438,-23.353098
114,-95.76239,-110.1203,-92.297646,-117.91554,-20.265104
115,-97.10696,-15.505479,-92.52958,-104.13349,-21.198267
116,-95.2159,-12.302735,-94.60301,-20.842142,-123.9897
117,-95.287254,-114.40335,-93.72118,-115.68418,-100.03809
118,-95.724144,-21.081182,-11.667997,-93.024925,-103.38489
119,-93.7813,-14.249649,-5.0920033,-97.15916,-99.88199
120,-15.890901,-18.750004,-89.208626,-98.71126,-98.11124
121,-12.34147,-13.0451565,-89.6877,-109.75859,-19.928318
122,-95.10108,-11.897709,-103.52442,-99.69334,-93.764984
123,-7.2492986,-121.4186,-11.34666,-95.621735,-15.590375
124,-6.072725,-97.543884,-3.8923013,-98.43673,-11.820776
125,-9.084493,-113.04646,-7.813623,-99.83658,-92.92882
126,-12.292129,-9.870156,-3.0261056,-96.755714,-99.99291
127,-120.880844,-11.816713,-10.051592,-95.85482,-91.21887
128,-101.33398,-97.876656,-120.78205,-98.041534,-98.60967
129,-6.2119083,-96.43665,-10.957,-98.39946,-103.40451
130,-8.972353,-12.111857,-117.91981,-98.840294,-91.93757
131,-93.4001,-5.3615274,-116.90408,-122.65001,-94.78718
132,-93.75056,-6.1251593,-120.236885,-121.10946,-98.66416
133,-94.17711,-11.294666,-115.020676,-119.36979,-100.907425
134,-94.71872,-12.439002,-98.28511,-104.83273,-96.62636
135,-97.577354,-11.489799,-102.219376,-97.39581,-97.13899
136,-11.914479,-96.323524,-97.92884,-96.43652,-99.37696
137,-96.14276,-98.80869,-100.41272,-97.49657,-102.68551
138,-14.142934,-96.16566,-100.1874,-96.842064,-101.08495
139,-93.7275,-95.8011,-124.27801,-99.45402,-11.6008
140,-101.07402,-20.612516,-90.645355,-98.2873,-96.90838
141,-94.36295,-96.4981,-99.049286,-109.09737,-97.87606
142,-94.48353,-7.292776,-99.238884,-107.822426,-10.766209
143,-96.821526,-12.408239,-98.68546,-100.045265,-100.64956
144,-1.0934023,-14.486592,-13.303414,-120.5256,-15.864932
145,-94.227585,-13.544847,-115.761635,-119.93922,-98.334885
146,-95.78015,-96.955,-15.977236,-98.77918,-14.784506
147,-93.64028,-96.85861,-91.55259,-96.845375,-16.407667
148,-94.53382,-98.51503,-5.35447,-100.09652,-6.754647
149,-103.242584,-96.97416,-2.4930098,-97.944214,-100.53778
150,-100.45486,-97.70772,-3.18107,-102.42034,-95.64338
151,-101.31655,-99.30317,-6.4791894,-103.36863,-125.598976
152,-114.64919,-99.044846,-11.0735855,-110.831604,-96.63501
153,-114.88964,-13.028042,-11.299607,-18.749485,-95.60947
154,-94.53799,-26.46788,-6.412076,-19.805494,-96.16131
155,-94.2696,-24.073437,-8.070214,-9.674852,-96.11517
156,-94.794365,-19.767874,-3.5163271,-93.2336,-89.89497
157,-94.32444,-99.874535,-11.771361,-6.946108,-11.205527
158,-97.57545,-97.50969,-111.874435,-99.040436,-93.10016
159,-95.03412,-98.111,-97.44652,-99.2908,-10.684947
160,-95.51235,-97.07207,-98.429474,-99.49703,-96.12364
161,-95.3574,-96.13557,-98.54088,-99.00333,-96.627304
162,-132.80571,-118.13717,-100.19533,-97.04849,-99.40166
163,-91.59993,-14.584882,-96.26716,-96.851204,-97.26913
164,-12.845019,-116.505035,-121.966156,-122.82153,-95.70898
165,-11.076391,-131.76715,-90.68041,-15.324835,-100.68882
166,-120.60156,-99.31279,-89.72922,-103.1223,-19.63667
167,-120.60488,-12.157471,-90.548485,-98.54151,-97.16682
168,-96.076164,-97.12258,-89.75384,-21.72498,-99.182014
169,-94.715034,-95.98735,-114.71225,-94.889,-11.807988
