,It 0,It 1,It 2,It 3,It 4
0,-33.30663,-25.823816,-117.81937,-100.258064,-25.938044
1,-107.41257,-31.779945,-119.12465,-29.038519,-109.52915
2,-111.97748,-109.670685,-102.977,-113.539825,-112.8155
3,-100.116165,-107.466995,-105.630615,-25.585958,-118.52453
4,-122.69301,-114.09295,-115.140274,-118.2704,-116.882645
5,-113.780556,-111.03637,-115.296646,-39.669357,-115.342766
6,-113.65605,-115.20912,-114.01109,-28.878138,-117.19919
7,-116.299576,-118.41095,-115.79995,-113.93343,-113.513725
8,-118.98285,-113.25457,-113.611786,-29.719673,-116.989716
9,-111.838196,-112.81475,-115.03873,-113.33034,-115.371216
10,-114.74596,-118.13488,-33.672718,-115.70144,-115.957825
11,-117.75163,-115.424675,-31.18215,-115.665405,-108.93403
12,-109.97852,-114.76295,-24.572496,-111.63868,-125.43604
13,-118.82745,-107.51375,-24.933516,-110.51174,-33.737648
14,-110.53279,-113.40762,-22.432682,-114.1086,-23.01455
15,-17.504126,-113.65118,-22.259783,-107.18636,-41.87905
16,-111.632416,-112.98492,-21.792116,-106.35196,-28.731684
17,-110.920715,-110.239334,-103.03097,-105.76703,-125.373474
18,-109.23193,-107.0625,-105.97073,-111.82886,-36.235947
19,-107.44595,-106.99206,-31.665995,-114.647285,-110.992775
20,-113.35786,-114.70633,-110.19409,-107.27034,-31.473726
21,-28.00632,-113.57585,-103.55895,-20.549711,-20.666157
22,-113.75757,-108.30798,-102.70111,-120.05444,-25.360594
23,-24.802464,-111.09844,-106.060356,-35.176586,-102.78033
24,-110.99273,-110.88423,-104.465515,-130.69537,-102.07092
25,-20.84325,-111.3585,-108.04095,-125.167694,-113.68218
26,-18.899462,-114.418274,-111.864845,-106.25115,-104.356415
27,-31.143257,-38.723385,-101.1293,-19.6443,-104.77214
28,-113.247604,-16.325256,-115.44617,-28.243708,-34.18756
29,-105.006935,-115.567245,-105.69766,-103.58398,-103.08544
30,-22.882412,-115.96312,-106.92545,-107.00932,-118.79518
31,-14.817569,-105.57855,-9.797983,-19.29149,-17.35307
32,-15.454903,-20.075504,-101.73014,-13.980494,-122.86152
33,-103.3333,-107.25069,-15.394743,-17.300175,-20.529703
34,-105.48289,-107.785934,-17.36564,-29.127193,-15.071315
35,-106.02107,-112.62586,-105.21865,-105.28659,-24.391375
36,-18.524504,-16.701275,-19.341118,-108.26624,-17.857704
37,-22.709536,-101.962425,-16.925213,-108.407936,-23.375015
38,-18.587954,-12.049521,-25.783028,-105.38926,-24.154274
39,-105.06653,-21.645004,-108.2281,-26.140291,-16.714247
40,-102.23763,-14.164339,-115.01996,-19.678768,-109.85746
41,-103.3841,-101.239944,-103.19045,-16.090412,-26.363525
42,-14.697336,-25.63683,-102.031906,-122.27852,-14.540197
43,-99.94599,-19.197483,-104.87069,-16.980225,-104.08632
44,-108.98473,-18.957811,-107.962776,-19.348013,-106.32825
45,-21.79992,-18.359669,-112.55421,-14.35464,-112.388466
46,-33.89023,-18.370321,-105.87424,-122.67573,-116.497635
47,-17.412706,-14.826108,-100.98348,-19.416903,-18.702318
48,-99.76994,-23.035294,-27.49652,-24.1254,-101.35149
49,-104.68497,-24.828894,-34.52825,-21.824633,-109.56496
50,-20.727716,-19.272512,-102.16506,-110.100624,-19.688238
51,-17.628666,-24.858425,-99.26571,-20.943981,-113.03222
52,-13.480231,-28.999866,-120.9279,-21.617825,-113.40421
53,-24.512669,-102.21513,-113.14814,-15.14348,-125.96942
54,-95.13209,-17.103125,-19.734705,-23.61484,-104.21109
55,-110.25247,-16.688965,-116.0,-111.81151,-110.56831
56,-26.886127,-19.097883,-29.336622,-106.87718,-101.06146
57,-20.177925,-18.159235,-102.288795,-10.251036,-14.9624605
58,-107.922676,-23.234512,-23.902473,-14.665178,-113.90584
59,-96.1737,-22.693672,-98.13618,-19.008953,-126.558975
60,-96.500854,-12.625821,-102.818344,-111.930664,-109.59611
61,-27.716045,-100.69265,-116.97917,-19.714373,-114.104996
62,-22.791315,-14.76043,-114.96761,-15.586276,-101.97839
63,-16.958426,-99.34838,-116.787865,-14.577853,-106.510315
64,-17.501677,-102.31341,-111.53645,-36.275887,-14.708595
65,-15.019309,-29.766094,-107.32409,-21.841671,-18.177208
66,-13.357793,-17.525137,-20.999569,-14.287181,-17.15797
67,-15.4668,-118.49837,-113.65476,-97.94163,-21.93058
68,-93.1729,-102.148544,-112.78772,-14.628811,-13.375544
69,-22.042194,-113.20224,-103.52555,-13.379674,-14.684955
70,-116.87961,-111.637825,-111.03749,-98.65423,-18.613401
71,-102.85347,-19.729513,-97.91341,-98.42617,-100.18738
72,-11.837,-107.75405,-101.74888,-97.194855,-16.626019
73,-16.335884,-13.264484,-102.7275,-14.095288,-94.2426
74,-12.727018,-13.420412,-105.91669,-13.989464,-10.837052
75,-8.141432,-113.999245,-101.06301,-18.046192,-105.70798
76,-13.624579,-102.013084,-101.62471,-17.130327,-14.576608
77,-95.9242,-14.573715,-102.43038,-100.72324,-16.293978
78,-17.012873,-16.346514,-98.21883,-100.14032,-101.51335
79,-105.07286,-114.922386,-101.098694,-11.74789,-99.30456
80,-109.40501,-127.19074,-117.1709,-126.43888,-99.761955
81,-90.78502,-102.53689,-25.560007,-117.81144,-11.567854
82,-110.61602,-113.74588,-102.889824,-138.1225,-97.6871
83,-111.58402,-120.21924,-106.54997,-112.43664,-109.47537
84,-10.466912,-15.48162,-118.20813,-18.941847,-10.836562
85,-9.917699,-114.81645,-119.97584,-16.29603,-8.036849
86,-12.798834,-19.133379,-105.839355,-18.621,-102.41771
87,-14.489554,-10.343519,-105.758194,-8.886689,-102.87501
88,-17.255758,-15.7383995,-30.335491,-6.9233775,-15.766365
89,-17.21864,-115.4988,-102.691696,-112.82451,-104.683014
90,-8.323687,-112.527016,-98.72804,-29.758886,-112.99831
91,-94.03543,-9.480957,-112.35037,-109.887665,-99.73464
92,-96.741455,-115.33614,-96.28334,-115.08722,-9.889253
93,-91.669815,-116.93326,-101.0572,-114.04016,-11.861793
94,-92.4191,-9.737078,-99.33056,-91.227104,-8.383425
95,-91.28657,-7.7131996,-102.03842,-3.6930122,-19.124153
96,-94.00813,-7.8508797,-101.23343,-8.327185,-13.060882
97,-12.823722,-11.605169,-96.9083,-7.963125,-6.996672
98,-15.305901,-8.606622,-98.49251,-9.974471,-12.099154
99,-14.244416,-13.272263,-98.588165,-91.07261,-9.484169
100,-91.37129,-9.817329,-98.38131,-114.83827,-99.98418
101,-10.951537,-11.389184,-11.356496,-12.706772,-109.56415
102,-10.358382,-97.71334,-99.55178,-14.241987,-14.200854
103,-10.717638,-94.6278,-11.801976,-101.42677,-11.415949
104,-9.587083,-93.18072,-99.00104,-14.009583,-4.683997
105,-95.19741,-98.12012,-101.16811,-10.900616,-11.70718
106,-108.02724,-97.67647,-95.47461,-15.704781,-10.785998
107,-96.18725,-9.788602,-110.89901,-91.58354,-12.788922
108,-97.83628,-95.79011,-105.80489,-88.321724,-12.674878
109,-112.978966,-10.1942005,-103.95758,-90.31971,-4.661198
110,-8.134056,-4.5337524,-101.67707,-7.35275,-98.88582
111,-7.181892,-4.048327,-100.78547,-88.70996,-7.910088
112,-10.30557,-5.567553,-100.39873,-12.952101,-97.71029
113,-95.71722,-93.86823,-110.06723,-6.5536036,-95.67855
114,-91.68624,-112.6518,-112.86945,-89.75602,-12.793031
115,-90.98799,-111.730965,-115.26997,-95.69055,-8.153423
116,-87.59305,-112.85926,-120.46557,-93.8537,-5.6060443
117,-114.93306,-14.025937,-22.82836,-94.63591,-5.3568
118,-115.68548,-7.1043015,-96.96206,-94.57178,-8.758743
119,-102.01067,-6.5471873,-94.20773,-111.101585,-5.851225
120,-91.305504,-5.001819,-93.77147,-88.986435,-6.577486
121,-112.30629,-4.159421,-98.522385,-88.31518,-105.129234
122,-106.18274,-98.89963,-98.89473,-92.709526,-15.241809
123,-5.004906,-96.311646,-95.94385,-90.11125,-7.7405806
124,-111.13183,-114.34088,-99.0268,-87.417175,-12.279727
125,-10.678557,-95.936005,-94.137695,-114.002205,-11.215206
126,-111.12692,-98.21226,-94.15217,-94.54166,-12.636102
127,-112.14202,-7.076291,-103.40261,-117.23181,-12.683753
128,-95.41485,-5.4769225,-104.05093,-118.75885,-119.812836
129,-99.88434,-6.69171,-22.033762,-7.223611,-10.571987
130,-86.91864,-89.71956,-97.380714,-8.240443,-7.8813167
131,-93.572495,-5.178821,-96.88357,-88.93002,-95.54547
132,-94.17904,-86.24048,-97.1912,-85.68121,-1.0600375
133,-96.51179,-95.97827,-98.34548,-86.368576,-10.894415
134,-99.12992,-118.38314,-115.30966,-114.53729,-6.327709
135,-99.98439,-113.699554,-114.90377,-111.60709,-119.16596
136,-106.052765,-2.0546482,-96.567764,-6.3508906,-118.794525
137,-99.8477,-5.35038,-97.82245,-5.3096924,-95.13168
138,-99.86124,-86.28403,-21.372747,-4.1932373,-4.992146
139,-100.76563,-94.31721,-113.58562,-116.96309,-6.8097825
140,-100.188255,-117.703285,-96.1673,-115.850365,-11.275171
141,-99.72081,-116.430664,-92.50813,-1.2642274,-7.4546456
142,-104.009315,-88.63429,-96.55296,-82.88967,-94.88139
143,-126.01088,-91.91256,-14.80415,-5.546159,-5.1309695
144,-104.83959,-9.785477,-7.2450027,-5.358587,-7.282154
145,-108.27128,-5.4401946,-12.115384,-5.5229077,-1.3135028
146,-108.45875,-4.737105,-98.151405,-4.344134,0.30850002
147,-106.69924,-4.866258,-23.226954,-6.1097407,-3.9660985
148,-107.2182,-94.155136,-128.09332,-6.8635826,-7.5715704
149,-106.3348,-94.45359,-114.305,-119.845825,-11.51666
150,-116.50525,-96.42868,-99.08117,-3.6610134,-89.74791
151,-122.61482,-114.33472,-116.33424,-112.12189,-9.39973
152,-107.28679,-94.974014,-90.225746,-114.16964,-90.56414
