,It 0,It 1,It 2,It 3,It 4
0,-25.009546,-107.97175,-108.523155,-31.987774,-24.261444
1,-114.84156,-33.623478,-111.461975,-26.799273,-108.44564
2,-118.66825,-110.34151,-117.837234,-114.25196,-112.22753
3,-109.38368,-112.3065,-125.99512,-120.562515,-116.64308
4,-114.259514,-115.860214,-111.449875,-114.5834,-113.7985
5,-118.8834,-117.09865,-110.59596,-119.64083,-133.86974
6,-134.63562,-130.41547,-101.56426,-112.603004,-114.093475
7,-24.4313,-115.74878,-103.96648,-115.561386,-106.97831
8,-27.387968,-32.618553,-14.524439,-114.988075,-103.863
9,-29.458803,-104.53801,-104.02891,-115.28078,-18.445526
10,-29.774982,-114.72729,-99.537964,-105.913246,-35.423954
11,-25.892601,-107.07931,-21.35375,-17.226107,-104.94934
12,-25.010803,-104.207756,-24.739801,-26.31076,-102.77018
13,-25.384186,-104.60482,-23.175291,-104.16108,-126.25346
14,-113.68299,-105.87385,-105.40569,-22.393265,-34.43282
15,-24.931911,-110.235535,-105.6871,-105.87979,-26.589333
16,-31.686398,-27.10323,-12.608013,-105.81873,-104.44054
17,-25.54826,-30.37423,-21.16218,-23.101967,-116.06282
18,-21.437647,-104.496544,-25.061024,-23.86772,-102.20235
19,-20.150372,-106.41197,-21.31468,-21.307755,-20.95754
20,-29.897797,-19.262568,-18.036966,-23.656351,-129.09904
21,-24.722532,-100.76814,-109.72856,-29.112082,-12.164101
22,-18.493156,-21.49751,-103.4187,-18.80695,-17.74226
23,-108.08199,-104.37548,-104.34225,-102.41948,-120.21411
24,-23.863472,-109.218124,-18.150154,-104.89796,-109.1564
25,-110.23213,-24.82447,-24.484407,-120.81971,-111.81809
26,-24.490923,-100.86956,-22.943886,-22.020298,-110.741104
27,-100.50928,-15.090223,-13.821709,-116.851746,-108.81228
28,-24.8508,-20.868715,-20.87748,-108.2574,-18.267937
29,-32.151077,-101.28121,-112.28765,-113.420296,-135.88817
30,-17.185675,-106.48045,-111.60212,-41.119537,-118.167854
31,-111.700775,-94.53936,-22.486689,-22.825167,-102.14944
32,-26.298267,-15.637329,-102.80046,-107.23052,-16.688637
33,-25.891869,-26.236702,-22.037695,-118.656105,-22.736917
