,It 0,It 1,It 2,It 3,It 4
0,-103.65525,-109.395615,-115.47508,-105.63772,-24.993471
1,-16.804647,-116.101715,-28.586079,-115.8714,-26.018023
2,-31.906813,-113.03855,-29.075375,-114.22928,-23.941538
3,-124.252396,-117.27139,-119.24474,-115.237946,-118.359726
4,-128.89929,-114.24699,-118.655716,-124.19408,-113.746185
5,-106.22652,-118.982376,-116.83662,-115.04173,-115.523
6,-109.68651,-110.401215,-115.44348,-117.0757,-109.096306
7,-106.68295,-108.082016,-119.27252,-112.92576,-112.98187
8,-25.444233,-36.283833,-125.520905,-39.29229,-114.03812
9,-19.161873,-38.357582,-115.70655,-108.92953,-114.61106
10,-43.99443,-34.418774,-114.72122,-107.63962,-114.51436
11,-116.323296,-107.67503,-116.69534,-126.08078,-111.93633
12,-110.38439,-112.43713,-23.28853,-106.55645,-28.06169
13,-112.83287,-110.478935,-107.92603,-42.04823,-107.38446
14,-117.945465,-111.34726,-114.95933,-27.054884,-115.18529
15,-112.52375,-21.61634,-15.126172,-119.00866,-36.029526
16,-96.73476,-108.11908,-105.85207,-31.772797,-112.374794
17,-102.41732,-106.902664,-102.75272,-27.761324,-111.48613
18,-101.49095,-28.574541,-20.721058,-21.308088,-104.70005
19,-112.99573,-117.46918,-105.94012,-113.80067,-34.850704
20,-101.6764,-106.09201,-32.874207,-102.66662,-114.80175
21,-104.57169,-112.29149,-31.64226,-105.3389,-106.028786
22,-19.851942,-113.31743,-128.21143,-115.317215,-100.47462
23,-116.17097,-111.81043,-30.55483,-109.21404,-106.034164
24,-114.9278,-109.747894,-19.192738,-40.159615,-119.00398
25,-103.826454,-111.08496,-101.95185,-108.60323,-19.813774
26,-104.35275,-113.94146,-31.504377,-106.74756,-102.83226
27,-103.389305,-108.21752,-103.6541,-111.12152,-110.102875
28,-126.13245,-117.08742,-114.649475,-21.370518,-120.22112
29,-106.80104,-108.34232,-113.53312,-103.66072,-101.937614
30,-19.588966,-116.368744,-26.144625,-117.81288,-19.423908
31,-16.432236,-107.2717,-20.415415,-36.495537,-105.2235
32,-102.62339,-101.30524,-29.37928,-105.87193,-110.62363
33,-102.93192,-117.98543,-19.020947,-20.128704,-21.342949
34,-11.572938,-28.677088,-101.95405,-24.63764,-25.463425
35,-103.151634,-114.07541,-23.390228,-15.877641,-99.70014
36,-103.771164,-111.82297,-25.982578,-105.219376,-26.109756
37,-29.704151,-99.85013,-115.452866,-14.545566,-26.958815
38,-13.726869,-106.77775,-26.945242,-120.26021,-15.12339
39,-98.30141,-123.613144,-102.17726,-112.82611,-33.53549
40,-102.78925,-105.428314,-100.75035,-109.26729,-21.90241
41,-21.063131,-128.17603,-116.3673,-101.014626,-98.37019
42,-104.68757,-108.20301,-98.93705,-106.88239,-100.70303
43,-23.667688,-25.064573,-30.830498,-25.551119,-17.857649
44,-17.493193,-103.176994,-131.74274,-109.86564,-22.695713
45,-17.693272,-102.77834,-108.981064,-107.72687,-98.50221
46,-125.71223,-106.34197,-99.8219,-34.37777,-113.19211
47,-102.19032,-108.753914,-107.25056,-102.182365,-25.538147
48,-19.202738,-98.418915,-99.59924,-21.809973,-25.434755
49,-106.5076,-25.747288,-102.88587,-102.88542,-23.48531
50,-102.228355,-105.96109,-101.452446,-24.842598,-120.749626
51,-115.03083,-114.192825,-99.93058,-118.7534,-24.889385
52,-114.19388,-19.864548,-118.02106,-21.31722,-100.28807
53,-28.385517,-28.014576,-98.87048,-14.070961,-99.99059
54,-27.444506,-105.01645,-99.11605,-22.575317,-103.58049
55,-18.017195,-101.68075,-111.965195,-114.800865,-113.88689
56,-111.49066,-113.66875,-105.856384,-29.882393,-109.003975
57,-30.522205,-101.28897,-127.747826,-23.411905,-116.98245
58,-108.10463,-28.590502,-26.52402,-114.465065,-110.47804
59,-125.489235,-100.52964,-15.682997,-114.78269,-100.51511
60,-104.18423,-112.24902,-17.705112,-113.22079,-22.188318
61,-23.143911,-102.487434,-25.27009,-106.358376,-108.4777
62,-24.81182,-30.42363,-104.51906,-100.14668,-13.301098
63,-122.62335,-100.505486,-35.071762,-29.743898,-106.680565
64,-102.166725,-101.550545,-36.466675,-21.71148,-110.57915
65,-104.59515,-34.44148,-100.557686,-110.73575,-107.18836
66,-111.859245,-111.50435,-102.831795,-109.08807,-32.65383
67,-12.849449,-103.33178,-120.923645,-31.073141,-106.3372
68,-95.94633,-28.173454,-35.47047,-109.61531,-35.020035
69,-101.80855,-127.25415,-19.996973,-101.92026,-104.59753
70,-109.10676,-108.67297,-99.53607,-20.6733,-117.09696
71,-103.54209,-23.42871,-102.354095,-21.124786,-97.303856
72,-96.34089,-22.459871,-103.64866,-29.56413,-102.25566
73,-116.15747,-34.995983,-33.19015,-26.893867,-92.85271
74,-94.84801,-107.69124,-27.077326,-98.2782,-97.34199
75,-14.134281,-26.550495,-20.947697,-100.60383,-103.30736
76,-108.89364,-109.264206,-99.31421,-107.01264,-106.33697
77,-107.68391,-101.42529,-102.651215,-10.911543,-21.158485
78,-97.33353,-111.724144,-115.572845,-120.87955,-103.34545
79,-99.242325,-102.49594,-101.35036,-19.559252,-101.75206
80,-111.319016,-21.24781,-25.772419,-24.222607,-97.52195
81,-40.350655,-26.925165,-24.080778,-106.210815,-94.33742
82,-105.890785,-102.35824,-26.396553,-35.51891,-21.402967
83,-104.65019,-28.9768,-103.01637,-29.076687,-20.213839
84,-113.131996,-27.229673,-20.025747,-128.87326,-99.46607
85,-100.503494,-100.37949,-98.02399,-113.60106,-9.248978
86,-99.80618,-36.749763,-100.71247,-13.91523,-103.722466
87,-105.813614,-101.17839,-110.10416,-30.309591,-100.60357
88,-108.58364,-110.26312,-114.78164,-105.572235,-104.15037
89,-99.383224,-27.239672,-109.79932,-113.9199,-101.79962
90,-23.918163,-106.83521,-115.87689,-115.76894,-14.16094
91,-105.5819,-27.894053,-102.895584,-33.75073,-112.03123
92,-102.335915,-22.78332,-102.29447,-102.62068,-100.68555
93,-15.966006,-105.97863,-116.718956,-103.64666,-20.520813
94,-99.53556,-39.835964,-102.20787,-102.45299,-114.82037
95,-28.18416,-103.77652,-100.996414,-111.32497,-14.88829
96,-102.76409,-110.47281,-99.81795,-103.05807,-15.393899
97,-103.65608,-106.4264,-100.53891,-26.26711,-108.11403
98,-111.38843,-27.692211,-30.271696,-17.237877,-105.17673
99,-115.42974,-101.51458,-38.669983,-102.535965,-13.650331
