,It 0,It 1,It 2,It 3,It 4
0,-114.12283,-100.285065,-117.21648,-106.602135,-120.19966
1,-122.28807,-107.51826,-28.947678,-102.38338,-101.972534
2,-117.65807,-109.108154,-109.36035,-127.47542,-109.262566
3,-121.2583,-114.2071,-118.08032,-113.10765,-112.69206
4,-112.81018,-130.5204,-120.91181,-115.55054,-107.330154
5,-114.082016,-114.29825,-109.26967,-120.69976,-118.68614
6,-115.46676,-16.550419,-113.18119,-116.34369,-102.02074
7,-101.77077,-114.95801,-123.75126,-113.18155,-101.59772
8,-100.728455,-110.43144,-114.37065,-121.672104,-104.237686
9,-99.487656,-117.63997,-111.715706,-118.526695,-102.99722
10,-103.8472,-115.18141,-111.62154,-116.151535,-25.251003
11,-105.23355,-116.184204,-115.55971,-127.080185,-103.56742
12,-120.71295,-115.42517,-114.089836,-119.37024,-31.474781
13,-114.36811,-110.35806,-109.132416,-109.874344,-115.59571
14,-19.132769,-118.45262,-108.10018,-108.144936,-20.951002
15,-15.5493555,-100.98558,-109.654755,-117.5116,-125.19441
16,-15.265394,-20.37358,-121.54743,-110.99202,-106.07283
17,-101.81276,-24.386806,-29.943586,-107.43176,-112.27345
18,-103.39372,-26.964338,-110.60801,-23.954493,-25.96188
19,-105.81168,-32.032547,-118.94286,-23.430399,-111.47911
20,-18.216347,-121.76869,-22.870419,-28.37523,-114.66205
21,-28.57431,-104.73484,-31.352045,-18.53927,-22.083115
22,-102.09502,-108.507996,-113.16015,-111.28318,-114.73883
23,-122.32872,-26.636572,-106.815834,-25.670088,-17.023798
24,-19.486956,-119.90428,-25.448288,-116.74674,-29.569529
25,-18.987188,-122.01544,-33.07921,-30.910229,-116.69959
26,-26.765953,-19.681572,-34.40314,-105.32333,-19.761204
27,-26.777075,-110.88292,-25.932653,-32.18643,-26.971272
28,-104.18044,-120.31241,-28.93176,-111.38256,-24.88579
29,-26.493046,-102.987465,-108.48712,-107.06268,-104.4946
30,-105.08153,-107.90077,-102.15888,-104.159935,-111.44218
31,-114.92427,-107.30582,-110.23555,-22.779387,-19.698723
32,-23.085638,-114.74562,-40.02847,-111.75306,-102.94524
33,-114.34215,-22.6853,-107.68332,-103.56524,-105.06029
34,-31.316711,-117.24506,-104.9899,-104.967026,-28.991453
35,-114.4729,-24.652029,-106.53358,-106.09555,-98.80368
36,-26.870634,-111.003,-24.754875,-22.270763,-110.426636
37,-122.77789,-111.60123,-27.4573,-102.7319,-29.643475
38,-111.00195,-28.75493,-111.67821,-21.46753,-22.279905
39,-19.663786,-104.41796,-121.227806,-112.742485,-113.413475
40,-22.638945,-105.74801,-120.38778,-127.183426,-18.390657
41,-19.185051,-36.297733,-28.482609,-117.69772,-102.3657
42,-22.488895,-106.75882,-100.95627,-100.995476,-112.713264
43,-114.54499,-24.250872,-26.097033,-30.259266,-101.79263
44,-31.803928,-19.486696,-26.546509,-117.23711,-102.81943
45,-103.65273,-12.440503,-103.61417,-20.252678,-19.452919
46,-23.381128,-109.45637,-119.27785,-101.68925,-105.02734
47,-22.241314,-112.00604,-26.790142,-104.127716,-110.84129
48,-98.96118,-109.211655,-112.663605,-107.456024,-117.47197
49,-39.929314,-27.116491,-101.90341,-102.3785,-108.63638
50,-112.75482,-109.79198,-23.724243,-21.68362,-22.999126
51,-116.15182,-16.417866,-23.620358,-17.545101,-119.26482
52,-103.06321,-22.282356,-113.35113,-18.091093,-102.96762
53,-103.05854,-111.592964,-103.20928,-19.424038,-20.778723
54,-23.691433,-113.291664,-108.7557,-31.14807,-19.42187
55,-97.799995,-112.52453,-30.407291,-17.35657,-23.355812
56,-103.5651,-21.202095,-105.02575,-23.200209,-24.770922
57,-102.2007,-111.1956,-100.57938,-113.06536,-26.879644
58,-109.18915,-108.15005,-105.46477,-112.18604,-17.499584
59,-112.14041,-110.88482,-101.54917,-25.549358,-19.28766
60,-102.782265,-111.80141,-110.94146,-19.627863,-20.280756
61,-22.086521,-28.298084,-31.959463,-122.07786,-115.87943
62,-21.188892,-128.27518,-108.74367,-132.66667,-113.96255
63,-104.04029,-113.979034,-110.345436,-104.939766,-122.56145
64,-26.389181,-20.87015,-23.827177,-103.96154,-19.746166
65,-105.942924,-34.49156,-108.46933,-107.43604,-25.067247
66,-27.724174,-20.392887,-20.704737,-15.170471,-21.85532
67,-17.482635,-110.43011,-97.44553,-100.19221,-18.0553
68,-109.82626,-105.49416,-109.57071,-19.263454,-13.818793
69,-101.83534,-126.68592,-21.051847,-104.33191,-21.364063
70,-103.59299,-106.44189,-22.542236,-16.1254,-23.160406
71,-103.75184,-112.5263,-19.21309,-107.50719,-103.91364
72,-31.699558,-23.82883,-28.845566,-110.689575,-100.83884
73,-110.22478,-109.002266,-21.52505,-123.19942,-98.84912
74,-102.55851,-102.808945,-24.156319,-24.5932,-105.74045
75,-24.1991,-103.95636,-100.35261,-106.86047,-99.21718
76,-107.659,-108.91935,-116.89455,-123.74516,-26.605703
77,-28.870909,-106.39068,-105.66538,-21.259953,-23.447437
78,-112.97722,-14.921531,-102.53215,-19.860094,-118.54117
79,-112.10146,-12.376363,-99.20942,-114.00796,-19.87196
80,-20.823483,-20.192585,-27.35321,-103.02653,-107.8525
81,-107.348366,-16.797808,-110.66954,-106.68227,-105.27605
82,-20.972458,-20.123215,-106.54417,-111.91783,-108.961426
83,-104.593506,-20.75429,-24.183117,-108.63886,-16.486208
84,-23.153551,-15.568459,-110.84097,-123.622375,-16.765522
85,-28.391668,-115.24123,-113.86607,-106.71308,-23.850016
86,-102.31595,-108.99757,-110.07463,-104.16557,-111.67331
87,-103.10253,-17.300077,-111.85048,-97.338875,-28.271461
88,-100.9702,-104.62015,-109.87807,-27.646095,-115.09483
89,-16.438046,-125.07141,-30.88703,-17.840055,-15.7335205
90,-26.915133,-110.15173,-101.67353,-104.64524,-107.91131
91,-26.006151,-40.372307,-103.06286,-108.735176,-30.595968
92,-107.481926,-21.491737,-25.393929,-19.358498,-103.16393
93,-102.15781,-101.20477,-103.06509,-16.639526,-21.02132
94,-19.429352,-117.5981,-96.35039,-108.66796,-107.42538
95,-104.441536,-17.048061,-102.584435,-120.39232,-97.71556
96,-100.10923,-124.789154,-114.74246,-101.957825,-105.23307
97,-101.67495,-120.11754,-111.26537,-112.72853,-109.93848
98,-102.30992,-99.31068,-111.615585,-113.04759,-114.78777
99,-11.444098,-122.9678,-113.91755,-102.578636,-97.801704
100,-112.80047,-100.02429,-20.011393,-16.010359,-107.528534
101,-24.206669,-15.9650755,-107.10843,-111.09474,-20.573326
102,-97.02088,-22.511322,-107.26575,-102.523834,-114.037605
103,-20.003338,-25.714842,-100.02127,-117.95311,-29.880611
