,It 0,It 1,It 2,It 3,It 4
0,-120.82666,-17.074078,-105.14246,-113.485855,-16.679127
1,-119.992294,-120.441444,-120.14537,-125.11371,-110.67925
2,-119.14458,-118.43986,-100.399055,-121.32048,-115.36202
3,-114.369736,-118.934265,-102.153564,-121.43305,-111.4827
4,-110.64361,-119.48891,-21.217232,-121.285034,-119.62743
5,-111.927864,-117.88521,-102.83527,-114.42509,-119.5672
6,-29.008549,-117.51309,-107.13643,-109.9886,-116.73069
7,-20.948515,-119.74783,-32.275784,-118.77536,-115.14737
8,-108.88059,-115.53079,-26.92509,-45.733242,-24.023354
9,-115.34199,-111.84901,-25.890207,-149.27252,-102.440155
10,-110.32113,-114.31627,-115.100105,-30.735804,-20.54654
11,-22.922594,-13.862821,-107.657326,-35.557484,-111.71702
12,-103.910065,-105.46437,-24.189335,-21.141443,-120.3709
13,-27.135946,-110.038574,-100.062614,-111.750275,-21.00441
14,-109.57187,-22.161772,-105.17251,-26.363472,-26.945354
15,-28.78222,-104.07097,-17.885881,-26.33319,-112.99515
16,-103.57525,-22.322763,-106.87595,-17.5453,-122.39434
17,-112.95525,-22.892702,-106.4963,-30.005667,-105.11806
18,-123.50344,-111.07762,-103.326294,-26.449318,-105.75255
19,-123.33473,-106.89005,-20.211193,-25.39482,-120.037476
20,-109.18782,-18.029959,-134.04376,-30.545328,-116.82415
21,-102.76563,-19.817383,-103.60781,-28.474121,-116.2298
22,-96.94406,-97.82673,-104.69919,-106.267685,-28.541761
23,-110.71583,-105.58349,-124.18965,-112.480385,-109.31602
24,-20.56916,-106.12185,-102.281166,-27.34891,-37.62892
25,-28.176575,-110.291885,-105.566734,-104.737885,-112.702515
26,-104.38851,-104.87554,-98.45629,-106.92374,-15.2031555
27,-19.47496,-106.53519,-107.757515,-114.26238,-13.014448
28,-102.35596,-21.690302,-105.44805,-106.4839,-103.69229
29,-23.063171,-104.69348,-114.764984,-102.60228,-122.04026
30,-96.53354,-100.64656,-24.082159,-118.31883,-20.300718
31,-28.461414,-9.277425,-100.08061,-16.127785,-101.00737
32,-32.75368,-115.254715,-99.54149,-29.18379,-27.033104
33,-99.91596,-115.28309,-104.48108,-33.247765,-108.09929
34,-102.25507,-92.953415,-102.26439,-123.15079,-102.20731
35,-29.24181,-102.34691,-101.62928,-116.381836,-18.362055
36,-30.087135,-97.421005,-105.17414,-117.320625,-107.78611
37,-104.09008,-16.327751,-24.336527,-23.508432,-30.672146
38,-116.8196,-15.099554,-118.18671,-105.079895,-110.945564
39,-26.770573,-106.276924,-23.101582,-13.630834,-110.81335
40,-109.518616,-103.49642,-25.993616,-111.47479,-112.05876
41,-113.70274,-112.11068,-104.79693,-102.50354,-118.04448
42,-115.11302,-126.33472,-102.23171,-21.677956,-21.293755
43,-22.608767,-111.20623,-102.097305,-113.13838,-104.03447
44,-20.856691,-110.586876,-97.27959,-105.444824,-95.66745
45,-111.58987,-17.232878,-113.44227,-107.282715,-22.000029
46,-22.407356,-26.910984,-105.886444,-124.45779,-23.39543
47,-100.14666,-13.752686,-109.64393,-18.582157,-122.96375
48,-102.796524,-102.66321,-109.57308,-121.83995,-33.905823
49,-21.794678,-99.62057,-99.66718,-102.95715,-116.76616
50,-110.70855,-119.46623,-108.33577,-105.58944,-105.030304
51,-115.232025,-110.9463,-122.77269,-108.3488,-21.644402
52,-120.486145,-108.27953,-104.59325,-98.97737,-24.26661
53,-100.614586,-106.84451,-19.59463,-107.09972,-106.527
54,-107.43606,-22.68883,-104.485176,-97.96129,-103.07217
55,-36.366882,-100.67394,-102.11205,-118.428535,-21.528803
56,-102.52178,-106.592316,-20.033,-102.73995,-107.62174
57,-27.38613,-113.196106,-110.30534,-103.53057,-101.98618
58,-115.09302,-112.01425,-105.17585,-125.31114,-32.738304
59,-115.122086,-108.74264,-112.03982,-106.79843,-24.752161
60,-25.997124,-100.34527,-94.39315,-99.42067,-28.611248
61,-95.376015,-14.138549,-112.891716,-99.307236,-92.80318
62,-25.653996,-105.87027,-23.186966,-101.2276,-97.95965
63,-98.48593,-17.737614,-19.313723,-112.808,-99.078606
64,-98.56369,-23.21187,-99.909164,-113.392525,-18.851562
