,It 0,It 1,It 2,It 3,It 4
0,-28.184906,-119.29556,-104.17525,-124.10028,-100.71258
1,-26.11949,-115.30687,-121.919014,-115.978355,-28.683952
2,-117.67076,-111.185905,-104.598785,-110.813736,-105.64423
3,-113.89853,-115.93389,-32.697205,-128.03535,-101.18462
4,-113.69668,-111.016914,-36.698433,-118.240685,-101.06034
5,-111.74369,-107.08987,-117.72251,-117.93878,-36.457947
6,-120.89236,-112.914955,-111.91873,-127.61792,-38.318157
7,-113.41016,-34.502327,-123.643265,-117.466,-38.45318
8,-115.22305,-38.337185,-118.18707,-120.87369,-108.27979
9,-118.07057,-37.650204,-114.11943,-112.75688,-112.950935
10,-116.70943,-20.982426,-114.66448,-116.87767,-109.36858
11,-118.727005,-27.393106,-113.89125,-110.07291,-117.65515
12,-114.48584,-106.2792,-116.789444,-109.11465,-112.770325
13,-123.40182,-105.30811,-114.019104,-110.530594,-117.841934
14,-122.28646,-102.51341,-108.03996,-116.28906,-116.07179
15,-116.921616,-19.481873,-108.229614,-27.725914,-115.26995
16,-120.09703,-34.30091,-115.796585,-106.28841,-120.21584
17,-110.93478,-23.747175,-117.59057,-106.64064,-113.06783
18,-29.056618,-107.95334,-113.42179,-110.16117,-118.00227
19,-112.51967,-20.812206,-113.03104,-112.36373,-118.47194
20,-20.447575,-102.165375,-111.98969,-108.80079,-119.22363
21,-109.80863,-103.51489,-22.41803,-108.55596,-109.72495
22,-107.274574,-120.01596,-108.362175,-35.029137,-119.74981
23,-22.995886,-38.14588,-109.13594,-103.80015,-117.03549
24,-106.881065,-29.234934,-110.9511,-17.602682,-119.62847
25,-120.42956,-111.09299,-19.291662,-17.883602,-114.368355
26,-19.373915,-27.830956,-15.13464,-101.64154,-120.03466
27,-109.318184,-27.607914,-109.96306,-109.0558,-114.06232
28,-22.337454,-31.662611,-19.787724,-117.14083,-111.24405
29,-20.06735,-106.63901,-123.03205,-37.170868,-106.19215
30,-103.509445,-107.7585,-22.452585,-105.725365,-21.078785
31,-98.094536,-106.11705,-30.969769,-118.633446,-25.587387
32,-105.850006,-105.673584,-29.957603,-27.856087,-23.688745
33,-106.544426,-26.595747,-22.437494,-114.4204,-19.948372
