,It 0,It 1,It 2,It 3,It 4
0,-111.39422,-108.97309,-104.74052,-107.940125,-42.530403
1,-106.850235,-105.60163,-112.25821,-115.020134,-117.40962
2,-26.567373,-112.32991,-126.32259,-111.31975,-103.64169
3,-117.103134,-117.66335,-106.06018,-113.27699,-113.222084
4,-113.85366,-113.49246,-111.55503,-117.83744,-105.5676
5,-119.22399,-112.5567,-124.18202,-117.62865,-116.13484
6,-118.27644,-114.270386,-111.22067,-115.284386,-120.3051
7,-131.48941,-113.78679,-125.95051,-107.69357,-113.532036
8,-114.715744,-115.48702,-116.5204,-117.62918,-116.4385
9,-123.83719,-114.08117,-128.04105,-112.70096,-116.37169
10,-118.19632,-118.17492,-120.351234,-107.825775,-113.02372
11,-114.63931,-117.65345,-117.287636,-111.496,-116.87094
12,-114.5431,-31.78334,-117.34163,-105.52696,-115.19115
13,-117.25512,-20.219301,-114.86605,-18.945671,-110.53836
14,-27.399277,-25.799076,-118.872955,-108.7508,-113.34336
15,-26.293053,-25.774199,-108.27197,-100.744865,-107.32366
16,-19.773575,-21.857336,-103.132416,-106.94189,-121.61334
17,-18.885708,-24.253279,-26.5074,-22.111652,-112.57022
18,-16.451164,-115.055244,-25.048737,-97.51943,-116.72093
19,-107.863174,-114.37828,-24.136433,-117.08292,-116.476
20,-13.189273,-115.58734,-99.45891,-99.37338,-114.147
21,-11.325414,-110.61113,-23.062122,-103.82957,-116.38893
22,-103.965546,-117.61379,-18.617498,-102.620636,-117.17491
23,-103.09054,-116.78432,-16.38341,-17.395369,-118.21281
24,-38.48696,-22.47563,-105.942184,-103.65136,-21.50875
25,-115.13261,-30.19626,-16.046097,-22.972946,-103.51251
26,-107.90972,-109.29584,-110.02442,-112.485695,-110.78928
27,-105.16927,-29.848022,-118.07144,-106.34714,-23.92518
28,-21.446138,-27.098873,-109.65518,-103.689095,-24.753166
29,-27.457146,-30.14774,-21.234919,-101.430435,-102.77859
30,-106.74522,-28.896706,-103.822014,-24.872383,-108.1763
31,-23.056116,-27.296526,-108.91776,-96.95932,-99.90845
32,-104.75744,-24.16853,-19.65054,-103.73344,-23.756786
33,-22.998516,-114.42464,-110.78601,-109.04977,-25.310793
34,-99.552536,-18.844334,-113.5157,-106.53612,-36.20632
35,-17.44484,-104.91221,-12.240756,-24.377506,-104.016655
36,-100.17709,-107.94332,-25.835566,-97.111855,-100.987785
37,-105.87216,-103.70603,-27.922195,-18.089834,-104.80792
38,-23.525091,-129.6575,-23.78005,-114.85488,-107.78723
39,-15.364045,-30.251835,-26.125088,-100.63164,-102.25437
40,-18.942104,-114.63614,-113.088486,-23.251488,-102.55612
41,-19.173807,-103.7083,-105.773895,-103.664635,-101.82535
42,-19.024483,-28.881117,-105.95716,-101.3471,-126.56247
43,-19.37376,-24.129953,-20.142704,-106.63945,-107.231384
44,-17.94873,-108.891846,-101.895874,-94.91899,-95.98192
45,-104.47285,-101.50031,-20.241661,-24.106354,-104.07798
46,-104.425125,-116.0338,-115.662315,-111.657814,-101.392624
47,-103.027466,-108.37007,-21.591463,-102.52779,-101.89134
48,-101.60863,-21.933716,-101.40279,-22.344448,-101.947464
49,-19.85142,-21.231081,-21.802494,-104.11155,-102.52672
50,-21.43098,-30.049726,-103.36609,-20.382883,-102.07779
51,-118.98939,-100.71606,-107.93311,-117.411835,-101.84862
52,-105.156944,-23.241037,-19.00497,-105.80394,-105.052704
53,-96.32298,-25.838848,-106.08672,-99.73232,-101.00978
54,-98.15395,-17.01659,-102.98865,-112.63167,-114.592316
55,-23.828526,-21.859747,-23.275612,-101.974815,-15.760311
56,-22.594696,-20.437881,-13.423578,-112.1442,-104.207146
57,-19.636286,-107.81429,-107.378876,-112.427025,-17.505537
