,It 0,It 1,It 2,It 3,It 4
0,-110.403694,-119.86743,-21.407495,-109.93612,-33.865376
1,-125.72049,-120.394966,-109.19936,-110.958496,-107.60019
2,-111.95886,-117.662834,-118.005325,-120.768585,-27.722681
3,-116.530846,-107.89194,-117.113464,-114.86531,-112.41566
4,-117.210266,-110.770325,-126.424385,-113.945984,-122.63893
5,-32.01625,-22.87209,-118.52108,-114.6645,-115.16044
6,-34.845592,-113.98351,-120.02192,-113.51902,-110.555275
7,-30.87622,-107.962204,-112.58104,-109.25499,-118.307434
8,-103.77612,-22.423832,-112.973274,-108.528984,-116.074326
9,-22.293108,-31.46121,-125.00648,-118.41576,-107.51562
10,-21.228928,-105.52284,-110.26899,-23.048643,-114.38746
11,-118.82029,-33.317513,-42.04005,-103.99077,-106.69239
12,-107.576256,-109.11288,-106.531456,-25.173742,-20.98419
13,-103.14862,-29.203947,-24.455162,-26.76001,-19.262135
14,-104.773964,-30.752405,-114.88354,-108.21755,-27.614758
15,-21.049686,-20.412996,-21.685196,-104.976295,-17.638506
16,-106.44623,-29.50135,-118.22443,-104.06189,-26.394272
17,-102.06414,-111.0604,-28.921331,-109.74901,-19.778988
18,-95.55995,-36.139057,-29.949207,-111.8316,-20.169342
19,-17.023212,-27.109577,-105.65493,-111.464165,-104.89438
20,-18.499014,-30.805649,-113.042076,-100.97478,-29.550734
21,-119.25406,-26.398525,-107.24996,-101.42036,-21.860598
22,-115.674576,-26.355127,-20.382132,-114.738205,-18.307074
23,-121.544495,-26.127922,-26.698195,-23.005703,-25.706095
24,-117.191185,-98.02445,-111.11581,-99.51641,-27.501034
25,-116.04518,-102.66973,-24.766968,-123.33455,-100.99458
26,-14.914082,-32.00881,-107.49671,-13.736299,-104.378975
27,-112.3075,-100.57302,-24.480364,-101.49776,-104.30707
28,-114.57627,-29.1701,-23.118048,-101.14294,-27.510218
29,-112.547775,-113.67048,-103.232285,-99.92783,-24.097038
30,-113.444695,-106.26857,-105.98941,-121.86496,-21.545446
31,-104.24878,-103.96193,-26.531118,-38.663586,-17.972248
32,-102.425896,-100.17619,-19.307123,-102.07379,-101.71367
33,-102.907936,-112.60609,-113.05654,-32.69995,-104.72389
34,-111.5052,-109.78661,-105.12679,-108.5659,-113.67092
35,-116.213745,-103.29216,-112.537766,-24.207617,-101.97605
36,-102.85846,-98.62905,-105.54613,-16.065582,-14.896395
37,-112.90428,-27.663816,-18.298683,-105.71569,-25.044727
38,-100.18607,-107.47221,-28.706514,-22.330597,-102.611626
39,-111.00276,-100.94035,-114.502,-103.80744,-28.03631
40,-22.022846,-117.18492,-96.549324,-116.137314,-108.20237
41,-109.61718,-100.49966,-103.72036,-26.51981,-111.801704
42,-98.30825,-109.59332,-104.70347,-36.42358,-103.1335
43,-106.70857,-22.813938,-23.938873,-103.57485,-107.78239
44,-107.434944,-115.12642,-103.70553,-109.61112,-20.038242
45,-21.946861,-37.44378,-113.448555,-102.85954,-17.264229
46,-115.47071,-22.275084,-104.20214,-21.347597,-110.38518
47,-23.212988,-99.60188,-110.87258,-103.186,-110.100494
48,-98.85366,-22.701765,-108.60332,-101.643196,-104.65108
49,-101.28399,-32.002098,-105.9222,-108.312096,-19.37312
50,-101.15935,-102.94158,-110.44804,-101.893906,-104.352066
51,-130.40022,-111.6705,-109.70134,-105.812836,-102.27893
52,-105.854,-24.22512,-100.37155,-108.67074,-104.745895
